S.no,Symbol,Date,Open,High,Low,Close,Vol
51,NBSL,2013-10-07.csv,280.0,280.0,280.0,280.0,163
50,NBSL,2013-10-08.csv,280.0,275.0,252.0,252.0,594
40,NBSL,2013-10-09.csv,252.0,247.0,231.0,231.0,265
54,NBSL,2013-10-22.csv,231.0,227.0,219.0,219.0,30
49,NBSL,2013-10-23.csv,219.0,215.0,199.0,199.0,50
51,NBSL,2013-10-24.csv,199.0,196.0,181.0,186.0,844
50,NBSL,2013-10-27.csv,186.0,187.0,185.0,185.0,770
45,NBSL,2013-10-28.csv,185.0,192.0,181.0,192.0,"1,745"
49,NBSL,2013-10-29.csv,192.0,195.0,189.0,189.0,363
47,NBSL,2013-10-30.csv,189.0,198.0,192.0,194.0,"1,087"
49,NBSL,2013-10-31.csv,194.0,197.0,197.0,197.0,163
53,NBSL,2013-11-07.csv,197.0,200.0,200.0,200.0,20
4,NBSL,2013-11-10.csv,200.0,203.0,203.0,203.0,228
47,NBSL,2013-11-12.csv,203.0,199.0,199.0,199.0,90
49,NBSL,2013-11-13.csv,199.0,202.0,198.0,201.0,"1,614"
50,NBSL,2013-11-14.csv,201.0,197.0,197.0,197.0,163
49,NBSL,2013-11-24.csv,197.0,203.0,200.0,200.0,505
52,NBSL,2013-11-25.csv,200.0,208.0,200.0,204.0,"1,613"
52,NBSL,2013-11-26.csv,204.0,216.0,208.0,212.0,432
54,NBSL,2013-11-27.csv,212.0,216.0,216.0,216.0,98
54,NBSL,2013-11-28.csv,216.0,237.0,220.0,237.0,"1,288"
54,NBSL,2013-12-02.csv,237.0,241.0,241.0,241.0,130
59,NBSL,2013-12-03.csv,241.0,265.0,245.0,265.0,743
63,NBSL,2013-12-08.csv,212.0,216.0,216.0,216.0,114
60,NBSL,2014-01-29.csv,216.0,220.0,220.0,220.0,98
61,NBSL,2014-02-02.csv,220.0,228.0,220.0,220.0,911
60,NBSL,2014-02-04.csv,220.0,224.0,224.0,224.0,108
64,NBSL,2014-02-06.csv,224.0,225.0,225.0,225.0,163
64,NBSL,2014-02-09.csv,225.0,233.0,225.0,233.0,750
69,NBSL,2014-02-12.csv,233.0,241.0,233.0,240.0,588
61,NBSL,2014-02-16.csv,240.0,244.0,244.0,244.0,325
66,NBSL,2014-02-17.csv,244.0,262.0,248.0,262.0,499
67,NBSL,2014-02-18.csv,262.0,277.0,267.0,277.0,423
64,NBSL,2014-02-25.csv,277.0,282.0,282.0,282.0,166
63,NBSL,2014-02-26.csv,282.0,292.0,287.0,292.0,326
52,NBSL,2014-03-04.csv,292.0,287.0,287.0,287.0,98
61,NBSL,2014-03-05.csv,287.0,300.0,292.0,300.0,"1,630"
69,NBSL,2014-03-06.csv,300.0,316.0,306.0,316.0,652
66,NBSL,2014-03-09.csv,316.0,334.0,322.0,330.0,"1,161"
59,NBSL,2014-03-10.csv,330.0,340.0,334.0,340.0,716
61,NBSL,2014-03-11.csv,340.0,359.0,346.0,359.0,634
59,NBSL,2014-03-12.csv,359.0,372.0,357.0,357.0,"1,336"
65,NBSL,2014-03-17.csv,357.0,350.0,350.0,350.0,163
63,NBSL,2014-03-24.csv,350.0,344.0,344.0,344.0,114
69,NBSL,2014-04-01.csv,344.0,338.0,332.0,332.0,110
70,NBSL,2014-04-02.csv,332.0,326.0,326.0,326.0,163
69,NBSL,2014-04-03.csv,326.0,320.0,304.0,304.0,659
59,NBSL,2014-04-07.csv,304.0,301.0,295.0,295.0,815
64,NBSL,2014-04-27.csv,295.0,290.0,290.0,290.0,325
69,NBSL,2014-05-06.csv,290.0,285.0,285.0,285.0,228
71,NBSL,2014-05-07.csv,285.0,290.0,280.0,280.0,286
72,NBSL,2014-05-11.csv,280.0,275.0,275.0,275.0,118
69,NBSL,2014-05-13.csv,275.0,271.0,270.0,271.0,375
68,NBSL,2014-05-21.csv,271.0,290.0,270.0,290.0,535
77,NBSL,2014-05-22.csv,290.0,285.0,280.0,280.0,144
70,NBSL,2014-05-25.csv,280.0,295.0,280.0,295.0,191
74,NBSL,2014-05-26.csv,295.0,300.0,300.0,300.0,20
80,NBSL,2014-06-01.csv,300.0,296.0,296.0,296.0,98
152,NBSL,2014-06-17.csv,296.0,291.0,280.0,280.0,215
