Date,Symbol,Open,High,Low,Close,Vol
3/7/2017,NCCB,307.0,315.0,296.0,307.0,109665
3/9/2017,NCCB,307.0,315.0,302.0,312.0,138669
3/13/2017,NCCB,312.0,319.0,311.0,314.0,62254
3/14/2017,NCCB,314.0,315.0,310.0,310.0,51341
3/15/2017,NCCB,310.0,318.0,308.0,316.0,54607
3/16/2017,NCCB,316.0,330.0,315.0,328.0,153620
3/19/2017,NCCB,328.0,346.0,320.0,343.0,182590
3/20/2017,NCCB,343.0,350.0,339.0,343.0,116268
3/21/2017,NCCB,343.0,365.0,334.0,359.0,167481
3/22/2017,NCCB,359.0,372.0,346.0,353.0,142787
3/23/2017,NCCB,353.0,360.0,342.0,350.0,117793
3/26/2017,NCCB,350.0,379.0,357.0,376.0,262623
3/28/2017,NCCB,376.0,399.0,374.0,392.0,158622
3/29/2017,NCCB,392.0,406.0,375.0,384.0,179664
3/30/2017,NCCB,384.0,392.0,370.0,389.0,135676
4/2/2017,NCCB,389.0,427.0,395.0,427.0,130400
4/3/2017,NCCB,427.0,450.0,405.0,410.0,316644
4/4/2017,NCCB,410.0,418.0,397.0,415.0,163363
4/6/2017,NCCB,415.0,446.0,411.0,443.0,299134
4/9/2017,NCCB,443.0,450.0,432.0,437.0,124215
4/10/2017,NCCB,437.0,440.0,430.0,437.0,77341
4/11/2017,NCCB,437.0,460.0,437.0,452.0,201913
4/12/2017,NCCB,452.0,465.0,441.0,464.0,207688
4/13/2017,NCCB,464.0,473.0,438.0,454.0,381761
4/16/2017,NCCB,454.0,459.0,435.0,438.0,189147
4/18/2017,NCCB,438.0,445.0,417.0,424.0,135688
4/19/2017,NCCB,424.0,440.0,420.0,436.0,72590
4/20/2017,NCCB,436.0,449.0,425.0,432.0,103204
4/23/2017,NCCB,432.0,465.0,436.0,442.0,79935
4/24/2017,NCCB,442.0,445.0,434.0,439.0,65538
4/25/2017,NCCB,439.0,436.0,426.0,433.0,71754
4/26/2017,NCCB,433.0,435.0,421.0,425.0,78017
4/27/2017,NCCB,425.0,429.0,410.0,422.0,87129
4/30/2017,NCCB,422.0,428.0,411.0,415.0,59173
5/2/2017,NCCB,415.0,422.0,407.0,414.0,60478
5/3/2017,NCCB,414.0,422.0,413.0,415.0,33978
5/4/2017,NCCB,415.0,415.0,408.0,412.0,27630
5/7/2017,NCCB,412.0,413.0,397.0,400.0,58244
5/8/2017,NCCB,400.0,415.0,401.0,415.0,32334
5/9/2017,NCCB,415.0,423.0,406.0,420.0,41703
5/11/2017,NCCB,420.0,422.0,415.0,419.0,25580
5/15/2017,NCCB,419.0,425.0,407.0,413.0,41270
5/16/2017,NCCB,413.0,414.0,407.0,412.0,26381
5/17/2017,NCCB,412.0,408.0,399.0,400.0,86351
5/18/2017,NCCB,400.0,396.0,385.0,394.0,72546
5/21/2017,NCCB,394.0,398.0,380.0,383.0,28619
5/22/2017,NCCB,383.0,399.0,380.0,390.0,19336
5/23/2017,NCCB,390.0,400.0,390.0,392.0,25549
5/24/2017,NCCB,392.0,400.0,385.0,400.0,20369
5/28/2017,NCCB,400.0,393.0,386.0,388.0,30611
5/30/2017,NCCB,388.0,388.0,378.0,384.0,27891
6/20/2017,NCCB,384.0,391.0,348.0,359.0,81628
6/21/2017,NCCB,359.0,365.0,350.0,359.0,39523
6/22/2017,NCCB,359.0,366.0,352.0,359.0,47173
6/25/2017,NCCB,359.0,379.0,355.0,377.0,47209
6/27/2017,NCCB,377.0,372.0,358.0,365.0,30038
6/28/2017,NCCB,365.0,373.0,362.0,372.0,46208
7/2/2017,NCCB,372.0,372.0,360.0,362.0,25607
7/3/2017,NCCB,362.0,373.0,360.0,364.0,30484
7/4/2017,NCCB,364.0,371.0,364.0,371.0,23850
7/5/2017,NCCB,371.0,389.0,368.0,385.0,42454
7/6/2017,NCCB,385.0,404.0,380.0,401.0,85588
7/9/2017,NCCB,401.0,415.0,378.0,390.0,113998
7/10/2017,NCCB,390.0,400.0,386.0,395.0,56410
7/11/2017,NCCB,395.0,401.0,386.0,398.0,61152
7/12/2017,NCCB,398.0,405.0,385.0,388.0,63459
7/13/2017,NCCB,388.0,392.0,383.0,383.0,68695
7/16/2017,NCCB,383.0,390.0,380.0,383.0,51199
7/17/2017,NCCB,383.0,390.0,385.0,385.0,16430
7/18/2017,NCCB,385.0,396.0,387.0,390.0,48642
7/19/2017,NCCB,390.0,394.0,383.0,387.0,27669
7/20/2017,NCCB,387.0,396.0,384.0,390.0,47012
7/23/2017,NCCB,390.0,390.0,383.0,385.0,23418
7/24/2017,NCCB,385.0,386.0,380.0,380.0,34169
7/25/2017,NCCB,380.0,385.0,379.0,380.0,16900
7/26/2017,NCCB,380.0,385.0,375.0,376.0,26117
7/27/2017,NCCB,376.0,392.0,372.0,392.0,44274
7/30/2017,NCCB,392.0,389.0,379.0,380.0,44260
7/31/2017,NCCB,380.0,387.0,379.0,379.0,19893
8/1/2017,NCCB,379.0,383.0,379.0,382.0,35402
8/2/2017,NCCB,382.0,387.0,378.0,379.0,44950
8/3/2017,NCCB,379.0,382.0,377.0,379.0,37121
8/6/2017,NCCB,379.0,382.0,376.0,376.0,17021
8/7/2017,NCCB,376.0,379.0,374.0,375.0,22398
8/9/2017,NCCB,375.0,380.0,369.0,370.0,14761
8/10/2017,NCCB,370.0,374.0,366.0,370.0,24594
8/13/2017,NCCB,370.0,375.0,366.0,370.0,29899
8/15/2017,NCCB,370.0,375.0,363.0,365.0,12864
8/16/2017,NCCB,365.0,371.0,365.0,366.0,20794
8/17/2017,NCCB,366.0,368.0,364.0,366.0,15442
8/20/2017,NCCB,366.0,380.0,362.0,364.0,88443
8/21/2017,NCCB,364.0,368.0,363.0,365.0,16974
8/22/2017,NCCB,365.0,380.0,365.0,374.0,27224
8/23/2017,NCCB,374.0,377.0,370.0,372.0,18831
8/24/2017,NCCB,372.0,373.0,368.0,370.0,22952
8/27/2017,NCCB,370.0,376.0,369.0,376.0,28744
8/28/2017,NCCB,376.0,376.0,364.0,369.0,11750
8/30/2017,NCCB,369.0,370.0,359.0,366.0,21049
8/31/2017,NCCB,366.0,370.0,362.0,365.0,20832
9/4/2017,NCCB,365.0,370.0,358.0,358.0,54940
9/6/2017,NCCB,358.0,366.0,357.0,364.0,11876
