S.no,Symbol,Date,Open,High,Low,Close,Vol
52,NCCBPO,2013-03-27.csv,195.0,198.0,198.0,198.0,"29,140"
51,NCCBPO,2013-10-29.csv,198.0,198.0,198.0,198.0,"1,457"
67,NCCBPO,2013-12-05.csv,100.0,0.0,0.0,198.0,"140,993"
71,NCCBPO,2014-12-22.csv,284.0,283.0,283.0,283.0,"3,825"
74,NCCBPO,2015-03-01.csv,283.0,283.0,283.0,283.0,600
66,NCCBPO,2015-04-06.csv,283.0,283.0,283.0,283.0,165
63,NCCBPO,2015-06-28.csv,283.0,278.0,278.0,278.0,"25,000"
70,NCCBPO,2015-06-30.csv,278.0,278.0,278.0,278.0,600
77,NCCBPO,2017-07-11.csv,196.0,199.0,199.0,199.0,"200,770"
79,NCCBPO,2017-07-20.csv,199.0,199.0,199.0,199.0,"43,753"
81,NCCBPO,2017-07-25.csv,199.0,199.0,199.0,199.0,"3,759"
81,NCCBPO,2017-07-26.csv,199.0,202.0,202.0,202.0,"109,849"
87,NCCBPO,2017-08-03.csv,202.0,202.0,202.0,202.0,"9,309"
87,NCCBPO,2017-08-13.csv,202.0,202.0,202.0,202.0,"14,876"
85,NCCBPO,2017-08-16.csv,202.0,202.0,202.0,202.0,"11,207"
86,NCCBPO,2017-08-17.csv,202.0,202.0,202.0,202.0,"6,406"
82,NCCBPO,2017-08-21.csv,202.0,202.0,202.0,202.0,"3,680"
86,NCCBPO,2017-08-31.csv,202.0,202.0,202.0,202.0,"70,769"
86,NCCBPO,2017-09-10.csv,202.0,202.0,202.0,202.0,"3,203"
83,NCCBPO,2017-09-24.csv,202.0,202.0,202.0,202.0,"110,000"
81,NCCBPO,2017-10-12.csv,202.0,200.0,200.0,200.0,"38,437"
89,NCCBPO,2017-11-06.csv,200.0,200.0,200.0,200.0,"1,472"
87,NCCBPO,2017-11-08.csv,200.0,200.0,200.0,200.0,"11,800"
84,NCCBPO,2017-11-12.csv,200.0,200.0,200.0,200.0,"21,740"
87,NCCBPO,2017-11-23.csv,200.0,200.0,200.0,200.0,"29,976"
85,NCCBPO,2017-12-31.csv,200.0,200.0,200.0,200.0,"484,808"
83,NCCBPO,2018-01-14.csv,200.0,200.0,200.0,200.0,"1,000"
86,NCCBPO,2018-01-16.csv,200.0,196.0,196.0,196.0,"19,250"
88,NCCBPO,2018-01-22.csv,196.0,195.0,195.0,195.0,"18,480"
88,NCCBPO,2018-01-25.csv,195.0,186.0,186.0,186.0,"11,480"
85,NCCBPO,2018-02-04.csv,195.0,195.0,195.0,195.0,"28,825"
78,NCCBPO,2018-02-26.csv,195.0,195.0,195.0,195.0,"279,500"
87,NCCBPO,2018-03-06.csv,195.0,195.0,195.0,195.0,"80,000"
83,NCCBPO,2018-03-20.csv,195.0,195.0,195.0,195.0,"1,000"
