S.no,Symbol,Date,Open,High,Low,Close,Vol
89,NCDBPO,2018-01-01.csv,105.0,106.0,106.0,106.0,"38,041"
92,NCDBPO,2018-01-02.csv,106.0,106.0,106.0,106.0,"20,321"
87,NCDBPO,2018-01-03.csv,106.0,106.0,106.0,106.0,"2,302"
87,NCDBPO,2018-09-18.csv,106.0,106.0,106.0,106.0,"58,228"
86,NCDBPO,2018-09-23.csv,106.0,106.0,106.0,106.0,"5,264"
87,NCDBPO,2018-10-11.csv,106.0,106.0,106.0,106.0,"4,785"
93,NCDBPO,2018-12-27.csv,106.0,106.0,106.0,106.0,"13,864"
88,NCDBPO,2018-12-30.csv,105.0,105.0,105.0,105.0,"36,687"
87,NCDBPO,2018-12-31.csv,105.0,105.0,105.0,105.0,"5,000"
84,NCDBPO,2019-01-03.csv,105.0,105.0,105.0,105.0,"5,000"
83,NCDBPO,2019-01-23.csv,105.0,105.0,105.0,105.0,"5,000"
84,NCDBPO,2019-02-05.csv,105.0,105.0,105.0,105.0,"2,100"
88,NCDBPO,2019-04-18.csv,104.0,104.0,104.0,104.0,"2,000"
92,NCDBPO,2019-05-16.csv,104.0,104.0,104.0,104.0,"5,002"
