S.no,Symbol,Date,Open,High,Low,Close,Vol
47,NDEP,2012-01-01.csv,90.0,83.0,83.0,83.0,102
41,NDEP,2012-01-02.csv,83.0,85.0,84.0,85.0,300
45,NDEP,2012-01-03.csv,85.0,87.0,85.0,85.0,512
44,NDEP,2012-01-04.csv,85.0,86.0,82.0,83.0,"1,278"
36,NDEP,2012-01-05.csv,83.0,84.0,82.0,82.0,434
36,NDEP,2012-01-08.csv,82.0,81.0,80.0,80.0,"1,255"
43,NDEP,2012-01-09.csv,80.0,81.0,80.0,81.0,408
45,NDEP,2012-01-11.csv,81.0,82.0,80.0,80.0,847
45,NDEP,2012-01-12.csv,80.0,81.0,81.0,81.0,17
34,NDEP,2012-01-16.csv,81.0,82.0,82.0,82.0,165
41,NDEP,2012-01-17.csv,82.0,81.0,80.0,80.0,"1,984"
40,NDEP,2012-01-18.csv,80.0,81.0,79.0,79.0,"1,250"
50,NDEP,2012-01-22.csv,79.0,83.0,80.0,83.0,600
50,NDEP,2012-01-23.csv,83.0,82.0,78.0,80.0,"4,590"
39,NDEP,2012-01-25.csv,80.0,80.0,79.0,80.0,"1,400"
44,NDEP,2012-01-26.csv,80.0,79.0,79.0,79.0,64
47,NDEP,2012-01-29.csv,79.0,80.0,80.0,80.0,44
50,NDEP,2012-01-31.csv,80.0,80.0,79.0,79.0,379
45,NDEP,2012-02-01.csv,79.0,81.0,80.0,81.0,153
45,NDEP,2012-02-02.csv,81.0,81.0,81.0,81.0,503
45,NDEP,2012-02-05.csv,81.0,80.0,80.0,80.0,500
44,NDEP,2012-02-06.csv,80.0,80.0,79.0,79.0,405
41,NDEP,2012-02-08.csv,79.0,82.0,80.0,81.0,"2,013"
33,NDEP,2012-02-09.csv,81.0,80.0,80.0,80.0,100
49,NDEP,2012-02-12.csv,80.0,79.0,79.0,79.0,528
42,NDEP,2012-02-13.csv,79.0,78.0,78.0,78.0,"1,500"
38,NDEP,2012-02-14.csv,78.0,77.0,75.0,76.0,"5,220"
44,NDEP,2012-02-15.csv,76.0,76.0,75.0,75.0,855
44,NDEP,2012-02-16.csv,75.0,78.0,77.0,77.0,140
44,NDEP,2012-02-21.csv,77.0,77.0,77.0,77.0,487
42,NDEP,2012-02-23.csv,77.0,76.0,74.0,75.0,"1,037"
45,NDEP,2012-02-26.csv,75.0,76.0,76.0,76.0,30
48,NDEP,2012-02-27.csv,76.0,76.0,75.0,76.0,100
41,NDEP,2012-02-28.csv,76.0,75.0,75.0,75.0,364
42,NDEP,2012-02-29.csv,75.0,76.0,74.0,76.0,"1,917"
44,NDEP,2012-03-01.csv,76.0,77.0,76.0,77.0,"2,741"
43,NDEP,2012-03-04.csv,77.0,77.0,76.0,76.0,920
42,NDEP,2012-03-05.csv,76.0,77.0,77.0,77.0,300
47,NDEP,2012-03-06.csv,77.0,77.0,76.0,77.0,"1,205"
40,NDEP,2012-03-12.csv,77.0,79.0,78.0,78.0,201
39,NDEP,2012-03-14.csv,78.0,77.0,77.0,77.0,200
47,NDEP,2012-03-18.csv,77.0,78.0,77.0,77.0,"1,120"
42,NDEP,2012-03-19.csv,77.0,78.0,76.0,76.0,782
49,NDEP,2012-03-21.csv,76.0,77.0,74.0,74.0,228
43,NDEP,2012-03-25.csv,74.0,76.0,75.0,76.0,150
42,NDEP,2012-03-26.csv,76.0,75.0,72.0,72.0,"1,880"
47,NDEP,2012-03-27.csv,72.0,73.0,72.0,73.0,300
43,NDEP,2012-03-28.csv,73.0,73.0,72.0,72.0,530
45,NDEP,2012-03-29.csv,72.0,73.0,67.0,67.0,"6,860"
43,NDEP,2012-04-01.csv,67.0,73.0,68.0,72.0,847
44,NDEP,2012-04-02.csv,72.0,73.0,72.0,73.0,240
40,NDEP,2012-04-03.csv,73.0,73.0,72.0,73.0,"2,018"
47,NDEP,2012-04-04.csv,73.0,73.0,73.0,73.0,190
48,NDEP,2012-04-05.csv,73.0,74.0,73.0,74.0,"1,200"
48,NDEP,2012-04-08.csv,74.0,75.0,72.0,74.0,"1,215"
36,NDEP,2012-04-09.csv,74.0,77.0,73.0,75.0,"3,446"
43,NDEP,2012-04-10.csv,75.0,77.0,75.0,76.0,"2,750"
42,NDEP,2012-04-11.csv,76.0,80.0,75.0,76.0,"1,895"
46,NDEP,2012-04-12.csv,76.0,83.0,77.0,83.0,"2,302"
48,NDEP,2012-04-15.csv,83.0,90.0,84.0,90.0,"1,791"
32,NDEP,2012-04-16.csv,90.0,95.0,91.0,95.0,179
43,NDEP,2012-04-17.csv,95.0,97.0,94.0,94.0,"1,504"
43,NDEP,2012-04-18.csv,94.0,93.0,91.0,92.0,"1,514"
52,NDEP,2012-04-19.csv,92.0,96.0,93.0,93.0,"1,046"
45,NDEP,2012-04-22.csv,93.0,101.0,93.0,101.0,"5,550"
36,NDEP,2012-04-24.csv,101.0,111.0,103.0,111.0,"1,736"
38,NDEP,2012-04-25.csv,111.0,119.0,113.0,119.0,600
52,NDEP,2012-04-26.csv,119.0,124.0,119.0,124.0,"2,244"
50,NDEP,2012-04-29.csv,124.0,126.0,112.0,112.0,"6,581"
49,NDEP,2012-04-30.csv,112.0,112.0,108.0,108.0,924
37,NDEP,2012-05-03.csv,108.0,114.0,110.0,110.0,"1,167"
29,NDEP,2012-05-07.csv,110.0,112.0,112.0,112.0,"9,919"
38,NDEP,2012-05-08.csv,112.0,114.0,112.0,113.0,549
50,NDEP,2012-05-09.csv,113.0,111.0,103.0,105.0,"10,613"
50,NDEP,2012-05-10.csv,105.0,109.0,101.0,109.0,"1,276"
36,NDEP,2012-05-15.csv,109.0,110.0,110.0,110.0,644
45,NDEP,2012-05-17.csv,110.0,112.0,112.0,112.0,117
32,NDEP,2012-05-23.csv,112.0,110.0,108.0,108.0,100
43,NDEP,2012-05-24.csv,108.0,106.0,98.0,98.0,"1,656"
45,NDEP,2012-05-27.csv,98.0,102.0,96.0,102.0,638
23,NDEP,2012-05-29.csv,102.0,100.0,98.0,98.0,28
30,NDEP,2012-05-31.csv,98.0,97.0,97.0,97.0,17
39,NDEP,2012-06-04.csv,97.0,96.0,92.0,92.0,385
47,NDEP,2012-06-05.csv,92.0,91.0,83.0,83.0,"1,450"
40,NDEP,2012-06-06.csv,83.0,83.0,75.0,79.0,"2,567"
40,NDEP,2012-06-07.csv,79.0,82.0,78.0,78.0,"6,970"
35,NDEP,2012-06-10.csv,78.0,77.0,75.0,76.0,"3,161"
43,NDEP,2012-06-11.csv,76.0,80.0,77.0,79.0,"1,781"
43,NDEP,2012-06-12.csv,79.0,84.0,78.0,84.0,"2,940"
43,NDEP,2012-06-13.csv,84.0,84.0,81.0,81.0,"5,935"
44,NDEP,2012-06-14.csv,81.0,81.0,80.0,80.0,708
43,NDEP,2012-06-17.csv,80.0,81.0,78.0,78.0,"4,980"
43,NDEP,2012-06-18.csv,78.0,81.0,79.0,81.0,202
44,NDEP,2012-06-19.csv,81.0,80.0,79.0,79.0,290
45,NDEP,2012-06-20.csv,79.0,81.0,79.0,80.0,"11,110"
42,NDEP,2012-06-21.csv,80.0,82.0,81.0,82.0,500
44,NDEP,2012-06-25.csv,82.0,84.0,82.0,84.0,238
44,NDEP,2012-06-26.csv,84.0,83.0,83.0,83.0,60
42,NDEP,2012-06-27.csv,83.0,82.0,79.0,79.0,"2,325"
41,NDEP,2012-06-28.csv,79.0,82.0,79.0,80.0,"5,052"
41,NDEP,2012-07-01.csv,80.0,82.0,79.0,82.0,"7,629"
44,NDEP,2012-07-02.csv,82.0,82.0,80.0,80.0,"1,763"
43,NDEP,2012-07-03.csv,80.0,80.0,79.0,80.0,"1,539"
42,NDEP,2012-07-04.csv,80.0,82.0,81.0,81.0,120
41,NDEP,2012-07-05.csv,81.0,81.0,80.0,80.0,727
44,NDEP,2012-07-08.csv,80.0,82.0,80.0,82.0,690
43,NDEP,2012-07-09.csv,82.0,82.0,81.0,81.0,"1,249"
41,NDEP,2012-07-10.csv,81.0,83.0,81.0,83.0,478
47,NDEP,2012-07-11.csv,83.0,85.0,82.0,84.0,"1,346"
48,NDEP,2012-07-12.csv,84.0,84.0,83.0,83.0,"1,017"
42,NDEP,2012-07-15.csv,83.0,83.0,82.0,82.0,392
45,NDEP,2012-07-16.csv,82.0,82.0,81.0,82.0,"3,585"
43,NDEP,2012-07-17.csv,82.0,83.0,81.0,83.0,"6,905"
48,NDEP,2012-07-18.csv,83.0,83.0,82.0,82.0,605
50,NDEP,2012-07-19.csv,82.0,84.0,80.0,84.0,"8,807"
47,NDEP,2012-07-22.csv,84.0,84.0,83.0,83.0,964
39,NDEP,2012-07-23.csv,83.0,84.0,83.0,84.0,293
42,NDEP,2012-07-24.csv,84.0,85.0,84.0,85.0,"3,388"
48,NDEP,2012-07-25.csv,85.0,86.0,85.0,86.0,"7,216"
48,NDEP,2012-07-26.csv,86.0,85.0,84.0,84.0,316
41,NDEP,2012-07-29.csv,84.0,83.0,83.0,83.0,"1,767"
48,NDEP,2012-07-30.csv,83.0,83.0,82.0,83.0,"3,220"
52,NDEP,2012-08-01.csv,83.0,83.0,80.0,80.0,"4,326"
44,NDEP,2012-08-05.csv,80.0,80.0,80.0,80.0,"1,200"
51,NDEP,2012-08-06.csv,80.0,79.0,79.0,79.0,429
54,NDEP,2012-08-07.csv,79.0,82.0,77.0,77.0,"4,883"
