S.no,Symbol,Date,Open,High,Low,Close,Vol
51,NDFL,2012-01-31.csv,126.0,126.0,120.0,120.0,388
46,NDFL,2012-02-01.csv,120.0,120.0,120.0,120.0,258
46,NDFL,2012-02-02.csv,120.0,118.0,116.0,116.0,742
46,NDFL,2012-02-05.csv,116.0,118.0,118.0,118.0,50
42,NDFL,2012-02-08.csv,118.0,103.0,99.0,99.0,"12,758"
34,NDFL,2012-02-09.csv,99.0,99.0,98.0,99.0,"1,013"
50,NDFL,2012-02-12.csv,99.0,100.0,97.0,97.0,"8,081"
43,NDFL,2012-02-13.csv,97.0,99.0,98.0,99.0,"1,569"
39,NDFL,2012-02-14.csv,99.0,99.0,98.0,99.0,"1,472"
45,NDFL,2012-02-15.csv,99.0,98.0,98.0,98.0,"1,218"
45,NDFL,2012-02-21.csv,98.0,100.0,99.0,100.0,578
49,NDFL,2012-02-27.csv,100.0,100.0,100.0,100.0,258
44,NDFL,2012-03-04.csv,100.0,101.0,101.0,101.0,96
43,NDFL,2012-03-05.csv,101.0,100.0,99.0,100.0,702
48,NDFL,2012-03-06.csv,100.0,100.0,100.0,100.0,220
48,NDFL,2012-03-27.csv,100.0,100.0,100.0,100.0,"1,330"
44,NDFL,2012-05-24.csv,100.0,106.0,102.0,106.0,30
46,NDFL,2012-05-27.csv,106.0,108.0,108.0,108.0,10
24,NDFL,2012-05-29.csv,108.0,112.0,110.0,110.0,260
25,NDFL,2012-05-30.csv,110.0,112.0,112.0,112.0,100
31,NDFL,2012-05-31.csv,112.0,110.0,108.0,108.0,87
44,NDFL,2012-06-12.csv,108.0,105.0,103.0,103.0,600
45,NDFL,2012-06-19.csv,103.0,103.0,103.0,103.0,10
46,NDFL,2012-06-20.csv,103.0,101.0,101.0,101.0,300
43,NDFL,2012-07-24.csv,101.0,101.0,101.0,101.0,20
53,NDFL,2012-08-22.csv,101.0,100.0,100.0,100.0,300
53,NDFL,2012-09-02.csv,100.0,100.0,100.0,100.0,300
55,NDFL,2012-09-23.csv,100.0,98.0,98.0,98.0,166
49,NDFL,2013-02-14.csv,98.0,90.0,90.0,90.0,10
43,NDFL,2013-05-16.csv,90.0,83.0,82.0,82.0,107
46,NDFL,2013-05-19.csv,82.0,84.0,83.0,84.0,22
48,NDFL,2013-05-20.csv,84.0,87.0,84.0,87.0,87
50,NDFL,2013-05-23.csv,87.0,88.0,87.0,87.0,347
51,NDFL,2013-06-09.csv,87.0,88.0,88.0,88.0,"3,600"
55,NDFL,2013-06-10.csv,88.0,89.0,89.0,89.0,"3,000"
51,NDFL,2013-06-12.csv,89.0,91.0,90.0,91.0,304
48,NDFL,2013-06-19.csv,91.0,92.0,92.0,92.0,60
48,NDFL,2013-06-25.csv,92.0,93.0,93.0,93.0,44
57,NDFL,2013-06-26.csv,93.0,94.0,94.0,94.0,10
50,NDFL,2013-07-25.csv,94.0,93.0,93.0,93.0,"3,308"
58,NDFL,2013-07-29.csv,93.0,94.0,94.0,94.0,84
58,NDFL,2013-08-14.csv,94.0,96.0,95.0,96.0,324
67,NDFL,2013-08-20.csv,96.0,97.0,97.0,97.0,10
65,NDFL,2013-08-25.csv,97.0,98.0,98.0,98.0,53
64,NDFL,2013-09-02.csv,98.0,102.0,99.0,102.0,262
67,NDFL,2013-09-15.csv,102.0,110.0,104.0,108.0,"1,253"
61,NDFL,2013-09-16.csv,108.0,107.0,107.0,107.0,55
62,NDFL,2013-09-17.csv,107.0,105.0,103.0,103.0,383
66,NDFL,2013-09-22.csv,103.0,105.0,105.0,105.0,159
57,NDFL,2013-09-24.csv,105.0,103.0,103.0,103.0,12
55,NDFL,2013-09-25.csv,103.0,101.0,101.0,101.0,53
55,NDFL,2013-10-03.csv,101.0,100.0,100.0,100.0,10
52,NDFL,2013-10-31.csv,100.0,102.0,102.0,102.0,106
42,NDFL,2013-11-06.csv,102.0,102.0,102.0,102.0,412
69,NDFL,2013-12-11.csv,102.0,102.0,102.0,102.0,"3,373"
62,NDFL,2014-01-20.csv,102.0,93.0,93.0,93.0,"1,177"
67,NDFL,2014-02-06.csv,98.0,104.0,99.0,104.0,40
67,NDFL,2014-02-09.csv,104.0,114.0,106.0,114.0,50
