S.no,Symbol,Date,Open,High,Low,Close,Vol
60,NEF,2017-02-05.csv,10.0,11.0,10.0,10.84,"120,337"
68,NEF,2017-02-06.csv,10.84,10.99,10.58,10.6,"85,609"
65,NEF,2017-02-07.csv,10.6,10.64,10.4,10.47,"299,007"
66,NEF,2017-02-08.csv,10.47,10.25,10.11,10.2,"73,702"
64,NEF,2017-02-09.csv,10.2,10.38,10.15,10.15,"22,336"
62,NEF,2017-02-12.csv,10.15,10.05,9.95,9.95,"201,248"
67,NEF,2017-02-13.csv,9.95,10.1,9.8,10.1,"25,935"
67,NEF,2017-02-14.csv,10.1,10.15,10.0,10.0,"63,863"
69,NEF,2017-02-15.csv,10.0,10.15,10.1,10.1,"59,087"
75,NEF,2017-02-16.csv,10.1,10.3,10.1,10.1,"161,857"
71,NEF,2017-02-19.csv,10.1,10.15,10.0,10.1,"60,435"
68,NEF,2017-02-20.csv,10.1,10.11,10.06,10.11,"133,004"
68,NEF,2017-02-21.csv,10.11,10.2,10.11,10.15,"12,702"
66,NEF,2017-02-22.csv,10.15,10.15,10.1,10.15,"9,188"
63,NEF,2017-02-23.csv,10.15,10.15,10.05,10.05,"43,848"
67,NEF,2017-02-26.csv,10.05,10.19,10.1,10.1,"13,610"
63,NEF,2017-02-28.csv,10.1,10.2,10.0,10.1,"69,132"
64,NEF,2017-03-01.csv,10.1,10.1,10.01,10.05,"49,742"
66,NEF,2017-03-02.csv,10.05,10.15,10.06,10.1,"15,863"
69,NEF,2017-03-05.csv,10.1,10.24,10.05,10.1,"25,438"
71,NEF,2017-03-06.csv,10.1,10.15,10.02,10.15,"32,512"
68,NEF,2017-03-07.csv,10.15,10.13,10.0,10.13,"12,230"
69,NEF,2017-03-09.csv,10.13,10.1,10.0,10.09,"48,580"
66,NEF,2017-03-13.csv,10.09,10.3,10.01,10.11,"28,788"
69,NEF,2017-03-14.csv,10.11,10.1,10.0,10.1,"6,965"
60,NEF,2017-03-15.csv,10.1,10.15,10.0,10.15,"56,220"
68,NEF,2017-03-16.csv,10.15,10.12,10.1,10.1,"2,655"
69,NEF,2017-03-19.csv,10.1,10.14,10.1,10.14,773
70,NEF,2017-03-20.csv,10.14,10.32,10.12,10.32,"9,462"
74,NEF,2017-03-21.csv,10.32,10.5,10.2,10.2,"5,737"
74,NEF,2017-03-22.csv,10.2,10.34,10.2,10.34,"23,820"
72,NEF,2017-03-23.csv,10.34,10.42,10.23,10.3,"10,602"
72,NEF,2017-03-26.csv,10.3,10.43,10.3,10.39,"58,588"
75,NEF,2017-03-28.csv,10.39,10.45,10.1,10.45,"57,764"
76,NEF,2017-03-29.csv,10.45,10.66,10.3,10.3,"14,349"
71,NEF,2017-03-30.csv,10.3,10.45,10.11,10.3,"27,600"
67,NEF,2017-04-02.csv,10.3,10.4,10.19,10.21,"19,713"
72,NEF,2017-04-03.csv,10.21,10.3,10.1,10.15,"22,459"
73,NEF,2017-04-04.csv,10.15,10.25,10.02,10.15,"85,097"
73,NEF,2017-04-06.csv,10.15,10.35,10.15,10.3,"73,459"
72,NEF,2017-04-09.csv,10.3,10.25,10.05,10.25,"60,251"
75,NEF,2017-04-10.csv,10.25,10.25,10.1,10.16,"343,507"
75,NEF,2017-04-11.csv,10.16,10.25,10.04,10.05,"53,914"
77,NEF,2017-04-12.csv,10.05,10.4,10.0,10.3,"34,408"
76,NEF,2017-04-13.csv,10.3,10.3,10.25,10.3,"11,024"
