S.no,Symbol,Date,Open,High,Low,Close,Vol
25,NGBBL,2015-11-25.csv,110.0,120.0,112.0,120.0,50
23,NGBBL,2015-11-26.csv,120.0,132.0,122.0,132.0,"1,000"
23,NGBBL,2015-11-29.csv,132.0,145.0,134.0,145.0,"1,020"
23,NGBBL,2015-11-30.csv,145.0,159.0,147.0,159.0,60
25,NGBBL,2015-12-01.csv,159.0,174.0,162.0,174.0,70
28,NGBBL,2015-12-02.csv,174.0,191.0,177.0,191.0,100
27,NGBBL,2015-12-03.csv,191.0,210.0,194.0,210.0,"5,701"
28,NGBBL,2015-12-06.csv,210.0,231.0,214.0,231.0,"1,020"
29,NGBBL,2015-12-07.csv,231.0,254.0,235.0,254.0,420
31,NGBBL,2015-12-08.csv,254.0,279.4,259.0,279.4,"1,368"
28,NGBBL,2015-12-09.csv,279.4,307.0,284.0,307.0,"5,511"
29,NGBBL,2015-12-10.csv,307.0,337.0,313.0,337.0,974
31,NGBBL,2015-12-13.csv,337.0,370.0,343.0,370.0,"15,750"
26,NGBBL,2015-12-14.csv,370.0,407.0,377.0,407.0,"9,670"
27,NGBBL,2015-12-15.csv,407.0,447.0,410.0,447.0,"82,044"
30,NGBBL,2015-12-16.csv,447.0,480.0,403.0,403.0,"36,004"
27,NGBBL,2015-12-17.csv,403.0,395.0,365.0,367.0,"11,833"
29,NGBBL,2015-12-20.csv,367.0,360.0,331.0,331.0,"2,909"
27,NGBBL,2015-12-21.csv,331.0,325.0,300.0,300.0,"3,662"
28,NGBBL,2015-12-22.csv,300.0,300.0,288.0,299.0,"62,224"
29,NGBBL,2015-12-23.csv,299.0,328.0,293.0,328.0,"33,837"
27,NGBBL,2015-12-24.csv,328.0,360.0,330.0,331.0,"19,474"
28,NGBBL,2015-12-27.csv,331.0,345.0,333.0,339.0,"4,457"
27,NGBBL,2015-12-28.csv,339.0,339.0,333.0,333.0,"2,183"
29,NGBBL,2015-12-29.csv,333.0,336.0,329.0,330.0,"2,338"
28,NGBBL,2015-12-31.csv,330.0,331.0,320.0,320.0,"7,697"
28,NGBBL,2016-01-03.csv,320.0,326.0,314.0,314.0,"9,153"
27,NGBBL,2016-01-04.csv,314.0,313.0,299.0,300.0,"9,497"
29,NGBBL,2016-01-05.csv,300.0,305.0,297.0,301.0,"4,650"
