S.no,Symbol,Date,Open,High,Low,Close,Vol
48,NGBL,2012-01-01.csv,138.0,136.0,136.0,136.0,70
43,NGBL,2012-01-02.csv,136.0,134.0,134.0,134.0,30
38,NGBL,2012-01-05.csv,134.0,134.0,130.0,130.0,60
45,NGBL,2012-01-09.csv,130.0,130.0,130.0,130.0,20
42,NGBL,2012-01-10.csv,130.0,129.0,127.0,127.0,120
47,NGBL,2012-01-11.csv,127.0,125.0,118.0,118.0,350
43,NGBL,2012-01-18.csv,118.0,116.0,114.0,114.0,50
52,NGBL,2012-01-22.csv,114.0,116.0,113.0,114.0,360
52,NGBL,2012-01-23.csv,114.0,115.0,115.0,115.0,90
41,NGBL,2012-01-25.csv,115.0,118.0,117.0,117.0,280
46,NGBL,2012-01-26.csv,117.0,119.0,117.0,119.0,110
53,NGBL,2012-01-31.csv,119.0,119.0,119.0,119.0,40
48,NGBL,2012-02-01.csv,119.0,120.0,120.0,120.0,180
48,NGBL,2012-02-02.csv,120.0,119.0,119.0,119.0,10
48,NGBL,2012-02-05.csv,119.0,121.0,120.0,120.0,100
46,NGBL,2012-02-06.csv,120.0,121.0,120.0,121.0,100
46,NGBL,2012-02-07.csv,121.0,125.0,123.0,125.0,360
45,NGBL,2012-02-08.csv,125.0,127.0,127.0,127.0,20
52,NGBL,2012-02-12.csv,127.0,128.0,127.0,128.0,160
45,NGBL,2012-02-13.csv,128.0,130.0,125.0,128.0,940
41,NGBL,2012-02-14.csv,128.0,130.0,130.0,130.0,80
47,NGBL,2012-02-15.csv,130.0,128.0,128.0,128.0,10
46,NGBL,2012-02-16.csv,128.0,134.0,128.0,134.0,490
47,NGBL,2012-02-21.csv,134.0,132.0,132.0,132.0,10
44,NGBL,2012-02-23.csv,132.0,130.0,128.0,128.0,70
47,NGBL,2012-02-26.csv,128.0,126.0,126.0,126.0,40
51,NGBL,2012-02-27.csv,126.0,129.0,125.0,129.0,110
42,NGBL,2012-02-28.csv,129.0,133.0,129.0,133.0,60
43,NGBL,2012-02-29.csv,133.0,135.0,132.0,132.0,210
45,NGBL,2012-03-01.csv,132.0,132.0,130.0,132.0,90
50,NGBL,2012-03-06.csv,132.0,134.0,131.0,132.0,290
46,NGBL,2012-03-11.csv,132.0,138.0,134.0,136.0,60
42,NGBL,2012-03-12.csv,136.0,138.0,138.0,138.0,100
45,NGBL,2012-03-13.csv,138.0,136.0,135.0,135.0,50
41,NGBL,2012-03-14.csv,135.0,135.0,135.0,135.0,110
37,NGBL,2012-03-15.csv,135.0,136.0,136.0,136.0,50
48,NGBL,2012-03-18.csv,136.0,134.0,132.0,134.0,160
48,NGBL,2012-03-20.csv,134.0,136.0,136.0,136.0,120
43,NGBL,2012-03-26.csv,136.0,138.0,136.0,136.0,250
49,NGBL,2012-03-27.csv,136.0,137.0,135.0,137.0,290
44,NGBL,2012-03-28.csv,137.0,136.0,135.0,136.0,160
44,NGBL,2012-04-01.csv,136.0,138.0,133.0,133.0,100
45,NGBL,2012-04-02.csv,133.0,136.0,135.0,136.0,70
41,NGBL,2012-04-03.csv,136.0,137.0,137.0,137.0,120
48,NGBL,2012-04-04.csv,137.0,135.0,135.0,135.0,50
49,NGBL,2012-04-05.csv,135.0,135.0,135.0,135.0,30
49,NGBL,2012-04-08.csv,135.0,137.0,132.0,132.0,190
37,NGBL,2012-04-09.csv,132.0,130.0,130.0,130.0,50
44,NGBL,2012-04-10.csv,130.0,129.0,127.0,127.0,40
44,NGBL,2012-04-11.csv,127.0,129.0,127.0,127.0,140
40,NGBL,2012-04-25.csv,127.0,129.0,129.0,129.0,10
53,NGBL,2012-04-29.csv,129.0,141.0,135.0,141.0,80
53,NGBL,2012-05-09.csv,141.0,145.0,143.0,145.0,40
52,NGBL,2012-05-10.csv,145.0,149.0,145.0,145.0,630
39,NGBL,2012-05-14.csv,145.0,143.0,139.0,139.0,170
37,NGBL,2012-05-15.csv,139.0,143.0,141.0,142.0,50
46,NGBL,2012-05-17.csv,142.0,140.0,138.0,140.0,90
40,NGBL,2012-05-20.csv,140.0,138.0,138.0,138.0,20
47,NGBL,2012-05-21.csv,138.0,137.0,137.0,137.0,40
49,NGBL,2012-05-22.csv,137.0,135.0,135.0,135.0,100
33,NGBL,2012-05-23.csv,135.0,135.0,133.0,135.0,70
45,NGBL,2012-05-24.csv,135.0,136.0,135.0,135.0,50
25,NGBL,2012-05-29.csv,135.0,133.0,133.0,133.0,40
27,NGBL,2012-05-30.csv,133.0,131.0,131.0,131.0,50
33,NGBL,2012-05-31.csv,131.0,129.0,127.0,127.0,50
33,NGBL,2012-06-03.csv,127.0,127.0,127.0,127.0,10
49,NGBL,2012-06-05.csv,127.0,125.0,125.0,125.0,80
43,NGBL,2012-06-06.csv,125.0,123.0,121.0,121.0,200
42,NGBL,2012-06-07.csv,121.0,121.0,121.0,121.0,60
44,NGBL,2012-06-11.csv,121.0,123.0,121.0,121.0,170
45,NGBL,2012-06-12.csv,121.0,122.0,122.0,122.0,30
45,NGBL,2012-06-13.csv,122.0,122.0,121.0,122.0,60
45,NGBL,2012-06-14.csv,122.0,124.0,121.0,121.0,260
44,NGBL,2012-06-17.csv,121.0,120.0,119.0,120.0,110
44,NGBL,2012-06-18.csv,120.0,118.0,116.0,116.0,140
46,NGBL,2012-06-19.csv,116.0,118.0,118.0,118.0,90
47,NGBL,2012-06-20.csv,118.0,118.0,118.0,118.0,10
44,NGBL,2012-06-21.csv,118.0,119.0,118.0,119.0,90
45,NGBL,2012-06-26.csv,119.0,123.0,121.0,123.0,120
44,NGBL,2012-06-27.csv,123.0,121.0,121.0,121.0,30
42,NGBL,2012-06-28.csv,121.0,121.0,119.0,121.0,40
44,NGBL,2012-07-01.csv,121.0,119.0,119.0,119.0,60
43,NGBL,2012-07-04.csv,119.0,118.0,118.0,118.0,20
43,NGBL,2012-07-05.csv,118.0,120.0,120.0,120.0,10
44,NGBL,2012-07-09.csv,120.0,122.0,122.0,122.0,10
42,NGBL,2012-07-10.csv,122.0,121.0,120.0,121.0,50
48,NGBL,2012-07-11.csv,121.0,123.0,122.0,123.0,70
50,NGBL,2012-07-12.csv,123.0,121.0,121.0,121.0,60
46,NGBL,2012-07-16.csv,121.0,119.0,119.0,119.0,30
49,NGBL,2012-07-18.csv,119.0,118.0,118.0,118.0,80
48,NGBL,2012-07-22.csv,118.0,122.0,120.0,122.0,50
44,NGBL,2012-07-24.csv,122.0,123.0,123.0,123.0,20
49,NGBL,2012-07-25.csv,123.0,129.0,125.0,129.0,90
50,NGBL,2012-07-26.csv,129.0,137.0,131.0,137.0,70
42,NGBL,2012-07-29.csv,137.0,135.0,132.0,132.0,120
50,NGBL,2012-07-30.csv,132.0,135.0,130.0,135.0,340
55,NGBL,2012-07-31.csv,135.0,133.0,129.0,129.0,50
54,NGBL,2012-08-01.csv,129.0,127.0,127.0,127.0,100
45,NGBL,2012-08-05.csv,127.0,127.0,125.0,126.0,90
53,NGBL,2012-08-06.csv,126.0,132.0,128.0,132.0,90
55,NGBL,2012-08-07.csv,132.0,134.0,132.0,132.0,70
51,NGBL,2012-08-08.csv,132.0,131.0,131.0,131.0,30
52,NGBL,2012-08-12.csv,131.0,130.0,129.0,130.0,100
48,NGBL,2012-08-13.csv,130.0,131.0,129.0,131.0,50
47,NGBL,2012-08-15.csv,131.0,133.0,133.0,133.0,20
54,NGBL,2012-08-21.csv,133.0,131.0,131.0,131.0,10
51,NGBL,2012-08-23.csv,131.0,137.0,129.0,133.0,380
52,NGBL,2012-08-26.csv,133.0,134.0,133.0,134.0,40
51,NGBL,2012-08-27.csv,134.0,142.0,136.0,142.0,270
55,NGBL,2012-08-28.csv,142.0,143.0,139.0,139.0,230
51,NGBL,2012-08-29.csv,139.0,141.0,137.0,141.0,120
54,NGBL,2012-08-30.csv,141.0,140.0,139.0,140.0,30
54,NGBL,2012-09-02.csv,140.0,141.0,140.0,141.0,70
53,NGBL,2012-09-03.csv,141.0,141.0,141.0,141.0,10
52,NGBL,2012-09-04.csv,141.0,140.0,140.0,140.0,10
52,NGBL,2012-09-05.csv,140.0,142.0,140.0,142.0,40
56,NGBL,2012-09-06.csv,142.0,141.0,140.0,141.0,50
52,NGBL,2012-09-09.csv,141.0,143.0,140.0,141.0,240
57,NGBL,2012-09-10.csv,141.0,139.0,139.0,139.0,10
60,NGBL,2012-09-11.csv,139.0,140.0,136.0,137.0,160
56,NGBL,2012-09-12.csv,137.0,137.0,137.0,137.0,50
57,NGBL,2012-09-13.csv,137.0,135.0,135.0,135.0,30
60,NGBL,2012-09-17.csv,135.0,139.0,136.0,139.0,120
54,NGBL,2012-09-18.csv,139.0,139.0,139.0,139.0,40
61,NGBL,2012-09-19.csv,139.0,141.0,139.0,141.0,110
56,NGBL,2012-09-23.csv,141.0,139.0,139.0,139.0,30
52,NGBL,2012-09-24.csv,139.0,137.0,137.0,137.0,60
