S.no,Symbol,Date,Open,High,Low,Close,Vol
87,NHDL,2017-11-15.csv,293.0,322.0,298.0,322.0,"2,490"
91,NHDL,2017-11-16.csv,322.0,328.0,290.0,306.0,"16,351"
88,NHDL,2017-11-19.csv,306.0,300.0,276.0,278.0,"5,206"
92,NHDL,2017-11-20.csv,278.0,275.0,251.0,253.0,"1,770"
92,NHDL,2017-11-21.csv,253.0,252.0,247.0,251.0,"1,680"
93,NHDL,2017-11-22.csv,251.0,264.0,254.0,254.0,580
91,NHDL,2017-11-23.csv,254.0,259.0,251.0,252.0,420
88,NHDL,2017-11-26.csv,252.0,277.0,251.0,265.0,"1,430"
91,NHDL,2017-11-27.csv,265.0,271.0,254.0,265.0,"2,928"
94,NHDL,2017-11-28.csv,265.0,265.0,260.0,265.0,376
93,NHDL,2017-11-29.csv,265.0,270.0,260.0,260.0,"1,820"
92,NHDL,2017-11-30.csv,260.0,264.0,259.0,261.0,"2,930"
88,NHDL,2017-12-04.csv,261.0,261.0,252.0,255.0,600
92,NHDL,2017-12-05.csv,255.0,254.0,251.0,253.0,420
92,NHDL,2017-12-06.csv,253.0,255.0,249.0,255.0,430
89,NHDL,2017-12-10.csv,255.0,251.0,250.0,250.0,"2,287"
88,NHDL,2017-12-11.csv,250.0,249.0,245.0,245.0,240
89,NHDL,2017-12-12.csv,245.0,253.0,241.0,253.0,160
91,NHDL,2017-12-13.csv,253.0,255.0,242.0,246.0,843
86,NHDL,2017-12-14.csv,246.0,242.0,240.0,240.0,70
92,NHDL,2017-12-17.csv,240.0,242.0,236.0,240.0,220
91,NHDL,2017-12-18.csv,240.0,241.0,235.0,235.0,110
91,NHDL,2017-12-19.csv,235.0,236.0,232.0,232.0,210
89,NHDL,2017-12-20.csv,232.0,232.0,228.0,229.0,500
85,NHDL,2017-12-21.csv,229.0,229.0,226.0,226.0,240
88,NHDL,2017-12-24.csv,226.0,227.0,218.0,221.0,"1,195"
92,NHDL,2017-12-26.csv,221.0,217.0,213.0,215.0,"1,570"
89,NHDL,2017-12-27.csv,215.0,211.0,203.0,207.0,100
92,NHDL,2017-12-28.csv,207.0,207.0,203.0,206.0,280
89,NHDL,2017-12-31.csv,206.0,215.0,200.0,211.0,940
92,NHDL,2018-01-01.csv,211.0,217.0,211.0,217.0,80
95,NHDL,2018-01-02.csv,217.0,221.0,213.0,218.0,130
90,NHDL,2018-01-03.csv,218.0,216.0,214.0,216.0,40
89,NHDL,2018-01-04.csv,216.0,217.0,212.0,217.0,50
89,NHDL,2018-01-07.csv,217.0,220.0,216.0,220.0,160
90,NHDL,2018-01-08.csv,220.0,229.0,220.0,229.0,270
91,NHDL,2018-01-09.csv,229.0,229.0,227.0,229.0,110
90,NHDL,2018-01-10.csv,229.0,229.0,221.0,229.0,90
87,NHDL,2018-01-14.csv,229.0,230.0,222.0,222.0,90
89,NHDL,2018-01-16.csv,222.0,218.0,215.0,215.0,90
87,NHDL,2018-01-17.csv,215.0,219.0,213.0,216.0,423
92,NHDL,2018-01-21.csv,216.0,218.0,212.0,215.0,220
92,NHDL,2018-01-22.csv,215.0,218.0,211.0,216.0,120
87,NHDL,2018-01-23.csv,216.0,214.0,212.0,213.0,110
88,NHDL,2018-01-24.csv,213.0,220.0,214.0,220.0,340
92,NHDL,2018-01-25.csv,220.0,220.0,216.0,216.0,90
91,NHDL,2018-01-28.csv,216.0,215.0,212.0,215.0,100
92,NHDL,2018-01-29.csv,215.0,218.0,213.0,215.0,250
90,NHDL,2018-01-31.csv,215.0,213.0,208.0,210.0,160
88,NHDL,2018-02-01.csv,210.0,207.0,206.0,207.0,70
89,NHDL,2018-02-04.csv,207.0,209.0,207.0,207.0,300
87,NHDL,2018-02-05.csv,207.0,206.0,204.0,204.0,70
87,NHDL,2018-02-06.csv,204.0,204.0,204.0,204.0,40
85,NHDL,2018-02-07.csv,204.0,208.0,204.0,207.0,880
84,NHDL,2018-02-08.csv,207.0,209.0,202.0,207.0,70
88,NHDL,2018-02-11.csv,207.0,211.0,208.0,211.0,140
88,NHDL,2018-02-12.csv,211.0,208.0,208.0,208.0,30
88,NHDL,2018-02-14.csv,208.0,215.0,200.0,215.0,330
94,NHDL,2018-02-15.csv,215.0,222.0,216.0,218.0,190
88,NHDL,2018-02-18.csv,222.0,222.0,211.0,211.0,520
91,NHDL,2018-02-20.csv,210.0,214.0,210.0,212.0,130
77,NHDL,2018-02-21.csv,208.0,214.0,208.0,214.0,100
88,NHDL,2018-02-22.csv,210.0,214.0,210.0,213.0,540
79,NHDL,2018-02-25.csv,210.0,210.0,203.0,210.0,160
82,NHDL,2018-02-26.csv,213.0,213.0,205.0,206.0,50
84,NHDL,2018-02-27.csv,206.0,206.0,206.0,206.0,10
86,NHDL,2018-02-28.csv,202.0,205.0,202.0,203.0,70
79,NHDL,2018-03-04.csv,199.0,199.0,196.0,196.0,170
91,NHDL,2018-03-06.csv,199.0,199.0,187.0,190.0,220
87,NHDL,2018-03-07.csv,187.0,196.0,184.0,196.0,70
87,NHDL,2018-03-11.csv,194.0,197.0,194.0,194.0,"1,866"
86,NHDL,2018-03-12.csv,197.0,198.0,194.0,198.0,130
84,NHDL,2018-03-13.csv,199.0,199.0,199.0,199.0,10
83,NHDL,2018-03-14.csv,199.0,199.0,199.0,199.0,10
81,NHDL,2018-03-15.csv,196.0,196.0,195.0,195.0,40
82,NHDL,2018-03-18.csv,192.0,196.0,189.0,189.0,110
83,NHDL,2018-03-19.csv,186.0,187.0,186.0,186.0,80
86,NHDL,2018-03-20.csv,183.0,184.0,180.0,180.0,80
83,NHDL,2018-03-21.csv,180.0,180.0,177.0,180.0,80
85,NHDL,2018-03-22.csv,177.0,180.0,177.0,180.0,70
84,NHDL,2018-03-26.csv,180.0,180.0,177.0,180.0,30
92,NHDL,2018-03-27.csv,177.0,180.0,174.0,180.0,70
87,NHDL,2018-03-28.csv,180.0,180.0,180.0,180.0,30
91,NHDL,2018-03-29.csv,180.0,183.0,180.0,183.0,170
86,NHDL,2018-04-01.csv,183.0,192.0,183.0,189.0,280
83,NHDL,2018-04-02.csv,186.0,189.0,185.0,189.0,70
86,NHDL,2018-04-03.csv,192.0,192.0,190.0,192.0,160
91,NHDL,2018-04-04.csv,195.0,195.0,192.0,195.0,60
92,NHDL,2018-04-05.csv,192.0,196.0,189.0,191.0,150
99,NHDL,2018-04-08.csv,188.0,193.0,188.0,193.0,180
93,NHDL,2018-04-09.csv,192.0,198.0,189.0,189.0,710
85,NHDL,2018-04-10.csv,186.0,190.0,184.0,190.0,280
86,NHDL,2018-04-11.csv,192.0,202.0,192.0,202.0,250
88,NHDL,2018-04-12.csv,199.0,200.0,195.0,195.0,350
85,NHDL,2018-04-15.csv,192.0,192.0,189.0,190.0,80
94,NHDL,2018-04-16.csv,190.0,191.0,188.0,189.0,190
91,NHDL,2018-04-17.csv,190.0,199.0,190.0,195.0,100
94,NHDL,2018-04-18.csv,192.0,208.0,190.0,204.0,140
93,NHDL,2018-04-19.csv,204.0,214.0,202.0,214.0,250
92,NHDL,2018-04-22.csv,218.0,218.0,210.0,210.0,100
94,NHDL,2018-04-23.csv,214.0,215.0,206.0,210.0,180
95,NHDL,2018-04-24.csv,208.0,208.0,204.0,205.0,540
88,NHDL,2018-04-25.csv,201.0,205.0,201.0,201.0,190
87,NHDL,2018-04-26.csv,197.0,197.0,195.0,196.0,200
87,NHDL,2018-04-29.csv,193.0,195.0,193.0,195.0,60
85,NHDL,2018-05-02.csv,192.0,192.0,187.0,187.0,270
95,NHDL,2018-05-03.csv,184.0,190.0,184.0,190.0,130
86,NHDL,2018-05-06.csv,188.0,191.0,188.0,188.0,240
84,NHDL,2018-05-07.csv,188.0,188.0,179.0,185.0,200
88,NHDL,2018-05-08.csv,185.0,186.0,180.0,186.0,390
86,NHDL,2018-05-09.csv,183.0,186.0,181.0,185.0,160
88,NHDL,2018-05-10.csv,182.0,187.0,182.0,186.0,270
87,NHDL,2018-05-14.csv,183.0,184.0,181.0,182.0,240
77,NHDL,2018-05-15.csv,181.0,181.0,179.0,180.0,170
84,NHDL,2018-05-16.csv,179.0,180.0,179.0,180.0,40
82,NHDL,2018-05-17.csv,180.0,183.0,180.0,183.0,60
88,NHDL,2018-05-20.csv,181.0,184.0,181.0,184.0,140
89,NHDL,2018-05-21.csv,185.0,185.0,180.0,182.0,270
85,NHDL,2018-05-22.csv,183.0,183.0,181.0,181.0,20
88,NHDL,2018-05-23.csv,178.0,179.0,175.0,175.0,50
89,NHDL,2018-05-24.csv,173.0,179.0,173.0,176.0,40
86,NHDL,2018-05-27.csv,178.0,178.0,173.0,177.0,140
92,NHDL,2018-05-28.csv,177.0,177.0,174.0,175.0,150
90,NHDL,2018-05-29.csv,172.0,175.0,172.0,174.0,60
91,NHDL,2018-05-30.csv,171.0,175.0,171.0,175.0,360
91,NHDL,2018-05-31.csv,176.0,176.0,174.0,175.0,90
84,NHDL,2018-06-03.csv,176.0,176.0,165.0,165.0,790
83,NHDL,2018-06-04.csv,162.0,166.0,162.0,164.0,80
74,NHDL,2018-06-06.csv,163.0,163.0,163.0,163.0,10
90,NHDL,2018-06-07.csv,161.0,162.0,161.0,161.0,190
87,NHDL,2018-06-10.csv,158.0,168.0,158.0,168.0,70
