S.no,Symbol,Date,Open,High,Low,Close,Vol
42,NHMF,2012-01-25.csv,231.0,227.0,227.0,227.0,92
44,NHMF,2012-04-18.csv,227.0,223.0,219.0,219.0,255
47,NHMF,2012-11-21.csv,219.0,215.0,198.0,198.0,217
51,NHMF,2013-04-08.csv,198.0,195.0,192.0,192.0,61
54,NHMF,2013-04-09.csv,192.0,189.0,189.0,189.0,17
57,NHMF,2013-11-28.csv,189.0,186.0,186.0,186.0,"28,031"
68,NHMF,2013-12-08.csv,186.0,183.0,183.0,183.0,50
72,NHMF,2014-01-26.csv,183.0,180.0,177.0,177.0,489
68,NHMF,2014-01-27.csv,177.0,175.0,175.0,175.0,282
64,NHMF,2014-02-11.csv,175.0,172.0,172.0,172.0,45
71,NHMF,2014-02-12.csv,172.0,169.0,166.0,166.0,90
63,NHMF,2014-02-13.csv,166.0,163.0,163.0,163.0,113
71,NHMF,2014-02-17.csv,163.0,160.0,157.0,157.0,104
69,NHMF,2014-02-24.csv,157.0,154.0,154.0,154.0,327
55,NHMF,2014-03-04.csv,154.0,151.0,151.0,151.0,30
70,NHMF,2014-03-09.csv,151.0,148.0,148.0,148.0,117
64,NHMF,2014-03-11.csv,148.0,146.0,146.0,146.0,227
108,NHMF,2014-03-13.csv,146.0,144.0,144.0,144.0,119
65,NHMF,2014-03-23.csv,144.0,142.0,138.0,138.0,981
67,NHMF,2014-03-24.csv,138.0,136.0,135.0,135.0,323
66,NHMF,2014-03-25.csv,135.0,133.0,128.0,128.0,"2,124"
73,NHMF,2014-04-01.csv,128.0,130.0,130.0,130.0,163
74,NHMF,2014-04-02.csv,130.0,132.0,132.0,132.0,893
73,NHMF,2014-04-03.csv,132.0,132.0,132.0,132.0,"27,731"
63,NHMF,2014-04-07.csv,132.0,134.0,134.0,134.0,333
66,NHMF,2014-04-10.csv,134.0,138.0,136.0,138.0,146
69,NHMF,2014-04-13.csv,138.0,140.0,140.0,140.0,672
69,NHMF,2014-04-20.csv,140.0,142.0,142.0,142.0,50
71,NHMF,2014-04-29.csv,142.0,156.0,144.0,156.0,60
66,NHMF,2014-04-30.csv,156.0,171.0,159.0,171.0,267
67,NHMF,2014-05-04.csv,171.0,188.0,174.0,188.0,60
64,NHMF,2014-05-05.csv,188.0,206.0,191.0,192.0,"4,031"
73,NHMF,2014-05-06.csv,192.0,211.0,186.0,186.0,"8,573"
76,NHMF,2014-05-07.csv,186.0,184.0,184.0,184.0,"3,402"
74,NHMF,2014-05-11.csv,184.0,193.0,185.0,193.0,"4,910"
73,NHMF,2014-05-12.csv,193.0,206.0,196.0,206.0,450
74,NHMF,2014-05-13.csv,206.0,209.0,198.0,198.0,"1,972"
