S.no,Symbol,Date,Open,High,Low,Close,Vol
60,NICA,2013-07-15.csv,504.0,554.0,529.0,554.0,40
53,NICA,2013-07-16.csv,554.0,0.0,0.0,554.0,"8,958"
54,NICA,2013-07-17.csv,554.0,609.0,565.0,609.0,150
58,NICA,2013-07-18.csv,609.0,669.0,621.0,669.0,"1,706"
52,NICA,2013-07-21.csv,669.0,735.0,682.0,735.0,"12,269"
62,NICA,2013-07-22.csv,735.0,808.0,736.0,748.0,"50,250"
60,NICA,2013-07-23.csv,748.0,750.0,736.0,737.0,"23,541"
56,NICA,2013-07-24.csv,737.0,739.0,697.0,710.0,"25,879"
53,NICA,2013-07-25.csv,710.0,705.0,690.0,697.0,"12,985"
53,NICA,2013-07-28.csv,697.0,705.0,690.0,700.0,"12,444"
62,NICA,2013-07-29.csv,700.0,714.0,700.0,713.0,"12,604"
57,NICA,2013-07-30.csv,713.0,739.0,710.0,733.0,"11,888"
59,NICA,2013-07-31.csv,733.0,743.0,720.0,732.0,"16,045"
60,NICA,2013-08-01.csv,732.0,746.0,722.0,726.0,"16,832"
64,NICA,2013-08-04.csv,726.0,730.0,710.0,710.0,"13,593"
58,NICA,2013-08-05.csv,710.0,710.0,690.0,702.0,"10,674"
61,NICA,2013-08-06.csv,702.0,707.0,662.0,700.0,"10,700"
64,NICA,2013-08-07.csv,700.0,707.0,686.0,690.0,"9,805"
60,NICA,2013-08-08.csv,690.0,690.0,670.0,670.0,"21,368"
65,NICA,2013-08-11.csv,670.0,670.0,660.0,663.0,"6,558"
69,NICA,2013-08-12.csv,663.0,664.0,655.0,657.0,"5,132"
66,NICA,2013-08-13.csv,657.0,665.0,650.0,658.0,"4,580"
63,NICA,2013-08-14.csv,658.0,655.0,628.0,628.0,"10,225"
70,NICA,2013-08-15.csv,628.0,628.0,604.0,614.0,"10,293"
60,NICA,2013-08-18.csv,614.0,642.0,614.0,638.0,"8,933"
66,NICA,2013-08-19.csv,638.0,649.0,632.0,640.0,"4,023"
72,NICA,2013-08-20.csv,640.0,652.0,635.0,647.0,"11,568"
69,NICA,2013-08-25.csv,647.0,647.0,638.0,644.0,"6,208"
65,NICA,2013-08-26.csv,644.0,645.0,628.0,631.0,"6,237"
64,NICA,2013-08-27.csv,631.0,650.0,626.0,640.0,"11,433"
65,NICA,2013-08-29.csv,640.0,645.0,631.0,638.0,"23,136"
67,NICA,2013-09-01.csv,638.0,638.0,630.0,635.0,"7,678"
68,NICA,2013-09-02.csv,635.0,641.0,626.0,635.0,"10,758"
67,NICA,2013-09-03.csv,635.0,638.0,629.0,630.0,"20,263"
68,NICA,2013-09-04.csv,630.0,642.0,622.0,625.0,"3,978"
66,NICA,2013-09-05.csv,625.0,625.0,621.0,625.0,"4,271"
61,NICA,2013-09-08.csv,625.0,634.0,620.0,621.0,"21,774"
63,NICA,2013-09-09.csv,621.0,634.0,620.0,633.0,"8,818"
69,NICA,2013-09-10.csv,633.0,638.0,620.0,620.0,"5,479"
68,NICA,2013-09-11.csv,620.0,625.0,616.0,625.0,"8,212"
58,NICA,2013-09-12.csv,625.0,622.0,619.0,622.0,"1,797"
72,NICA,2013-09-15.csv,622.0,623.0,618.0,618.0,"4,941"
64,NICA,2013-09-16.csv,618.0,617.0,605.0,615.0,"3,632"
66,NICA,2013-09-17.csv,615.0,614.0,608.0,611.0,"6,735"
63,NICA,2013-09-19.csv,611.0,610.0,600.0,610.0,"5,987"
70,NICA,2013-09-22.csv,598.0,598.0,587.0,594.0,"2,361"
59,NICA,2013-09-23.csv,594.0,596.0,584.0,596.0,"6,184"
61,NICA,2013-09-24.csv,596.0,604.0,597.0,603.0,"5,223"
59,NICA,2013-09-25.csv,603.0,598.0,590.0,598.0,"3,376"
56,NICA,2013-09-26.csv,598.0,605.0,593.0,594.0,"2,222"
64,NICA,2013-09-29.csv,594.0,594.0,588.0,593.0,"5,097"
58,NICA,2013-09-30.csv,593.0,590.0,581.0,584.0,"2,382"
58,NICA,2013-10-01.csv,584.0,589.0,581.0,584.0,"3,171"
57,NICA,2013-10-02.csv,584.0,596.0,579.0,595.0,"1,017"
59,NICA,2013-10-03.csv,595.0,595.0,584.0,595.0,"2,064"
52,NICA,2013-10-06.csv,595.0,607.0,587.0,607.0,"2,617"
59,NICA,2013-10-07.csv,607.0,646.0,599.0,622.0,431
55,NICA,2013-10-08.csv,622.0,617.0,605.0,615.0,"1,616"
45,NICA,2013-10-09.csv,615.0,615.0,595.0,615.0,944
47,NICA,2013-10-10.csv,615.0,620.0,603.0,620.0,"2,612"
35,NICA,2013-10-17.csv,620.0,647.0,620.0,635.0,"2,059"
50,NICA,2013-10-20.csv,635.0,663.0,635.0,660.0,"7,738"
52,NICA,2013-10-21.csv,660.0,693.0,652.0,666.0,"9,821"
59,NICA,2013-10-22.csv,666.0,665.0,645.0,645.0,"9,367"
53,NICA,2013-10-23.csv,645.0,644.0,635.0,640.0,"3,207"
56,NICA,2013-10-24.csv,640.0,641.0,630.0,638.0,"4,392"
55,NICA,2013-10-27.csv,638.0,643.0,610.0,627.0,"20,010"
49,NICA,2013-10-28.csv,627.0,621.0,613.0,620.0,"4,234"
56,NICA,2013-10-29.csv,620.0,640.0,618.0,630.0,"7,580"
54,NICA,2013-10-30.csv,630.0,641.0,616.0,641.0,"4,278"
56,NICA,2013-10-31.csv,641.0,645.0,622.0,630.0,"13,446"
46,NICA,2013-11-06.csv,630.0,627.0,615.0,627.0,"1,100"
59,NICA,2013-11-07.csv,627.0,655.0,628.0,635.0,"3,833"
9,NICA,2013-11-10.csv,635.0,642.0,630.0,630.0,"5,508"
48,NICA,2013-11-11.csv,630.0,654.0,627.0,654.0,"5,107"
51,NICA,2013-11-12.csv,654.0,685.0,650.0,655.0,"6,554"
55,NICA,2013-11-13.csv,655.0,667.0,636.0,645.0,"17,494"
55,NICA,2013-11-14.csv,645.0,647.0,639.0,647.0,"6,439"
32,NICA,2013-11-21.csv,647.0,708.0,659.0,695.0,"7,277"
55,NICA,2013-11-24.csv,695.0,764.0,687.0,698.0,"18,544"
57,NICA,2013-11-25.csv,698.0,698.0,664.0,668.0,"9,430"
58,NICA,2013-11-26.csv,668.0,685.0,660.0,671.0,"7,622"
60,NICA,2013-11-27.csv,671.0,675.0,651.0,658.0,"2,173"
60,NICA,2013-11-28.csv,658.0,660.0,640.0,651.0,"7,138"
58,NICA,2013-12-01.csv,651.0,662.0,645.0,650.0,"107,794"
60,NICA,2013-12-02.csv,650.0,693.0,650.0,670.0,"31,973"
65,NICA,2013-12-03.csv,670.0,695.0,682.0,692.0,"21,886"
66,NICA,2013-12-04.csv,692.0,732.0,691.0,715.0,"31,863"
73,NICA,2013-12-05.csv,715.0,743.0,706.0,724.0,"60,375"
71,NICA,2013-12-08.csv,724.0,726.0,700.0,710.0,"15,956"
72,NICA,2013-12-09.csv,710.0,719.0,705.0,709.0,"5,129"
67,NICA,2013-12-10.csv,709.0,709.0,691.0,700.0,"7,355"
72,NICA,2013-12-11.csv,700.0,720.0,703.0,711.0,"16,483"
69,NICA,2013-12-12.csv,711.0,724.0,697.0,724.0,"30,679"
66,NICA,2013-12-15.csv,724.0,745.0,709.0,742.0,"59,921"
61,NICA,2013-12-16.csv,742.0,816.0,756.0,816.0,"36,619"
58,NICA,2013-12-18.csv,816.0,897.0,824.0,897.0,"41,249"
63,NICA,2013-12-19.csv,897.0,900.0,808.0,879.0,"60,364"
71,NICA,2013-12-22.csv,875.0,875.0,810.0,836.0,"52,786"
64,NICA,2013-12-23.csv,836.0,825.0,775.0,783.0,"29,079"
67,NICA,2013-12-24.csv,783.0,832.0,764.0,803.0,"24,385"
63,NICA,2013-12-26.csv,803.0,860.0,815.0,815.0,"22,385"
60,NICA,2013-12-29.csv,815.0,818.0,794.0,815.0,"28,367"
58,NICA,2013-12-31.csv,815.0,816.0,799.0,806.0,"21,248"
