S.no,Symbol,Date,Open,High,Low,Close,Vol
65,NICAP,2013-08-07.csv,700.0,700.0,700.0,700.0,"11,116"
61,NICAP,2013-11-27.csv,700.0,686.0,686.0,686.0,"8,571"
68,NICAP,2014-01-20.csv,686.0,673.0,673.0,673.0,"5,828"
61,NICAP,2014-03-18.csv,673.0,673.0,673.0,673.0,"5,000"
83,NICAP,2014-07-15.csv,673.0,686.0,686.0,686.0,"7,286"
89,NICAP,2014-07-16.csv,686.0,686.0,686.0,686.0,"36,428"
86,NICAP,2014-07-20.csv,686.0,699.0,699.0,699.0,"7,285"
74,NICAP,2014-08-21.csv,699.0,686.0,660.0,660.0,"4,371"
81,NICAP,2014-08-24.csv,660.0,647.0,623.0,623.0,"9,290"
70,NICAP,2014-08-25.csv,623.0,611.0,588.0,588.0,"44,266"
73,NICAP,2014-11-10.csv,588.0,577.0,577.0,577.0,"3,686"
69,NICAP,2014-11-18.csv,577.0,577.0,577.0,577.0,"1,800"
84,NICAP,2017-06-18.csv,250.0,250.0,250.0,250.0,"110,052"
81,NICAP,2017-07-05.csv,250.0,250.0,250.0,250.0,"7,279"
89,NICAP,2017-07-20.csv,250.0,250.0,250.0,250.0,"2,996"
88,NICAP,2018-02-26.csv,191.0,191.0,191.0,191.0,"3,269"
92,NICAP,2018-06-26.csv,175.0,175.0,175.0,175.0,"4,367"
91,NICAP,2018-07-03.csv,175.0,175.0,175.0,175.0,"11,128"
94,NICAP,2018-10-08.csv,230.0,230.0,230.0,230.0,"10,546"
93,NICAP,2018-10-10.csv,230.0,230.0,230.0,230.0,654
98,NICAP,2019-01-16.csv,250.0,250.0,250.0,250.0,"76,467"
92,NICAP,2019-01-21.csv,250.0,250.0,250.0,250.0,"76,467"
92,NICAP,2019-01-27.csv,250.0,250.0,250.0,250.0,"30,587"
97,NICAP,2019-02-19.csv,250.0,250.0,250.0,250.0,"3,225"
97,NICAP,2019-05-20.csv,272.0,272.0,272.0,272.0,"2,823"
97,NICAP,2019-06-27.csv,272.0,272.0,272.0,272.0,323
97,NICAP,2019-09-10.csv,246.0,246.0,246.0,246.0,"15,000"
91,NICAP,2019-11-04.csv,246.0,246.0,246.0,246.0,"5,000"
91,NICAP,2019-12-03.csv,250.0,250.0,250.0,250.0,"19,490"
67,NICAP,2020-03-22.csv,250.0,250.0,250.0,250.0,"34,555"
