S.no,Symbol,Date,Open,High,Low,Close,Vol
51,NICB,2012-01-01.csv,393.0,403.0,396.0,403.0,300
46,NICB,2012-01-02.csv,403.0,417.0,405.0,417.0,"2,303"
48,NICB,2012-01-03.csv,417.0,428.0,413.0,414.0,"2,425"
48,NICB,2012-01-04.csv,414.0,415.0,415.0,415.0,100
40,NICB,2012-01-05.csv,415.0,420.0,415.0,420.0,223
40,NICB,2012-01-08.csv,420.0,415.0,406.0,408.0,"1,043"
45,NICB,2012-01-10.csv,420.0,411.0,403.0,403.0,"1,253"
50,NICB,2012-01-11.csv,403.0,403.0,403.0,403.0,345
49,NICB,2012-01-12.csv,403.0,406.0,403.0,406.0,785
38,NICB,2012-01-16.csv,406.0,407.0,403.0,403.0,303
45,NICB,2012-01-17.csv,403.0,409.0,401.0,409.0,611
45,NICB,2012-01-18.csv,409.0,408.0,403.0,408.0,490
33,NICB,2012-01-19.csv,408.0,401.0,401.0,401.0,210
55,NICB,2012-01-22.csv,401.0,403.0,397.0,397.0,"2,572"
54,NICB,2012-01-23.csv,397.0,404.0,397.0,399.0,736
43,NICB,2012-01-25.csv,399.0,406.0,397.0,399.0,802
49,NICB,2012-01-26.csv,399.0,403.0,400.0,403.0,"1,616"
51,NICB,2012-01-29.csv,403.0,411.0,399.0,400.0,"1,149"
55,NICB,2012-01-31.csv,400.0,401.0,395.0,395.0,"1,603"
51,NICB,2012-02-01.csv,395.0,398.0,394.0,394.0,484
50,NICB,2012-02-02.csv,394.0,390.0,390.0,390.0,292
51,NICB,2012-02-05.csv,390.0,395.0,390.0,390.0,"1,107"
48,NICB,2012-02-06.csv,390.0,387.0,384.0,385.0,"1,261"
49,NICB,2012-02-07.csv,385.0,385.0,380.0,380.0,"1,681"
48,NICB,2012-02-08.csv,380.0,379.0,375.0,379.0,897
38,NICB,2012-02-09.csv,379.0,378.0,375.0,377.0,693
55,NICB,2012-02-12.csv,377.0,379.0,370.0,376.0,"1,102"
48,NICB,2012-02-13.csv,376.0,380.0,376.0,380.0,686
43,NICB,2012-02-14.csv,380.0,380.0,375.0,380.0,90
49,NICB,2012-02-15.csv,380.0,381.0,380.0,380.0,446
49,NICB,2012-02-16.csv,380.0,387.0,375.0,387.0,"1,628"
50,NICB,2012-02-21.csv,387.0,380.0,376.0,378.0,353
46,NICB,2012-02-23.csv,378.0,385.0,382.0,382.0,127
50,NICB,2012-02-26.csv,382.0,380.0,373.0,374.0,"1,860"
53,NICB,2012-02-27.csv,374.0,378.0,375.0,375.0,450
45,NICB,2012-02-28.csv,375.0,382.0,378.0,378.0,110
45,NICB,2012-02-29.csv,378.0,385.0,385.0,385.0,30
47,NICB,2012-03-01.csv,385.0,395.0,388.0,392.0,184
46,NICB,2012-03-04.csv,392.0,385.0,383.0,383.0,"1,680"
47,NICB,2012-03-05.csv,383.0,390.0,389.0,389.0,131
52,NICB,2012-03-06.csv,389.0,390.0,389.0,390.0,114
49,NICB,2012-03-11.csv,390.0,388.0,380.0,381.0,"1,083"
45,NICB,2012-03-12.csv,381.0,380.0,376.0,376.0,276
48,NICB,2012-03-13.csv,376.0,377.0,377.0,377.0,21
43,NICB,2012-03-14.csv,377.0,381.0,375.0,375.0,"1,123"
39,NICB,2012-03-15.csv,375.0,378.0,372.0,378.0,324
50,NICB,2012-03-18.csv,378.0,380.0,371.0,371.0,505
45,NICB,2012-03-19.csv,371.0,375.0,372.0,372.0,310
50,NICB,2012-03-20.csv,372.0,385.0,371.0,371.0,"1,360"
51,NICB,2012-03-21.csv,371.0,380.0,366.0,380.0,341
