S.no,Symbol,Date,Open,High,Low,Close,Vol
95,NICBF,2019-11-11.csv,10.0,10.3,10.0,10.3,"50,000"
84,NICBF,2019-11-17.csv,10.1,10.1,10.1,10.1,200
88,NICBF,2019-11-28.csv,9.9,9.9,9.9,9.9,"2,100"
94,NICBF,2019-12-09.csv,9.71,9.71,9.71,9.71,500
92,NICBF,2019-12-10.csv,9.52,9.52,9.52,9.52,100
92,NICBF,2019-12-15.csv,9.5,9.5,9.5,9.5,500
91,NICBF,2019-12-16.csv,9.4,9.4,9.4,9.4,"1,000"
93,NICBF,2019-12-19.csv,9.35,9.35,9.35,9.35,100
89,NICBF,2019-12-22.csv,9.2,9.2,9.2,9.2,200
92,NICBF,2019-12-24.csv,9.02,9.02,9.02,9.02,100
94,NICBF,2019-12-25.csv,8.9,8.9,8.9,8.9,100
95,NICBF,2019-12-26.csv,8.85,8.85,8.85,8.85,250
100,NICBF,2019-12-29.csv,8.84,8.84,8.84,8.84,500
97,NICBF,2019-12-31.csv,8.69,9.01,8.69,9.01,"1,300"
95,NICBF,2020-01-08.csv,9.0,9.0,9.0,9.0,200
101,NICBF,2020-01-14.csv,8.85,8.85,8.85,8.85,"2,000"
99,NICBF,2020-01-16.csv,9.02,9.02,9.0,9.0,500
100,NICBF,2020-01-20.csv,9.03,9.21,9.03,9.21,"150,500"
100,NICBF,2020-01-21.csv,9.1,9.1,9.1,9.1,200
95,NICBF,2020-01-30.csv,9.0,9.0,9.0,9.0,"1,000"
94,NICBF,2020-02-02.csv,8.94,9.1,8.94,9.1,"1,100"
96,NICBF,2020-02-03.csv,9.2,9.2,9.2,9.2,"2,500"
97,NICBF,2020-02-05.csv,9.05,9.05,9.05,9.05,"1,100"
97,NICBF,2020-02-06.csv,8.92,9.0,8.92,8.93,"1,200"
94,NICBF,2020-02-09.csv,9.0,9.0,9.0,9.0,"2,000"
94,NICBF,2020-02-10.csv,9.18,9.18,9.18,9.18,400
97,NICBF,2020-02-11.csv,9.2,9.2,9.05,9.05,900
94,NICBF,2020-02-13.csv,9.06,9.06,9.06,9.06,200
97,NICBF,2020-02-16.csv,9.24,9.24,9.24,9.24,"5,000"
96,NICBF,2020-02-17.csv,9.27,9.27,9.27,9.27,"10,000"
102,NICBF,2020-02-18.csv,9.17,9.17,9.17,9.17,"1,100"
99,NICBF,2020-02-19.csv,8.99,9.16,8.99,9.16,"2,400"
100,NICBF,2020-02-20.csv,9.16,9.2,9.16,9.2,"2,700"
98,NICBF,2020-02-23.csv,9.2,9.2,9.15,9.15,600
100,NICBF,2020-02-24.csv,9.01,9.19,9.01,9.19,"20,500"
99,NICBF,2020-02-25.csv,9.05,9.25,9.05,9.25,700
101,NICBF,2020-02-26.csv,9.43,9.43,9.35,9.35,"4,400"
100,NICBF,2020-02-27.csv,9.2,9.2,9.2,9.2,"1,000"
103,NICBF,2020-03-01.csv,9.3,9.3,9.3,9.3,550
97,NICBF,2020-03-02.csv,9.48,9.48,9.48,9.48,500
100,NICBF,2020-03-03.csv,9.4,9.66,9.4,9.66,"10,400"
96,NICBF,2020-03-04.csv,9.47,9.47,9.4,9.4,"4,300"
102,NICBF,2020-03-11.csv,9.22,9.22,9.04,9.14,"1,000"
103,NICBF,2020-03-12.csv,9.01,9.01,9.01,9.01,100
97,NICBF,2020-03-18.csv,9.0,9.0,9.0,9.0,100
