S.no,Symbol,Date,Open,High,Low,Close,Vol
101,NICGF,2018-04-24.csv,10.0,10.0,10.0,10.0,"1,000"
94,NICGF,2018-04-29.csv,9.81,9.81,9.8,9.8,"1,800"
91,NICGF,2018-05-02.csv,9.6,9.6,9.5,9.5,"1,700"
102,NICGF,2018-05-03.csv,9.4,9.5,9.4,9.5,"1,150"
91,NICGF,2018-05-06.csv,9.5,9.5,9.5,9.5,900
94,NICGF,2018-05-08.csv,9.36,9.5,9.36,9.5,"1,600"
93,NICGF,2018-05-10.csv,9.32,9.35,9.32,9.35,"1,000"
90,NICGF,2018-05-16.csv,9.4,9.4,9.4,9.4,500
95,NICGF,2018-05-21.csv,9.23,9.23,9.23,9.23,"1,000"
92,NICGF,2018-05-22.csv,9.23,9.23,9.23,9.23,140
93,NICGF,2018-05-27.csv,9.07,9.07,9.07,9.07,"5,000"
98,NICGF,2018-05-28.csv,9.15,9.15,9.15,9.15,"2,000"
97,NICGF,2018-05-29.csv,9.33,9.52,9.33,9.52,"3,700"
97,NICGF,2018-05-31.csv,9.6,9.6,9.52,9.52,"4,600"
89,NICGF,2018-06-04.csv,9.33,9.33,9.0,9.0,"1,600"
96,NICGF,2018-06-07.csv,9.0,9.18,9.0,9.18,"1,100"
93,NICGF,2018-06-10.csv,9.13,9.13,8.95,9.0,"5,600"
100,NICGF,2018-06-11.csv,8.91,8.91,8.82,8.82,"1,100"
92,NICGF,2018-06-13.csv,8.82,8.82,8.82,8.82,500
92,NICGF,2018-06-17.csv,9.0,9.0,9.0,9.0,500
87,NICGF,2018-06-18.csv,8.82,8.82,8.82,8.82,500
88,NICGF,2018-06-27.csv,8.9,8.9,8.9,8.9,"1,000"
96,NICGF,2018-06-28.csv,9.05,9.05,9.0,9.0,"1,000"
88,NICGF,2018-07-01.csv,9.03,9.1,9.03,9.1,"3,000"
98,NICGF,2018-07-04.csv,9.03,9.03,8.95,8.95,"1,500"
95,NICGF,2018-07-08.csv,9.13,9.13,9.0,9.0,400
99,NICGF,2018-07-11.csv,9.0,9.0,9.0,9.0,"1,000"
93,NICGF,2018-07-12.csv,9.0,9.0,9.0,9.0,"1,825"
90,NICGF,2018-07-16.csv,9.01,9.19,9.01,9.19,500
78,NICGF,2018-07-18.csv,9.37,9.37,9.18,9.18,"3,000"
90,NICGF,2018-07-19.csv,9.18,9.55,9.18,9.55,"1,500"
93,NICGF,2018-07-22.csv,9.36,9.55,9.36,9.55,"1,700"
98,NICGF,2018-07-25.csv,9.36,9.55,9.36,9.55,"10,500"
92,NICGF,2018-07-26.csv,9.4,9.4,9.4,9.4,"1,300"
85,NICGF,2018-07-29.csv,9.4,9.4,9.21,9.21,"2,500"
95,NICGF,2018-07-30.csv,9.05,9.2,9.05,9.2,"5,200"
94,NICGF,2018-07-31.csv,9.05,9.08,9.05,9.07,"1,100"
88,NICGF,2018-08-01.csv,8.93,8.93,8.89,8.89,"15,000"
97,NICGF,2018-08-02.csv,9.07,9.07,9.07,9.07,"2,000"
93,NICGF,2018-08-05.csv,9.07,9.07,9.01,9.01,"5,500"
87,NICGF,2018-08-07.csv,9.0,9.0,9.0,9.0,100
92,NICGF,2018-08-08.csv,8.9,8.9,8.9,8.9,100
91,NICGF,2018-08-09.csv,8.72,8.72,8.72,8.72,200
89,NICGF,2018-08-13.csv,8.89,8.89,8.89,8.89,"5,000"
96,NICGF,2018-08-14.csv,8.89,8.89,8.89,8.89,"1,000"
96,NICGF,2018-08-16.csv,8.9,8.9,8.9,8.9,"1,000"
91,NICGF,2018-08-20.csv,8.75,8.75,8.58,8.58,700
90,NICGF,2018-08-23.csv,8.6,8.6,8.6,8.6,"1,000"
90,NICGF,2018-08-28.csv,8.6,8.6,8.6,8.6,"2,500"
95,NICGF,2018-08-29.csv,8.57,8.57,8.57,8.57,100
97,NICGF,2018-08-30.csv,8.74,8.74,8.74,8.74,"1,000"
98,NICGF,2018-09-03.csv,8.91,9.27,8.91,9.27,"5,700"
100,NICGF,2018-09-04.csv,9.31,9.31,9.31,9.31,400
100,NICGF,2018-09-05.csv,9.3,9.3,9.3,9.3,"1,000"
102,NICGF,2018-09-06.csv,9.49,9.55,9.49,9.55,"10,000"
101,NICGF,2018-09-09.csv,9.5,9.55,9.5,9.55,"4,500"
95,NICGF,2018-09-10.csv,9.4,9.5,9.4,9.5,"3,625"
96,NICGF,2018-09-12.csv,9.5,9.5,9.5,9.5,"1,000"
101,NICGF,2018-09-13.csv,9.69,9.7,9.69,9.7,"10,100"
95,NICGF,2018-09-16.csv,9.6,9.7,9.6,9.7,"3,600"
95,NICGF,2018-09-17.csv,9.7,9.7,9.7,9.7,"5,000"
97,NICGF,2018-09-18.csv,9.7,9.7,9.7,9.7,"2,200"
96,NICGF,2018-09-20.csv,9.7,9.7,9.7,9.7,300
96,NICGF,2018-09-23.csv,9.89,10.0,9.89,10.0,"5,500"
102,NICGF,2018-09-25.csv,10.0,10.1,10.0,10.1,"35,900"
99,NICGF,2018-09-27.csv,9.9,9.9,9.9,9.9,"1,100"
99,NICGF,2018-09-30.csv,10.0,10.0,9.8,9.8,"6,500"
104,NICGF,2018-10-02.csv,9.6,9.7,9.6,9.7,"2,600"
99,NICGF,2018-10-03.csv,9.51,9.57,9.51,9.57,"6,700"
100,NICGF,2018-10-04.csv,9.52,9.52,9.51,9.51,"4,000"
94,NICGF,2018-10-07.csv,9.4,9.4,9.4,9.4,100
95,NICGF,2018-10-08.csv,9.45,9.46,9.45,9.46,"1,100"
94,NICGF,2018-10-09.csv,9.5,9.5,9.5,9.5,500
94,NICGF,2018-10-10.csv,9.4,9.4,9.4,9.4,400
96,NICGF,2018-10-11.csv,9.4,9.4,9.4,9.4,"2,000"
93,NICGF,2018-10-14.csv,9.4,9.55,9.4,9.55,"2,000"
85,NICGF,2018-10-15.csv,9.42,9.42,9.42,9.42,100
76,NICGF,2018-10-21.csv,9.46,9.46,9.46,9.46,"4,500"
87,NICGF,2018-10-22.csv,9.46,9.46,9.46,9.46,"3,000"
89,NICGF,2018-10-23.csv,9.46,9.47,9.45,9.47,"1,300"
92,NICGF,2018-10-25.csv,9.45,9.5,9.45,9.45,"2,150"
92,NICGF,2018-10-28.csv,9.45,9.45,9.45,9.45,"3,400"
89,NICGF,2018-10-29.csv,9.26,9.26,9.26,9.26,"10,000"
94,NICGF,2018-10-31.csv,9.26,9.26,9.21,9.22,"6,300"
89,NICGF,2018-11-05.csv,9.2,9.2,9.2,9.2,100
84,NICGF,2018-11-13.csv,9.0,9.1,9.0,9.0,"6,500"
82,NICGF,2018-11-14.csv,9.0,9.18,9.0,9.0,"1,000"
89,NICGF,2018-11-15.csv,8.0,8.0,8.0,8.0,400
79,NICGF,2018-11-22.csv,8.89,8.89,8.89,8.89,"1,000"
85,NICGF,2018-11-25.csv,9.0,9.0,9.0,9.0,500
87,NICGF,2018-11-27.csv,8.89,8.89,8.89,8.89,"1,000"
84,NICGF,2018-11-28.csv,9.0,9.0,8.93,8.93,"8,000"
92,NICGF,2018-11-29.csv,9.0,9.0,9.0,9.0,100
88,NICGF,2018-12-02.csv,8.89,9.0,8.89,9.0,"10,000"
88,NICGF,2018-12-03.csv,8.92,8.92,8.91,8.91,"1,100"
93,NICGF,2018-12-06.csv,9.09,9.09,8.85,8.85,"7,000"
96,NICGF,2018-12-10.csv,9.02,9.02,9.02,9.02,"3,000"
95,NICGF,2018-12-11.csv,9.1,9.19,9.1,9.19,"8,400"
90,NICGF,2018-12-12.csv,9.1,9.1,8.95,8.95,"2,000"
90,NICGF,2018-12-13.csv,8.85,8.85,8.85,8.85,"1,000"
90,NICGF,2018-12-16.csv,9.0,9.0,9.0,9.0,"1,000"
94,NICGF,2018-12-17.csv,8.92,9.1,8.92,9.1,"5,100"
93,NICGF,2018-12-18.csv,9.27,9.27,9.27,9.27,"2,500"
93,NICGF,2018-12-23.csv,9.1,9.1,9.1,9.1,300
95,NICGF,2018-12-24.csv,9.0,9.0,9.0,9.0,200
93,NICGF,2018-12-25.csv,9.0,9.1,9.0,9.1,"2,300"
101,NICGF,2018-12-26.csv,9.27,9.27,9.27,9.27,"1,000"
95,NICGF,2018-12-31.csv,9.15,9.15,9.15,9.15,300
89,NICGF,2019-01-01.csv,9.0,9.05,9.0,9.05,"1,000"
89,NICGF,2019-01-02.csv,9.06,9.06,9.06,9.06,100
88,NICGF,2019-01-06.csv,9.0,9.0,9.0,9.0,"11,000"
95,NICGF,2019-01-07.csv,9.18,9.18,9.18,9.18,"1,000"
89,NICGF,2019-01-08.csv,9.09,9.1,9.09,9.1,"5,600"
98,NICGF,2019-01-09.csv,8.93,9.1,8.93,9.1,"13,400"
90,NICGF,2019-01-10.csv,9.19,9.19,9.01,9.01,"27,500"
89,NICGF,2019-01-13.csv,9.02,9.02,9.02,9.02,"1,000"
89,NICGF,2019-01-14.csv,9.2,9.2,9.2,9.2,500
89,NICGF,2019-01-15.csv,9.1,9.1,9.1,9.1,500
99,NICGF,2019-01-16.csv,9.28,9.28,9.2,9.2,"1,200"
96,NICGF,2019-01-17.csv,9.2,9.3,9.2,9.3,600
80,NICGF,2019-01-20.csv,9.3,9.3,9.3,9.3,"2,000"
93,NICGF,2019-01-21.csv,9.4,9.4,9.3,9.3,"6,000"
95,NICGF,2019-01-30.csv,9.3,9.3,9.3,9.3,"3,000"
97,NICGF,2019-01-31.csv,9.3,9.3,9.25,9.25,300
93,NICGF,2019-02-04.csv,9.15,9.25,9.15,9.25,"4,450"
92,NICGF,2019-02-05.csv,9.2,9.2,9.15,9.2,"7,000"
95,NICGF,2019-02-06.csv,9.15,9.15,9.02,9.02,"2,200"
96,NICGF,2019-02-07.csv,8.84,8.84,8.84,8.84,100
89,NICGF,2019-02-10.csv,8.68,8.77,8.68,8.77,"3,000"
97,NICGF,2019-02-11.csv,8.62,8.67,8.62,8.67,"1,000"
100,NICGF,2019-02-13.csv,8.84,8.85,8.84,8.85,"1,500"
95,NICGF,2019-02-14.csv,8.7,8.7,8.7,8.7,100
97,NICGF,2019-02-17.csv,8.57,8.57,8.56,8.56,700
91,NICGF,2019-02-18.csv,8.72,8.72,8.72,8.72,"1,000"
97,NICGF,2019-02-24.csv,8.8,8.8,8.7,8.7,"1,100"
97,NICGF,2019-02-26.csv,8.55,8.55,8.55,8.55,200
95,NICGF,2019-02-27.csv,8.55,8.6,8.55,8.6,"3,100"
102,NICGF,2019-03-03.csv,8.6,8.77,8.5,8.77,950
102,NICGF,2019-03-05.csv,8.61,8.61,8.61,8.61,300
101,NICGF,2019-03-06.csv,8.56,8.66,8.56,8.66,650
102,NICGF,2019-03-07.csv,8.52,8.52,8.52,8.52,500
76,NICGF,2019-03-10.csv,8.47,8.47,8.47,8.47,500
100,NICGF,2019-03-11.csv,8.63,8.63,8.63,8.63,"1,000"
104,NICGF,2019-03-12.csv,8.7,8.7,8.7,8.7,500
100,NICGF,2019-03-13.csv,8.87,9.1,8.87,9.1,"1,800"
99,NICGF,2019-03-14.csv,9.0,9.0,9.0,9.0,500
99,NICGF,2019-03-17.csv,9.0,9.0,9.0,9.0,"1,100"
96,NICGF,2019-03-19.csv,9.0,9.0,9.0,9.0,"1,000"
103,NICGF,2019-03-21.csv,9.18,9.18,8.86,8.86,"3,100"
96,NICGF,2019-03-24.csv,9.0,9.0,8.9,8.9,"1,200"
100,NICGF,2019-03-25.csv,8.91,8.91,8.91,8.91,100
100,NICGF,2019-03-26.csv,8.95,9.15,8.95,9.15,"6,950"
97,NICGF,2019-03-27.csv,9.0,9.0,9.0,9.0,800
97,NICGF,2019-03-28.csv,9.18,9.18,9.05,9.05,"3,100"
95,NICGF,2019-03-31.csv,8.9,9.0,8.9,9.0,"10,300"
100,NICGF,2019-04-01.csv,8.86,8.86,8.83,8.83,"15,000"
98,NICGF,2019-04-02.csv,8.81,8.82,8.81,8.82,"4,000"
