Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,NICL,561.0,617.0,561.0,617.0,19037
1/4/2016,NICL,617.0,618.0,579.0,615.0,7147
1/5/2016,NICL,615.0,603.0,569.0,569.0,7094
1/6/2016,NICL,569.0,558.0,521.0,532.0,4947
1/7/2016,NICL,532.0,564.0,542.0,551.0,4477
1/10/2016,NICL,551.0,540.0,540.0,540.0,300
1/11/2016,NICL,540.0,533.0,530.0,530.0,792
1/12/2016,NICL,530.0,520.0,505.0,509.0,3844
1/12/2016,NICL,530.0,520.0,505.0,509.0,3844
1/13/2016,NICL,509.0,525.0,510.0,510.0,4394
1/14/2016,NICL,510.0,540.0,506.0,540.0,5530
1/19/2016,NICL,540.0,583.0,550.0,583.0,7550
1/20/2016,NICL,583.0,573.0,573.0,573.0,1000
1/21/2016,NICL,573.0,595.0,573.0,590.0,7550
1/24/2016,NICL,590.0,591.0,580.0,591.0,4400
1/25/2016,NICL,591.0,591.0,591.0,591.0,200
1/26/2016,NICL,591.0,580.0,580.0,580.0,500
1/27/2016,NICL,580.0,586.0,575.0,586.0,3426
1/28/2016,NICL,586.0,597.0,597.0,597.0,20
1/31/2016,NICL,597.0,608.0,604.0,604.0,2400
2/1/2016,NICL,604.0,615.0,604.0,615.0,727
2/2/2016,NICL,615.0,627.0,615.0,615.0,611
2/3/2016,NICL,615.0,608.0,608.0,608.0,500
2/4/2016,NICL,608.0,625.0,610.0,615.0,1713
2/7/2016,NICL,615.0,630.0,626.0,630.0,3066
2/8/2016,NICL,630.0,680.0,642.0,680.0,1863
2/11/2016,NICL,680.0,693.0,680.0,690.0,1950
2/14/2016,NICL,690.0,706.0,690.0,706.0,2288
2/15/2016,NICL,706.0,700.0,686.0,686.0,108
2/16/2016,NICL,686.0,673.0,673.0,673.0,210
2/17/2016,NICL,673.0,699.0,686.0,699.0,650
2/18/2016,NICL,699.0,721.0,700.0,721.0,3030
2/21/2016,NICL,721.0,710.0,710.0,710.0,300
2/22/2016,NICL,710.0,720.0,695.0,695.0,1500
2/23/2016,NICL,695.0,685.0,684.0,685.0,1125
2/24/2016,NICL,685.0,675.0,675.0,675.0,40
2/25/2016,NICL,675.0,662.0,662.0,662.0,300
2/28/2016,NICL,662.0,653.0,653.0,653.0,100
2/29/2016,NICL,653.0,666.0,650.0,650.0,1235
3/1/2016,NICL,650.0,663.0,650.0,650.0,1204
3/2/2016,NICL,650.0,663.0,650.0,663.0,2730
3/3/2016,NICL,663.0,696.0,650.0,696.0,14237
3/6/2016,NICL,696.0,745.0,709.0,743.0,17125
3/10/2016,NICL,743.0,817.0,755.0,817.0,14134
3/13/2016,NICL,817.0,875.0,800.0,810.0,8788
3/14/2016,NICL,810.0,810.0,757.0,763.0,6132
3/15/2016,NICL,763.0,816.0,750.0,816.0,14419
3/16/2016,NICL,816.0,812.0,790.0,800.0,3715
3/17/2016,NICL,800.0,800.0,780.0,794.0,4050
3/20/2016,NICL,794.0,800.0,790.0,800.0,5486
3/21/2016,NICL,800.0,797.0,785.0,791.0,3322
3/23/2016,NICL,791.0,799.0,784.0,790.0,4215
3/24/2016,NICL,790.0,776.0,744.0,755.0,2100
3/27/2016,NICL,755.0,750.0,740.0,740.0,8150
3/28/2016,NICL,740.0,740.0,726.0,735.0,1391
3/29/2016,NICL,735.0,749.0,721.0,745.0,1010
3/31/2016,NICL,745.0,731.0,731.0,731.0,300
4/3/2016,NICL,731.0,720.0,702.0,708.0,5470
4/4/2016,NICL,708.0,725.0,700.0,725.0,2774
4/5/2016,NICL,725.0,739.0,712.0,739.0,2025
4/10/2016,NICL,739.0,725.0,711.0,711.0,260
4/11/2016,NICL,711.0,700.0,691.0,691.0,2917
4/12/2016,NICL,691.0,714.0,692.0,705.0,1961
