S.no,Symbol,Date,Open,High,Low,Close,Vol
47,NLBBL,2012-01-02.csv,357.0,350.0,344.0,344.0,80
41,NLBBL,2012-01-05.csv,344.0,350.0,350.0,350.0,100
51,NLBBL,2012-01-11.csv,350.0,353.0,353.0,353.0,20
39,NLBBL,2012-01-16.csv,353.0,360.0,360.0,360.0,40
46,NLBBL,2012-01-17.csv,360.0,375.0,361.0,375.0,80
47,NLBBL,2012-01-18.csv,375.0,385.0,382.0,382.0,160
50,NLBBL,2012-01-26.csv,382.0,380.0,380.0,380.0,20
53,NLBBL,2012-01-29.csv,380.0,380.0,380.0,380.0,20
50,NLBBL,2012-02-06.csv,380.0,380.0,373.0,374.0,270
50,NLBBL,2012-02-07.csv,374.0,368.0,368.0,368.0,100
56,NLBBL,2012-02-12.csv,368.0,370.0,370.0,370.0,50
44,NLBBL,2012-02-14.csv,370.0,370.0,370.0,370.0,120
51,NLBBL,2012-02-15.csv,370.0,370.0,370.0,370.0,10
50,NLBBL,2012-02-16.csv,370.0,365.0,365.0,365.0,20
47,NLBBL,2012-02-23.csv,365.0,372.0,372.0,372.0,20
51,NLBBL,2012-02-26.csv,372.0,378.0,375.0,378.0,460
54,NLBBL,2012-02-27.csv,378.0,380.0,380.0,380.0,30
48,NLBBL,2012-03-04.csv,380.0,375.0,375.0,375.0,50
54,NLBBL,2012-03-06.csv,375.0,382.0,382.0,382.0,10
46,NLBBL,2012-03-12.csv,382.0,375.0,375.0,375.0,40
49,NLBBL,2012-03-13.csv,375.0,386.0,374.0,374.0,190
44,NLBBL,2012-03-14.csv,374.0,371.0,367.0,371.0,30
40,NLBBL,2012-03-15.csv,371.0,364.0,364.0,364.0,30
52,NLBBL,2012-03-18.csv,364.0,357.0,351.0,351.0,40
47,NLBBL,2012-03-19.csv,351.0,353.0,347.0,353.0,390
51,NLBBL,2012-03-20.csv,353.0,351.0,350.0,350.0,110
53,NLBBL,2012-03-21.csv,350.0,349.0,343.0,349.0,230
46,NLBBL,2012-03-26.csv,349.0,345.0,345.0,345.0,130
52,NLBBL,2012-03-27.csv,345.0,346.0,344.0,344.0,510
49,NLBBL,2012-03-29.csv,344.0,340.0,335.0,335.0,520
48,NLBBL,2012-04-01.csv,335.0,331.0,330.0,330.0,360
50,NLBBL,2012-04-02.csv,330.0,324.0,324.0,324.0,10
45,NLBBL,2012-04-03.csv,324.0,330.0,325.0,330.0,90
52,NLBBL,2012-04-04.csv,330.0,330.0,330.0,330.0,270
53,NLBBL,2012-04-08.csv,330.0,335.0,327.0,335.0,440
48,NLBBL,2012-04-11.csv,335.0,341.0,340.0,340.0,240
50,NLBBL,2012-04-12.csv,340.0,344.0,335.0,344.0,840
47,NLBBL,2012-04-17.csv,344.0,351.0,350.0,350.0,260
48,NLBBL,2012-04-18.csv,350.0,357.0,348.0,357.0,260
57,NLBBL,2012-04-19.csv,357.0,378.0,364.0,378.0,200
49,NLBBL,2012-04-22.csv,378.0,385.0,385.0,385.0,20
44,NLBBL,2012-04-25.csv,385.0,406.0,392.0,406.0,30
57,NLBBL,2012-04-26.csv,406.0,438.0,414.0,438.0,790
57,NLBBL,2012-04-29.csv,438.0,446.0,446.0,446.0,50
56,NLBBL,2012-04-30.csv,446.0,438.0,438.0,438.0,100
