Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,NLIC,3405.0,3515.0,3440.0,3475.0,6223
1/4/2016,NLIC,3475.0,3520.0,3410.0,3461.0,1661
1/5/2016,NLIC,3461.0,3425.0,3315.0,3400.0,2070
1/6/2016,NLIC,3400.0,3370.0,3350.0,3369.0,2218
1/7/2016,NLIC,3369.0,3400.0,3366.0,3366.0,2805
1/10/2016,NLIC,3366.0,3366.0,3340.0,3350.0,9768
1/11/2016,NLIC,3350.0,3350.0,3321.0,3333.0,3398
1/12/2016,NLIC,3333.0,3325.0,3280.0,3320.0,3463
1/12/2016,NLIC,3333.0,3325.0,3280.0,3320.0,3463
1/13/2016,NLIC,3320.0,3320.0,3300.0,3300.0,3013
1/14/2016,NLIC,3300.0,3355.0,3300.0,3301.0,6516
1/17/2016,NLIC,3301.0,3430.0,3321.0,3400.0,3073
1/18/2016,NLIC,3400.0,3411.0,3370.0,3380.0,580
1/19/2016,NLIC,3380.0,3400.0,3332.0,3345.0,1626
1/20/2016,NLIC,3345.0,3340.0,3300.0,3300.0,3434
1/21/2016,NLIC,3300.0,3340.0,3300.0,3300.0,8791
1/24/2016,NLIC,3300.0,3310.0,3291.0,3305.0,4169
1/25/2016,NLIC,3305.0,3329.0,3310.0,3320.0,6112
1/26/2016,NLIC,3320.0,3320.0,3300.0,3300.0,16524
1/27/2016,NLIC,3300.0,3305.0,3291.0,3291.0,4246
1/28/2016,NLIC,3291.0,3300.0,3265.0,3272.0,4360
1/31/2016,NLIC,3272.0,3290.0,3270.0,3270.0,4576
2/1/2016,NLIC,3270.0,3290.0,3270.0,3285.0,1450
2/2/2016,NLIC,3285.0,3299.0,3220.0,3274.0,2942
2/3/2016,NLIC,3274.0,3264.0,3218.0,3229.0,6604
2/4/2016,NLIC,3229.0,3215.0,3186.0,3210.0,11236
2/7/2016,NLIC,3210.0,3280.0,3195.0,3200.0,7726
2/8/2016,NLIC,3200.0,3239.0,3201.0,3235.0,2383
2/11/2016,NLIC,3235.0,3250.0,3220.0,3225.0,3125
2/14/2016,NLIC,3225.0,3236.0,3197.0,3197.0,6612
2/15/2016,NLIC,3197.0,3200.0,3145.0,3176.0,2001
2/16/2016,NLIC,3176.0,3200.0,3176.0,3190.0,1313
2/17/2016,NLIC,3190.0,3200.0,3180.0,3188.0,5192
2/18/2016,NLIC,3188.0,3189.0,3156.0,3164.0,4416
2/21/2016,NLIC,3164.0,3198.0,3166.0,3166.0,1712
2/22/2016,NLIC,3166.0,3200.0,3160.0,3175.0,1229
2/23/2016,NLIC,3175.0,3200.0,3150.0,3150.0,8527
2/24/2016,NLIC,3150.0,3160.0,3133.0,3160.0,1086
2/25/2016,NLIC,3160.0,3160.0,3055.0,3160.0,1978
2/28/2016,NLIC,3160.0,3160.0,3111.0,3111.0,1017
2/29/2016,NLIC,3111.0,3140.0,3116.0,3116.0,1657
3/1/2016,NLIC,3116.0,3155.0,3125.0,3130.0,1510
3/2/2016,NLIC,3130.0,3200.0,3100.0,3100.0,1296
3/3/2016,NLIC,3100.0,3146.0,3039.0,3123.0,2912
3/6/2016,NLIC,3123.0,3172.0,3140.0,3160.0,2931
3/10/2016,NLIC,3160.0,3223.0,3152.0,3160.0,3537
3/13/2016,NLIC,3160.0,3205.0,3181.0,3198.0,8001
3/14/2016,NLIC,3198.0,3261.0,3200.0,3220.0,7360
3/15/2016,NLIC,3220.0,3250.0,3230.0,3250.0,1608
3/16/2016,NLIC,3250.0,3270.0,3212.0,3270.0,9301
3/17/2016,NLIC,3270.0,3517.0,3300.0,3500.0,12160
3/20/2016,NLIC,3500.0,3850.0,3570.0,3850.0,26039
3/21/2016,NLIC,3850.0,4166.0,3851.0,3860.0,23856
3/23/2016,NLIC,3860.0,3900.0,3724.0,3869.0,10651
3/24/2016,NLIC,3869.0,3905.0,3806.0,3825.0,7420
3/27/2016,NLIC,3825.0,3978.0,3850.0,3920.0,29377
3/28/2016,NLIC,3920.0,3950.0,3842.0,3900.0,18727
