S.no,Symbol,Date,Open,High,Low,Close,Vol
51,NLICL,2012-01-12.csv,347.0,373.0,353.0,373.0,130
41,NLICL,2012-01-16.csv,373.0,380.0,380.0,380.0,20
52,NLICL,2012-02-02.csv,380.0,373.0,373.0,373.0,50
52,NLICL,2012-02-06.csv,373.0,366.0,336.0,336.0,444
52,NLICL,2012-02-07.csv,336.0,330.0,324.0,330.0,412
57,NLICL,2012-02-12.csv,330.0,330.0,325.0,325.0,198
46,NLICL,2012-02-14.csv,325.0,325.0,325.0,325.0,66
53,NLICL,2012-02-15.csv,325.0,330.0,330.0,330.0,571
51,NLICL,2012-02-16.csv,330.0,330.0,327.0,330.0,298
51,NLICL,2012-02-21.csv,330.0,330.0,330.0,330.0,269
53,NLICL,2012-02-26.csv,330.0,345.0,336.0,345.0,"1,261"
55,NLICL,2012-02-27.csv,345.0,340.0,340.0,340.0,100
47,NLICL,2012-02-28.csv,340.0,340.0,334.0,334.0,139
48,NLICL,2012-02-29.csv,334.0,340.0,340.0,340.0,80
50,NLICL,2012-03-01.csv,340.0,345.0,345.0,345.0,50
49,NLICL,2012-03-05.csv,345.0,339.0,334.0,334.0,676
56,NLICL,2012-03-06.csv,334.0,334.0,330.0,330.0,"1,274"
52,NLICL,2012-03-11.csv,330.0,330.0,330.0,330.0,620
48,NLICL,2012-03-12.csv,330.0,330.0,330.0,330.0,200
51,NLICL,2012-03-13.csv,330.0,330.0,330.0,330.0,"1,393"
53,NLICL,2012-03-18.csv,330.0,332.0,318.0,318.0,665
49,NLICL,2012-03-19.csv,318.0,324.0,320.0,320.0,590
47,NLICL,2012-03-25.csv,320.0,314.0,314.0,314.0,176
53,NLICL,2012-03-27.csv,314.0,326.0,320.0,326.0,196
49,NLICL,2012-03-28.csv,326.0,330.0,330.0,330.0,"1,083"
47,NLICL,2012-04-03.csv,330.0,330.0,330.0,330.0,185
54,NLICL,2012-04-04.csv,330.0,334.0,330.0,330.0,982
54,NLICL,2012-04-08.csv,330.0,324.0,324.0,324.0,54
49,NLICL,2012-04-11.csv,324.0,330.0,330.0,330.0,50
52,NLICL,2012-04-12.csv,330.0,335.0,335.0,335.0,50
50,NLICL,2012-04-18.csv,335.0,353.0,341.0,353.0,"1,545"
59,NLICL,2012-04-19.csv,353.0,367.0,351.0,351.0,294
51,NLICL,2012-04-22.csv,351.0,358.0,358.0,358.0,117
41,NLICL,2012-04-24.csv,358.0,381.0,365.0,381.0,"1,707"
59,NLICL,2012-04-26.csv,381.0,388.0,388.0,388.0,20
59,NLICL,2012-04-29.csv,388.0,395.0,395.0,395.0,22
57,NLICL,2012-04-30.csv,395.0,410.0,402.0,410.0,233
44,NLICL,2012-05-03.csv,410.0,438.0,430.0,438.0,22
34,NLICL,2012-05-07.csv,438.0,438.0,438.0,438.0,"50,000"
41,NLICL,2012-05-13.csv,438.0,463.0,446.0,463.0,300
42,NLICL,2012-05-15.csv,463.0,481.0,472.0,481.0,200
29,NLICL,2012-05-16.csv,481.0,499.0,490.0,499.0,119
51,NLICL,2012-05-17.csv,499.0,528.0,508.0,528.0,433
45,NLICL,2012-05-20.csv,528.0,558.0,537.0,537.0,625
52,NLICL,2012-05-21.csv,537.0,546.0,546.0,546.0,58
46,NLICL,2012-06-07.csv,546.0,553.0,553.0,553.0,152
49,NLICL,2012-06-11.csv,553.0,560.0,560.0,560.0,36
52,NLICL,2012-07-11.csv,560.0,549.0,549.0,549.0,100
55,NLICL,2012-07-12.csv,549.0,539.0,529.0,529.0,76
51,NLICL,2012-07-16.csv,529.0,539.0,539.0,539.0,79
54,NLICL,2012-07-18.csv,539.0,529.0,519.0,519.0,518
54,NLICL,2012-07-19.csv,519.0,535.0,529.0,535.0,200
53,NLICL,2012-07-22.csv,535.0,525.0,482.0,482.0,"3,982"
44,NLICL,2012-07-23.csv,482.0,486.0,450.0,486.0,"16,450"
49,NLICL,2012-07-24.csv,486.0,477.0,477.0,477.0,50
54,NLICL,2012-07-26.csv,477.0,470.0,470.0,470.0,50
45,NLICL,2012-07-29.csv,470.0,470.0,461.0,470.0,792
55,NLICL,2012-07-30.csv,470.0,479.0,471.0,479.0,515
59,NLICL,2012-07-31.csv,479.0,375.0,375.0,375.0,132
58,NLICL,2012-08-01.csv,375.0,387.0,380.0,387.0,634
49,NLICL,2012-08-05.csv,387.0,394.0,391.0,391.0,179
58,NLICL,2012-09-02.csv,391.0,401.0,395.0,401.0,398
55,NLICL,2012-09-03.csv,401.0,400.0,400.0,400.0,132
54,NLICL,2012-09-04.csv,400.0,400.0,400.0,400.0,239
56,NLICL,2012-09-05.csv,400.0,415.0,397.0,415.0,"4,332"
60,NLICL,2012-09-06.csv,415.0,431.0,407.0,431.0,"1,057"
58,NLICL,2012-09-09.csv,431.0,473.0,439.0,470.0,"4,544"
61,NLICL,2012-09-10.csv,470.0,479.0,462.0,472.0,"1,513"
66,NLICL,2012-09-11.csv,472.0,475.0,464.0,475.0,"6,749"
60,NLICL,2012-09-12.csv,475.0,478.0,461.0,470.0,"8,358"
63,NLICL,2012-09-13.csv,470.0,495.0,479.0,495.0,311
61,NLICL,2012-09-16.csv,495.0,530.0,504.0,530.0,239
66,NLICL,2012-09-17.csv,530.0,541.0,530.0,540.0,748
60,NLICL,2012-09-18.csv,540.0,535.0,511.0,514.0,"7,401"
65,NLICL,2012-09-19.csv,514.0,514.0,504.0,504.0,"1,313"
59,NLICL,2012-09-20.csv,504.0,495.0,486.0,486.0,553
60,NLICL,2012-09-23.csv,486.0,504.0,495.0,504.0,87
57,NLICL,2012-09-24.csv,504.0,503.0,485.0,503.0,"1,719"
58,NLICL,2012-09-25.csv,503.0,494.0,494.0,494.0,10
63,NLICL,2012-09-26.csv,494.0,489.0,478.0,489.0,"1,168"
64,NLICL,2012-09-30.csv,501.0,510.0,510.0,510.0,66
118,NLICL,2012-10-01.csv,510.0,515.0,500.0,510.0,"9,373"
119,NLICL,2012-10-01.csv,510.0,515.0,500.0,510.0,"9,373"
58,NLICL,2012-10-02.csv,510.0,510.0,500.0,510.0,"2,058"
61,NLICL,2012-10-03.csv,510.0,510.0,491.0,491.0,"2,530"
59,NLICL,2012-10-04.csv,491.0,510.0,500.0,510.0,"2,089"
62,NLICL,2012-10-07.csv,510.0,508.0,481.0,508.0,"2,102"
68,NLICL,2012-10-08.csv,508.0,516.0,498.0,516.0,"5,070"
66,NLICL,2012-10-09.csv,516.0,509.0,504.0,508.0,"3,389"
60,NLICL,2012-10-10.csv,508.0,516.0,516.0,516.0,18
61,NLICL,2012-10-11.csv,516.0,517.0,517.0,517.0,18
56,NLICL,2012-10-18.csv,517.0,522.0,522.0,522.0,20
59,NLICL,2012-11-05.csv,522.0,512.0,512.0,512.0,"1,259"
62,NLICL,2012-11-06.csv,512.0,522.0,522.0,522.0,18
54,NLICL,2012-11-11.csv,522.0,512.0,512.0,512.0,50
49,NLICL,2012-11-12.csv,512.0,512.0,512.0,512.0,"1,186"
52,NLICL,2012-11-18.csv,512.0,515.0,515.0,515.0,22
51,NLICL,2012-11-25.csv,515.0,505.0,505.0,505.0,200
50,NLICL,2012-11-29.csv,505.0,500.0,500.0,500.0,99
53,NLICL,2012-12-04.csv,500.0,500.0,500.0,500.0,30
52,NLICL,2012-12-06.csv,500.0,500.0,480.0,480.0,"1,377"
49,NLICL,2012-12-12.csv,480.0,475.0,466.0,466.0,127
51,NLICL,2012-12-13.csv,466.0,475.0,475.0,475.0,26
52,NLICL,2012-12-16.csv,475.0,480.0,480.0,480.0,153
50,NLICL,2012-12-17.csv,480.0,485.0,474.0,485.0,"2,543"
48,NLICL,2012-12-18.csv,485.0,480.0,480.0,480.0,66
52,NLICL,2012-12-19.csv,480.0,480.0,480.0,480.0,287
48,NLICL,2012-12-20.csv,480.0,489.0,480.0,480.0,351
50,NLICL,2012-12-23.csv,480.0,475.0,473.0,473.0,166
55,NLICL,2012-12-24.csv,473.0,486.0,482.0,486.0,"1,453"
57,NLICL,2012-12-26.csv,486.0,494.0,486.0,494.0,149
