S.no,Symbol,Date,Open,High,Low,Close,Vol
61,NLICLP,2013-11-14.csv,0.0,620.0,620.0,620.0,"31,500"
63,NLICLP,2014-01-01.csv,620.0,620.0,620.0,620.0,"8,580"
73,NLICLP,2014-01-14.csv,620.0,608.0,608.0,608.0,"11,500"
69,NLICLP,2014-01-16.csv,608.0,620.0,620.0,620.0,"17,160"
79,NLICLP,2014-03-06.csv,620.0,620.0,620.0,620.0,"8,580"
78,NLICLP,2014-04-20.csv,620.0,608.0,608.0,608.0,"3,500"
80,NLICLP,2014-04-29.csv,608.0,620.0,620.0,620.0,"5,000"
85,NLICLP,2014-05-07.csv,620.0,632.0,632.0,632.0,"5,000"
89,NLICLP,2014-05-22.csv,632.0,644.0,644.0,644.0,"2,200"
82,NLICLP,2014-05-25.csv,644.0,656.0,656.0,656.0,"8,580"
86,NLICLP,2014-05-28.csv,656.0,650.0,650.0,650.0,"52,000"
84,NLICLP,2014-08-19.csv,650.0,650.0,650.0,650.0,"28,759"
86,NLICLP,2014-08-28.csv,650.0,650.0,650.0,650.0,"28,759"
80,NLICLP,2014-10-14.csv,650.0,689.0,663.0,689.0,"1,500"
81,NLICLP,2014-10-15.csv,689.0,730.0,702.0,702.0,"17,317"
84,NLICLP,2014-10-16.csv,702.0,744.0,716.0,744.0,"1,500"
73,NLICLP,2014-10-19.csv,744.0,773.0,758.0,773.0,"1,000"
76,NLICLP,2014-10-20.csv,773.0,819.0,788.0,819.0,"1,500"
78,NLICLP,2014-10-21.csv,819.0,851.0,835.0,851.0,"1,000"
78,NLICLP,2014-10-22.csv,851.0,902.0,868.0,902.0,"1,500"
63,NLICLP,2014-10-26.csv,902.0,956.0,920.0,956.0,"1,500"
73,NLICLP,2014-10-27.csv,956.0,1000.0,975.0,1000.0,"35,583"
79,NLICLP,2014-12-08.csv,1000.0,1000.0,1000.0,1000.0,"16,247"
81,NLICLP,2014-12-11.csv,1000.0,1000.0,1000.0,1000.0,"3,822"
79,NLICLP,2014-12-14.csv,1000.0,980.0,980.0,980.0,"2,660"
75,NLICLP,2015-01-22.csv,980.0,980.0,980.0,980.0,"1,000"
92,NLICLP,2015-03-10.csv,980.0,1078.0,999.0,1078.0,"5,000"
97,NLICLP,2015-03-11.csv,1078.0,1100.0,1090.0,1100.0,"95,000"
82,NLICLP,2015-04-08.csv,1100.0,1100.0,1100.0,1100.0,"40,000"
79,NLICLP,2015-04-15.csv,1100.0,1078.0,1078.0,1078.0,"3,000"
78,NLICLP,2015-04-21.csv,1078.0,1078.0,1078.0,1078.0,"20,850"
84,NLICLP,2015-06-09.csv,1078.0,1057.0,1036.0,1036.0,"5,400"
76,NLICLP,2015-06-17.csv,1036.0,1020.0,1000.0,1000.0,"23,000"
88,NLICLP,2015-07-15.csv,1000.0,1020.0,1000.0,1020.0,"39,000"
82,NLICLP,2015-08-06.csv,1020.0,1025.0,1025.0,1025.0,"50,000"
84,NLICLP,2015-09-10.csv,1025.0,1005.0,1005.0,1005.0,"1,620"
77,NLICLP,2015-09-22.csv,1005.0,1025.0,1025.0,1025.0,"13,000"
82,NLICLP,2016-07-10.csv,1755.0,1755.0,1755.0,1755.0,"2,015"
77,NLICLP,2016-11-16.csv,1755.0,1755.0,1755.0,1755.0,"3,120"
75,NLICLP,2016-11-22.csv,1755.0,1720.0,1686.0,1686.0,"1,000"
75,NLICLP,2016-11-23.csv,1686.0,1686.0,1686.0,1686.0,"8,700"
89,NLICLP,2017-04-25.csv,1375.0,1375.0,1375.0,1375.0,"25,000"
92,NLICLP,2017-07-11.csv,1375.0,1348.0,1250.0,1250.0,"78,000"
102,NLICLP,2017-08-17.csv,1250.0,1225.0,1195.0,1195.0,"28,000"
102,NLICLP,2017-10-16.csv,1195.0,1172.0,1172.0,1172.0,"14,042"
88,NLICLP,2017-10-18.csv,1172.0,1175.0,1175.0,1175.0,"37,500"
94,NLICLP,2018-03-05.csv,715.0,715.0,715.0,715.0,218
99,NLICLP,2018-06-17.csv,695.0,695.0,695.0,695.0,306
104,NLICLP,2018-06-24.csv,690.0,690.0,690.0,690.0,"30,000"
99,NLICLP,2018-06-26.csv,700.0,700.0,700.0,700.0,"1,560"
99,NLICLP,2018-10-25.csv,400.0,400.0,400.0,400.0,"1,200"
106,NLICLP,2019-03-14.csv,1070.0,1070.0,1070.0,1070.0,"196,262"
