S.no,Symbol,Date,Open,High,Low,Close,Vol
41,NLO,2012-01-08.csv,251.0,246.0,246.0,246.0,14
64,NLO,2012-09-13.csv,246.0,242.0,242.0,242.0,12
72,NLO,2014-01-29.csv,242.0,246.0,246.0,246.0,36
79,NLO,2014-02-06.csv,246.0,0.0,0.0,246.0,"1,050"
73,NLO,2014-03-25.csv,205.0,209.0,209.0,209.0,178
78,NLO,2015-01-05.csv,209.0,213.0,213.0,213.0,17
72,NLO,2015-04-13.csv,213.0,213.0,213.0,213.0,681
104,NLO,2019-07-25.csv,202.0,210.0,202.0,210.0,73
101,NLO,2019-07-28.csv,214.0,214.0,214.0,214.0,19
106,NLO,2020-02-23.csv,187.0,187.0,187.0,187.0,"3,500"
