Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,NMB,428.0,425.0,416.0,416.0,8946
1/4/2016,NMB,416.0,424.0,416.0,421.0,2559
1/5/2016,NMB,421.0,425.0,417.0,421.0,16049
1/6/2016,NMB,421.0,424.0,420.0,421.0,3648
1/7/2016,NMB,421.0,439.0,421.0,435.0,6039
1/10/2016,NMB,435.0,440.0,431.0,438.0,7792
1/11/2016,NMB,438.0,439.0,432.0,432.0,10454
1/12/2016,NMB,432.0,439.0,428.0,439.0,16525
1/12/2016,NMB,432.0,439.0,428.0,439.0,16525
1/13/2016,NMB,439.0,452.0,436.0,445.0,12678
1/14/2016,NMB,445.0,466.0,449.0,460.0,24660
1/17/2016,NMB,460.0,478.0,465.0,465.0,13070
1/18/2016,NMB,465.0,490.0,458.0,468.0,9627
1/19/2016,NMB,468.0,476.0,452.0,471.0,28309
1/20/2016,NMB,471.0,475.0,467.0,471.0,8650
1/21/2016,NMB,471.0,475.0,470.0,472.0,14019
1/24/2016,NMB,472.0,490.0,467.0,485.0,40765
1/25/2016,NMB,485.0,503.0,490.0,499.0,59476
1/26/2016,NMB,462.0,475.0,466.0,466.0,11103
1/27/2016,NMB,466.0,470.0,455.0,460.0,14989
1/28/2016,NMB,460.0,463.0,450.0,451.0,12607
1/31/2016,NMB,451.0,454.0,449.0,454.0,18267
2/1/2016,NMB,454.0,477.0,463.0,477.0,22370
2/2/2016,NMB,477.0,491.0,475.0,485.0,21542
2/3/2016,NMB,485.0,488.0,477.0,487.0,7675
2/4/2016,NMB,487.0,490.0,479.0,482.0,21254
2/7/2016,NMB,482.0,500.0,480.0,480.0,22897
2/8/2016,NMB,480.0,494.0,480.0,485.0,15360
2/11/2016,NMB,485.0,505.0,485.0,504.0,56076
2/14/2016,NMB,504.0,516.0,498.0,511.0,48114
2/15/2016,NMB,511.0,514.0,500.0,510.0,40191
2/16/2016,NMB,510.0,527.0,512.0,520.0,46071
2/17/2016,NMB,520.0,550.0,518.0,537.0,71382
2/18/2016,NMB,537.0,555.0,537.0,541.0,34207
2/21/2016,NMB,541.0,547.0,532.0,537.0,34695
2/22/2016,NMB,537.0,547.0,531.0,547.0,54898
2/23/2016,NMB,547.0,551.0,538.0,543.0,41233
2/24/2016,NMB,543.0,549.0,536.0,539.0,42215
2/25/2016,NMB,539.0,542.0,530.0,538.0,55984
2/28/2016,NMB,538.0,543.0,528.0,534.0,28693
2/29/2016,NMB,534.0,537.0,530.0,537.0,16809
3/1/2016,NMB,537.0,539.0,534.0,539.0,15831
3/2/2016,NMB,539.0,548.0,529.0,535.0,25417
3/3/2016,NMB,535.0,545.0,535.0,537.0,15854
3/6/2016,NMB,537.0,541.0,533.0,534.0,19864
3/10/2016,NMB,534.0,540.0,531.0,532.0,28465
3/13/2016,NMB,532.0,543.0,530.0,540.0,24873
3/14/2016,NMB,540.0,545.0,537.0,540.0,18217
3/15/2016,NMB,540.0,543.0,535.0,542.0,29401
3/16/2016,NMB,542.0,545.0,536.0,542.0,22337
3/17/2016,NMB,542.0,554.0,532.0,548.0,28729
3/20/2016,NMB,548.0,565.0,553.0,561.0,52346
3/21/2016,NMB,561.0,599.0,570.0,576.0,72490
3/23/2016,NMB,576.0,599.0,579.0,587.0,59664
3/24/2016,NMB,587.0,603.0,590.0,596.0,74822
3/27/2016,NMB,596.0,610.0,591.0,607.0,60865
3/28/2016,NMB,607.0,609.0,597.0,601.0,44659
3/29/2016,NMB,601.0,607.0,590.0,604.0,46013
3/30/2016,NMB,604.0,605.0,595.0,596.0,32854
3/31/2016,NMB,596.0,595.0,586.0,590.0,33572
4/3/2016,NMB,590.0,600.0,572.0,585.0,29949
4/4/2016,NMB,585.0,590.0,582.0,589.0,16707
4/5/2016,NMB,589.0,598.0,588.0,598.0,8614
4/6/2016,NMB,598.0,600.0,593.0,598.0,14651
4/10/2016,NMB,598.0,602.0,595.0,598.0,38460
4/11/2016,NMB,598.0,605.0,600.0,605.0,37663
4/12/2016,NMB,605.0,609.0,600.0,609.0,28522
