S.no,Symbol,Date,Open,High,Low,Close,Vol
79,NMBHF1,2017-01-25.csv,10.81,10.8,10.45,10.45,"9,825"
83,NMBHF1,2017-01-26.csv,10.45,10.35,10.25,10.35,"13,729"
75,NMBHF1,2017-01-30.csv,10.35,10.15,9.96,10.0,"21,978"
80,NMBHF1,2017-01-31.csv,10.0,10.3,10.2,10.3,"9,983"
83,NMBHF1,2017-02-01.csv,10.3,10.45,10.2,10.35,"27,924"
81,NMBHF1,2017-02-02.csv,10.35,10.3,10.15,10.15,"26,449"
74,NMBHF1,2017-02-05.csv,10.15,10.15,10.05,10.15,"41,610"
82,NMBHF1,2017-02-06.csv,10.15,10.41,10.2,10.3,"28,294"
79,NMBHF1,2017-02-07.csv,10.3,10.32,10.1,10.32,"6,599"
80,NMBHF1,2017-02-08.csv,10.32,10.2,10.01,10.01,"39,322"
78,NMBHF1,2017-02-09.csv,10.01,10.01,10.0,10.0,"6,310"
76,NMBHF1,2017-02-12.csv,10.0,10.0,10.0,10.0,"34,127"
80,NMBHF1,2017-02-13.csv,10.0,10.0,9.8,10.0,"28,644"
81,NMBHF1,2017-02-14.csv,10.0,10.0,10.0,10.0,"29,127"
83,NMBHF1,2017-02-15.csv,10.0,10.12,10.01,10.12,"57,073"
89,NMBHF1,2017-02-16.csv,10.12,10.12,10.05,10.05,"42,631"
86,NMBHF1,2017-02-19.csv,10.05,10.1,10.0,10.1,"103,905"
82,NMBHF1,2017-02-20.csv,10.1,10.11,10.06,10.06,"114,161"
82,NMBHF1,2017-02-21.csv,10.06,10.01,10.01,10.01,"1,664"
80,NMBHF1,2017-02-22.csv,10.01,10.01,10.01,10.01,"14,979"
77,NMBHF1,2017-02-23.csv,10.01,10.05,9.81,9.84,"30,373"
81,NMBHF1,2017-02-26.csv,9.84,9.84,9.65,9.84,"1,582"
77,NMBHF1,2017-02-28.csv,9.84,9.71,9.7,9.7,"4,161"
78,NMBHF1,2017-03-01.csv,9.7,9.88,9.88,9.88,"4,161"
79,NMBHF1,2017-03-02.csv,9.88,10.08,10.01,10.08,"15,607"
84,NMBHF1,2017-03-05.csv,10.08,10.1,9.92,9.92,"3,696"
85,NMBHF1,2017-03-06.csv,9.92,10.05,10.0,10.05,"10,450"
83,NMBHF1,2017-03-07.csv,10.05,10.05,10.0,10.05,"4,576"
84,NMBHF1,2017-03-09.csv,10.05,10.1,10.0,10.1,"26,300"
83,NMBHF1,2017-03-14.csv,10.1,10.3,10.1,10.1,"7,073"
74,NMBHF1,2017-03-15.csv,10.1,10.2,10.0,10.2,"17,059"
82,NMBHF1,2017-03-16.csv,10.2,10.2,10.2,10.2,"4,161"
83,NMBHF1,2017-03-19.csv,10.2,10.05,10.0,10.05,"4,993"
84,NMBHF1,2017-03-20.csv,10.05,10.25,10.1,10.25,"7,576"
88,NMBHF1,2017-03-21.csv,10.25,10.2,10.2,10.2,"1,664"
88,NMBHF1,2017-03-22.csv,10.2,10.3,10.2,10.3,"16,352"
86,NMBHF1,2017-03-23.csv,10.3,10.25,10.25,10.25,832
86,NMBHF1,2017-03-26.csv,10.25,10.3,10.23,10.3,"26,214"
89,NMBHF1,2017-03-28.csv,10.3,10.51,10.31,10.31,"21,501"
90,NMBHF1,2017-03-29.csv,10.31,10.1,9.9,10.12,"7,655"
85,NMBHF1,2017-03-30.csv,10.12,10.1,10.04,10.1,"14,313"
81,NMBHF1,2017-04-02.csv,10.1,10.3,10.1,10.2,"13,733"
87,NMBHF1,2017-04-03.csv,10.2,10.3,10.1,10.24,"15,769"
87,NMBHF1,2017-04-04.csv,10.24,10.2,9.8,10.2,"15,978"
89,NMBHF1,2017-04-06.csv,10.2,10.28,10.15,10.25,"130,965"
87,NMBHF1,2017-04-09.csv,10.25,10.25,10.04,10.04,"13,712"
90,NMBHF1,2017-04-10.csv,10.04,10.2,10.05,10.1,"186,850"
90,NMBHF1,2017-04-11.csv,10.1,10.15,10.0,10.0,"72,222"
92,NMBHF1,2017-04-12.csv,10.0,10.2,10.08,10.12,"222,069"
90,NMBHF1,2017-04-13.csv,10.12,10.3,10.12,10.12,"5,658"
84,NMBHF1,2017-04-16.csv,10.12,10.32,10.3,10.32,"9,122"
88,NMBHF1,2017-04-18.csv,10.32,10.11,10.11,10.11,832
91,NMBHF1,2017-04-19.csv,10.11,10.21,10.01,10.21,"5,408"
88,NMBHF1,2017-04-20.csv,10.21,10.25,10.03,10.03,"11,712"
90,NMBHF1,2017-04-23.csv,10.03,10.14,10.1,10.11,"7,071"
89,NMBHF1,2017-04-24.csv,10.11,10.2,9.9,10.0,"16,725"
92,NMBHF1,2017-04-25.csv,10.0,10.2,10.0,10.0,"4,368"
89,NMBHF1,2017-04-27.csv,10.0,10.18,10.0,10.1,"15,433"
89,NMBHF1,2017-04-30.csv,10.1,10.1,9.95,10.0,"19,954"
89,NMBHF1,2017-05-02.csv,10.0,10.15,10.0,10.15,"2,496"
90,NMBHF1,2017-05-03.csv,10.15,10.19,10.0,10.19,"16,482"
90,NMBHF1,2017-05-04.csv,10.19,10.09,10.01,10.02,"32,989"
90,NMBHF1,2017-05-07.csv,10.02,10.0,10.0,10.0,"3,329"
90,NMBHF1,2017-05-08.csv,10.0,10.1,9.91,10.1,"4,524"
88,NMBHF1,2017-05-09.csv,10.1,10.1,10.0,10.1,"15,859"
90,NMBHF1,2017-05-11.csv,10.1,10.05,10.01,10.05,"23,194"
88,NMBHF1,2017-05-15.csv,10.05,10.1,10.04,10.04,"16,825"
85,NMBHF1,2017-05-16.csv,10.04,10.1,10.0,10.1,"22,622"
88,NMBHF1,2017-05-17.csv,10.1,10.01,10.0,10.0,"2,414"
91,NMBHF1,2017-05-18.csv,10.0,10.03,10.0,10.0,"8,321"
92,NMBHF1,2017-05-21.csv,10.0,10.05,10.0,10.0,"54,507"
89,NMBHF1,2017-05-22.csv,10.0,10.01,10.0,10.0,"8,488"
92,NMBHF1,2017-05-23.csv,10.0,10.0,10.0,10.0,"10,568"
91,NMBHF1,2017-05-24.csv,10.0,10.1,9.99,10.0,"20,972"
89,NMBHF1,2017-05-28.csv,10.0,10.1,9.85,10.05,"54,881"
92,NMBHF1,2017-05-30.csv,10.05,10.2,10.0,10.0,"46,179"
89,NMBHF1,2017-05-31.csv,10.0,10.05,9.9,9.9,"24,551"
91,NMBHF1,2017-06-01.csv,9.9,10.0,9.98,10.0,"5,577"
90,NMBHF1,2017-06-04.csv,10.0,10.0,10.0,10.0,"2,080"
91,NMBHF1,2017-06-05.csv,10.0,10.01,10.0,10.0,"51,308"
90,NMBHF1,2017-06-06.csv,10.0,10.05,10.0,10.05,"18,321"
93,NMBHF1,2017-06-07.csv,10.05,10.05,10.0,10.0,"24,966"
89,NMBHF1,2017-06-08.csv,10.0,10.0,9.93,10.0,"14,301"
89,NMBHF1,2017-06-11.csv,10.0,10.0,9.95,9.95,"22,274"
88,NMBHF1,2017-06-13.csv,9.95,10.0,9.95,9.95,"5,245"
90,NMBHF1,2017-06-14.csv,9.95,9.98,9.9,9.9,"10,402"
91,NMBHF1,2017-06-15.csv,9.9,10.0,9.9,10.0,"20,047"
