S.no,Symbol,Date,Open,High,Low,Close,Vol
78,NMBMF,2016-05-08.csv,1090.0,1144.0,1144.0,1144.0,40
78,NMBMF,2016-05-11.csv,1144.0,1166.0,1166.0,1166.0,10
74,NMBMF,2016-05-17.csv,1166.0,1224.0,1224.0,1224.0,10
81,NMBMF,2016-05-18.csv,1224.0,1285.0,1285.0,1285.0,10
79,NMBMF,2016-05-22.csv,1285.0,1375.0,1349.0,1375.0,20
81,NMBMF,2016-05-23.csv,1375.0,1500.0,1443.0,1500.0,40
80,NMBMF,2016-05-24.csv,1500.0,1638.0,1575.0,1638.0,40
80,NMBMF,2016-05-25.csv,1638.0,1703.0,1670.0,1703.0,30
79,NMBMF,2016-05-31.csv,1703.0,1806.0,1737.0,1806.0,30
74,NMBMF,2016-06-02.csv,1806.0,1842.0,1842.0,1842.0,10
77,NMBMF,2016-06-08.csv,1842.0,1855.0,1855.0,1855.0,10
80,NMBMF,2016-06-13.csv,1855.0,2024.0,1947.0,2024.0,30
75,NMBMF,2016-06-14.csv,2024.0,2105.0,2064.0,2105.0,20
76,NMBMF,2016-06-15.csv,2105.0,2315.0,2147.0,2315.0,70
81,NMBMF,2016-06-16.csv,2315.0,2361.0,2361.0,2361.0,10
80,NMBMF,2016-06-19.csv,2361.0,2578.0,2479.0,2578.0,30
76,NMBMF,2016-06-20.csv,2578.0,2681.0,2629.0,2681.0,60
75,NMBMF,2016-06-21.csv,2681.0,2949.0,2734.0,2949.0,50
78,NMBMF,2016-06-22.csv,2949.0,3243.0,3007.0,3243.0,160
76,NMBMF,2016-06-23.csv,3243.0,3567.0,3307.0,3567.0,950
78,NMBMF,2016-06-26.csv,3567.0,3923.0,3540.0,3600.0,"2,847"
75,NMBMF,2016-06-27.csv,3600.0,3550.0,3500.0,3500.0,210
77,NMBMF,2016-06-28.csv,3500.0,3551.0,3450.0,3551.0,"1,740"
80,NMBMF,2016-06-29.csv,3551.0,3695.0,3536.0,3635.0,960
81,NMBMF,2016-06-30.csv,3635.0,3835.0,3650.0,3790.0,500
80,NMBMF,2016-07-03.csv,3790.0,4130.0,3781.0,4130.0,"1,655"
81,NMBMF,2016-07-04.csv,4130.0,4136.0,4025.0,4136.0,980
80,NMBMF,2016-07-05.csv,4136.0,4145.0,4070.0,4108.0,320
80,NMBMF,2016-07-06.csv,4108.0,4180.0,4000.0,4151.0,470
85,NMBMF,2016-07-10.csv,4151.0,4220.0,4140.0,4152.0,720
83,NMBMF,2016-07-11.csv,4152.0,4070.0,4015.0,4040.0,380
83,NMBMF,2016-07-12.csv,4040.0,4039.0,4000.0,4030.0,360
86,NMBMF,2016-07-13.csv,4030.0,3953.0,3800.0,3902.0,160
85,NMBMF,2016-07-14.csv,3902.0,4124.0,3980.0,4100.0,320
81,NMBMF,2016-07-17.csv,4100.0,4018.0,3690.0,3690.0,250
82,NMBMF,2016-07-18.csv,3690.0,3748.0,3333.0,3711.0,"1,220"
83,NMBMF,2016-07-19.csv,3711.0,3835.0,3650.0,3835.0,590
85,NMBMF,2016-07-20.csv,3835.0,3800.0,3701.0,3800.0,490
83,NMBMF,2016-07-21.csv,3800.0,3750.0,3640.0,3640.0,150
88,NMBMF,2016-07-25.csv,3640.0,3800.0,3570.0,3800.0,140
85,NMBMF,2016-07-26.csv,3800.0,4180.0,3870.0,4180.0,"1,153"
88,NMBMF,2016-07-27.csv,4180.0,4434.0,4200.0,4298.0,720
87,NMBMF,2016-07-28.csv,4298.0,4380.0,4132.0,4380.0,820
82,NMBMF,2016-07-31.csv,4380.0,4350.0,4260.0,4316.0,460
85,NMBMF,2016-08-01.csv,4316.0,4299.0,4250.0,4275.0,200
83,NMBMF,2016-08-02.csv,4275.0,4300.0,4230.0,4238.0,210
82,NMBMF,2016-08-03.csv,4238.0,4456.0,4155.0,4456.0,890
83,NMBMF,2016-08-04.csv,4456.0,4400.0,4400.0,4400.0,50
84,NMBMF,2016-08-07.csv,4400.0,4350.0,4155.0,4161.0,454
79,NMBMF,2016-08-08.csv,4161.0,4161.0,4100.0,4100.0,443
85,NMBMF,2016-08-10.csv,4100.0,4200.0,4067.0,4105.0,292
86,NMBMF,2016-08-11.csv,4105.0,4299.0,4152.0,4155.0,200
81,NMBMF,2016-08-14.csv,4155.0,4220.0,4102.0,4200.0,275
82,NMBMF,2016-08-15.csv,4200.0,4120.0,4031.0,4035.0,180
85,NMBMF,2016-08-16.csv,4035.0,4060.0,4035.0,4045.0,126
86,NMBMF,2016-08-17.csv,4045.0,4161.0,4053.0,4161.0,252
84,NMBMF,2016-08-21.csv,4161.0,4160.0,4038.0,4038.0,305
80,NMBMF,2016-08-22.csv,4038.0,4118.0,3960.0,3965.0,116
80,NMBMF,2016-08-23.csv,3965.0,4010.0,3950.0,4010.0,180
84,NMBMF,2016-08-24.csv,4010.0,4010.0,4000.0,4010.0,53
85,NMBMF,2016-08-28.csv,4010.0,4050.0,3950.0,4050.0,272
79,NMBMF,2016-08-29.csv,4050.0,4050.0,3950.0,4000.0,468
