S.no,Symbol,Date,Open,High,Low,Close,Vol
59,NMBPO,2012-08-30.csv,135.0,135.0,135.0,135.0,"19,375"
56,NMBPO,2013-10-28.csv,135.0,135.0,135.0,135.0,"2,000"
83,NMBPO,2014-05-18.csv,135.0,133.0,133.0,133.0,"26,087"
94,NMBPO,2014-06-01.csv,133.0,131.0,131.0,131.0,"50,000"
96,NMBPO,2014-08-18.csv,131.0,133.0,133.0,133.0,"97,271"
77,NMBPO,2014-08-26.csv,133.0,133.0,133.0,133.0,"12,000"
81,NMBPO,2016-01-14.csv,223.0,223.0,223.0,223.0,"27,520"
59,NMBPO,2016-01-25.csv,223.0,223.0,223.0,223.0,"12,000"
80,NMBPO,2016-08-29.csv,425.0,420.0,420.0,420.0,"15,276"
84,NMBPO,2016-12-19.csv,400.0,400.0,400.0,400.0,"42,781"
85,NMBPO,2016-12-20.csv,400.0,400.0,400.0,400.0,"13,280"
85,NMBPO,2017-01-26.csv,400.0,392.0,359.0,359.0,"2,500"
77,NMBPO,2017-01-30.csv,359.0,352.0,327.0,327.0,"2,500"
82,NMBPO,2017-01-31.csv,327.0,321.0,297.0,297.0,"2,500"
85,NMBPO,2017-02-01.csv,297.0,292.0,268.0,268.0,"3,000"
83,NMBPO,2017-02-02.csv,268.0,263.0,250.0,250.0,"37,500"
91,NMBPO,2017-06-08.csv,297.0,292.0,292.0,292.0,"1,000"
91,NMBPO,2017-06-11.csv,292.0,287.0,267.0,267.0,"176,949"
91,NMBPO,2017-07-03.csv,267.0,265.0,265.0,265.0,"65,330"
95,NMBPO,2017-07-12.csv,265.0,265.0,265.0,265.0,"35,678"
97,NMBPO,2017-07-24.csv,265.0,266.0,266.0,266.0,"13,091"
104,NMBPO,2017-09-13.csv,266.0,266.0,266.0,266.0,"18,178"
101,NMBPO,2017-12-21.csv,266.0,266.0,266.0,266.0,"4,417"
105,NMBPO,2018-07-30.csv,181.0,181.0,180.0,180.0,"39,344"
103,NMBPO,2018-12-06.csv,225.0,225.0,225.0,225.0,"8,465"
103,NMBPO,2018-12-25.csv,204.0,204.0,204.0,204.0,"16,930"
93,NMBPO,2019-11-17.csv,204.0,204.0,200.0,200.0,"2,576"
99,NMBPO,2019-11-19.csv,204.0,205.0,204.0,205.0,"100,000"
95,NMBPO,2019-12-02.csv,205.0,205.0,205.0,205.0,"30,000"
102,NMBPO,2019-12-10.csv,205.0,205.0,205.0,205.0,"45,132"
103,NMBPO,2019-12-19.csv,205.0,205.0,205.0,205.0,"7,450"
102,NMBPO,2019-12-24.csv,205.0,205.0,205.0,205.0,"16,930"
