S.no,Symbol,Date,Open,High,Low,Close,Vol
83,NMFBS,2017-02-08.csv,0.0,506.0,506.0,506.0,10
84,NMFBS,2017-02-14.csv,506.0,516.0,516.0,516.0,10
89,NMFBS,2017-02-19.csv,516.0,567.0,526.0,567.0,"1,000"
79,NMFBS,2017-02-23.csv,567.0,600.0,578.0,600.0,40
86,NMFBS,2017-03-14.csv,600.0,612.0,612.0,612.0,10
87,NMFBS,2017-03-20.csv,612.0,624.0,624.0,624.0,10
91,NMFBS,2017-03-21.csv,624.0,648.0,636.0,648.0,30
90,NMFBS,2017-04-09.csv,648.0,660.0,660.0,660.0,19
93,NMFBS,2017-04-11.csv,648.0,680.0,680.0,680.0,29
93,NMFBS,2017-04-13.csv,680.0,693.0,693.0,693.0,10
92,NMFBS,2017-05-02.csv,693.0,706.0,706.0,706.0,10
94,NMFBS,2017-05-18.csv,706.0,741.0,741.0,741.0,20
92,NMFBS,2017-05-22.csv,741.0,815.0,755.0,815.0,70
94,NMFBS,2017-05-24.csv,815.0,863.0,831.0,863.0,30
95,NMFBS,2017-05-30.csv,863.0,914.0,880.0,914.0,30
93,NMFBS,2017-06-06.csv,914.0,932.0,932.0,932.0,40
93,NMFBS,2017-06-08.csv,914.0,932.0,932.0,932.0,10
87,NMFBS,2017-06-12.csv,932.0,997.0,978.0,997.0,29
91,NMFBS,2017-06-13.csv,997.0,1036.0,1016.0,1036.0,20
92,NMFBS,2017-06-14.csv,1036.0,1056.0,1056.0,1056.0,10
94,NMFBS,2017-06-15.csv,1036.0,1119.0,1056.0,1119.0,58
87,NMFBS,2017-06-20.csv,1119.0,1186.0,1141.0,1186.0,30
98,NMFBS,2017-06-21.csv,1186.0,1233.0,1209.0,1233.0,30
94,NMFBS,2017-06-27.csv,1233.0,1294.0,1294.0,1294.0,10
93,NMFBS,2017-07-03.csv,1294.0,1345.0,1319.0,1345.0,39
92,NMFBS,2017-07-04.csv,1345.0,1371.0,1371.0,1371.0,39
92,NMFBS,2017-07-05.csv,1371.0,1425.0,1398.0,1425.0,20
94,NMFBS,2017-07-06.csv,1425.0,1453.0,1453.0,1453.0,10
95,NMFBS,2017-07-10.csv,1453.0,1511.0,1482.0,1511.0,20
97,NMFBS,2017-07-12.csv,1511.0,1571.0,1541.0,1571.0,30
98,NMFBS,2017-07-13.csv,1571.0,1714.0,1649.0,1714.0,50
94,NMFBS,2017-07-16.csv,1714.0,1782.0,1748.0,1782.0,20
101,NMFBS,2017-07-17.csv,1782.0,1927.0,1817.0,1927.0,140
100,NMFBS,2017-07-19.csv,1927.0,1965.0,1965.0,1965.0,10
100,NMFBS,2017-07-20.csv,1965.0,2004.0,2004.0,2004.0,20
101,NMFBS,2017-07-25.csv,2004.0,2084.0,2044.0,2084.0,20
102,NMFBS,2017-07-26.csv,2084.0,2167.0,2125.0,2167.0,30
97,NMFBS,2017-07-27.csv,2167.0,2299.0,2210.0,2299.0,30
98,NMFBS,2017-07-30.csv,2299.0,2528.0,2344.0,2528.0,123
99,NMFBS,2017-07-31.csv,2528.0,2780.0,2578.0,2780.0,80
102,NMFBS,2017-08-01.csv,2780.0,3058.0,2919.0,3058.0,152
103,NMFBS,2017-08-02.csv,3058.0,3363.0,3119.0,3363.0,"1,369"
107,NMFBS,2017-08-03.csv,3363.0,3699.0,3430.0,3699.0,"8,523"
103,NMFBS,2017-08-06.csv,3699.0,3855.0,3650.0,3855.0,"11,155"
102,NMFBS,2017-08-07.csv,3855.0,3860.0,3761.0,3795.0,"5,405"
105,NMFBS,2017-08-09.csv,3795.0,3805.0,3750.0,3761.0,"3,152"
106,NMFBS,2017-08-10.csv,3761.0,3761.0,3723.0,3725.0,"2,559"
106,NMFBS,2017-08-13.csv,3725.0,3798.0,3561.0,3580.0,"1,769"
104,NMFBS,2017-08-15.csv,3580.0,3630.0,3500.0,3630.0,"1,928"
105,NMFBS,2017-08-16.csv,3630.0,3695.0,3562.0,3660.0,"1,838"
107,NMFBS,2017-08-17.csv,3660.0,3651.0,3600.0,3643.0,"1,551"
102,NMFBS,2017-08-20.csv,3643.0,3635.0,3600.0,3601.0,"2,129"
102,NMFBS,2017-08-21.csv,3601.0,3600.0,3550.0,3571.0,835
107,NMFBS,2017-08-22.csv,3571.0,3600.0,3510.0,3570.0,"1,476"
104,NMFBS,2017-08-23.csv,3570.0,3570.0,3512.0,3565.0,542
102,NMFBS,2017-08-24.csv,3565.0,3595.0,3511.0,3580.0,"1,072"
106,NMFBS,2017-08-27.csv,3580.0,3650.0,3565.0,3582.0,"1,155"
101,NMFBS,2017-08-28.csv,3582.0,3635.0,3515.0,3635.0,"1,980"
97,NMFBS,2017-08-30.csv,3635.0,3683.0,3611.0,3650.0,"2,153"
105,NMFBS,2017-08-31.csv,3650.0,3650.0,3606.0,3619.0,658
100,NMFBS,2017-09-04.csv,3619.0,3630.0,3595.0,3612.0,"1,114"
108,NMFBS,2017-09-06.csv,3612.0,3670.0,3555.0,3630.0,645
103,NMFBS,2017-09-07.csv,3630.0,3710.0,3630.0,3644.0,758
104,NMFBS,2017-09-10.csv,3644.0,3620.0,3581.0,3587.0,"2,231"
102,NMFBS,2017-09-11.csv,3587.0,3660.0,3520.0,3660.0,"1,368"
99,NMFBS,2017-09-12.csv,3660.0,3660.0,3587.0,3650.0,"1,675"
106,NMFBS,2017-09-13.csv,3650.0,3690.0,3582.0,3582.0,"1,415"
105,NMFBS,2017-09-14.csv,3582.0,3560.0,3224.0,3224.0,"1,914"
104,NMFBS,2017-09-17.csv,3224.0,3280.0,3097.0,3260.0,"3,981"
107,NMFBS,2017-09-18.csv,3260.0,3391.0,3261.0,3350.0,"1,253"
104,NMFBS,2017-09-20.csv,3350.0,3370.0,3235.0,3301.0,253
102,NMFBS,2017-09-24.csv,3301.0,3320.0,3260.0,3320.0,256
99,NMFBS,2017-09-25.csv,3320.0,3350.0,3287.0,3350.0,233
99,NMFBS,2017-09-26.csv,3350.0,3350.0,3349.0,3350.0,62
78,NMFBS,2017-10-03.csv,3350.0,3350.0,3320.0,3350.0,259
92,NMFBS,2017-10-04.csv,3350.0,3360.0,3330.0,3345.0,317
100,NMFBS,2017-10-08.csv,3345.0,3305.0,3250.0,3255.0,551
98,NMFBS,2017-10-09.csv,3255.0,3275.0,3250.0,3255.0,644
101,NMFBS,2017-10-10.csv,3255.0,3250.0,3220.0,3220.0,195
109,NMFBS,2017-10-11.csv,3220.0,3264.0,3201.0,3222.0,580
100,NMFBS,2017-10-12.csv,3222.0,3222.0,3191.0,3200.0,"1,176"
100,NMFBS,2017-10-15.csv,3200.0,3250.0,3185.0,3200.0,339
107,NMFBS,2017-10-16.csv,3200.0,3264.0,3200.0,3220.0,366
107,NMFBS,2017-10-17.csv,3220.0,3240.0,3160.0,3166.0,768
96,NMFBS,2017-10-22.csv,3166.0,3210.0,3160.0,3205.0,805
102,NMFBS,2017-10-23.csv,3205.0,3245.0,3200.0,3245.0,80
107,NMFBS,2017-10-24.csv,3245.0,3240.0,3182.0,3184.0,76
102,NMFBS,2017-10-25.csv,3184.0,3184.0,3101.0,3149.0,"1,809"
104,NMFBS,2017-10-29.csv,3149.0,3130.0,3115.0,3115.0,332
105,NMFBS,2017-10-30.csv,3115.0,3070.0,3040.0,3041.0,"2,646"
107,NMFBS,2017-10-31.csv,3041.0,3110.0,3000.0,3110.0,141
105,NMFBS,2017-11-01.csv,3110.0,3049.0,3000.0,3020.0,186
102,NMFBS,2017-11-02.csv,3020.0,3025.0,2960.0,2960.0,925
106,NMFBS,2017-11-05.csv,2960.0,2910.0,2890.0,2910.0,970
107,NMFBS,2017-11-06.csv,2910.0,2960.0,2852.0,2900.0,"1,621"
104,NMFBS,2017-11-07.csv,2900.0,2900.0,2855.0,2855.0,379
107,NMFBS,2017-11-08.csv,2855.0,2890.0,2815.0,2890.0,726
103,NMFBS,2017-11-09.csv,2890.0,2938.0,2875.0,2889.0,638
104,NMFBS,2017-11-12.csv,2889.0,2900.0,2880.0,2900.0,115
104,NMFBS,2017-11-13.csv,2900.0,2898.0,2854.0,2890.0,315
108,NMFBS,2017-11-14.csv,2890.0,3000.0,2890.0,2980.0,230
103,NMFBS,2017-11-15.csv,2980.0,3000.0,2975.0,2975.0,441
107,NMFBS,2017-11-16.csv,2975.0,2943.0,2930.0,2942.0,379
105,NMFBS,2017-11-19.csv,2942.0,2941.0,2884.0,2941.0,272
107,NMFBS,2017-11-20.csv,2941.0,2950.0,2870.0,2870.0,120
