S.no,Symbol,Date,Open,High,Low,Close,Vol
78,NNLB,2014-03-17.csv,0.0,352.0,352.0,352.0,20
69,NNLB,2014-03-18.csv,352.0,366.0,359.0,366.0,20
75,NNLB,2014-03-20.csv,366.0,366.0,366.0,366.0,10
75,NNLB,2014-03-23.csv,366.0,402.0,373.0,402.0,60
77,NNLB,2014-03-24.csv,402.0,426.0,410.0,426.0,52
76,NNLB,2014-03-25.csv,426.0,468.0,434.0,468.0,84
83,NNLB,2014-03-26.csv,468.0,477.0,477.0,477.0,10
80,NNLB,2014-03-27.csv,477.0,495.0,486.0,495.0,20
84,NNLB,2014-04-02.csv,495.0,534.0,504.0,534.0,40
82,NNLB,2014-04-06.csv,534.0,587.0,544.0,587.0,297
73,NNLB,2014-04-07.csv,587.0,587.0,587.0,587.0,30
78,NNLB,2014-04-09.csv,587.0,598.0,598.0,598.0,10
77,NNLB,2014-04-10.csv,598.0,598.0,598.0,598.0,20
80,NNLB,2014-04-13.csv,598.0,598.0,598.0,598.0,10
77,NNLB,2014-04-15.csv,598.0,633.0,609.0,633.0,30
73,NNLB,2014-04-16.csv,633.0,696.0,645.0,696.0,415
79,NNLB,2014-04-17.csv,696.0,765.0,709.0,765.0,231
81,NNLB,2014-04-20.csv,765.0,841.0,780.0,841.0,560
80,NNLB,2014-04-21.csv,841.0,908.0,779.0,891.0,"4,173"
79,NNLB,2014-04-22.csv,891.0,900.0,835.0,870.0,"1,792"
81,NNLB,2014-04-23.csv,870.0,887.0,840.0,880.0,"2,109"
78,NNLB,2014-04-27.csv,880.0,877.0,846.0,848.0,479
80,NNLB,2014-04-28.csv,848.0,850.0,840.0,840.0,636
83,NNLB,2014-04-29.csv,840.0,870.0,831.0,845.0,340
78,NNLB,2014-04-30.csv,845.0,869.0,840.0,840.0,732
76,NNLB,2014-05-04.csv,840.0,870.0,832.0,870.0,"1,114"
73,NNLB,2014-05-05.csv,870.0,904.0,880.0,880.0,560
84,NNLB,2014-05-06.csv,880.0,950.0,897.0,915.0,"1,550"
88,NNLB,2014-05-07.csv,915.0,966.0,922.0,966.0,"1,541"
80,NNLB,2014-05-08.csv,966.0,985.0,915.0,960.0,"1,349"
84,NNLB,2014-05-11.csv,960.0,941.0,923.0,923.0,130
84,NNLB,2014-05-12.csv,923.0,920.0,873.0,890.0,238
84,NNLB,2014-05-13.csv,890.0,946.0,874.0,940.0,422
154,NNLB,2014-05-15.csv,940.0,922.0,922.0,922.0,30
155,NNLB,2014-05-15.csv,940.0,922.0,922.0,922.0,30
85,NNLB,2014-05-18.csv,922.0,922.0,870.0,870.0,250
80,NNLB,2014-05-19.csv,870.0,932.0,855.0,879.0,552
86,NNLB,2014-05-20.csv,879.0,918.0,896.0,918.0,500
83,NNLB,2014-05-21.csv,918.0,900.0,870.0,885.0,151
92,NNLB,2014-05-22.csv,885.0,885.0,869.0,885.0,201
85,NNLB,2014-05-25.csv,885.0,902.0,902.0,902.0,10
88,NNLB,2014-05-26.csv,902.0,884.0,875.0,875.0,121
84,NNLB,2014-05-27.csv,875.0,875.0,861.0,861.0,192
89,NNLB,2014-05-28.csv,861.0,878.0,860.0,878.0,221
96,NNLB,2014-06-01.csv,878.0,890.0,861.0,890.0,70
88,NNLB,2014-06-02.csv,890.0,900.0,873.0,890.0,190
94,NNLB,2014-06-03.csv,890.0,907.0,907.0,907.0,10
85,NNLB,2014-06-04.csv,907.0,905.0,836.0,855.0,260
86,NNLB,2014-06-05.csv,855.0,856.0,822.0,835.0,242
82,NNLB,2014-06-08.csv,835.0,821.0,820.0,821.0,20
87,NNLB,2014-06-09.csv,821.0,851.0,834.0,835.0,60
88,NNLB,2014-06-10.csv,835.0,855.0,819.0,855.0,100
92,NNLB,2014-06-11.csv,855.0,924.0,872.0,924.0,40
87,NNLB,2014-06-12.csv,924.0,925.0,925.0,925.0,10
81,NNLB,2014-06-15.csv,925.0,907.0,907.0,907.0,100
86,NNLB,2014-06-19.csv,907.0,889.0,889.0,889.0,60
82,NNLB,2014-06-24.csv,889.0,884.0,867.0,884.0,70
80,NNLB,2014-06-29.csv,884.0,901.0,901.0,901.0,49
86,NNLB,2014-06-30.csv,901.0,884.0,884.0,884.0,162
94,NNLB,2014-07-01.csv,884.0,867.0,867.0,867.0,30
83,NNLB,2014-07-02.csv,867.0,850.0,850.0,850.0,280
87,NNLB,2014-07-03.csv,850.0,845.0,845.0,845.0,91
91,NNLB,2014-07-06.csv,845.0,898.0,860.0,898.0,109
101,NNLB,2014-07-07.csv,898.0,933.0,915.0,933.0,20
95,NNLB,2014-07-20.csv,915.0,1006.0,897.0,1000.0,"3,040"
95,NNLB,2014-07-21.csv,1000.0,1100.0,1000.0,1036.0,"3,155"
98,NNLB,2014-07-22.csv,1036.0,1020.0,962.0,999.0,"1,605"
97,NNLB,2014-07-23.csv,999.0,1005.0,985.0,985.0,943
98,NNLB,2014-07-24.csv,985.0,966.0,932.0,935.0,447
99,NNLB,2014-07-30.csv,935.0,920.0,900.0,900.0,241
99,NNLB,2014-07-31.csv,900.0,882.0,850.0,852.0,84
98,NNLB,2014-08-03.csv,852.0,835.0,835.0,835.0,10
89,NNLB,2014-08-04.csv,835.0,820.0,820.0,820.0,70
96,NNLB,2014-08-05.csv,820.0,830.0,815.0,830.0,20
95,NNLB,2014-08-06.csv,830.0,846.0,835.0,835.0,367
92,NNLB,2014-08-07.csv,835.0,819.0,819.0,819.0,10
81,NNLB,2014-08-12.csv,819.0,835.0,835.0,835.0,100
83,NNLB,2014-08-13.csv,835.0,823.0,806.0,823.0,100
89,NNLB,2014-08-14.csv,823.0,830.0,825.0,825.0,191
98,NNLB,2014-08-18.csv,825.0,809.0,784.0,784.0,70
88,NNLB,2014-08-19.csv,784.0,799.0,784.0,799.0,211
86,NNLB,2014-08-20.csv,799.0,790.0,790.0,790.0,130
81,NNLB,2014-08-21.csv,790.0,800.0,800.0,800.0,50
89,NNLB,2014-08-24.csv,800.0,816.0,770.0,816.0,140
76,NNLB,2014-08-25.csv,816.0,810.0,795.0,795.0,131
88,NNLB,2014-08-27.csv,795.0,790.0,775.0,781.0,557
89,NNLB,2014-08-28.csv,781.0,796.0,796.0,796.0,10
86,NNLB,2014-08-31.csv,796.0,811.0,811.0,811.0,10
82,NNLB,2014-09-01.csv,811.0,800.0,784.0,790.0,308
74,NNLB,2014-09-03.csv,790.0,805.0,775.0,775.0,382
85,NNLB,2014-09-04.csv,775.0,775.0,760.0,760.0,120
79,NNLB,2014-09-07.csv,760.0,745.0,718.0,718.0,90
86,NNLB,2014-09-09.csv,718.0,732.0,704.0,732.0,54
81,NNLB,2014-09-11.csv,732.0,730.0,730.0,730.0,40
78,NNLB,2014-09-14.csv,730.0,733.0,721.0,725.0,90
85,NNLB,2014-09-15.csv,725.0,740.0,720.0,740.0,529
82,NNLB,2014-09-16.csv,740.0,769.0,730.0,755.0,378
85,NNLB,2014-09-17.csv,755.0,762.0,740.0,761.0,334
87,NNLB,2014-09-18.csv,761.0,765.0,765.0,765.0,192
81,NNLB,2014-09-21.csv,765.0,755.0,740.0,740.0,30
79,NNLB,2014-09-23.csv,740.0,726.0,706.0,720.0,336
83,NNLB,2014-09-24.csv,720.0,720.0,706.0,706.0,107
92,NNLB,2014-09-28.csv,706.0,715.0,703.0,704.0,250
