S.no,Symbol,Date,Open,High,Low,Close,Vol
53,NTC,2012-01-01.csv,422.0,430.0,425.0,427.0,450
49,NTC,2012-01-02.csv,427.0,436.0,420.0,436.0,"1,055"
50,NTC,2012-01-03.csv,436.0,435.0,430.0,435.0,"1,270"
51,NTC,2012-01-04.csv,435.0,437.0,425.0,425.0,"2,020"
44,NTC,2012-01-05.csv,425.0,435.0,420.0,435.0,"1,040"
43,NTC,2012-01-08.csv,435.0,434.0,427.0,427.0,"1,885"
49,NTC,2012-01-09.csv,427.0,437.0,424.0,430.0,"2,855"
47,NTC,2012-01-10.csv,435.0,446.0,435.0,438.0,"2,310"
54,NTC,2012-01-11.csv,438.0,440.0,433.0,439.0,"2,800"
53,NTC,2012-01-12.csv,439.0,440.0,438.0,439.0,650
44,NTC,2012-01-16.csv,439.0,443.0,440.0,443.0,"2,205"
49,NTC,2012-01-17.csv,443.0,448.0,448.0,448.0,100
50,NTC,2012-01-18.csv,448.0,450.0,440.0,440.0,"1,100"
35,NTC,2012-01-19.csv,440.0,440.0,438.0,438.0,"1,260"
58,NTC,2012-01-22.csv,438.0,444.0,435.0,444.0,385
57,NTC,2012-01-23.csv,444.0,438.0,435.0,437.0,875
46,NTC,2012-01-25.csv,437.0,438.0,434.0,436.0,980
53,NTC,2012-01-26.csv,436.0,436.0,436.0,436.0,"1,490"
56,NTC,2012-01-29.csv,436.0,439.0,432.0,436.0,"6,345"
59,NTC,2012-01-31.csv,436.0,439.0,434.0,436.0,950
56,NTC,2012-02-01.csv,436.0,439.0,434.0,439.0,410
55,NTC,2012-02-02.csv,439.0,438.0,431.0,438.0,"2,000"
54,NTC,2012-02-05.csv,438.0,435.0,435.0,435.0,600
54,NTC,2012-02-06.csv,435.0,436.0,433.0,433.0,"4,205"
55,NTC,2012-02-07.csv,433.0,438.0,433.0,433.0,"2,280"
51,NTC,2012-02-08.csv,433.0,436.0,431.0,434.0,"2,770"
41,NTC,2012-02-09.csv,434.0,436.0,433.0,435.0,"1,090"
60,NTC,2012-02-12.csv,435.0,435.0,433.0,433.0,"2,375"
52,NTC,2012-02-13.csv,433.0,437.0,433.0,435.0,"1,630"
49,NTC,2012-02-14.csv,435.0,437.0,435.0,435.0,"1,965"
56,NTC,2012-02-15.csv,435.0,437.0,435.0,436.0,"4,900"
54,NTC,2012-02-16.csv,436.0,441.0,438.0,441.0,855
54,NTC,2012-02-21.csv,441.0,443.0,441.0,441.0,"1,835"
51,NTC,2012-02-23.csv,441.0,446.0,444.0,445.0,"10,500"
56,NTC,2012-02-26.csv,445.0,444.0,440.0,444.0,"2,700"
58,NTC,2012-02-27.csv,444.0,447.0,443.0,445.0,"1,260"
50,NTC,2012-02-28.csv,445.0,453.0,445.0,447.0,"3,350"
51,NTC,2012-02-29.csv,447.0,449.0,447.0,449.0,"1,195"
52,NTC,2012-03-01.csv,449.0,452.0,447.0,452.0,"2,660"
52,NTC,2012-03-04.csv,452.0,453.0,447.0,447.0,"1,640"
51,NTC,2012-03-05.csv,447.0,452.0,448.0,448.0,"1,375"
58,NTC,2012-03-06.csv,448.0,447.0,447.0,447.0,445
53,NTC,2012-03-11.csv,447.0,453.0,447.0,452.0,"4,930"
50,NTC,2012-03-12.csv,452.0,454.0,447.0,449.0,"5,030"
53,NTC,2012-03-13.csv,449.0,451.0,445.0,450.0,"10,610"
47,NTC,2012-03-14.csv,450.0,453.0,448.0,450.0,"2,655"
42,NTC,2012-03-15.csv,450.0,455.0,448.0,448.0,"2,280"
56,NTC,2012-03-18.csv,448.0,440.0,404.0,405.0,"2,055"
51,NTC,2012-03-19.csv,405.0,406.0,404.0,404.0,600
54,NTC,2012-03-20.csv,404.0,405.0,400.0,400.0,"1,200"
55,NTC,2012-03-21.csv,400.0,405.0,404.0,405.0,640
49,NTC,2012-03-25.csv,405.0,407.0,404.0,406.0,"1,070"
48,NTC,2012-03-26.csv,406.0,405.0,401.0,405.0,800
56,NTC,2012-03-27.csv,405.0,406.0,401.0,406.0,"1,160"
52,NTC,2012-03-28.csv,406.0,408.0,405.0,406.0,520
51,NTC,2012-03-29.csv,406.0,406.0,400.0,400.0,715
51,NTC,2012-04-01.csv,400.0,403.0,402.0,402.0,450
