S.no,Symbol,Date,Open,High,Low,Close,Vol
57,NUBL,2012-02-01.csv,196.0,181.0,181.0,181.0,89
53,NUBL,2012-03-04.csv,181.0,184.0,184.0,184.0,20
50,NUBL,2012-04-03.csv,184.0,181.0,181.0,181.0,370
55,NUBL,2012-04-12.csv,181.0,178.0,178.0,178.0,20
39,NUBL,2012-04-16.csv,178.0,178.0,178.0,178.0,30
62,NUBL,2012-04-19.csv,178.0,181.0,181.0,181.0,363
62,NUBL,2012-04-29.csv,181.0,181.0,181.0,181.0,345
62,NUBL,2012-05-09.csv,181.0,184.0,184.0,184.0,58
54,NUBL,2012-05-24.csv,184.0,181.0,178.0,178.0,621
50,NUBL,2012-06-06.csv,178.0,175.0,175.0,175.0,47
51,NUBL,2012-06-14.csv,175.0,178.0,169.0,169.0,579
51,NUBL,2012-06-17.csv,169.0,169.0,169.0,169.0,29
54,NUBL,2012-06-19.csv,169.0,167.0,167.0,167.0,13
51,NUBL,2012-07-02.csv,167.0,164.0,164.0,164.0,21
52,NUBL,2012-07-17.csv,164.0,161.0,158.0,161.0,114
57,NUBL,2012-07-22.csv,161.0,160.0,160.0,160.0,212
58,NUBL,2012-07-26.csv,160.0,160.0,160.0,160.0,83
58,NUBL,2012-07-30.csv,160.0,157.0,157.0,157.0,14
58,NUBL,2012-08-12.csv,157.0,154.0,154.0,154.0,392
57,NUBL,2012-08-26.csv,154.0,154.0,151.0,151.0,642
58,NUBL,2012-08-27.csv,151.0,152.0,152.0,152.0,207
62,NUBL,2012-08-28.csv,152.0,166.0,155.0,166.0,537
58,NUBL,2012-08-29.csv,166.0,169.0,169.0,169.0,50
61,NUBL,2012-08-30.csv,169.0,172.0,172.0,172.0,40
61,NUBL,2012-09-02.csv,172.0,181.0,175.0,181.0,451
59,NUBL,2012-09-03.csv,181.0,190.0,184.0,190.0,480
58,NUBL,2012-09-04.csv,190.0,193.0,193.0,193.0,29
63,NUBL,2012-10-10.csv,193.0,190.0,190.0,190.0,199
64,NUBL,2012-10-11.csv,190.0,187.0,181.0,181.0,743
50,NUBL,2012-10-15.csv,181.0,178.0,178.0,178.0,207
59,NUBL,2012-10-18.csv,178.0,176.0,176.0,176.0,31
66,NUBL,2012-11-06.csv,176.0,178.0,175.0,175.0,189
57,NUBL,2012-11-11.csv,175.0,175.0,175.0,175.0,107
57,NUBL,2012-11-26.csv,175.0,178.0,178.0,178.0,107
52,NUBL,2012-11-28.csv,178.0,176.0,176.0,176.0,31
52,NUBL,2012-12-12.csv,176.0,189.0,171.0,189.0,"1,155"
54,NUBL,2012-12-13.csv,189.0,207.0,192.0,207.0,535
55,NUBL,2012-12-16.csv,207.0,200.0,200.0,200.0,500
51,NUBL,2012-12-18.csv,200.0,200.0,200.0,200.0,168
55,NUBL,2012-12-19.csv,200.0,201.0,201.0,201.0,"1,851"
51,NUBL,2012-12-20.csv,201.0,200.0,200.0,200.0,76
56,NUBL,2013-01-06.csv,200.0,208.0,204.0,208.0,259
49,NUBL,2013-01-10.csv,208.0,204.0,204.0,204.0,502
51,NUBL,2013-01-13.csv,204.0,212.0,208.0,212.0,20
53,NUBL,2013-01-15.csv,212.0,220.0,216.0,220.0,"1,158"
51,NUBL,2013-01-16.csv,220.0,224.0,224.0,224.0,510
58,NUBL,2013-01-17.csv,224.0,228.0,228.0,228.0,50
52,NUBL,2013-01-21.csv,228.0,235.0,232.0,235.0,411
55,NUBL,2013-01-22.csv,235.0,235.0,225.0,225.0,443
58,NUBL,2013-01-23.csv,225.0,225.0,225.0,225.0,153
56,NUBL,2013-01-24.csv,225.0,225.0,225.0,225.0,"2,130"
54,NUBL,2013-01-28.csv,226.0,230.0,230.0,230.0,30
57,NUBL,2013-02-04.csv,230.0,226.0,226.0,226.0,47
56,NUBL,2013-02-05.csv,226.0,222.0,216.0,216.0,715
49,NUBL,2013-02-06.csv,216.0,219.0,207.0,214.0,404
48,NUBL,2013-02-07.csv,214.0,220.0,216.0,220.0,181
54,NUBL,2013-02-10.csv,220.0,232.0,224.0,230.0,"2,465"
53,NUBL,2013-02-12.csv,230.0,233.0,232.0,233.0,136
58,NUBL,2013-02-13.csv,233.0,236.0,232.0,232.0,272
58,NUBL,2013-02-14.csv,232.0,230.0,230.0,230.0,159
40,NUBL,2013-02-17.csv,230.0,234.0,234.0,234.0,124
52,NUBL,2013-02-19.csv,234.0,245.0,238.0,245.0,484
54,NUBL,2013-02-20.csv,245.0,241.0,237.0,237.0,224
52,NUBL,2013-02-21.csv,237.0,233.0,233.0,233.0,17
51,NUBL,2013-02-24.csv,233.0,229.0,225.0,225.0,32
52,NUBL,2013-02-25.csv,225.0,225.0,225.0,225.0,102
57,NUBL,2013-03-07.csv,225.0,226.0,226.0,226.0,227
59,NUBL,2013-03-11.csv,226.0,225.0,225.0,225.0,238
58,NUBL,2013-03-13.csv,225.0,225.0,224.0,225.0,552
53,NUBL,2013-03-14.csv,225.0,229.0,229.0,229.0,10
55,NUBL,2013-03-18.csv,229.0,226.0,226.0,226.0,77
59,NUBL,2013-03-19.csv,226.0,222.0,222.0,222.0,61
57,NUBL,2013-03-21.csv,222.0,226.0,226.0,226.0,49
52,NUBL,2013-03-31.csv,226.0,217.0,217.0,217.0,242
52,NUBL,2013-04-03.csv,217.0,220.0,220.0,220.0,402
61,NUBL,2013-04-11.csv,220.0,221.0,221.0,221.0,70
