S.no,Symbol,Date,Open,High,Low,Close,Vol
82,ODBL,2016-06-08.csv,273.0,300.0,278.0,300.0,60
84,ODBL,2016-06-09.csv,300.0,330.0,306.0,330.0,50
82,ODBL,2016-06-12.csv,330.0,361.0,336.0,361.0,50
85,ODBL,2016-06-13.csv,361.0,397.0,368.0,397.0,60
80,ODBL,2016-06-14.csv,397.0,436.0,404.0,436.0,50
81,ODBL,2016-06-15.csv,436.0,479.0,444.0,479.0,"1,045"
86,ODBL,2016-06-16.csv,479.0,526.0,488.0,526.0,"8,600"
85,ODBL,2016-06-19.csv,526.0,548.0,500.0,505.0,"21,001"
81,ODBL,2016-06-20.csv,505.0,515.0,500.0,507.0,"9,226"
80,ODBL,2016-06-21.csv,507.0,520.0,490.0,520.0,"9,770"
83,ODBL,2016-06-22.csv,520.0,528.0,517.0,517.0,"2,596"
81,ODBL,2016-06-23.csv,517.0,527.0,520.0,520.0,"7,446"
83,ODBL,2016-06-26.csv,520.0,530.0,510.0,525.0,"6,020"
80,ODBL,2016-06-27.csv,525.0,530.0,524.0,529.0,"3,228"
82,ODBL,2016-06-28.csv,529.0,549.0,536.0,547.0,"8,400"
85,ODBL,2016-06-29.csv,547.0,580.0,553.0,579.0,"10,287"
86,ODBL,2016-06-30.csv,579.0,615.0,589.0,603.0,"12,956"
85,ODBL,2016-07-03.csv,603.0,612.0,600.0,605.0,"6,504"
86,ODBL,2016-07-04.csv,605.0,610.0,590.0,595.0,"4,014"
85,ODBL,2016-07-05.csv,595.0,612.0,587.0,593.0,"7,419"
85,ODBL,2016-07-06.csv,593.0,624.0,593.0,624.0,"12,614"
90,ODBL,2016-07-10.csv,624.0,676.0,636.0,662.0,"7,090"
88,ODBL,2016-07-11.csv,662.0,670.0,643.0,658.0,"3,429"
87,ODBL,2016-07-12.csv,658.0,658.0,619.0,627.0,"8,347"
90,ODBL,2016-07-13.csv,627.0,639.0,615.0,627.0,"4,854"
90,ODBL,2016-07-14.csv,627.0,640.0,625.0,630.0,"11,116"
84,ODBL,2016-07-17.csv,630.0,670.0,621.0,645.0,"5,893"
