S.no,Symbol,Date,Open,High,Low,Close,Vol
52,OFL,2012-02-23.csv,205.0,201.0,201.0,201.0,10
57,OFL,2012-02-26.csv,201.0,205.0,205.0,205.0,45
59,OFL,2012-02-27.csv,205.0,207.0,207.0,207.0,30
52,OFL,2012-02-29.csv,207.0,209.0,209.0,209.0,20
54,OFL,2012-03-04.csv,209.0,210.0,210.0,210.0,10
52,OFL,2012-03-05.csv,210.0,210.0,210.0,210.0,50
59,OFL,2012-03-06.csv,210.0,212.0,210.0,212.0,20
54,OFL,2012-03-13.csv,212.0,212.0,204.0,212.0,176
48,OFL,2012-03-14.csv,212.0,212.0,204.0,206.0,116
57,OFL,2012-03-18.csv,206.0,210.0,198.0,199.0,76
52,OFL,2012-03-19.csv,199.0,202.0,201.0,201.0,63
55,OFL,2012-03-20.csv,201.0,205.0,205.0,205.0,57
56,OFL,2012-03-21.csv,205.0,215.0,209.0,215.0,220
49,OFL,2012-03-26.csv,215.0,215.0,215.0,215.0,110
57,OFL,2012-03-27.csv,215.0,220.0,219.0,220.0,20
53,OFL,2012-03-28.csv,220.0,220.0,220.0,220.0,20
58,OFL,2012-04-04.csv,220.0,221.0,221.0,221.0,60
54,OFL,2012-04-05.csv,221.0,224.0,224.0,224.0,20
63,OFL,2012-04-19.csv,224.0,230.0,228.0,230.0,124
46,OFL,2012-05-14.csv,230.0,233.0,233.0,233.0,20
57,OFL,2012-05-22.csv,233.0,229.0,229.0,229.0,987
55,OFL,2012-05-24.csv,229.0,235.0,233.0,235.0,230
55,OFL,2012-05-27.csv,235.0,235.0,235.0,235.0,34
29,OFL,2012-05-29.csv,235.0,243.0,234.0,234.0,130
41,OFL,2012-06-03.csv,234.0,234.0,234.0,234.0,90
48,OFL,2012-06-04.csv,234.0,234.0,230.0,230.0,70
51,OFL,2012-06-06.csv,230.0,230.0,230.0,230.0,50
49,OFL,2012-06-07.csv,230.0,230.0,230.0,230.0,120
52,OFL,2012-06-11.csv,230.0,226.0,222.0,222.0,20
54,OFL,2012-06-12.csv,222.0,218.0,214.0,214.0,"5,060"
52,OFL,2012-06-13.csv,214.0,214.0,210.0,210.0,363
52,OFL,2012-06-14.csv,210.0,210.0,195.0,195.0,175
52,OFL,2012-06-17.csv,195.0,192.0,187.0,187.0,80
50,OFL,2012-06-18.csv,187.0,193.0,187.0,193.0,60
55,OFL,2012-06-19.csv,193.0,199.0,193.0,199.0,30
53,OFL,2012-06-20.csv,199.0,206.0,202.0,206.0,580
52,OFL,2012-06-21.csv,206.0,206.0,206.0,206.0,370
51,OFL,2012-06-25.csv,206.0,202.0,189.0,189.0,305
51,OFL,2012-06-26.csv,189.0,186.0,174.0,174.0,514
50,OFL,2012-06-27.csv,174.0,177.0,174.0,177.0,691
49,OFL,2012-06-28.csv,177.0,174.0,174.0,174.0,100
48,OFL,2012-07-03.csv,174.0,171.0,171.0,171.0,10
49,OFL,2012-07-04.csv,171.0,174.0,174.0,174.0,10
50,OFL,2012-07-09.csv,174.0,176.0,176.0,176.0,10
55,OFL,2012-07-11.csv,176.0,176.0,176.0,176.0,50
58,OFL,2012-07-19.csv,176.0,178.0,175.0,175.0,321
56,OFL,2012-07-25.csv,175.0,187.0,178.0,187.0,73
59,OFL,2012-07-26.csv,187.0,190.0,187.0,187.0,90
48,OFL,2012-07-29.csv,187.0,190.0,187.0,187.0,"8,084"
59,OFL,2012-07-30.csv,187.0,190.0,190.0,190.0,10
61,OFL,2012-08-01.csv,190.0,187.0,187.0,187.0,75
62,OFL,2012-08-07.csv,187.0,185.0,185.0,185.0,80
57,OFL,2012-08-08.csv,185.0,185.0,185.0,185.0,102
58,OFL,2012-08-26.csv,185.0,188.0,188.0,188.0,32
59,OFL,2012-08-27.csv,188.0,185.0,185.0,185.0,84
59,OFL,2012-08-29.csv,185.0,188.0,188.0,188.0,21
59,OFL,2012-09-04.csv,188.0,191.0,191.0,191.0,21
60,OFL,2012-09-05.csv,191.0,199.0,194.0,198.0,720
61,OFL,2012-09-09.csv,198.0,205.0,194.0,194.0,303
65,OFL,2012-09-10.csv,194.0,194.0,194.0,194.0,20
70,OFL,2012-09-11.csv,194.0,197.0,194.0,196.0,157
64,OFL,2012-09-12.csv,196.0,196.0,196.0,196.0,75
67,OFL,2012-09-13.csv,196.0,196.0,193.0,193.0,312
60,OFL,2012-09-24.csv,193.0,193.0,193.0,193.0,190
67,OFL,2012-09-30.csv,196.0,195.0,193.0,195.0,20
124,OFL,2012-10-01.csv,195.0,200.0,198.0,198.0,30
125,OFL,2012-10-01.csv,195.0,200.0,198.0,198.0,30
61,OFL,2012-10-02.csv,198.0,200.0,200.0,200.0,25
64,OFL,2012-10-03.csv,200.0,197.0,194.0,194.0,137
62,OFL,2012-10-04.csv,194.0,197.0,197.0,197.0,30
71,OFL,2012-10-08.csv,197.0,197.0,197.0,197.0,10
60,OFL,2012-10-18.csv,197.0,200.0,196.0,196.0,482
50,OFL,2012-10-31.csv,196.0,198.0,193.0,193.0,141
