S.no,Symbol,Date,Open,High,Low,Close,Vol
54,OHL,2012-01-01.csv,80.0,81.0,79.0,79.0,530
50,OHL,2012-01-02.csv,79.0,79.0,77.0,77.0,"1,220"
51,OHL,2012-01-03.csv,77.0,78.0,75.0,78.0,100
52,OHL,2012-01-04.csv,78.0,81.0,79.0,81.0,80
45,OHL,2012-01-16.csv,81.0,84.0,82.0,84.0,390
50,OHL,2012-01-17.csv,84.0,85.0,83.0,85.0,530
47,OHL,2012-01-25.csv,85.0,84.0,83.0,83.0,80
54,OHL,2012-01-26.csv,83.0,85.0,84.0,85.0,170
58,OHL,2012-02-01.csv,85.0,85.0,85.0,85.0,130
56,OHL,2012-02-07.csv,85.0,84.0,84.0,84.0,460
42,OHL,2012-02-09.csv,84.0,83.0,83.0,83.0,10
53,OHL,2012-02-23.csv,83.0,84.0,83.0,83.0,490
58,OHL,2012-02-26.csv,83.0,82.0,80.0,80.0,"2,440"
60,OHL,2012-02-27.csv,80.0,80.0,79.0,79.0,"1,390"
51,OHL,2012-02-28.csv,79.0,78.0,78.0,78.0,10
53,OHL,2012-02-29.csv,78.0,78.0,77.0,78.0,400
43,OHL,2012-03-15.csv,78.0,77.0,77.0,77.0,80
50,OHL,2012-03-25.csv,77.0,77.0,77.0,77.0,180
58,OHL,2012-03-27.csv,77.0,76.0,76.0,76.0,150
54,OHL,2012-03-28.csv,76.0,75.0,75.0,75.0,640
59,OHL,2012-04-04.csv,75.0,75.0,74.0,74.0,390
64,OHL,2012-04-19.csv,74.0,74.0,74.0,74.0,10
54,OHL,2012-04-22.csv,74.0,73.0,73.0,73.0,90
38,OHL,2012-05-07.csv,73.0,74.0,74.0,74.0,40
46,OHL,2012-05-08.csv,74.0,75.0,75.0,75.0,80
59,OHL,2012-05-10.csv,75.0,74.0,74.0,74.0,140
48,OHL,2012-05-20.csv,74.0,73.0,73.0,73.0,210
56,OHL,2012-05-21.csv,73.0,77.0,74.0,77.0,100
58,OHL,2012-05-22.csv,77.0,81.0,78.0,81.0,150
38,OHL,2012-05-23.csv,81.0,86.0,82.0,86.0,"2,060"
56,OHL,2012-05-24.csv,86.0,85.0,85.0,85.0,40
30,OHL,2012-05-29.csv,85.0,87.0,84.0,86.0,"1,270"
31,OHL,2012-05-30.csv,86.0,93.0,87.0,93.0,"1,920"
42,OHL,2012-06-03.csv,93.0,92.0,92.0,92.0,890
49,OHL,2012-06-04.csv,92.0,92.0,90.0,92.0,"1,380"
56,OHL,2012-06-05.csv,92.0,93.0,92.0,92.0,730
52,OHL,2012-06-06.csv,92.0,94.0,92.0,93.0,"1,060"
50,OHL,2012-06-07.csv,93.0,94.0,93.0,93.0,"1,610"
43,OHL,2012-06-10.csv,93.0,94.0,92.0,93.0,"3,160"
53,OHL,2012-06-11.csv,93.0,93.0,92.0,93.0,100
55,OHL,2012-06-12.csv,93.0,94.0,93.0,93.0,"1,140"
53,OHL,2012-06-13.csv,93.0,93.0,92.0,93.0,340
53,OHL,2012-06-14.csv,93.0,93.0,93.0,93.0,760
53,OHL,2012-06-17.csv,93.0,94.0,93.0,93.0,"1,080"
51,OHL,2012-06-18.csv,93.0,92.0,92.0,92.0,490
56,OHL,2012-06-19.csv,92.0,92.0,92.0,92.0,80
53,OHL,2012-06-21.csv,92.0,91.0,91.0,91.0,80
52,OHL,2012-06-26.csv,91.0,90.0,89.0,89.0,760
51,OHL,2012-06-27.csv,89.0,90.0,90.0,90.0,150
50,OHL,2012-06-28.csv,90.0,89.0,89.0,89.0,70
49,OHL,2012-07-01.csv,89.0,88.0,88.0,88.0,140
50,OHL,2012-07-04.csv,88.0,87.0,87.0,87.0,"1,180"
49,OHL,2012-07-05.csv,87.0,86.0,86.0,86.0,80
50,OHL,2012-07-08.csv,86.0,85.0,84.0,84.0,720
51,OHL,2012-07-09.csv,84.0,83.0,83.0,83.0,40
56,OHL,2012-07-11.csv,83.0,82.0,80.0,80.0,790
58,OHL,2012-07-12.csv,80.0,79.0,79.0,79.0,680
53,OHL,2012-07-17.csv,79.0,80.0,80.0,80.0,130
58,OHL,2012-07-18.csv,80.0,80.0,80.0,80.0,60
58,OHL,2012-07-22.csv,80.0,80.0,80.0,80.0,90
52,OHL,2012-07-24.csv,80.0,80.0,79.0,80.0,410
60,OHL,2012-07-30.csv,80.0,79.0,79.0,79.0,40
62,OHL,2012-08-01.csv,79.0,79.0,78.0,78.0,260
52,OHL,2012-08-05.csv,78.0,77.0,77.0,77.0,90
63,OHL,2012-08-07.csv,77.0,76.0,76.0,76.0,10
58,OHL,2012-08-08.csv,76.0,77.0,77.0,77.0,70
59,OHL,2012-08-12.csv,77.0,76.0,76.0,76.0,30
54,OHL,2012-08-13.csv,76.0,76.0,76.0,76.0,240
50,OHL,2012-08-14.csv,76.0,77.0,77.0,77.0,40
54,OHL,2012-08-15.csv,77.0,78.0,78.0,78.0,60
59,OHL,2012-08-22.csv,78.0,77.0,77.0,77.0,140
58,OHL,2012-08-23.csv,77.0,78.0,77.0,78.0,"1,240"
59,OHL,2012-08-26.csv,78.0,79.0,79.0,79.0,10
60,OHL,2012-08-27.csv,79.0,80.0,79.0,80.0,170
63,OHL,2012-08-28.csv,80.0,81.0,80.0,81.0,550
60,OHL,2012-08-29.csv,81.0,83.0,81.0,83.0,300
62,OHL,2012-08-30.csv,83.0,84.0,83.0,84.0,140
62,OHL,2012-09-02.csv,84.0,84.0,83.0,83.0,170
60,OHL,2012-09-04.csv,83.0,85.0,84.0,84.0,60
61,OHL,2012-09-05.csv,84.0,85.0,85.0,85.0,30
