S.no,Symbol,Date,Open,High,Low,Close,Vol
58,PADBL,2012-11-26.csv,123.0,123.0,123.0,123.0,59
54,PADBL,2012-11-28.csv,123.0,123.0,123.0,123.0,59
53,PADBL,2013-02-19.csv,123.0,121.0,119.0,119.0,"1,186"
55,PADBL,2013-02-20.csv,119.0,119.0,119.0,119.0,306
57,PADBL,2013-02-27.csv,119.0,117.0,115.0,115.0,101
55,PADBL,2013-03-03.csv,115.0,117.0,117.0,117.0,59
53,PADBL,2013-03-04.csv,117.0,121.0,119.0,119.0,"2,970"
53,PADBL,2013-03-06.csv,119.0,123.0,121.0,123.0,392
58,PADBL,2013-03-07.csv,123.0,121.0,121.0,121.0,30
60,PADBL,2013-03-11.csv,121.0,123.0,123.0,123.0,42
59,PADBL,2013-03-13.csv,123.0,125.0,123.0,125.0,297
54,PADBL,2013-03-14.csv,125.0,127.0,127.0,127.0,30
60,PADBL,2013-03-19.csv,127.0,125.0,123.0,125.0,"1,801"
61,PADBL,2013-03-20.csv,125.0,125.0,121.0,121.0,"2,734"
58,PADBL,2013-05-09.csv,121.0,123.0,123.0,123.0,297
59,PADBL,2013-05-12.csv,123.0,121.0,121.0,121.0,30
56,PADBL,2013-05-15.csv,121.0,123.0,123.0,123.0,297
60,PADBL,2013-05-20.csv,123.0,121.0,121.0,121.0,65
57,PADBL,2013-05-22.csv,121.0,123.0,122.0,123.0,368
61,PADBL,2013-05-27.csv,123.0,125.0,125.0,125.0,900
56,PADBL,2013-06-05.csv,125.0,127.0,125.0,125.0,676
67,PADBL,2013-10-02.csv,125.0,127.0,125.0,125.0,488
70,PADBL,2013-10-03.csv,125.0,127.0,127.0,127.0,244
63,PADBL,2013-10-21.csv,127.0,127.0,127.0,127.0,178
61,PADBL,2013-10-28.csv,127.0,129.0,129.0,129.0,156
66,PADBL,2013-10-29.csv,129.0,141.0,131.0,141.0,436
62,PADBL,2013-10-30.csv,141.0,143.0,140.0,140.0,571
16,PADBL,2013-11-10.csv,140.0,148.0,142.0,148.0,587
57,PADBL,2013-11-11.csv,148.0,158.0,150.0,158.0,"2,924"
60,PADBL,2013-11-12.csv,158.0,160.0,155.0,160.0,"2,213"
64,PADBL,2013-11-13.csv,160.0,163.0,160.0,160.0,"2,766"
66,PADBL,2013-11-14.csv,160.0,176.0,160.0,176.0,"7,420"
71,PADBL,2013-11-27.csv,144.0,153.0,146.0,153.0,80
72,PADBL,2013-11-28.csv,153.0,168.0,156.0,168.0,377
71,PADBL,2013-12-02.csv,168.0,171.0,170.0,171.0,121
76,PADBL,2013-12-03.csv,171.0,180.0,174.0,180.0,60
83,PADBL,2013-12-05.csv,180.0,183.0,183.0,183.0,148
80,PADBL,2013-12-08.csv,183.0,186.0,186.0,186.0,20
79,PADBL,2013-12-10.csv,186.0,189.0,189.0,189.0,"1,220"
78,PADBL,2013-12-12.csv,189.0,195.0,192.0,195.0,40
74,PADBL,2013-12-15.csv,195.0,198.0,198.0,198.0,20
61,PADBL,2014-01-02.csv,198.0,201.0,201.0,201.0,611
81,PADBL,2014-01-21.csv,201.0,221.0,205.0,221.0,588
82,PADBL,2014-01-22.csv,221.0,237.0,225.0,237.0,127
81,PADBL,2014-01-23.csv,237.0,249.0,241.0,249.0,60
86,PADBL,2014-01-26.csv,249.0,253.0,253.0,253.0,72
83,PADBL,2014-01-27.csv,253.0,268.0,258.0,268.0,60
78,PADBL,2014-01-28.csv,268.0,273.0,270.0,273.0,215
79,PADBL,2014-01-29.csv,273.0,268.0,268.0,268.0,377
79,PADBL,2014-02-02.csv,268.0,264.0,264.0,264.0,"1,000"
81,PADBL,2014-02-03.csv,264.0,265.0,265.0,265.0,20
83,PADBL,2014-02-09.csv,265.0,265.0,260.0,260.0,329
78,PADBL,2014-02-16.csv,260.0,270.0,250.0,270.0,"2,513"
84,PADBL,2014-02-17.csv,270.0,297.0,275.0,297.0,"1,179"
83,PADBL,2014-02-18.csv,297.0,320.0,302.0,320.0,625
78,PADBL,2014-02-20.csv,320.0,352.0,326.0,352.0,"1,827"
81,PADBL,2014-02-25.csv,352.0,359.0,359.0,359.0,495
78,PADBL,2014-02-26.csv,359.0,373.0,366.0,373.0,20
71,PADBL,2014-03-03.csv,373.0,369.0,369.0,369.0,65
86,PADBL,2014-03-06.csv,369.0,362.0,355.0,355.0,317
83,PADBL,2014-03-09.csv,355.0,350.0,348.0,348.0,309
79,PADBL,2014-03-11.csv,348.0,342.0,342.0,342.0,200
85,PADBL,2014-04-20.csv,342.0,348.0,330.0,330.0,880
85,PADBL,2014-04-23.csv,330.0,324.0,324.0,324.0,297
82,PADBL,2014-04-27.csv,324.0,325.0,325.0,325.0,100
85,PADBL,2014-04-28.csv,325.0,319.0,319.0,319.0,200
87,PADBL,2014-04-29.csv,319.0,319.0,313.0,313.0,445
83,PADBL,2014-04-30.csv,313.0,307.0,301.0,303.0,"1,383"
93,PADBL,2014-05-07.csv,303.0,321.0,309.0,321.0,"1,148"
84,PADBL,2014-05-08.csv,321.0,315.0,309.0,309.0,200
88,PADBL,2014-05-12.csv,309.0,315.0,315.0,315.0,32
88,PADBL,2014-05-13.csv,315.0,315.0,315.0,315.0,20
164,PADBL,2014-05-15.csv,315.0,346.0,321.0,346.0,"3,244"
165,PADBL,2014-05-15.csv,315.0,346.0,321.0,346.0,"3,244"
89,PADBL,2014-05-18.csv,346.0,380.0,352.0,380.0,"1,937"
85,PADBL,2014-05-19.csv,380.0,378.0,368.0,368.0,"1,088"
96,PADBL,2014-05-22.csv,368.0,375.0,375.0,375.0,59
93,PADBL,2014-05-26.csv,375.0,368.0,368.0,368.0,150
87,PADBL,2014-05-27.csv,368.0,361.0,361.0,361.0,32
93,PADBL,2014-05-28.csv,361.0,355.0,339.0,339.0,"1,254"
93,PADBL,2014-06-02.csv,339.0,345.0,345.0,345.0,50
98,PADBL,2014-06-03.csv,345.0,355.0,351.0,355.0,"1,094"
89,PADBL,2014-06-04.csv,355.0,351.0,350.0,351.0,731
90,PADBL,2014-06-05.csv,351.0,355.0,351.0,355.0,89
87,PADBL,2014-06-08.csv,355.0,369.0,362.0,369.0,406
93,PADBL,2014-06-10.csv,369.0,372.0,372.0,372.0,250
96,PADBL,2014-06-11.csv,372.0,366.0,362.0,362.0,892
92,PADBL,2014-06-12.csv,362.0,360.0,355.0,355.0,290
85,PADBL,2014-06-16.csv,355.0,348.0,348.0,348.0,306
77,PADBL,2014-06-23.csv,348.0,345.0,342.0,342.0,"2,200"
89,PADBL,2014-06-26.csv,342.0,361.0,348.0,361.0,801
90,PADBL,2014-06-30.csv,361.0,375.0,368.0,375.0,132
98,PADBL,2014-07-01.csv,375.0,375.0,375.0,375.0,51
88,PADBL,2014-07-02.csv,375.0,368.0,368.0,368.0,30
96,PADBL,2014-07-06.csv,368.0,361.0,361.0,361.0,80
104,PADBL,2014-07-08.csv,361.0,360.0,360.0,360.0,51
92,PADBL,2014-07-09.csv,360.0,362.0,355.0,355.0,"1,400"
101,PADBL,2014-07-16.csv,355.0,375.0,362.0,375.0,"1,182"
103,PADBL,2014-07-17.csv,375.0,375.0,375.0,375.0,150
99,PADBL,2014-07-21.csv,375.0,396.0,382.0,396.0,69
102,PADBL,2014-07-22.csv,396.0,418.0,403.0,418.0,380
101,PADBL,2014-07-23.csv,418.0,442.0,424.0,442.0,321
102,PADBL,2014-07-24.csv,442.0,450.0,450.0,450.0,264
95,PADBL,2014-07-27.csv,450.0,477.0,459.0,477.0,367
103,PADBL,2014-07-30.csv,477.0,496.0,486.0,495.0,812
103,PADBL,2014-07-31.csv,495.0,500.0,500.0,500.0,593
102,PADBL,2014-08-03.csv,500.0,494.0,490.0,494.0,931
93,PADBL,2014-08-04.csv,494.0,485.0,484.0,484.0,227
99,PADBL,2014-08-06.csv,484.0,475.0,466.0,466.0,57
96,PADBL,2014-08-07.csv,466.0,475.0,475.0,475.0,"1,220"
85,PADBL,2014-08-12.csv,475.0,475.0,475.0,475.0,185
93,PADBL,2014-08-14.csv,475.0,470.0,470.0,470.0,100
102,PADBL,2014-08-18.csv,470.0,461.0,455.0,455.0,406
