S.no,Symbol,Date,Open,High,Low,Close,Vol
55,PBSL,2012-01-01.csv,106.0,106.0,104.0,106.0,20
51,PBSL,2012-01-02.csv,106.0,108.0,108.0,108.0,10
52,PBSL,2012-01-03.csv,108.0,110.0,106.0,110.0,70
53,PBSL,2012-01-04.csv,110.0,108.0,99.0,99.0,170
44,PBSL,2012-01-08.csv,99.0,98.0,94.0,94.0,160
48,PBSL,2012-01-10.csv,99.0,96.0,93.0,96.0,500
55,PBSL,2012-01-11.csv,96.0,95.0,91.0,91.0,150
54,PBSL,2012-01-12.csv,91.0,90.0,88.0,88.0,220
46,PBSL,2012-01-16.csv,88.0,88.0,85.0,85.0,180
59,PBSL,2012-01-22.csv,85.0,85.0,84.0,84.0,170
48,PBSL,2012-01-25.csv,84.0,83.0,82.0,82.0,90
55,PBSL,2012-01-26.csv,82.0,81.0,78.0,78.0,260
57,PBSL,2012-01-29.csv,78.0,77.0,77.0,77.0,90
60,PBSL,2012-01-31.csv,77.0,83.0,77.0,82.0,940
59,PBSL,2012-02-01.csv,82.0,85.0,82.0,85.0,190
56,PBSL,2012-02-02.csv,85.0,84.0,83.0,83.0,270
55,PBSL,2012-02-05.csv,83.0,83.0,82.0,82.0,250
55,PBSL,2012-02-06.csv,82.0,81.0,77.0,77.0,450
52,PBSL,2012-02-08.csv,77.0,77.0,77.0,77.0,20
43,PBSL,2012-02-09.csv,77.0,79.0,77.0,77.0,80
61,PBSL,2012-02-12.csv,77.0,77.0,77.0,77.0,20
53,PBSL,2012-02-13.csv,77.0,76.0,76.0,76.0,10
50,PBSL,2012-02-14.csv,76.0,77.0,76.0,77.0,930
57,PBSL,2012-02-15.csv,77.0,77.0,76.0,76.0,140
55,PBSL,2012-02-16.csv,76.0,76.0,73.0,73.0,290
55,PBSL,2012-02-21.csv,73.0,74.0,72.0,74.0,320
54,PBSL,2012-02-23.csv,74.0,75.0,73.0,73.0,120
59,PBSL,2012-02-26.csv,73.0,74.0,72.0,74.0,250
61,PBSL,2012-02-27.csv,74.0,76.0,75.0,76.0,330
54,PBSL,2012-02-29.csv,76.0,82.0,77.0,82.0,730
53,PBSL,2012-03-01.csv,82.0,80.0,80.0,80.0,70
55,PBSL,2012-03-04.csv,80.0,84.0,81.0,84.0,140
53,PBSL,2012-03-05.csv,84.0,84.0,83.0,83.0,30
60,PBSL,2012-03-06.csv,83.0,87.0,84.0,87.0,390
51,PBSL,2012-03-12.csv,87.0,86.0,86.0,86.0,60
44,PBSL,2012-03-15.csv,86.0,85.0,85.0,85.0,60
58,PBSL,2012-03-18.csv,85.0,84.0,84.0,84.0,80
56,PBSL,2012-03-20.csv,84.0,83.0,82.0,82.0,40
57,PBSL,2012-03-21.csv,82.0,81.0,75.0,75.0,520
51,PBSL,2012-03-25.csv,75.0,76.0,76.0,76.0,20
59,PBSL,2012-03-27.csv,76.0,75.0,74.0,74.0,230
55,PBSL,2012-03-28.csv,74.0,74.0,73.0,73.0,140
52,PBSL,2012-03-29.csv,73.0,73.0,73.0,73.0,60
52,PBSL,2012-04-01.csv,73.0,73.0,72.0,73.0,90
53,PBSL,2012-04-02.csv,73.0,73.0,73.0,73.0,300
51,PBSL,2012-04-03.csv,73.0,74.0,74.0,74.0,10
57,PBSL,2012-04-08.csv,74.0,75.0,75.0,75.0,70
44,PBSL,2012-04-09.csv,75.0,74.0,74.0,74.0,160
50,PBSL,2012-04-10.csv,74.0,75.0,74.0,74.0,160
52,PBSL,2012-04-11.csv,74.0,75.0,75.0,75.0,50
56,PBSL,2012-04-12.csv,75.0,76.0,76.0,76.0,100
55,PBSL,2012-04-15.csv,76.0,77.0,77.0,77.0,20
40,PBSL,2012-04-16.csv,77.0,78.0,78.0,78.0,80
53,PBSL,2012-04-18.csv,78.0,81.0,79.0,81.0,160
65,PBSL,2012-04-19.csv,81.0,83.0,82.0,83.0,120
62,PBSL,2012-04-26.csv,83.0,84.0,84.0,84.0,20
60,PBSL,2012-04-30.csv,84.0,85.0,85.0,85.0,10
30,PBSL,2012-05-02.csv,85.0,84.0,84.0,84.0,180
63,PBSL,2012-05-09.csv,84.0,83.0,83.0,83.0,40
60,PBSL,2012-05-10.csv,83.0,83.0,83.0,83.0,40
55,PBSL,2012-05-17.csv,83.0,83.0,82.0,83.0,100
57,PBSL,2012-05-21.csv,83.0,82.0,82.0,82.0,30
56,PBSL,2012-06-12.csv,82.0,81.0,74.0,74.0,110
54,PBSL,2012-06-17.csv,74.0,74.0,74.0,74.0,20
52,PBSL,2012-06-25.csv,74.0,74.0,73.0,74.0,40
51,PBSL,2012-06-28.csv,74.0,73.0,73.0,73.0,20
52,PBSL,2012-07-02.csv,73.0,72.0,72.0,72.0,20
51,PBSL,2012-07-08.csv,72.0,71.0,70.0,70.0,40
55,PBSL,2012-07-16.csv,70.0,69.0,68.0,68.0,240
54,PBSL,2012-07-17.csv,68.0,67.0,66.0,66.0,40
59,PBSL,2012-07-18.csv,66.0,67.0,66.0,66.0,400
59,PBSL,2012-07-19.csv,66.0,72.0,66.0,72.0,310
59,PBSL,2012-07-22.csv,72.0,75.0,73.0,75.0,210
47,PBSL,2012-07-23.csv,75.0,77.0,76.0,77.0,70
53,PBSL,2012-07-24.csv,77.0,79.0,78.0,79.0,80
57,PBSL,2012-07-25.csv,79.0,86.0,80.0,86.0,230
60,PBSL,2012-07-26.csv,86.0,87.0,85.0,87.0,400
49,PBSL,2012-07-29.csv,87.0,92.0,88.0,92.0,100
61,PBSL,2012-07-30.csv,92.0,93.0,90.0,93.0,280
62,PBSL,2012-07-31.csv,93.0,94.0,92.0,93.0,240
63,PBSL,2012-08-01.csv,93.0,93.0,93.0,93.0,60
59,PBSL,2012-08-06.csv,93.0,92.0,88.0,89.0,670
64,PBSL,2012-08-07.csv,89.0,91.0,88.0,91.0,550
59,PBSL,2012-08-08.csv,91.0,91.0,90.0,91.0,320
60,PBSL,2012-08-12.csv,91.0,93.0,91.0,92.0,"1,750"
55,PBSL,2012-08-13.csv,92.0,92.0,91.0,92.0,150
51,PBSL,2012-08-14.csv,92.0,91.0,90.0,90.0,220
55,PBSL,2012-08-15.csv,90.0,89.0,87.0,87.0,260
55,PBSL,2012-08-16.csv,87.0,86.0,86.0,86.0,20
60,PBSL,2012-08-21.csv,86.0,92.0,87.0,92.0,580
60,PBSL,2012-08-22.csv,92.0,93.0,93.0,93.0,30
59,PBSL,2012-08-23.csv,93.0,98.0,94.0,98.0,310
60,PBSL,2012-08-26.csv,98.0,102.0,98.0,99.0,770
61,PBSL,2012-08-27.csv,99.0,100.0,97.0,97.0,770
64,PBSL,2012-08-28.csv,97.0,98.0,96.0,97.0,260
61,PBSL,2012-08-29.csv,97.0,102.0,98.0,100.0,250
63,PBSL,2012-08-30.csv,100.0,99.0,98.0,99.0,160
63,PBSL,2012-09-02.csv,99.0,102.0,100.0,102.0,150
60,PBSL,2012-09-03.csv,102.0,100.0,98.0,98.0,600
