S.no,Symbol,Date,Open,High,Low,Close,Vol
56,PCBL,2012-01-01.csv,185.0,191.0,183.0,191.0,"2,109"
52,PCBL,2012-01-02.csv,191.0,197.0,188.0,193.0,"4,247"
53,PCBL,2012-01-03.csv,193.0,203.0,193.0,196.0,"6,446"
54,PCBL,2012-01-04.csv,196.0,195.0,187.0,187.0,"1,119"
45,PCBL,2012-01-05.csv,187.0,188.0,184.0,187.0,"2,289"
45,PCBL,2012-01-08.csv,187.0,190.0,187.0,189.0,"2,656"
50,PCBL,2012-01-09.csv,189.0,191.0,188.0,191.0,"3,658"
49,PCBL,2012-01-10.csv,187.0,194.0,188.0,189.0,"1,240"
56,PCBL,2012-01-11.csv,189.0,190.0,188.0,188.0,"4,325"
55,PCBL,2012-01-12.csv,188.0,190.0,185.0,189.0,"2,003"
47,PCBL,2012-01-16.csv,189.0,190.0,186.0,187.0,"1,320"
51,PCBL,2012-01-17.csv,187.0,190.0,187.0,187.0,879
51,PCBL,2012-01-18.csv,187.0,187.0,182.0,185.0,623
36,PCBL,2012-01-19.csv,185.0,186.0,185.0,186.0,99
60,PCBL,2012-01-22.csv,186.0,187.0,183.0,184.0,"1,378"
58,PCBL,2012-01-23.csv,184.0,186.0,181.0,184.0,"2,453"
49,PCBL,2012-01-25.csv,184.0,184.0,183.0,183.0,995
56,PCBL,2012-01-26.csv,183.0,185.0,182.0,184.0,900
58,PCBL,2012-01-29.csv,184.0,184.0,180.0,184.0,"4,568"
61,PCBL,2012-01-31.csv,184.0,184.0,180.0,180.0,"7,767"
60,PCBL,2012-02-01.csv,180.0,185.0,180.0,184.0,"1,722"
57,PCBL,2012-02-02.csv,184.0,186.0,179.0,182.0,"3,895"
56,PCBL,2012-02-05.csv,182.0,183.0,179.0,179.0,"2,630"
56,PCBL,2012-02-06.csv,179.0,182.0,179.0,180.0,"2,313"
57,PCBL,2012-02-07.csv,180.0,183.0,177.0,180.0,"2,703"
53,PCBL,2012-02-08.csv,180.0,184.0,174.0,180.0,"1,467"
44,PCBL,2012-02-09.csv,180.0,180.0,177.0,177.0,"1,363"
62,PCBL,2012-02-12.csv,177.0,178.0,175.0,175.0,788
54,PCBL,2012-02-13.csv,175.0,182.0,171.0,182.0,"3,916"
51,PCBL,2012-02-14.csv,182.0,186.0,175.0,178.0,"1,141"
58,PCBL,2012-02-15.csv,178.0,178.0,173.0,174.0,"1,394"
56,PCBL,2012-02-16.csv,174.0,176.0,171.0,175.0,"1,919"
56,PCBL,2012-02-21.csv,175.0,176.0,175.0,176.0,480
55,PCBL,2012-02-23.csv,176.0,179.0,174.0,177.0,"1,742"
