S.no,Symbol,Date,Open,High,Low,Close,Vol
62,PDBL,2012-02-01.csv,214.0,210.0,210.0,210.0,"1,771"
57,PDBL,2012-04-15.csv,210.0,214.0,214.0,214.0,20
42,PDBL,2012-04-16.csv,214.0,218.0,214.0,218.0,238
49,PDBL,2012-04-25.csv,218.0,214.0,214.0,214.0,542
54,PDBL,2012-06-06.csv,214.0,218.0,218.0,218.0,10
55,PDBL,2012-06-25.csv,218.0,226.0,222.0,226.0,20
52,PDBL,2012-07-05.csv,226.0,230.0,230.0,230.0,10
54,PDBL,2012-07-08.csv,230.0,234.0,234.0,234.0,20
54,PDBL,2012-07-09.csv,234.0,230.0,230.0,230.0,41
62,PDBL,2012-07-19.csv,230.0,226.0,226.0,226.0,10
63,PDBL,2012-07-26.csv,226.0,222.0,222.0,222.0,34
63,PDBL,2012-08-21.csv,222.0,218.0,218.0,218.0,177
66,PDBL,2012-08-30.csv,218.0,214.0,205.0,205.0,"2,681"
64,PDBL,2012-09-04.csv,205.0,201.0,201.0,201.0,50
71,PDBL,2012-11-06.csv,201.0,201.0,201.0,201.0,"1,014"
52,PDBL,2013-01-09.csv,201.0,200.0,200.0,200.0,567
55,PDBL,2013-06-16.csv,200.0,210.0,198.0,198.0,"62,152"
61,PDBL,2013-06-20.csv,198.0,195.0,192.0,192.0,200
61,PDBL,2013-07-21.csv,192.0,189.0,186.0,186.0,70
76,PDBL,2013-09-17.csv,186.0,183.0,183.0,183.0,505
75,PDBL,2013-09-29.csv,183.0,180.0,174.0,174.0,40
69,PDBL,2013-10-01.csv,174.0,171.0,165.0,165.0,53
69,PDBL,2013-10-02.csv,165.0,162.0,159.0,159.0,40
72,PDBL,2013-10-03.csv,159.0,156.0,153.0,153.0,20
64,PDBL,2013-10-06.csv,153.0,150.0,145.0,145.0,30
57,PDBL,2013-11-06.csv,145.0,151.0,147.0,151.0,30
69,PDBL,2013-11-07.csv,151.0,157.0,154.0,157.0,20
18,PDBL,2013-11-10.csv,157.0,163.0,160.0,163.0,20
66,PDBL,2013-11-13.csv,163.0,169.0,166.0,169.0,20
85,PDBL,2013-12-05.csv,169.0,172.0,172.0,172.0,10
87,PDBL,2014-02-17.csv,172.0,175.0,175.0,175.0,330
86,PDBL,2014-02-18.csv,175.0,178.0,178.0,178.0,50
74,PDBL,2014-03-03.csv,178.0,175.0,175.0,175.0,25
68,PDBL,2014-03-04.csv,175.0,175.0,175.0,175.0,"1,550"
76,PDBL,2014-03-18.csv,175.0,172.0,169.0,169.0,"6,854"
88,PDBL,2014-04-28.csv,169.0,166.0,166.0,166.0,"16,738"
96,PDBL,2014-05-07.csv,166.0,165.0,165.0,165.0,253
90,PDBL,2014-05-11.csv,165.0,162.0,162.0,162.0,"1,771"
91,PDBL,2014-05-12.csv,162.0,160.0,159.0,160.0,90
92,PDBL,2014-05-13.csv,160.0,160.0,157.0,160.0,"2,940"
92,PDBL,2014-05-18.csv,160.0,157.0,154.0,154.0,"1,500"
88,PDBL,2014-05-19.csv,154.0,160.0,152.0,160.0,"2,553"
93,PDBL,2014-05-20.csv,160.0,164.0,149.0,149.0,"5,925"
89,PDBL,2014-05-21.csv,149.0,151.0,149.0,151.0,"6,219"
99,PDBL,2014-05-22.csv,151.0,166.0,154.0,166.0,"2,741"
91,PDBL,2014-05-25.csv,166.0,182.0,169.0,182.0,"5,250"
96,PDBL,2014-05-26.csv,182.0,181.0,177.0,177.0,"1,992"
90,PDBL,2014-05-27.csv,177.0,182.0,173.0,173.0,"5,380"
95,PDBL,2014-05-28.csv,173.0,176.0,170.0,170.0,"6,194"
102,PDBL,2014-06-01.csv,170.0,170.0,167.0,170.0,"2,400"
96,PDBL,2014-06-02.csv,170.0,171.0,168.0,171.0,"1,193"
101,PDBL,2014-06-03.csv,171.0,171.0,168.0,170.0,"2,730"
92,PDBL,2014-06-04.csv,170.0,167.0,164.0,164.0,"2,700"
93,PDBL,2014-06-05.csv,164.0,169.0,167.0,167.0,"2,900"
94,PDBL,2014-06-09.csv,167.0,169.0,166.0,169.0,"5,010"
96,PDBL,2014-06-10.csv,169.0,169.0,163.0,169.0,"3,800"
99,PDBL,2014-06-11.csv,169.0,175.0,172.0,175.0,400
95,PDBL,2014-06-12.csv,175.0,175.0,166.0,166.0,261
86,PDBL,2014-06-15.csv,166.0,176.0,164.0,176.0,"2,147"
88,PDBL,2014-06-16.csv,176.0,182.0,178.0,182.0,931
97,PDBL,2014-06-18.csv,182.0,185.0,185.0,185.0,200
93,PDBL,2014-06-19.csv,185.0,185.0,185.0,185.0,23
80,PDBL,2014-06-23.csv,185.0,185.0,182.0,185.0,"1,205"
93,PDBL,2014-06-26.csv,185.0,186.0,183.0,183.0,"2,839"
88,PDBL,2014-06-29.csv,183.0,189.0,186.0,186.0,"1,189"
94,PDBL,2014-06-30.csv,186.0,196.0,186.0,196.0,"9,278"
102,PDBL,2014-07-01.csv,196.0,215.0,199.0,215.0,"5,414"
91,PDBL,2014-07-02.csv,215.0,228.0,217.0,220.0,"8,869"
94,PDBL,2014-07-03.csv,220.0,218.0,214.0,214.0,"2,450"
98,PDBL,2014-07-06.csv,214.0,229.0,218.0,229.0,"4,972"
108,PDBL,2014-07-07.csv,229.0,241.0,225.0,241.0,"4,582"
107,PDBL,2014-07-08.csv,241.0,237.0,237.0,237.0,340
95,PDBL,2014-07-09.csv,237.0,238.0,234.0,234.0,"5,685"
98,PDBL,2014-07-13.csv,234.0,230.0,230.0,230.0,"1,000"
95,PDBL,2014-07-14.csv,230.0,234.0,230.0,230.0,"1,010"
101,PDBL,2014-07-20.csv,230.0,230.0,224.0,230.0,"4,432"
102,PDBL,2014-07-21.csv,230.0,234.0,234.0,234.0,200
105,PDBL,2014-07-22.csv,234.0,253.0,238.0,253.0,"3,513"
104,PDBL,2014-07-23.csv,253.0,273.0,258.0,273.0,"1,144"
105,PDBL,2014-07-24.csv,273.0,290.0,278.0,290.0,"5,585"
98,PDBL,2014-07-27.csv,290.0,306.0,295.0,300.0,"3,138"
106,PDBL,2014-07-30.csv,300.0,318.0,305.0,306.0,"1,575"
106,PDBL,2014-07-31.csv,306.0,305.0,290.0,290.0,"3,073"
105,PDBL,2014-08-03.csv,290.0,289.0,280.0,283.0,"4,679"
96,PDBL,2014-08-04.csv,283.0,278.0,260.0,260.0,"2,775"
102,PDBL,2014-08-05.csv,260.0,272.0,262.0,272.0,"14,953"
102,PDBL,2014-08-06.csv,272.0,282.0,277.0,282.0,733
99,PDBL,2014-08-07.csv,282.0,297.0,287.0,287.0,689
89,PDBL,2014-08-13.csv,287.0,287.0,270.0,270.0,"8,952"
96,PDBL,2014-08-14.csv,270.0,270.0,262.0,270.0,"7,884"
104,PDBL,2014-08-18.csv,270.0,275.0,274.0,274.0,40
95,PDBL,2014-08-19.csv,274.0,280.0,270.0,274.0,"2,027"
93,PDBL,2014-08-20.csv,274.0,280.0,275.0,275.0,320
96,PDBL,2014-08-24.csv,275.0,280.0,270.0,270.0,320
85,PDBL,2014-08-26.csv,270.0,266.0,266.0,266.0,163
95,PDBL,2014-08-27.csv,266.0,271.0,260.0,260.0,"2,143"
96,PDBL,2014-08-28.csv,260.0,270.0,253.0,260.0,"9,124"
93,PDBL,2014-08-31.csv,260.0,259.0,256.0,256.0,452
88,PDBL,2014-09-01.csv,256.0,256.0,255.0,255.0,550
80,PDBL,2014-09-03.csv,255.0,252.0,252.0,252.0,200
92,PDBL,2014-09-04.csv,252.0,247.0,227.0,227.0,"10,940"
86,PDBL,2014-09-07.csv,227.0,223.0,217.0,217.0,"1,058"
92,PDBL,2014-09-09.csv,217.0,225.0,221.0,225.0,20
97,PDBL,2014-09-10.csv,225.0,225.0,225.0,225.0,200
92,PDBL,2014-09-15.csv,225.0,226.0,222.0,222.0,900
89,PDBL,2014-09-16.csv,222.0,230.0,224.0,230.0,"3,730"
92,PDBL,2014-09-17.csv,230.0,230.0,220.0,220.0,"5,500"
94,PDBL,2014-09-18.csv,220.0,216.0,215.0,215.0,"1,200"
87,PDBL,2014-09-21.csv,215.0,211.0,211.0,211.0,500
82,PDBL,2014-09-22.csv,211.0,209.0,206.0,208.0,"3,464"
90,PDBL,2014-09-24.csv,208.0,210.0,210.0,210.0,200
87,PDBL,2014-09-29.csv,210.0,218.0,214.0,218.0,900
83,PDBL,2014-09-30.csv,218.0,224.0,218.0,224.0,"1,400"
71,PDBL,2014-10-08.csv,224.0,220.0,220.0,220.0,62
89,PDBL,2014-10-09.csv,220.0,220.0,216.0,220.0,"1,000"
87,PDBL,2014-10-12.csv,220.0,224.0,224.0,224.0,50
92,PDBL,2014-10-16.csv,224.0,232.0,225.0,225.0,712
85,PDBL,2014-10-21.csv,225.0,225.0,225.0,225.0,200
85,PDBL,2014-10-22.csv,225.0,228.0,228.0,228.0,200
80,PDBL,2014-10-27.csv,228.0,230.0,230.0,230.0,49
84,PDBL,2014-10-28.csv,230.0,230.0,226.0,226.0,693
91,PDBL,2014-11-02.csv,226.0,222.0,222.0,222.0,"1,000"
84,PDBL,2014-11-05.csv,222.0,222.0,222.0,222.0,"1,231"
87,PDBL,2014-11-06.csv,222.0,218.0,218.0,218.0,246
88,PDBL,2014-11-12.csv,218.0,214.0,214.0,214.0,28
81,PDBL,2014-11-18.csv,214.0,214.0,214.0,214.0,84
87,PDBL,2014-12-11.csv,214.0,210.0,210.0,210.0,200
85,PDBL,2014-12-14.csv,210.0,208.0,206.0,208.0,600
88,PDBL,2014-12-17.csv,208.0,207.0,203.0,203.0,90
91,PDBL,2014-12-18.csv,203.0,207.0,203.0,207.0,310
81,PDBL,2014-12-23.csv,207.0,227.0,211.0,227.0,"5,166"
