S.no,Symbol,Date,Open,High,Low,Close,Vol
60,PFC,2012-01-23.csv,225.0,225.0,225.0,225.0,"1,826"
58,PFC,2012-02-05.csv,225.0,225.0,225.0,225.0,126
53,PFC,2012-02-14.csv,225.0,225.0,225.0,225.0,"1,997"
60,PFC,2012-02-15.csv,225.0,225.0,225.0,225.0,"1,000"
54,PFC,2012-03-12.csv,225.0,229.0,229.0,229.0,200
52,PFC,2012-03-26.csv,229.0,225.0,225.0,225.0,846
47,PFC,2012-04-09.csv,225.0,225.0,225.0,225.0,378
53,PFC,2012-04-10.csv,225.0,225.0,225.0,225.0,300
58,PFC,2012-04-12.csv,225.0,225.0,225.0,225.0,600
56,PFC,2012-06-14.csv,225.0,201.0,201.0,201.0,195
55,PFC,2012-07-02.csv,201.0,197.0,194.0,194.0,"1,356"
59,PFC,2012-07-11.csv,194.0,191.0,191.0,191.0,"1,050"
60,PFC,2012-07-12.csv,191.0,191.0,191.0,191.0,812
62,PFC,2012-07-22.csv,191.0,190.0,190.0,190.0,"1,145"
74,PFC,2012-09-11.csv,190.0,190.0,190.0,190.0,"1,622"
62,PFC,2012-11-22.csv,190.0,193.0,193.0,193.0,"1,000"
54,PFC,2013-01-13.csv,193.0,196.0,196.0,196.0,"1,000"
61,PFC,2013-01-17.csv,196.0,196.0,196.0,196.0,24
58,PFC,2013-01-22.csv,196.0,196.0,196.0,196.0,586
61,PFC,2013-01-30.csv,193.0,195.0,195.0,195.0,"1,036"
54,PFC,2013-02-03.csv,195.0,196.0,196.0,196.0,98
58,PFC,2013-05-19.csv,196.0,199.0,199.0,199.0,"1,683"
62,PFC,2013-05-20.csv,199.0,202.0,202.0,202.0,588
67,PFC,2013-06-04.csv,202.0,206.0,206.0,206.0,27
66,PFC,2013-07-02.csv,206.0,202.0,202.0,202.0,181
62,PFC,2013-07-17.csv,202.0,209.0,205.0,205.0,"2,365"
81,PFC,2013-08-12.csv,205.0,205.0,205.0,205.0,528
73,PFC,2013-09-24.csv,205.0,210.0,209.0,210.0,568
76,PFC,2013-09-29.csv,210.0,206.0,206.0,206.0,800
83,PFC,2014-01-23.csv,206.0,210.0,210.0,210.0,"1,241"
81,PFC,2014-02-02.csv,210.0,210.0,210.0,210.0,"9,313"
79,PFC,2014-02-11.csv,210.0,210.0,210.0,210.0,356
81,PFC,2014-02-26.csv,210.0,210.0,210.0,210.0,"1,799"
75,PFC,2014-03-10.csv,210.0,210.0,210.0,210.0,151
83,PFC,2014-03-24.csv,210.0,210.0,210.0,210.0,651
87,PFC,2014-05-08.csv,183.0,180.0,180.0,180.0,45
99,PFC,2014-07-06.csv,180.0,186.0,183.0,186.0,221
96,PFC,2014-07-09.csv,186.0,189.0,189.0,189.0,52
96,PFC,2014-07-10.csv,189.0,186.0,180.0,180.0,135
99,PFC,2014-07-13.csv,180.0,189.0,183.0,189.0,210
96,PFC,2014-07-14.csv,189.0,192.0,192.0,192.0,405
105,PFC,2014-07-16.csv,192.0,198.0,195.0,198.0,106
106,PFC,2014-07-17.csv,198.0,201.0,201.0,201.0,999
106,PFC,2014-07-22.csv,201.0,205.0,205.0,205.0,999
106,PFC,2014-08-03.csv,205.0,209.0,209.0,209.0,36
97,PFC,2014-08-04.csv,209.0,217.0,213.0,217.0,170
96,PFC,2014-08-19.csv,217.0,225.0,221.0,225.0,167
88,PFC,2014-08-21.csv,225.0,229.0,229.0,229.0,14
82,PFC,2014-08-25.csv,229.0,251.0,233.0,251.0,472
86,PFC,2014-08-26.csv,251.0,266.0,256.0,266.0,135
88,PFC,2014-09-21.csv,266.0,271.0,266.0,271.0,483
85,PFC,2014-09-23.csv,271.0,280.0,266.0,275.0,"1,311"
91,PFC,2014-09-24.csv,275.0,280.0,280.0,280.0,81
93,PFC,2014-10-16.csv,280.0,285.0,280.0,280.0,236
85,PFC,2014-10-28.csv,280.0,280.0,275.0,280.0,243
85,PFC,2014-11-05.csv,280.0,285.0,285.0,285.0,22
84,PFC,2014-11-09.csv,285.0,280.0,270.0,270.0,"7,669"
87,PFC,2014-11-16.csv,270.0,275.0,275.0,275.0,48
86,PFC,2014-11-24.csv,275.0,280.0,280.0,280.0,48
85,PFC,2014-11-25.csv,280.0,280.0,275.0,280.0,113
84,PFC,2014-12-01.csv,280.0,285.0,285.0,285.0,69
88,PFC,2014-12-11.csv,285.0,295.0,290.0,295.0,372
92,PFC,2014-12-18.csv,295.0,295.0,290.0,295.0,"2,010"
79,PFC,2014-12-21.csv,295.0,290.0,285.0,285.0,211
89,PFC,2014-12-22.csv,285.0,290.0,290.0,290.0,186
82,PFC,2014-12-23.csv,290.0,285.0,280.0,280.0,585
96,PFC,2015-01-06.csv,280.0,285.0,285.0,285.0,221
95,PFC,2015-01-08.csv,285.0,283.0,283.0,283.0,180
94,PFC,2015-01-11.csv,283.0,288.0,288.0,288.0,125
91,PFC,2015-02-26.csv,257.0,262.0,262.0,262.0,"1,011"
105,PFC,2015-03-09.csv,262.0,267.0,267.0,267.0,545
82,PFC,2015-06-10.csv,267.0,262.0,262.0,262.0,593
80,PFC,2015-06-21.csv,262.0,257.0,257.0,257.0,624
95,PFC,2015-07-08.csv,257.0,272.0,252.0,257.0,"4,962"
97,PFC,2015-08-04.csv,257.0,265.0,260.0,265.0,"1,240"
95,PFC,2015-08-05.csv,265.0,260.0,260.0,260.0,152
88,PFC,2015-08-06.csv,260.0,255.0,255.0,255.0,333
84,PFC,2015-08-10.csv,255.0,260.0,260.0,260.0,125
86,PFC,2015-08-11.csv,260.0,265.0,265.0,265.0,235
86,PFC,2015-09-14.csv,265.0,260.0,260.0,260.0,423
90,PFC,2015-09-17.csv,260.0,261.0,256.0,261.0,415
73,PFC,2015-10-04.csv,261.0,287.0,266.0,287.0,"1,292"
75,PFC,2015-10-05.csv,287.0,305.0,282.0,305.0,354
77,PFC,2015-10-11.csv,305.0,299.0,299.0,299.0,117
67,PFC,2015-11-15.csv,299.0,304.0,304.0,304.0,48
73,PFC,2015-11-22.csv,304.0,298.0,289.0,290.0,"5,543"
72,PFC,2015-11-26.csv,290.0,295.0,290.0,295.0,541
74,PFC,2015-12-01.csv,295.0,291.0,289.0,289.0,720
70,PFC,2015-12-02.csv,289.0,290.0,290.0,290.0,"1,356"
176,PFC,2016-01-12.csv,290.0,285.0,280.0,285.0,670
177,PFC,2016-01-12.csv,290.0,285.0,280.0,285.0,670
88,PFC,2016-01-13.csv,285.0,292.0,290.0,292.0,386
90,PFC,2016-01-14.csv,292.0,295.0,276.0,276.0,"1,787"
86,PFC,2016-03-24.csv,276.0,281.0,271.0,271.0,"1,161"
80,PFC,2016-03-28.csv,271.0,298.0,276.0,298.0,220
80,PFC,2016-03-29.csv,298.0,327.0,303.0,327.0,510
80,PFC,2016-03-30.csv,327.0,339.0,333.0,339.0,200
81,PFC,2016-03-31.csv,339.0,340.0,328.0,328.0,950
83,PFC,2016-04-03.csv,328.0,322.0,322.0,322.0,200
80,PFC,2016-04-04.csv,322.0,318.0,318.0,318.0,100
80,PFC,2016-04-10.csv,318.0,320.0,320.0,320.0,200
82,PFC,2016-04-11.csv,320.0,326.0,326.0,326.0,230
82,PFC,2016-04-20.csv,326.0,338.0,332.0,338.0,100
78,PFC,2016-04-24.csv,338.0,346.0,340.0,340.0,200
83,PFC,2016-04-25.csv,340.0,340.0,340.0,340.0,291
82,PFC,2016-04-27.csv,340.0,350.0,335.0,350.0,"2,547"
81,PFC,2016-04-28.csv,350.0,385.0,357.0,378.0,660
77,PFC,2016-05-02.csv,378.0,385.0,380.0,380.0,552
85,PFC,2016-05-03.csv,380.0,387.0,380.0,380.0,"1,256"
77,PFC,2016-05-04.csv,380.0,373.0,373.0,373.0,100
84,PFC,2016-05-05.csv,373.0,366.0,366.0,366.0,50
84,PFC,2016-05-11.csv,366.0,373.0,373.0,373.0,200
83,PFC,2016-05-17.csv,373.0,366.0,366.0,366.0,"1,000"
89,PFC,2016-05-18.csv,366.0,370.0,370.0,370.0,100
81,PFC,2016-06-01.csv,370.0,363.0,363.0,363.0,"1,000"
