S.no,Symbol,Date,Open,High,Low,Close,Vol
58,PFCL,2012-01-26.csv,212.0,208.0,204.0,204.0,78
67,PFCL,2012-09-23.csv,204.0,204.0,196.0,196.0,210
63,PFCL,2013-03-19.csv,196.0,193.0,193.0,193.0,116
73,PFCL,2013-07-22.csv,193.0,190.0,187.0,187.0,"3,839"
70,PFCL,2013-07-30.csv,187.0,184.0,169.0,169.0,"3,260"
77,PFCL,2013-09-17.csv,169.0,169.0,169.0,169.0,38
68,PFCL,2013-09-30.csv,169.0,166.0,163.0,163.0,"1,005"
65,PFCL,2013-10-21.csv,163.0,160.0,160.0,160.0,58
90,PFCL,2014-04-02.csv,160.0,0.0,0.0,160.0,851
89,PFCL,2014-04-28.csv,160.0,157.0,154.0,154.0,21
90,PFCL,2014-04-29.csv,154.0,151.0,139.0,139.0,220
86,PFCL,2014-04-30.csv,139.0,137.0,127.0,127.0,200
82,PFCL,2014-05-04.csv,127.0,125.0,117.0,117.0,132
80,PFCL,2014-05-05.csv,117.0,115.0,107.0,107.0,122
90,PFCL,2014-05-06.csv,107.0,113.0,108.0,111.0,"3,742"
97,PFCL,2014-05-07.csv,111.0,122.0,110.0,122.0,"2,267"
88,PFCL,2014-05-08.csv,122.0,134.0,122.0,132.0,"2,241"
91,PFCL,2014-05-11.csv,132.0,145.0,134.0,145.0,955
92,PFCL,2014-05-12.csv,145.0,159.0,141.0,145.0,"2,526"
93,PFCL,2014-05-13.csv,145.0,143.0,135.0,135.0,649
172,PFCL,2014-05-15.csv,135.0,136.0,133.0,135.0,"1,510"
173,PFCL,2014-05-15.csv,135.0,136.0,133.0,135.0,"1,510"
93,PFCL,2014-05-18.csv,135.0,139.0,135.0,135.0,"2,099"
89,PFCL,2014-05-19.csv,135.0,135.0,131.0,133.0,520
94,PFCL,2014-05-20.csv,133.0,141.0,135.0,141.0,"1,143"
90,PFCL,2014-05-21.csv,141.0,146.0,142.0,146.0,721
100,PFCL,2014-05-22.csv,146.0,150.0,144.0,144.0,"2,269"
92,PFCL,2014-05-25.csv,144.0,144.0,144.0,144.0,105
97,PFCL,2014-05-26.csv,144.0,144.0,142.0,144.0,631
91,PFCL,2014-05-27.csv,144.0,148.0,144.0,148.0,775
97,PFCL,2014-06-02.csv,148.0,150.0,146.0,146.0,398
102,PFCL,2014-06-03.csv,146.0,149.0,145.0,149.0,153
93,PFCL,2014-06-04.csv,149.0,151.0,146.0,146.0,461
94,PFCL,2014-06-05.csv,146.0,148.0,146.0,146.0,736
90,PFCL,2014-06-08.csv,146.0,148.0,142.0,148.0,"1,607"
95,PFCL,2014-06-09.csv,148.0,153.0,148.0,153.0,509
97,PFCL,2014-06-10.csv,153.0,159.0,156.0,159.0,192
100,PFCL,2014-06-11.csv,159.0,165.0,162.0,165.0,370
96,PFCL,2014-06-12.csv,165.0,171.0,168.0,169.0,451
87,PFCL,2014-06-15.csv,169.0,172.0,172.0,172.0,500
89,PFCL,2014-06-16.csv,172.0,175.0,175.0,175.0,122
98,PFCL,2014-06-18.csv,175.0,178.0,172.0,178.0,836
94,PFCL,2014-06-19.csv,178.0,178.0,175.0,175.0,520
90,PFCL,2014-06-24.csv,175.0,175.0,172.0,172.0,370
103,PFCL,2014-07-01.csv,172.0,169.0,157.0,157.0,217
92,PFCL,2014-07-02.csv,157.0,157.0,148.0,148.0,711
95,PFCL,2014-07-03.csv,148.0,148.0,146.0,147.0,"1,427"
109,PFCL,2014-07-07.csv,147.0,149.0,149.0,149.0,147
108,PFCL,2014-07-08.csv,149.0,157.0,151.0,157.0,"2,089"
97,PFCL,2014-07-09.csv,157.0,160.0,160.0,160.0,32
97,PFCL,2014-07-10.csv,160.0,163.0,157.0,163.0,"1,514"
100,PFCL,2014-07-13.csv,163.0,168.0,162.0,165.0,"2,286"
97,PFCL,2014-07-14.csv,165.0,168.0,168.0,168.0,443
96,PFCL,2014-07-15.csv,168.0,173.0,171.0,173.0,850
106,PFCL,2014-07-16.csv,173.0,179.0,174.0,174.0,"1,080"
107,PFCL,2014-07-17.csv,174.0,171.0,171.0,171.0,73
102,PFCL,2014-07-20.csv,171.0,174.0,173.0,174.0,106
103,PFCL,2014-07-21.csv,174.0,175.0,171.0,172.0,"1,220"
107,PFCL,2014-07-22.csv,172.0,176.0,170.0,170.0,885
105,PFCL,2014-07-23.csv,170.0,169.0,165.0,165.0,"3,740"
106,PFCL,2014-07-24.csv,165.0,171.0,166.0,171.0,"3,965"
99,PFCL,2014-07-27.csv,171.0,178.0,169.0,175.0,691
86,PFCL,2014-07-28.csv,175.0,181.0,178.0,180.0,284
107,PFCL,2014-07-30.csv,180.0,186.0,183.0,186.0,182
107,PFCL,2014-07-31.csv,186.0,192.0,183.0,190.0,"1,079"
98,PFCL,2014-08-04.csv,190.0,187.0,187.0,187.0,38
103,PFCL,2014-08-05.csv,187.0,184.0,184.0,184.0,28
100,PFCL,2014-08-07.csv,184.0,184.0,181.0,181.0,457
97,PFCL,2014-08-14.csv,181.0,178.0,170.0,170.0,772
105,PFCL,2014-08-18.csv,170.0,168.0,168.0,168.0,221
97,PFCL,2014-08-19.csv,168.0,168.0,168.0,168.0,115
94,PFCL,2014-08-20.csv,168.0,168.0,165.0,165.0,301
89,PFCL,2014-08-21.csv,165.0,168.0,162.0,162.0,"1,190"
96,PFCL,2014-08-27.csv,162.0,159.0,159.0,159.0,47
97,PFCL,2014-08-28.csv,159.0,162.0,159.0,162.0,379
94,PFCL,2014-08-31.csv,162.0,162.0,157.0,157.0,521
89,PFCL,2014-09-01.csv,157.0,154.0,146.0,146.0,"1,123"
81,PFCL,2014-09-03.csv,146.0,145.0,143.0,143.0,740
