S.no,Symbol,Date,Open,High,Low,Close,Vol
86,PFLPO,2014-02-25.csv,200.0,189.0,189.0,189.0,"198,256"
76,PFLPO,2014-03-03.csv,189.0,189.0,189.0,189.0,"174,248"
85,PFLPO,2014-10-30.csv,189.0,192.0,192.0,192.0,"2,500"
94,PFLPO,2016-07-13.csv,169.0,166.0,153.0,153.0,600
94,PFLPO,2016-07-14.csv,153.0,150.0,138.0,138.0,"234,403"
89,PFLPO,2016-07-18.csv,138.0,138.0,138.0,138.0,"210,151"
89,PFLPO,2016-09-06.csv,138.0,138.0,138.0,138.0,"124,038"
117,PFLPO,2018-05-28.csv,136.0,136.0,126.0,126.0,"5,000"
95,PFLPO,2018-06-06.csv,126.0,126.0,126.0,126.0,"5,000"
111,PFLPO,2018-07-10.csv,126.0,126.0,126.0,126.0,"43,335"
100,PFLPO,2019-10-14.csv,126.0,126.0,126.0,126.0,"60,725"
