S.no,Symbol,Date,Open,High,Low,Close,Vol
55,PIC,2012-01-04.csv,135.0,133.0,133.0,133.0,68
60,PIC,2012-02-07.csv,133.0,131.0,131.0,131.0,34
56,PIC,2012-03-01.csv,131.0,129.0,129.0,129.0,34
58,PIC,2012-03-04.csv,129.0,127.0,127.0,127.0,100
58,PIC,2012-03-29.csv,127.0,129.0,125.0,129.0,612
56,PIC,2012-04-01.csv,129.0,137.0,129.0,137.0,580
56,PIC,2012-04-03.csv,137.0,139.0,139.0,139.0,50
47,PIC,2012-06-10.csv,139.0,140.0,140.0,140.0,136
57,PIC,2012-06-14.csv,140.0,138.0,138.0,138.0,624
64,PIC,2012-08-21.csv,138.0,138.0,138.0,138.0,68
63,PIC,2012-08-22.csv,138.0,137.0,137.0,137.0,34
62,PIC,2012-08-23.csv,137.0,139.0,139.0,139.0,100
63,PIC,2012-08-26.csv,139.0,138.0,138.0,138.0,40
64,PIC,2012-08-27.csv,138.0,138.0,138.0,138.0,238
67,PIC,2012-08-28.csv,138.0,144.0,140.0,144.0,209
64,PIC,2012-08-29.csv,144.0,144.0,142.0,144.0,"3,532"
67,PIC,2012-08-30.csv,144.0,144.0,142.0,144.0,"2,740"
66,PIC,2012-09-02.csv,144.0,142.0,142.0,142.0,68
63,PIC,2012-09-03.csv,142.0,143.0,140.0,143.0,847
65,PIC,2012-09-04.csv,143.0,145.0,145.0,145.0,34
66,PIC,2012-09-09.csv,145.0,143.0,142.0,142.0,68
69,PIC,2012-09-10.csv,142.0,146.0,144.0,146.0,50
75,PIC,2012-09-11.csv,146.0,144.0,144.0,144.0,68
68,PIC,2012-09-12.csv,144.0,145.0,143.0,143.0,268
71,PIC,2012-09-13.csv,143.0,145.0,143.0,143.0,"16,309"
65,PIC,2012-09-25.csv,143.0,145.0,144.0,145.0,189
134,PIC,2012-10-01.csv,145.0,147.0,147.0,147.0,58
135,PIC,2012-10-01.csv,145.0,147.0,147.0,147.0,58
66,PIC,2012-10-02.csv,147.0,149.0,149.0,149.0,68
66,PIC,2012-10-04.csv,149.0,149.0,149.0,149.0,34
69,PIC,2012-10-11.csv,149.0,147.0,147.0,147.0,68
65,PIC,2012-10-14.csv,147.0,149.0,149.0,149.0,34
55,PIC,2012-10-15.csv,149.0,163.0,151.0,163.0,"1,316"
56,PIC,2012-10-17.csv,163.0,163.0,163.0,163.0,200
68,PIC,2012-11-05.csv,163.0,163.0,160.0,163.0,134
72,PIC,2012-11-06.csv,163.0,172.0,166.0,170.0,186
71,PIC,2012-11-07.csv,170.0,167.0,167.0,167.0,42
63,PIC,2012-11-22.csv,167.0,170.0,170.0,170.0,34
61,PIC,2012-11-26.csv,170.0,173.0,173.0,173.0,68
57,PIC,2012-11-28.csv,173.0,170.0,170.0,170.0,"5,000"
58,PIC,2012-12-06.csv,170.0,167.0,167.0,167.0,"5,000"
58,PIC,2012-12-09.csv,167.0,167.0,167.0,167.0,"5,000"
57,PIC,2012-12-13.csv,167.0,164.0,164.0,164.0,"4,000"
58,PIC,2012-12-19.csv,164.0,164.0,164.0,164.0,"2,062"
54,PIC,2013-02-24.csv,164.0,165.0,165.0,165.0,21
56,PIC,2013-03-14.csv,165.0,163.0,160.0,163.0,446
57,PIC,2013-03-18.csv,163.0,160.0,151.0,151.0,510
64,PIC,2013-03-19.csv,151.0,148.0,144.0,144.0,"1,500"
64,PIC,2013-03-20.csv,144.0,146.0,146.0,146.0,76
61,PIC,2013-05-09.csv,146.0,146.0,146.0,146.0,21
57,PIC,2013-05-13.csv,146.0,144.0,142.0,142.0,68
61,PIC,2013-05-21.csv,142.0,140.0,140.0,140.0,123
64,PIC,2013-05-28.csv,140.0,138.0,138.0,138.0,63
58,PIC,2013-05-30.csv,138.0,140.0,140.0,140.0,400
62,PIC,2013-06-02.csv,140.0,142.0,142.0,142.0,34
61,PIC,2013-06-03.csv,142.0,144.0,144.0,144.0,34
68,PIC,2013-06-04.csv,144.0,146.0,144.0,146.0,163
59,PIC,2013-06-05.csv,146.0,147.0,145.0,147.0,87
63,PIC,2013-07-03.csv,147.0,126.0,124.0,124.0,76
71,PIC,2013-07-30.csv,124.0,126.0,126.0,126.0,34
75,PIC,2013-08-04.csv,126.0,128.0,128.0,128.0,340
