S.no,Symbol,Date,Open,High,Low,Close,Vol
59,PLIC,2012-01-01.csv,164.0,164.0,164.0,164.0,70
54,PLIC,2012-01-02.csv,164.0,170.0,165.0,170.0,510
55,PLIC,2012-01-03.csv,170.0,171.0,167.0,167.0,110
56,PLIC,2012-01-04.csv,167.0,164.0,162.0,162.0,160
47,PLIC,2012-01-05.csv,162.0,165.0,162.0,162.0,200
48,PLIC,2012-01-08.csv,162.0,165.0,164.0,165.0,600
52,PLIC,2012-01-09.csv,165.0,169.0,168.0,169.0,20
51,PLIC,2012-01-10.csv,162.0,168.0,159.0,167.0,"1,080"
59,PLIC,2012-01-11.csv,167.0,168.0,165.0,165.0,690
57,PLIC,2012-01-12.csv,165.0,170.0,166.0,166.0,700
51,PLIC,2012-01-16.csv,166.0,169.0,166.0,166.0,90
53,PLIC,2012-01-17.csv,166.0,169.0,163.0,166.0,"1,120"
53,PLIC,2012-01-18.csv,166.0,168.0,165.0,166.0,470
63,PLIC,2012-01-22.csv,166.0,169.0,164.0,166.0,"1,640"
62,PLIC,2012-01-23.csv,166.0,167.0,164.0,166.0,440
52,PLIC,2012-01-25.csv,166.0,169.0,165.0,168.0,200
59,PLIC,2012-01-26.csv,168.0,169.0,166.0,169.0,820
60,PLIC,2012-01-29.csv,169.0,167.0,161.0,162.0,"1,040"
65,PLIC,2012-01-31.csv,162.0,167.0,162.0,167.0,750
64,PLIC,2012-02-01.csv,167.0,168.0,164.0,168.0,310
60,PLIC,2012-02-02.csv,168.0,166.0,164.0,165.0,360
60,PLIC,2012-02-05.csv,165.0,168.0,165.0,165.0,130
59,PLIC,2012-02-06.csv,165.0,165.0,165.0,165.0,70
62,PLIC,2012-02-07.csv,165.0,166.0,163.0,164.0,"1,460"
56,PLIC,2012-02-08.csv,164.0,168.0,164.0,167.0,"1,040"
46,PLIC,2012-02-09.csv,167.0,170.0,165.0,166.0,"1,270"
64,PLIC,2012-02-12.csv,166.0,170.0,163.0,164.0,700
56,PLIC,2012-02-13.csv,164.0,168.0,164.0,166.0,"2,170"
54,PLIC,2012-02-14.csv,166.0,167.0,163.0,167.0,770
61,PLIC,2012-02-15.csv,167.0,177.0,165.0,177.0,"1,970"
58,PLIC,2012-02-16.csv,177.0,177.0,165.0,165.0,270
59,PLIC,2012-02-23.csv,165.0,162.0,162.0,162.0,60
62,PLIC,2012-02-26.csv,162.0,145.0,138.0,143.0,"1,730"
65,PLIC,2012-02-27.csv,143.0,146.0,145.0,145.0,260
57,PLIC,2012-03-01.csv,145.0,145.0,145.0,145.0,20
59,PLIC,2012-03-04.csv,145.0,143.0,141.0,141.0,30
63,PLIC,2012-03-06.csv,141.0,141.0,138.0,138.0,180
56,PLIC,2012-03-11.csv,138.0,140.0,138.0,138.0,60
55,PLIC,2012-03-12.csv,138.0,139.0,137.0,139.0,30
57,PLIC,2012-03-13.csv,139.0,137.0,137.0,137.0,80
51,PLIC,2012-03-14.csv,137.0,140.0,139.0,140.0,"1,100"
62,PLIC,2012-03-18.csv,140.0,142.0,138.0,142.0,360
57,PLIC,2012-03-19.csv,142.0,142.0,140.0,142.0,30
60,PLIC,2012-03-20.csv,142.0,140.0,139.0,139.0,90
60,PLIC,2012-03-21.csv,139.0,139.0,139.0,139.0,20
56,PLIC,2012-03-25.csv,139.0,137.0,137.0,137.0,90
53,PLIC,2012-03-26.csv,137.0,140.0,136.0,138.0,980
64,PLIC,2012-03-27.csv,138.0,140.0,140.0,140.0,10
59,PLIC,2012-03-28.csv,140.0,141.0,139.0,141.0,880
59,PLIC,2012-03-29.csv,141.0,143.0,143.0,143.0,210
57,PLIC,2012-04-01.csv,143.0,144.0,141.0,144.0,500
57,PLIC,2012-04-02.csv,144.0,145.0,145.0,145.0,510
59,PLIC,2012-04-05.csv,145.0,145.0,145.0,145.0,120
49,PLIC,2012-04-09.csv,145.0,147.0,147.0,147.0,90
55,PLIC,2012-04-10.csv,147.0,149.0,147.0,149.0,200
56,PLIC,2012-04-11.csv,149.0,157.0,151.0,152.0,990
60,PLIC,2012-04-12.csv,152.0,158.0,152.0,158.0,280
44,PLIC,2012-04-16.csv,158.0,161.0,161.0,161.0,20
54,PLIC,2012-04-17.csv,161.0,161.0,157.0,157.0,620
56,PLIC,2012-04-18.csv,157.0,157.0,154.0,157.0,140
70,PLIC,2012-04-19.csv,157.0,172.0,160.0,172.0,"1,320"
59,PLIC,2012-04-22.csv,172.0,184.0,175.0,184.0,340
47,PLIC,2012-04-24.csv,184.0,184.0,184.0,184.0,"5,900"
50,PLIC,2012-04-25.csv,184.0,187.0,187.0,187.0,40
67,PLIC,2012-04-26.csv,187.0,202.0,195.0,201.0,"1,080"
66,PLIC,2012-04-29.csv,201.0,218.0,201.0,218.0,"2,270"
64,PLIC,2012-04-30.csv,218.0,221.0,220.0,221.0,100
48,PLIC,2012-05-03.csv,221.0,225.0,225.0,225.0,180
42,PLIC,2012-05-07.csv,225.0,229.0,229.0,229.0,20
50,PLIC,2012-05-08.csv,229.0,225.0,225.0,225.0,126
66,PLIC,2012-05-09.csv,225.0,221.0,203.0,203.0,"1,960"
63,PLIC,2012-05-10.csv,203.0,202.0,196.0,197.0,"1,552"
47,PLIC,2012-05-15.csv,197.0,212.0,194.0,212.0,"1,014"
60,PLIC,2012-05-17.csv,212.0,224.0,199.0,202.0,"2,158"
52,PLIC,2012-05-20.csv,202.0,198.0,189.0,196.0,468
61,PLIC,2012-05-21.csv,196.0,205.0,189.0,201.0,"2,220"
62,PLIC,2012-05-22.csv,201.0,204.0,194.0,204.0,572
60,PLIC,2012-05-24.csv,204.0,201.0,196.0,200.0,"2,680"
58,PLIC,2012-05-27.csv,200.0,197.0,197.0,197.0,30
33,PLIC,2012-05-29.csv,197.0,194.0,178.0,178.0,356
34,PLIC,2012-05-30.csv,178.0,175.0,161.0,161.0,"4,468"
39,PLIC,2012-05-31.csv,161.0,170.0,158.0,170.0,"3,092"
44,PLIC,2012-06-03.csv,170.0,176.0,173.0,176.0,82
53,PLIC,2012-06-04.csv,176.0,182.0,176.0,176.0,"3,130"
59,PLIC,2012-06-05.csv,176.0,177.0,170.0,177.0,498
56,PLIC,2012-06-06.csv,177.0,178.0,172.0,174.0,790
53,PLIC,2012-06-07.csv,174.0,185.0,173.0,183.0,"5,042"
48,PLIC,2012-06-10.csv,183.0,181.0,180.0,180.0,858
56,PLIC,2012-06-11.csv,180.0,183.0,177.0,180.0,156
59,PLIC,2012-06-12.csv,180.0,177.0,174.0,174.0,132
57,PLIC,2012-06-13.csv,174.0,176.0,170.0,174.0,758
58,PLIC,2012-06-14.csv,174.0,177.0,173.0,173.0,852
57,PLIC,2012-06-17.csv,173.0,175.0,171.0,175.0,720
54,PLIC,2012-06-18.csv,175.0,172.0,167.0,172.0,778
59,PLIC,2012-06-19.csv,172.0,175.0,170.0,175.0,456
56,PLIC,2012-06-20.csv,175.0,178.0,172.0,172.0,694
56,PLIC,2012-06-21.csv,172.0,175.0,170.0,173.0,332
56,PLIC,2012-06-25.csv,173.0,173.0,173.0,173.0,68
55,PLIC,2012-06-26.csv,173.0,174.0,171.0,174.0,318
55,PLIC,2012-06-28.csv,174.0,174.0,168.0,174.0,504
51,PLIC,2012-07-01.csv,174.0,177.0,171.0,175.0,600
58,PLIC,2012-07-02.csv,175.0,180.0,175.0,180.0,702
52,PLIC,2012-07-03.csv,180.0,182.0,180.0,180.0,272
53,PLIC,2012-07-04.csv,180.0,189.0,177.0,186.0,914
54,PLIC,2012-07-05.csv,186.0,189.0,186.0,187.0,688
55,PLIC,2012-07-08.csv,187.0,189.0,185.0,185.0,506
55,PLIC,2012-07-09.csv,185.0,189.0,184.0,189.0,186
52,PLIC,2012-07-10.csv,189.0,192.0,180.0,186.0,"1,600"
60,PLIC,2012-07-11.csv,186.0,191.0,180.0,190.0,"1,526"
62,PLIC,2012-07-12.csv,190.0,192.0,187.0,187.0,340
52,PLIC,2012-07-15.csv,187.0,190.0,189.0,190.0,252
58,PLIC,2012-07-16.csv,190.0,196.0,192.0,196.0,996
57,PLIC,2012-07-17.csv,196.0,200.0,194.0,195.0,"1,736"
62,PLIC,2012-07-18.csv,195.0,204.0,198.0,204.0,"1,614"
63,PLIC,2012-07-19.csv,204.0,218.0,204.0,218.0,"4,314"
63,PLIC,2012-07-22.csv,218.0,237.0,221.0,232.0,"4,344"
50,PLIC,2012-07-23.csv,232.0,232.0,229.0,230.0,"5,914"
55,PLIC,2012-07-24.csv,230.0,232.0,222.0,232.0,"1,216"
60,PLIC,2012-07-25.csv,232.0,236.0,226.0,233.0,"4,860"
64,PLIC,2012-07-26.csv,233.0,230.0,226.0,229.0,"3,016"
52,PLIC,2012-07-29.csv,229.0,225.0,217.0,222.0,"2,106"
64,PLIC,2012-07-30.csv,222.0,232.0,225.0,232.0,"2,394"
65,PLIC,2012-07-31.csv,232.0,232.0,230.0,231.0,"1,570"
66,PLIC,2012-08-01.csv,231.0,236.0,224.0,235.0,"2,184"
