S.no,Symbol,Date,Open,High,Low,Close,Vol
121,PLICPO,2017-12-06.csv,950.0,950.0,950.0,950.0,"35,000"
114,PLICPO,2017-12-11.csv,950.0,950.0,950.0,950.0,"50,000"
116,PLICPO,2017-12-12.csv,950.0,950.0,950.0,950.0,"40,000"
111,PLICPO,2018-02-27.csv,931.0,931.0,895.0,895.0,"57,008"
113,PLICPO,2018-03-20.csv,320.0,320.0,320.0,320.0,"4,000"
111,PLICPO,2018-03-21.csv,314.0,314.0,314.0,314.0,"1,221"
121,PLICPO,2018-07-11.csv,300.0,300.0,300.0,300.0,"357,476"
111,PLICPO,2018-07-16.csv,294.0,294.0,290.0,290.0,"178,355"
112,PLICPO,2018-07-19.csv,285.0,285.0,285.0,285.0,"1,073,444"
113,PLICPO,2018-10-07.csv,285.0,285.0,285.0,285.0,"50,422"
107,PLICPO,2018-10-15.csv,285.0,285.0,285.0,285.0,"49,578"
116,PLICPO,2019-02-27.csv,232.0,232.0,232.0,232.0,"24,788"
