S.no,Symbol,Date,Open,High,Low,Close,Vol
68,PRBBL,2013-10-27.csv,132.0,145.0,132.0,145.0,"14,607"
66,PRBBL,2013-10-28.csv,145.0,159.0,147.0,156.0,"8,780"
71,PRBBL,2013-10-29.csv,156.0,155.0,148.0,150.0,"3,789"
67,PRBBL,2013-10-30.csv,150.0,151.0,150.0,151.0,"2,197"
71,PRBBL,2013-10-31.csv,151.0,150.0,148.0,150.0,"3,048"
59,PRBBL,2013-11-06.csv,150.0,150.0,147.0,147.0,"1,471"
71,PRBBL,2013-11-07.csv,147.0,149.0,145.0,148.0,"2,103"
20,PRBBL,2013-11-10.csv,148.0,159.0,150.0,158.0,"9,018"
61,PRBBL,2013-11-11.csv,158.0,173.0,161.0,173.0,"4,127"
64,PRBBL,2013-11-12.csv,173.0,190.0,175.0,190.0,"15,868"
68,PRBBL,2013-11-13.csv,190.0,201.0,188.0,200.0,"14,547"
70,PRBBL,2013-11-14.csv,200.0,200.0,193.0,195.0,"7,716"
43,PRBBL,2013-11-21.csv,195.0,201.0,198.0,201.0,236
68,PRBBL,2013-11-24.csv,201.0,216.0,205.0,216.0,951
72,PRBBL,2013-11-25.csv,216.0,220.0,212.0,219.0,"5,056"
72,PRBBL,2013-11-26.csv,219.0,216.0,202.0,202.0,"3,424"
76,PRBBL,2013-11-27.csv,202.0,210.0,206.0,210.0,617
76,PRBBL,2013-11-28.csv,210.0,206.0,199.0,202.0,"2,370"
74,PRBBL,2013-12-01.csv,202.0,202.0,193.0,193.0,"2,531"
75,PRBBL,2013-12-02.csv,193.0,204.0,190.0,201.0,"3,617"
81,PRBBL,2013-12-03.csv,201.0,221.0,203.0,221.0,"9,854"
79,PRBBL,2013-12-04.csv,221.0,243.0,225.0,243.0,"2,226"
89,PRBBL,2013-12-05.csv,243.0,267.0,247.0,260.0,"10,702"
86,PRBBL,2013-12-08.csv,260.0,265.0,234.0,234.0,"8,333"
85,PRBBL,2013-12-09.csv,234.0,233.0,218.0,230.0,"12,465"
86,PRBBL,2013-12-10.csv,230.0,230.0,223.0,223.0,"2,245"
86,PRBBL,2013-12-11.csv,223.0,245.0,223.0,245.0,"19,203"
84,PRBBL,2013-12-12.csv,244.0,250.0,241.0,242.0,"8,608"
78,PRBBL,2013-12-15.csv,242.0,255.0,240.0,255.0,"5,799"
71,PRBBL,2013-12-16.csv,255.0,260.0,260.0,260.0,20
71,PRBBL,2013-12-18.csv,260.0,265.0,265.0,265.0,300
78,PRBBL,2013-12-19.csv,265.0,285.0,270.0,285.0,"11,718"
84,PRBBL,2013-12-22.csv,285.0,280.0,257.0,260.0,"5,960"
78,PRBBL,2013-12-23.csv,261.0,256.0,246.0,246.0,"2,235"
80,PRBBL,2013-12-24.csv,246.0,242.0,222.0,225.0,"3,586"
77,PRBBL,2013-12-26.csv,225.0,233.0,229.0,233.0,163
74,PRBBL,2013-12-29.csv,233.0,235.0,230.0,235.0,"2,605"
71,PRBBL,2013-12-31.csv,235.0,253.0,239.0,249.0,"4,138"
70,PRBBL,2014-01-01.csv,249.0,253.0,241.0,241.0,"5,383"
64,PRBBL,2014-01-02.csv,241.0,249.0,240.0,240.0,"1,962"
77,PRBBL,2014-01-05.csv,240.0,255.0,241.0,255.0,"18,981"
75,PRBBL,2014-01-06.csv,255.0,268.0,260.0,264.0,"2,585"
72,PRBBL,2014-01-07.csv,264.0,260.0,254.0,260.0,"2,226"
75,PRBBL,2014-01-08.csv,260.0,257.0,255.0,255.0,917
79,PRBBL,2014-01-09.csv,255.0,257.0,252.0,257.0,"1,706"
77,PRBBL,2014-01-12.csv,257.0,257.0,247.0,247.0,"1,029"
77,PRBBL,2014-01-13.csv,247.0,256.0,246.0,255.0,"9,327"
83,PRBBL,2014-01-14.csv,255.0,256.0,251.0,256.0,"3,162"
77,PRBBL,2014-01-16.csv,256.0,255.0,250.0,250.0,"2,067"
70,PRBBL,2014-01-19.csv,250.0,255.0,250.0,255.0,"2,764"
84,PRBBL,2014-01-20.csv,255.0,265.0,255.0,265.0,"3,194"
85,PRBBL,2014-01-21.csv,265.0,265.0,260.0,260.0,839
86,PRBBL,2014-01-22.csv,260.0,255.0,246.0,246.0,621
87,PRBBL,2014-01-23.csv,246.0,253.0,249.0,250.0,"2,929"
90,PRBBL,2014-01-26.csv,250.0,260.0,250.0,255.0,"3,105"
87,PRBBL,2014-01-27.csv,255.0,250.0,246.0,247.0,"3,384"
82,PRBBL,2014-01-28.csv,247.0,256.0,250.0,255.0,"4,221"
84,PRBBL,2014-01-29.csv,255.0,256.0,250.0,256.0,956
86,PRBBL,2014-02-02.csv,256.0,254.0,250.0,250.0,306
85,PRBBL,2014-02-03.csv,250.0,253.0,245.0,245.0,"6,558"
80,PRBBL,2014-02-04.csv,245.0,248.0,243.0,248.0,"2,268"
91,PRBBL,2014-02-06.csv,248.0,258.0,246.0,258.0,"3,447"
89,PRBBL,2014-02-09.csv,258.0,270.0,259.0,269.0,"8,140"
79,PRBBL,2014-02-10.csv,269.0,275.0,267.0,268.0,"4,942"
82,PRBBL,2014-02-11.csv,268.0,278.0,265.0,265.0,"36,404"
89,PRBBL,2014-02-12.csv,265.0,275.0,270.0,273.0,"3,065"
82,PRBBL,2014-02-13.csv,273.0,275.0,270.0,275.0,"3,883"
84,PRBBL,2014-02-16.csv,275.0,280.0,266.0,270.0,"3,740"
91,PRBBL,2014-02-17.csv,270.0,265.0,255.0,255.0,657
90,PRBBL,2014-02-18.csv,255.0,260.0,255.0,255.0,"2,262"
84,PRBBL,2014-02-20.csv,255.0,260.0,260.0,260.0,200
86,PRBBL,2014-02-23.csv,260.0,270.0,260.0,266.0,"4,899"
87,PRBBL,2014-02-24.csv,266.0,271.0,269.0,269.0,388
89,PRBBL,2014-02-25.csv,269.0,267.0,260.0,266.0,"2,467"
85,PRBBL,2014-02-26.csv,266.0,264.0,261.0,261.0,527
79,PRBBL,2014-03-03.csv,261.0,262.0,251.0,251.0,"2,600"
72,PRBBL,2014-03-04.csv,251.0,247.0,242.0,242.0,921
84,PRBBL,2014-03-05.csv,242.0,250.0,242.0,247.0,660
93,PRBBL,2014-03-06.csv,247.0,266.0,250.0,266.0,"2,975"
89,PRBBL,2014-03-09.csv,266.0,265.0,260.0,262.0,"4,203"
79,PRBBL,2014-03-10.csv,262.0,260.0,255.0,255.0,"2,627"
85,PRBBL,2014-03-11.csv,255.0,250.0,250.0,250.0,27
80,PRBBL,2014-03-12.csv,250.0,250.0,240.0,240.0,"1,321"
127,PRBBL,2014-03-13.csv,240.0,248.0,240.0,248.0,851
79,PRBBL,2014-03-18.csv,248.0,244.0,240.0,240.0,"1,223"
83,PRBBL,2014-03-20.csv,240.0,239.0,239.0,239.0,40
85,PRBBL,2014-03-23.csv,239.0,243.0,236.0,236.0,"3,365"
87,PRBBL,2014-03-24.csv,236.0,240.0,240.0,240.0,250
86,PRBBL,2014-03-25.csv,240.0,248.0,244.0,245.0,"1,232"
93,PRBBL,2014-03-26.csv,245.0,249.0,241.0,248.0,"2,355"
90,PRBBL,2014-03-27.csv,248.0,248.0,242.0,246.0,"2,615"
90,PRBBL,2014-03-31.csv,246.0,247.0,243.0,247.0,960
91,PRBBL,2014-04-01.csv,247.0,248.0,245.0,248.0,621
95,PRBBL,2014-04-02.csv,248.0,249.0,247.0,247.0,890
91,PRBBL,2014-04-03.csv,247.0,245.0,240.0,240.0,"1,000"
