S.no,Symbol,Date,Open,High,Low,Close,Vol
60,PRBL,2012-01-01.csv,67.0,66.0,61.0,63.0,540
55,PRBL,2012-01-02.csv,63.0,64.0,62.0,64.0,"1,970"
56,PRBL,2012-01-03.csv,64.0,66.0,63.0,64.0,"1,360"
57,PRBL,2012-01-04.csv,64.0,65.0,62.0,63.0,"1,230"
48,PRBL,2012-01-05.csv,63.0,65.0,64.0,64.0,"1,080"
49,PRBL,2012-01-08.csv,64.0,70.0,65.0,70.0,780
53,PRBL,2012-01-09.csv,70.0,74.0,70.0,73.0,"1,230"
52,PRBL,2012-01-10.csv,64.0,75.0,73.0,74.0,790
60,PRBL,2012-01-11.csv,74.0,75.0,74.0,75.0,600
58,PRBL,2012-01-12.csv,75.0,77.0,75.0,76.0,930
52,PRBL,2012-01-16.csv,76.0,76.0,75.0,75.0,400
54,PRBL,2012-01-17.csv,75.0,76.0,74.0,75.0,240
54,PRBL,2012-01-18.csv,75.0,77.0,75.0,77.0,770
64,PRBL,2012-01-22.csv,77.0,77.0,75.0,75.0,470
63,PRBL,2012-01-23.csv,75.0,78.0,75.0,76.0,870
53,PRBL,2012-01-25.csv,76.0,83.0,76.0,76.0,"1,830"
60,PRBL,2012-01-26.csv,76.0,77.0,72.0,73.0,"1,320"
61,PRBL,2012-01-29.csv,73.0,74.0,72.0,73.0,"2,350"
66,PRBL,2012-01-31.csv,73.0,74.0,68.0,70.0,930
65,PRBL,2012-02-01.csv,70.0,73.0,70.0,72.0,"1,390"
61,PRBL,2012-02-02.csv,72.0,74.0,72.0,74.0,"1,990"
61,PRBL,2012-02-05.csv,74.0,74.0,73.0,74.0,300
60,PRBL,2012-02-06.csv,74.0,75.0,75.0,75.0,30
63,PRBL,2012-02-07.csv,75.0,76.0,75.0,76.0,810
57,PRBL,2012-02-08.csv,76.0,76.0,74.0,74.0,610
47,PRBL,2012-02-09.csv,74.0,73.0,73.0,73.0,510
65,PRBL,2012-02-12.csv,73.0,74.0,73.0,73.0,180
57,PRBL,2012-02-13.csv,73.0,74.0,72.0,72.0,"1,900"
55,PRBL,2012-02-14.csv,72.0,72.0,69.0,71.0,420
62,PRBL,2012-02-15.csv,71.0,71.0,70.0,71.0,"1,480"
59,PRBL,2012-02-16.csv,71.0,72.0,71.0,71.0,310
58,PRBL,2012-02-21.csv,71.0,73.0,70.0,71.0,"2,090"
60,PRBL,2012-02-23.csv,71.0,73.0,70.0,72.0,"1,030"
63,PRBL,2012-02-26.csv,72.0,71.0,69.0,69.0,80
66,PRBL,2012-02-27.csv,69.0,70.0,68.0,68.0,630
57,PRBL,2012-02-29.csv,68.0,73.0,69.0,73.0,"1,530"
60,PRBL,2012-03-04.csv,73.0,75.0,74.0,74.0,480
56,PRBL,2012-03-05.csv,74.0,75.0,74.0,75.0,160
64,PRBL,2012-03-06.csv,75.0,74.0,71.0,71.0,"1,330"
56,PRBL,2012-03-12.csv,71.0,70.0,68.0,69.0,400
58,PRBL,2012-03-13.csv,69.0,70.0,69.0,69.0,390
52,PRBL,2012-03-14.csv,69.0,73.0,70.0,73.0,540
63,PRBL,2012-03-18.csv,73.0,73.0,70.0,71.0,580
58,PRBL,2012-03-19.csv,71.0,70.0,68.0,68.0,160
61,PRBL,2012-03-20.csv,68.0,69.0,68.0,68.0,260
57,PRBL,2012-03-25.csv,68.0,69.0,69.0,69.0,10
54,PRBL,2012-03-26.csv,69.0,71.0,70.0,71.0,140
65,PRBL,2012-03-27.csv,71.0,72.0,69.0,69.0,530
60,PRBL,2012-03-28.csv,69.0,70.0,69.0,70.0,340
60,PRBL,2012-03-29.csv,70.0,71.0,70.0,70.0,90
58,PRBL,2012-04-01.csv,70.0,72.0,71.0,72.0,220
58,PRBL,2012-04-02.csv,72.0,73.0,69.0,69.0,420
57,PRBL,2012-04-03.csv,69.0,70.0,70.0,70.0,60
63,PRBL,2012-04-04.csv,70.0,70.0,70.0,70.0,490
60,PRBL,2012-04-05.csv,70.0,71.0,71.0,71.0,900
61,PRBL,2012-04-08.csv,71.0,71.0,71.0,71.0,160
50,PRBL,2012-04-09.csv,71.0,73.0,72.0,72.0,630
56,PRBL,2012-04-10.csv,72.0,72.0,72.0,72.0,430
59,PRBL,2012-04-15.csv,72.0,75.0,73.0,75.0,110
45,PRBL,2012-04-16.csv,75.0,76.0,76.0,76.0,60
55,PRBL,2012-04-17.csv,76.0,77.0,77.0,77.0,40
57,PRBL,2012-04-18.csv,77.0,78.0,78.0,78.0,10
60,PRBL,2012-04-22.csv,78.0,77.0,77.0,77.0,150
48,PRBL,2012-04-24.csv,77.0,79.0,78.0,79.0,100
51,PRBL,2012-04-25.csv,79.0,80.0,80.0,80.0,70
68,PRBL,2012-04-26.csv,80.0,85.0,81.0,85.0,220
67,PRBL,2012-04-29.csv,85.0,86.0,86.0,86.0,80
65,PRBL,2012-04-30.csv,86.0,86.0,84.0,84.0,290
67,PRBL,2012-05-09.csv,84.0,88.0,85.0,88.0,40
48,PRBL,2012-05-13.csv,88.0,93.0,89.0,93.0,50
49,PRBL,2012-05-14.csv,93.0,92.0,89.0,90.0,590
48,PRBL,2012-05-15.csv,90.0,89.0,88.0,88.0,70
61,PRBL,2012-05-17.csv,88.0,87.0,87.0,87.0,80
62,PRBL,2012-05-21.csv,87.0,88.0,85.0,85.0,"1,430"
63,PRBL,2012-05-22.csv,85.0,88.0,86.0,88.0,60
41,PRBL,2012-05-23.csv,88.0,88.0,87.0,87.0,100
61,PRBL,2012-05-24.csv,87.0,90.0,87.0,89.0,530
34,PRBL,2012-05-29.csv,89.0,88.0,88.0,88.0,30
54,PRBL,2012-06-04.csv,88.0,87.0,87.0,87.0,70
49,PRBL,2012-06-10.csv,87.0,87.0,87.0,87.0,30
57,PRBL,2012-06-11.csv,87.0,87.0,87.0,87.0,"1,050"
60,PRBL,2012-06-12.csv,87.0,86.0,86.0,86.0,930
58,PRBL,2012-06-13.csv,86.0,87.0,87.0,87.0,930
60,PRBL,2012-06-19.csv,87.0,87.0,87.0,87.0,200
57,PRBL,2012-06-20.csv,87.0,87.0,87.0,87.0,390
56,PRBL,2012-06-26.csv,87.0,86.0,85.0,85.0,820
53,PRBL,2012-07-03.csv,85.0,84.0,84.0,84.0,30
54,PRBL,2012-07-04.csv,84.0,85.0,84.0,84.0,850
55,PRBL,2012-07-05.csv,84.0,83.0,80.0,80.0,800
56,PRBL,2012-07-08.csv,80.0,80.0,80.0,80.0,30
53,PRBL,2012-07-10.csv,80.0,81.0,77.0,77.0,800
61,PRBL,2012-07-11.csv,77.0,77.0,75.0,77.0,470
63,PRBL,2012-07-12.csv,77.0,77.0,76.0,76.0,140
53,PRBL,2012-07-15.csv,76.0,75.0,75.0,75.0,140
59,PRBL,2012-07-16.csv,75.0,74.0,73.0,73.0,420
58,PRBL,2012-07-17.csv,73.0,72.0,71.0,71.0,680
63,PRBL,2012-07-18.csv,71.0,71.0,71.0,71.0,100
56,PRBL,2012-07-24.csv,71.0,70.0,70.0,70.0,100
61,PRBL,2012-07-25.csv,70.0,70.0,70.0,70.0,150
65,PRBL,2012-07-26.csv,70.0,70.0,69.0,69.0,200
53,PRBL,2012-07-29.csv,69.0,73.0,70.0,73.0,170
67,PRBL,2012-08-01.csv,73.0,72.0,70.0,72.0,740
56,PRBL,2012-08-05.csv,72.0,71.0,70.0,70.0,70
62,PRBL,2012-08-06.csv,70.0,72.0,69.0,72.0,220
67,PRBL,2012-08-07.csv,72.0,73.0,72.0,73.0,420
62,PRBL,2012-08-08.csv,73.0,74.0,73.0,74.0,110
64,PRBL,2012-08-12.csv,74.0,75.0,75.0,75.0,40
59,PRBL,2012-08-13.csv,75.0,74.0,73.0,73.0,50
55,PRBL,2012-08-14.csv,73.0,75.0,73.0,73.0,270
59,PRBL,2012-08-16.csv,73.0,72.0,72.0,72.0,20
57,PRBL,2012-08-19.csv,72.0,73.0,72.0,73.0,190
66,PRBL,2012-08-21.csv,73.0,75.0,72.0,75.0,480
65,PRBL,2012-08-22.csv,75.0,75.0,75.0,75.0,10
65,PRBL,2012-08-26.csv,75.0,74.0,71.0,71.0,340
66,PRBL,2012-08-27.csv,71.0,70.0,69.0,69.0,170
66,PRBL,2012-08-29.csv,69.0,68.0,67.0,67.0,180
68,PRBL,2012-09-02.csv,67.0,71.0,69.0,71.0,270
66,PRBL,2012-09-03.csv,71.0,71.0,69.0,69.0,360
66,PRBL,2012-09-05.csv,69.0,68.0,68.0,68.0,20
71,PRBL,2012-09-10.csv,68.0,67.0,65.0,65.0,50
77,PRBL,2012-09-11.csv,65.0,68.0,66.0,68.0,290
73,PRBL,2012-09-13.csv,68.0,71.0,67.0,71.0,230
68,PRBL,2012-09-16.csv,71.0,70.0,70.0,70.0,100
74,PRBL,2012-09-17.csv,70.0,70.0,70.0,70.0,60
74,PRBL,2012-09-19.csv,70.0,71.0,71.0,71.0,70
66,PRBL,2012-09-20.csv,71.0,70.0,70.0,70.0,100
69,PRBL,2012-09-23.csv,70.0,71.0,70.0,71.0,220
66,PRBL,2012-09-24.csv,71.0,72.0,71.0,72.0,300
67,PRBL,2012-09-25.csv,72.0,74.0,73.0,74.0,510
71,PRBL,2012-09-26.csv,74.0,73.0,73.0,73.0,690
73,PRBL,2012-09-30.csv,74.0,73.0,73.0,73.0,40
71,PRBL,2012-10-03.csv,73.0,73.0,73.0,73.0,130
70,PRBL,2012-10-07.csv,73.0,74.0,74.0,74.0,10
74,PRBL,2012-10-09.csv,74.0,75.0,74.0,75.0,100
69,PRBL,2012-10-10.csv,75.0,75.0,74.0,75.0,110
72,PRBL,2012-10-11.csv,75.0,74.0,74.0,74.0,40
