S.no,Symbol,Date,Open,High,Low,Close,Vol
68,PRDBL,2013-10-23.csv,105.0,105.0,105.0,105.0,120
60,PRDBL,2013-11-06.csv,105.0,103.0,103.0,103.0,770
76,PRDBL,2013-12-02.csv,103.0,102.0,100.0,100.0,190
82,PRDBL,2013-12-03.csv,100.0,110.0,100.0,110.0,760
80,PRDBL,2013-12-04.csv,110.0,115.0,105.0,115.0,"1,750"
90,PRDBL,2013-12-05.csv,115.0,124.0,117.0,120.0,590
87,PRDBL,2013-12-08.csv,120.0,128.0,122.0,124.0,"3,620"
86,PRDBL,2013-12-09.csv,124.0,126.0,124.0,126.0,"1,090"
87,PRDBL,2013-12-10.csv,126.0,124.0,122.0,122.0,200
87,PRDBL,2013-12-11.csv,122.0,128.0,121.0,121.0,"1,220"
85,PRDBL,2013-12-12.csv,121.0,119.0,117.0,117.0,430
79,PRDBL,2013-12-15.csv,117.0,117.0,115.0,117.0,480
72,PRDBL,2013-12-16.csv,117.0,119.0,115.0,119.0,930
72,PRDBL,2013-12-18.csv,119.0,121.0,118.0,121.0,550
79,PRDBL,2013-12-19.csv,121.0,125.0,123.0,125.0,190
85,PRDBL,2013-12-22.csv,125.0,128.0,123.0,123.0,"1,540"
72,PRDBL,2013-12-31.csv,123.0,121.0,121.0,121.0,440
71,PRDBL,2014-01-01.csv,121.0,119.0,117.0,117.0,100
65,PRDBL,2014-01-02.csv,117.0,115.0,109.0,109.0,310
78,PRDBL,2014-01-05.csv,109.0,109.0,105.0,107.0,"1,860"
76,PRDBL,2014-01-06.csv,107.0,107.0,105.0,105.0,440
73,PRDBL,2014-01-07.csv,105.0,107.0,105.0,105.0,"1,030"
76,PRDBL,2014-01-08.csv,105.0,113.0,104.0,111.0,"1,340"
80,PRDBL,2014-01-09.csv,111.0,109.0,107.0,108.0,650
78,PRDBL,2014-01-12.csv,108.0,109.0,106.0,109.0,310
78,PRDBL,2014-01-13.csv,109.0,113.0,111.0,111.0,200
84,PRDBL,2014-01-14.csv,111.0,109.0,107.0,108.0,310
78,PRDBL,2014-01-16.csv,108.0,108.0,107.0,108.0,150
71,PRDBL,2014-01-19.csv,108.0,108.0,105.0,108.0,250
85,PRDBL,2014-01-20.csv,108.0,110.0,108.0,108.0,700
86,PRDBL,2014-01-21.csv,108.0,110.0,107.0,110.0,590
87,PRDBL,2014-01-22.csv,110.0,115.0,112.0,115.0,360
88,PRDBL,2014-01-23.csv,115.0,120.0,116.0,120.0,"1,310"
91,PRDBL,2014-01-26.csv,120.0,128.0,120.0,128.0,"1,380"
88,PRDBL,2014-01-27.csv,128.0,140.0,130.0,140.0,"5,490"
83,PRDBL,2014-01-28.csv,140.0,140.0,132.0,132.0,620
85,PRDBL,2014-01-29.csv,132.0,134.0,128.0,128.0,"1,100"
87,PRDBL,2014-02-02.csv,128.0,130.0,128.0,128.0,700
86,PRDBL,2014-02-03.csv,128.0,138.0,122.0,138.0,"1,610"
81,PRDBL,2014-02-04.csv,138.0,136.0,125.0,125.0,490
92,PRDBL,2014-02-06.csv,125.0,135.0,122.0,135.0,950
90,PRDBL,2014-02-09.csv,135.0,133.0,124.0,124.0,710
80,PRDBL,2014-02-10.csv,124.0,128.0,124.0,128.0,260
83,PRDBL,2014-02-11.csv,128.0,126.0,123.0,123.0,"1,630"
90,PRDBL,2014-02-12.csv,123.0,122.0,114.0,122.0,"4,130"
83,PRDBL,2014-02-13.csv,122.0,123.0,122.0,122.0,660
85,PRDBL,2014-02-16.csv,122.0,121.0,116.0,120.0,"1,980"
92,PRDBL,2014-02-17.csv,120.0,118.0,115.0,115.0,380
91,PRDBL,2014-02-18.csv,115.0,118.0,114.0,117.0,420
85,PRDBL,2014-02-20.csv,117.0,122.0,119.0,122.0,330
87,PRDBL,2014-02-23.csv,122.0,122.0,122.0,122.0,220
88,PRDBL,2014-02-24.csv,122.0,126.0,124.0,125.0,810
90,PRDBL,2014-02-25.csv,125.0,129.0,125.0,128.0,"1,670"
80,PRDBL,2014-03-03.csv,128.0,126.0,122.0,122.0,570
73,PRDBL,2014-03-04.csv,122.0,122.0,116.0,117.0,910
85,PRDBL,2014-03-05.csv,117.0,120.0,115.0,119.0,630
94,PRDBL,2014-03-06.csv,119.0,119.0,115.0,118.0,"2,220"
90,PRDBL,2014-03-09.csv,118.0,118.0,116.0,116.0,670
80,PRDBL,2014-03-10.csv,116.0,118.0,115.0,118.0,"1,850"
86,PRDBL,2014-03-11.csv,118.0,117.0,114.0,116.0,940
81,PRDBL,2014-03-12.csv,116.0,114.0,114.0,114.0,10
128,PRDBL,2014-03-13.csv,114.0,112.0,111.0,112.0,310
90,PRDBL,2014-03-17.csv,112.0,116.0,110.0,115.0,"1,380"
80,PRDBL,2014-03-18.csv,115.0,113.0,111.0,111.0,"2,180"
81,PRDBL,2014-03-19.csv,111.0,115.0,109.0,115.0,460
84,PRDBL,2014-03-20.csv,115.0,113.0,109.0,109.0,310
86,PRDBL,2014-03-23.csv,109.0,112.0,107.0,112.0,750
88,PRDBL,2014-03-24.csv,112.0,110.0,110.0,110.0,450
87,PRDBL,2014-03-25.csv,110.0,110.0,108.0,110.0,30
94,PRDBL,2014-03-26.csv,110.0,112.0,108.0,112.0,110
91,PRDBL,2014-03-27.csv,112.0,112.0,110.0,112.0,430
91,PRDBL,2014-03-31.csv,112.0,112.0,109.0,112.0,340
92,PRDBL,2014-04-01.csv,112.0,116.0,112.0,116.0,490
96,PRDBL,2014-04-02.csv,116.0,116.0,114.0,116.0,380
92,PRDBL,2014-04-03.csv,116.0,114.0,113.0,114.0,660
91,PRDBL,2014-04-06.csv,114.0,116.0,114.0,116.0,220
82,PRDBL,2014-04-07.csv,116.0,116.0,116.0,116.0,160
88,PRDBL,2014-04-09.csv,116.0,124.0,118.0,122.0,"1,600"
86,PRDBL,2014-04-10.csv,122.0,127.0,124.0,126.0,"1,120"
88,PRDBL,2014-04-13.csv,126.0,131.0,125.0,131.0,"2,250"
86,PRDBL,2014-04-15.csv,131.0,132.0,131.0,131.0,460
83,PRDBL,2014-04-16.csv,131.0,130.0,125.0,126.0,560
88,PRDBL,2014-04-17.csv,126.0,125.0,120.0,120.0,710
