S.no,Symbol,Date,Open,High,Low,Close,Vol
61,PRFL,2012-01-01.csv,147.0,152.0,147.0,152.0,488
56,PRFL,2012-01-02.csv,152.0,155.0,150.0,150.0,"3,797"
57,PRFL,2012-01-03.csv,150.0,163.0,150.0,154.0,"6,762"
65,PRFL,2012-01-22.csv,154.0,135.0,133.0,133.0,"5,236"
54,PRFL,2012-01-25.csv,133.0,131.0,131.0,131.0,"1,000"
67,PRFL,2012-01-31.csv,131.0,132.0,128.0,131.0,"3,823"
66,PRFL,2012-02-01.csv,131.0,133.0,133.0,133.0,288
62,PRFL,2012-02-02.csv,133.0,131.0,125.0,129.0,"2,160"
62,PRFL,2012-02-05.csv,129.0,131.0,128.0,128.0,386
61,PRFL,2012-02-06.csv,128.0,129.0,124.0,126.0,"1,314"
64,PRFL,2012-02-07.csv,126.0,128.0,128.0,128.0,113
58,PRFL,2012-02-08.csv,128.0,130.0,130.0,130.0,398
48,PRFL,2012-02-09.csv,130.0,132.0,131.0,132.0,871
66,PRFL,2012-02-12.csv,132.0,130.0,128.0,128.0,144
58,PRFL,2012-02-13.csv,128.0,130.0,130.0,130.0,210
56,PRFL,2012-02-14.csv,130.0,130.0,130.0,130.0,100
59,PRFL,2012-02-21.csv,130.0,130.0,128.0,130.0,421
64,PRFL,2012-02-26.csv,130.0,131.0,125.0,127.0,555
67,PRFL,2012-02-27.csv,127.0,126.0,124.0,124.0,798
54,PRFL,2012-02-28.csv,124.0,127.0,122.0,125.0,"1,945"
58,PRFL,2012-02-29.csv,125.0,126.0,124.0,124.0,640
58,PRFL,2012-03-01.csv,124.0,125.0,124.0,125.0,200
61,PRFL,2012-03-04.csv,125.0,125.0,121.0,125.0,"1,713"
65,PRFL,2012-03-06.csv,125.0,127.0,125.0,125.0,230
57,PRFL,2012-03-11.csv,125.0,125.0,124.0,125.0,400
57,PRFL,2012-03-12.csv,125.0,126.0,126.0,126.0,100
59,PRFL,2012-03-13.csv,126.0,125.0,124.0,124.0,500
59,PRFL,2012-03-19.csv,124.0,124.0,124.0,124.0,100
61,PRFL,2012-03-21.csv,124.0,122.0,120.0,122.0,920
58,PRFL,2012-03-25.csv,122.0,120.0,118.0,118.0,243
55,PRFL,2012-03-26.csv,118.0,120.0,120.0,120.0,100
66,PRFL,2012-03-27.csv,120.0,120.0,120.0,120.0,"2,300"
61,PRFL,2012-03-28.csv,120.0,120.0,120.0,120.0,368
61,PRFL,2012-03-29.csv,120.0,120.0,120.0,120.0,300
59,PRFL,2012-04-01.csv,120.0,118.0,115.0,117.0,"6,635"
59,PRFL,2012-04-02.csv,117.0,120.0,118.0,120.0,"1,725"
58,PRFL,2012-04-03.csv,120.0,122.0,120.0,121.0,"1,000"
64,PRFL,2012-04-04.csv,121.0,123.0,121.0,121.0,842
61,PRFL,2012-04-05.csv,121.0,123.0,123.0,123.0,71
62,PRFL,2012-04-08.csv,123.0,121.0,119.0,119.0,821
