S.no,Symbol,Date,Open,High,Low,Close,Vol
53,PROFL,2012-01-16.csv,131.0,129.0,129.0,129.0,160
66,PROFL,2012-01-22.csv,129.0,129.0,129.0,129.0,"4,800"
68,PROFL,2012-01-31.csv,129.0,127.0,127.0,127.0,20
59,PROFL,2012-03-01.csv,127.0,129.0,129.0,129.0,"1,000"
62,PROFL,2012-03-04.csv,129.0,133.0,131.0,133.0,"1,950"
57,PROFL,2012-03-05.csv,133.0,137.0,135.0,137.0,"2,000"
66,PROFL,2012-03-06.csv,137.0,143.0,139.0,143.0,"2,280"
58,PROFL,2012-03-12.csv,143.0,145.0,145.0,145.0,480
64,PROFL,2012-03-18.csv,145.0,143.0,143.0,143.0,"1,090"
67,PROFL,2012-03-27.csv,143.0,141.0,139.0,139.0,"2,170"
62,PROFL,2012-03-28.csv,139.0,139.0,139.0,139.0,"1,260"
60,PROFL,2012-04-01.csv,139.0,137.0,135.0,135.0,"4,810"
63,PROFL,2012-04-08.csv,135.0,133.0,131.0,131.0,"5,210"
62,PROFL,2012-04-12.csv,131.0,129.0,127.0,127.0,"4,600"
53,PROFL,2012-05-20.csv,127.0,129.0,129.0,129.0,700
35,PROFL,2012-05-29.csv,129.0,127.0,125.0,125.0,"4,010"
35,PROFL,2012-05-30.csv,125.0,125.0,125.0,125.0,800
59,PROFL,2012-06-17.csv,125.0,125.0,125.0,125.0,200
90,PROFL,2014-04-21.csv,125.0,125.0,125.0,125.0,120
91,PROFL,2014-04-22.csv,125.0,123.0,123.0,123.0,140
93,PROFL,2014-04-23.csv,123.0,121.0,121.0,121.0,120
101,PROFL,2014-05-28.csv,121.0,119.0,117.0,117.0,140
106,PROFL,2014-06-01.csv,117.0,115.0,115.0,115.0,20
108,PROFL,2014-06-03.csv,115.0,113.0,113.0,113.0,120
100,PROFL,2014-06-05.csv,113.0,111.0,111.0,111.0,560
104,PROFL,2014-06-18.csv,111.0,113.0,113.0,113.0,120
107,PROFL,2014-07-06.csv,113.0,111.0,111.0,111.0,480
102,PROFL,2014-07-15.csv,111.0,109.0,109.0,109.0,200
113,PROFL,2014-07-16.csv,109.0,111.0,110.0,110.0,240
113,PROFL,2014-07-17.csv,110.0,115.0,112.0,115.0,400
114,PROFL,2014-07-30.csv,115.0,119.0,104.0,112.0,"115,560"
114,PROFL,2014-08-03.csv,112.0,116.0,112.0,116.0,"14,280"
105,PROFL,2014-08-04.csv,116.0,116.0,116.0,116.0,160
105,PROFL,2014-08-14.csv,116.0,126.0,118.0,126.0,50
110,PROFL,2014-08-18.csv,126.0,136.0,128.0,136.0,590
104,PROFL,2014-08-19.csv,136.0,140.0,138.0,140.0,620
95,PROFL,2014-08-21.csv,140.0,144.0,138.0,144.0,"10,360"
104,PROFL,2014-08-28.csv,144.0,148.0,146.0,146.0,360
91,PROFL,2014-09-21.csv,146.0,147.0,147.0,147.0,80
87,PROFL,2014-09-22.csv,147.0,145.0,145.0,145.0,510
96,PROFL,2014-11-20.csv,145.0,145.0,145.0,145.0,520
92,PROFL,2014-11-23.csv,145.0,146.0,146.0,146.0,100
