S.no,Symbol,Date,Open,High,Low,Close,Vol
55,PROFLP,2012-01-17.csv,98.0,99.0,99.0,99.0,"167,000"
62,PROFLP,2012-02-06.csv,99.0,100.0,100.0,100.0,"5,000"
59,PROFLP,2012-02-08.csv,100.0,102.0,102.0,102.0,"8,920"
60,PROFLP,2012-02-16.csv,102.0,104.0,104.0,104.0,"20,000"
58,PROFLP,2012-03-11.csv,104.0,106.0,106.0,106.0,"10,000"
114,PROFLP,2014-07-16.csv,106.0,105.0,105.0,105.0,900
114,PROFLP,2014-07-22.csv,105.0,105.0,105.0,105.0,"2,000"
96,PROFLP,2014-08-13.csv,105.0,105.0,105.0,105.0,100
100,PROFLP,2014-08-24.csv,105.0,105.0,105.0,105.0,100
92,PROFLP,2014-09-21.csv,105.0,105.0,105.0,105.0,250
81,PROFLP,2015-04-20.csv,105.0,105.0,101.0,101.0,"204,900"
89,PROFLP,2015-12-31.csv,101.0,101.0,101.0,101.0,"168,000"
96,PROFLP,2016-01-13.csv,101.0,101.0,101.0,101.0,"95,250"
116,PROFLP,2018-03-11.csv,101.0,101.0,101.0,101.0,"6,800"
125,PROFLP,2018-04-24.csv,100.0,100.0,100.0,100.0,"160,000"
118,PROFLP,2018-06-21.csv,100.0,100.0,100.0,100.0,"80,000"
109,PROFLP,2018-08-06.csv,101.0,101.0,101.0,101.0,"241,000"
111,PROFLP,2018-08-07.csv,101.0,101.0,101.0,101.0,"343,537"
120,PROFLP,2018-10-11.csv,101.0,101.0,101.0,101.0,"22,440"
118,PROFLP,2020-01-02.csv,101.0,101.0,101.0,101.0,"156,328"
117,PROFLP,2020-01-05.csv,101.0,101.0,101.0,101.0,"9,714"
