Date,Symbol,Open,High,Low,Close,Vol
10/4/2016,PRVU,399.0,438.0,406.0,438.0,5050
1/15/2017,PRVU,438.0,430.0,395.0,395.0,2320
1/16/2017,PRVU,395.0,388.0,356.0,356.0,12265
1/17/2017,PRVU,356.0,360.0,331.0,344.0,203761
1/18/2017,PRVU,344.0,355.0,345.0,347.0,104527
1/19/2017,PRVU,347.0,351.0,345.0,345.0,61707
1/22/2017,PRVU,345.0,346.0,340.0,340.0,40325
1/23/2017,PRVU,340.0,344.0,328.0,330.0,76861
1/24/2017,PRVU,330.0,335.0,316.0,319.0,99838
1/25/2017,PRVU,319.0,315.0,300.0,309.0,61703
1/26/2017,PRVU,309.0,314.0,297.0,306.0,103153
1/30/2017,PRVU,306.0,312.0,291.0,291.0,82391
1/31/2017,PRVU,291.0,305.0,281.0,299.0,77906
2/1/2017,PRVU,299.0,318.0,300.0,318.0,72030
2/2/2017,PRVU,318.0,330.0,308.0,314.0,94581
2/5/2017,PRVU,314.0,310.0,300.0,306.0,52132
2/6/2017,PRVU,306.0,308.0,300.0,301.0,44870
2/7/2017,PRVU,301.0,306.0,298.0,300.0,73634
2/8/2017,PRVU,300.0,305.0,294.0,297.0,84502
2/9/2017,PRVU,297.0,300.0,295.0,297.0,110428
2/12/2017,PRVU,297.0,299.0,285.0,286.0,87546
2/13/2017,PRVU,286.0,300.0,281.0,297.0,70157
2/14/2017,PRVU,297.0,301.0,290.0,300.0,91776
2/15/2017,PRVU,300.0,309.0,297.0,306.0,77091
2/16/2017,PRVU,306.0,317.0,305.0,310.0,106498
2/19/2017,PRVU,310.0,317.0,307.0,315.0,82819
2/20/2017,PRVU,315.0,325.0,310.0,315.0,85791
2/21/2017,PRVU,315.0,327.0,311.0,315.0,60335
2/22/2017,PRVU,315.0,316.0,307.0,311.0,37129
2/23/2017,PRVU,311.0,314.0,308.0,310.0,32289
2/26/2017,PRVU,310.0,312.0,306.0,308.0,16542
2/28/2017,PRVU,308.0,309.0,300.0,305.0,31507
3/1/2017,PRVU,305.0,308.0,305.0,308.0,16689
3/2/2017,PRVU,308.0,310.0,306.0,309.0,17311
3/5/2017,PRVU,309.0,315.0,308.0,309.0,43334
3/6/2017,PRVU,309.0,317.0,310.0,314.0,52818
3/7/2017,PRVU,314.0,312.0,303.0,307.0,17251
3/9/2017,PRVU,307.0,311.0,305.0,308.0,34434
3/13/2017,PRVU,308.0,313.0,307.0,307.0,21332
3/14/2017,PRVU,307.0,313.0,306.0,307.0,21465
3/15/2017,PRVU,307.0,312.0,304.0,310.0,10706
3/16/2017,PRVU,310.0,313.0,308.0,310.0,28852
3/19/2017,PRVU,310.0,321.0,310.0,320.0,51135
3/20/2017,PRVU,320.0,335.0,314.0,335.0,347309
3/21/2017,PRVU,335.0,347.0,322.0,341.0,79880
