S.no,Symbol,Date,Open,High,Low,Close,Vol
92,PRVUPO,2015-01-05.csv,0.0,0.0,0.0,0.0,"126,262"
101,PRVUPO,2015-01-08.csv,140.0,140.0,140.0,140.0,"285,854"
100,PRVUPO,2015-01-11.csv,140.0,0.0,0.0,140.0,"153,819"
98,PRVUPO,2015-01-12.csv,140.0,138.0,138.0,138.0,"73,958"
108,PRVUPO,2015-01-19.csv,138.0,136.0,132.0,132.0,"6,000"
93,PRVUPO,2015-01-20.csv,132.0,126.0,122.0,122.0,"23,193"
87,PRVUPO,2015-01-22.csv,122.0,116.0,112.0,112.0,"9,000"
95,PRVUPO,2015-01-25.csv,112.0,107.0,103.0,103.0,"21,000"
107,PRVUPO,2015-01-26.csv,103.0,101.0,100.0,100.0,"35,686"
105,PRVUPO,2015-01-27.csv,100.0,100.0,100.0,100.0,"2,228,456"
101,PRVUPO,2015-02-22.csv,100.0,0.0,0.0,100.0,"43,790"
97,PRVUPO,2015-02-26.csv,100.0,110.0,102.0,110.0,"126,774"
99,PRVUPO,2015-03-01.csv,110.0,118.0,112.0,118.0,"22,036"
100,PRVUPO,2015-03-02.csv,118.0,122.0,120.0,122.0,"25,000"
105,PRVUPO,2015-03-04.csv,122.0,132.0,124.0,132.0,"70,386"
110,PRVUPO,2015-03-09.csv,132.0,136.0,134.0,136.0,"13,000"
86,PRVUPO,2015-04-01.csv,136.0,140.0,138.0,140.0,"100,000"
96,PRVUPO,2015-04-09.csv,140.0,0.0,0.0,140.0,"38,925"
82,PRVUPO,2015-04-13.csv,140.0,146.0,142.0,146.0,"427,203"
29,PRVUPO,2015-05-24.csv,146.0,146.0,146.0,146.0,"425,741"
37,PRVUPO,2015-05-25.csv,146.0,148.0,148.0,148.0,"17,317"
267,PRVUPO,2015-06-08.csv,148.0,148.0,148.0,148.0,"72,935"
268,PRVUPO,2015-06-08.csv,148.0,148.0,148.0,148.0,"72,935"
269,PRVUPO,2015-06-08.csv,148.0,148.0,148.0,148.0,"72,935"
89,PRVUPO,2015-06-23.csv,148.0,150.0,150.0,150.0,"49,041"
88,PRVUPO,2015-06-28.csv,150.0,150.0,150.0,150.0,"42,234"
97,PRVUPO,2015-06-30.csv,150.0,150.0,150.0,150.0,"114,819"
101,PRVUPO,2015-07-08.csv,150.0,150.0,150.0,150.0,"3,076"
102,PRVUPO,2015-07-14.csv,150.0,150.0,150.0,150.0,"486,562"
103,PRVUPO,2015-07-15.csv,150.0,150.0,150.0,150.0,"327,112"
106,PRVUPO,2015-07-22.csv,150.0,150.0,150.0,150.0,"19,462"
109,PRVUPO,2015-07-23.csv,150.0,147.0,147.0,147.0,"7,998"
101,PRVUPO,2015-07-29.csv,147.0,149.0,149.0,149.0,"446,664"
93,PRVUPO,2015-08-03.csv,149.0,150.0,150.0,150.0,"65,199"
95,PRVUPO,2015-08-06.csv,150.0,151.0,151.0,151.0,"12,164"
95,PRVUPO,2015-08-12.csv,151.0,154.0,154.0,154.0,"72,500"
86,PRVUPO,2015-09-24.csv,154.0,157.0,157.0,157.0,"31,994"
83,PRVUPO,2015-09-29.csv,157.0,0.0,0.0,157.0,"31,994"
89,PRVUPO,2017-01-16.csv,205.0,201.0,201.0,201.0,"1,016,306"
94,PRVUPO,2017-01-18.csv,201.0,201.0,201.0,201.0,"25,000"
90,PRVUPO,2017-01-22.csv,201.0,201.0,201.0,201.0,"300,000"
93,PRVUPO,2017-01-23.csv,201.0,201.0,201.0,201.0,"518,825"
93,PRVUPO,2017-01-24.csv,201.0,201.0,197.0,197.0,"79,450"
93,PRVUPO,2017-01-25.csv,197.0,194.0,191.0,191.0,"895,903"
98,PRVUPO,2017-01-26.csv,191.0,188.0,185.0,185.0,"61,678"
91,PRVUPO,2017-02-12.csv,185.0,188.0,188.0,188.0,"98,581"
103,PRVUPO,2017-02-16.csv,188.0,188.0,188.0,188.0,"17,406"
89,PRVUPO,2017-02-23.csv,188.0,191.0,191.0,191.0,"116,419"
98,PRVUPO,2017-03-07.csv,191.0,191.0,191.0,191.0,"22,283"
104,PRVUPO,2017-03-29.csv,191.0,191.0,191.0,191.0,"21,800"
99,PRVUPO,2017-03-30.csv,191.0,191.0,191.0,191.0,"24,328"
101,PRVUPO,2017-04-04.csv,191.0,190.0,190.0,190.0,"7,527"
103,PRVUPO,2017-04-20.csv,190.0,190.0,190.0,190.0,"39,000"
104,PRVUPO,2017-04-24.csv,190.0,190.0,190.0,190.0,"4,619"
105,PRVUPO,2017-05-04.csv,190.0,190.0,190.0,190.0,"43,266"
104,PRVUPO,2017-05-28.csv,190.0,190.0,190.0,190.0,"5,000"
106,PRVUPO,2017-06-01.csv,190.0,190.0,190.0,190.0,"10,725"
103,PRVUPO,2017-06-04.csv,190.0,190.0,190.0,190.0,"32,000"
106,PRVUPO,2017-06-05.csv,190.0,190.0,190.0,190.0,"24,634"
104,PRVUPO,2017-06-14.csv,190.0,190.0,190.0,190.0,"127,626"
107,PRVUPO,2017-06-15.csv,190.0,190.0,190.0,190.0,"83,840"
110,PRVUPO,2017-06-21.csv,190.0,190.0,190.0,190.0,"36,984"
99,PRVUPO,2017-06-22.csv,190.0,190.0,190.0,190.0,"743,514"
106,PRVUPO,2017-06-25.csv,190.0,190.0,190.0,190.0,"617,151"
107,PRVUPO,2017-06-27.csv,190.0,187.0,187.0,187.0,"35,084"
106,PRVUPO,2017-07-02.csv,187.0,190.0,190.0,190.0,"5,656"
110,PRVUPO,2017-07-11.csv,190.0,190.0,190.0,190.0,"142,889"
110,PRVUPO,2017-07-12.csv,190.0,190.0,190.0,190.0,"43,713"
113,PRVUPO,2017-07-18.csv,190.0,190.0,190.0,190.0,"28,702"
114,PRVUPO,2017-07-19.csv,190.0,190.0,190.0,190.0,"83,258"
111,PRVUPO,2017-07-23.csv,190.0,190.0,190.0,190.0,"23,355"
116,PRVUPO,2017-07-26.csv,190.0,190.0,190.0,190.0,"199,935"
121,PRVUPO,2017-08-17.csv,190.0,190.0,190.0,190.0,"27,530"
118,PRVUPO,2017-08-23.csv,190.0,190.0,190.0,190.0,"59,091"
116,PRVUPO,2017-08-24.csv,190.0,190.0,190.0,190.0,"28,040"
115,PRVUPO,2017-08-28.csv,190.0,190.0,190.0,190.0,"1,000"
112,PRVUPO,2017-08-30.csv,190.0,0.0,0.0,0.0,"59,091"
119,PRVUPO,2017-08-31.csv,190.0,190.0,190.0,190.0,"10,000"
122,PRVUPO,2017-09-06.csv,190.0,190.0,190.0,190.0,"77,000"
113,PRVUPO,2017-09-12.csv,190.0,190.0,190.0,190.0,"13,331"
118,PRVUPO,2017-11-05.csv,190.0,190.0,190.0,190.0,"20,000"
118,PRVUPO,2017-11-07.csv,190.0,190.0,190.0,190.0,"55,000"
118,PRVUPO,2017-11-12.csv,190.0,190.0,190.0,190.0,"151,877"
118,PRVUPO,2017-11-13.csv,190.0,190.0,178.0,178.0,"315,000"
122,PRVUPO,2017-11-14.csv,178.0,175.0,172.0,172.0,"200,000"
120,PRVUPO,2017-11-16.csv,172.0,172.0,172.0,172.0,"31,542"
120,PRVUPO,2017-11-20.csv,172.0,170.0,170.0,170.0,"85,000"
122,PRVUPO,2017-11-22.csv,170.0,170.0,170.0,170.0,"98,984"
122,PRVUPO,2017-11-23.csv,170.0,170.0,170.0,170.0,"35,639"
123,PRVUPO,2017-11-30.csv,170.0,167.0,167.0,167.0,"7,532"
120,PRVUPO,2017-12-10.csv,167.0,170.0,170.0,170.0,"58,079"
122,PRVUPO,2017-12-17.csv,170.0,167.0,167.0,167.0,"3,736"
121,PRVUPO,2017-12-18.csv,167.0,173.0,170.0,173.0,"96,705"
122,PRVUPO,2017-12-19.csv,173.0,170.0,170.0,170.0,"59,085"
118,PRVUPO,2017-12-20.csv,170.0,170.0,170.0,170.0,"52,299"
118,PRVUPO,2017-12-24.csv,170.0,170.0,170.0,170.0,"160,545"
122,PRVUPO,2017-12-28.csv,170.0,170.0,170.0,170.0,"187,327"
119,PRVUPO,2017-12-31.csv,170.0,170.0,160.0,160.0,"227,418"
119,PRVUPO,2018-01-04.csv,160.0,160.0,160.0,160.0,"74,945"
121,PRVUPO,2018-04-17.csv,160.0,160.0,160.0,160.0,"6,057"
125,PRVUPO,2018-04-23.csv,160.0,160.0,160.0,160.0,"6,640"
114,PRVUPO,2018-05-07.csv,160.0,160.0,160.0,160.0,"87,366"
118,PRVUPO,2018-06-14.csv,160.0,160.0,160.0,160.0,"122,000"
117,PRVUPO,2018-07-12.csv,157.0,157.0,157.0,157.0,"20,000"
114,PRVUPO,2018-07-16.csv,155.0,155.0,155.0,155.0,"6,284"
111,PRVUPO,2018-07-17.csv,155.0,155.0,155.0,155.0,"14,954"
100,PRVUPO,2018-07-18.csv,155.0,155.0,155.0,155.0,"39,607"
105,PRVUPO,2018-08-26.csv,155.0,155.0,155.0,155.0,"81,962"
122,PRVUPO,2018-09-04.csv,155.0,155.0,155.0,155.0,"29,672"
122,PRVUPO,2018-09-18.csv,155.0,155.0,155.0,155.0,"16,517"
110,PRVUPO,2018-11-21.csv,155.0,155.0,155.0,155.0,"22,000"
109,PRVUPO,2018-11-28.csv,152.0,152.0,152.0,152.0,"9,731"
113,PRVUPO,2018-12-04.csv,152.0,152.0,152.0,152.0,"18,318"
126,PRVUPO,2018-12-26.csv,152.0,152.0,152.0,152.0,"7,920"
116,PRVUPO,2019-01-23.csv,152.0,152.0,152.0,152.0,"5,656"
116,PRVUPO,2019-01-27.csv,150.0,150.0,150.0,150.0,"19,271"
118,PRVUPO,2019-01-29.csv,150.0,150.0,150.0,150.0,"238,100"
117,PRVUPO,2019-02-04.csv,150.0,150.0,150.0,150.0,"142,000"
118,PRVUPO,2019-02-12.csv,150.0,150.0,150.0,150.0,"207,000"
119,PRVUPO,2019-02-14.csv,150.0,150.0,150.0,150.0,"19,271"
122,PRVUPO,2019-02-17.csv,150.0,150.0,150.0,150.0,"62,865"
121,PRVUPO,2019-03-24.csv,150.0,150.0,150.0,150.0,"12,220"
122,PRVUPO,2019-04-04.csv,150.0,150.0,150.0,150.0,"35,816"
124,PRVUPO,2019-04-24.csv,153.0,159.0,153.0,159.0,"2,000"
124,PRVUPO,2019-05-02.csv,162.0,165.0,162.0,165.0,"1,000"
124,PRVUPO,2019-05-29.csv,168.0,168.0,168.0,168.0,"25,190"
124,PRVUPO,2019-06-11.csv,107.1,107.1,107.1,107.1,"31,994"
122,PRVUPO,2019-07-08.csv,171.0,171.0,171.0,171.0,"670,000"
121,PRVUPO,2019-08-04.csv,168.0,168.0,165.0,165.0,"22,444"
121,PRVUPO,2019-08-07.csv,166.0,166.0,166.0,166.0,"18,670"
118,PRVUPO,2019-08-08.csv,166.0,166.0,166.0,166.0,"4,668"
121,PRVUPO,2019-08-14.csv,165.0,165.0,165.0,165.0,"21,648"
117,PRVUPO,2019-08-26.csv,162.0,165.0,162.0,165.0,"620,144"
118,PRVUPO,2019-09-05.csv,165.0,165.0,165.0,165.0,"10,500"
115,PRVUPO,2019-09-08.csv,162.0,162.0,162.0,162.0,"323,951"
118,PRVUPO,2019-09-16.csv,162.0,162.0,162.0,162.0,"16,669"
120,PRVUPO,2019-09-17.csv,162.0,162.0,162.0,162.0,"7,673"
110,PRVUPO,2019-11-05.csv,162.0,162.0,162.0,162.0,"243,352"
111,PRVUPO,2019-11-06.csv,162.0,162.0,162.0,162.0,"17,941"
111,PRVUPO,2019-11-07.csv,162.0,162.0,162.0,162.0,"92,977"
123,PRVUPO,2019-11-11.csv,162.0,162.0,162.0,162.0,"198,352"
120,PRVUPO,2020-01-02.csv,159.0,159.0,156.0,156.0,"150,000"
128,PRVUPO,2020-01-14.csv,127.0,127.0,127.0,127.0,"900,000"
127,PRVUPO,2020-03-16.csv,134.0,134.0,134.0,134.0,"100,000"
