S.no,Symbol,Date,Open,High,Low,Close,Vol
124,RADHI,2018-03-27.csv,158.0,170.0,158.0,170.0,"2,710"
118,RADHI,2018-03-28.csv,173.0,187.0,173.0,187.0,"1,120"
121,RADHI,2018-03-29.csv,190.0,205.0,190.0,205.0,"3,190"
116,RADHI,2018-04-01.csv,209.0,225.0,187.0,196.0,"21,750"
115,RADHI,2018-04-02.csv,199.0,200.0,183.0,188.0,"6,180"
118,RADHI,2018-04-03.csv,185.0,194.0,182.0,188.0,"2,090"
122,RADHI,2018-04-04.csv,190.0,194.0,184.0,194.0,850
124,RADHI,2018-04-05.csv,194.0,204.0,186.0,204.0,"3,630"
131,RADHI,2018-04-08.csv,208.0,208.0,191.0,197.0,"4,070"
125,RADHI,2018-04-09.csv,195.0,200.0,192.0,200.0,"3,250"
116,RADHI,2018-04-10.csv,196.0,208.0,190.0,208.0,"2,540"
115,RADHI,2018-04-11.csv,210.0,210.0,195.0,199.0,"1,560"
120,RADHI,2018-04-12.csv,200.0,202.0,191.0,196.0,"6,020"
116,RADHI,2018-04-15.csv,194.0,205.0,194.0,205.0,"2,980"
126,RADHI,2018-04-16.csv,201.0,212.0,196.0,198.0,"5,310"
123,RADHI,2018-04-17.csv,200.0,204.0,196.0,199.0,"1,635"
125,RADHI,2018-04-18.csv,196.0,218.0,196.0,218.0,"5,500"
125,RADHI,2018-04-19.csv,218.0,226.0,210.0,210.0,"6,566"
124,RADHI,2018-04-22.csv,207.0,224.0,207.0,224.0,"10,737"
127,RADHI,2018-04-23.csv,220.0,220.0,205.0,209.0,"2,670"
128,RADHI,2018-04-24.csv,209.0,215.0,201.0,213.0,"2,230"
117,RADHI,2018-04-25.csv,217.0,217.0,201.0,208.0,560
118,RADHI,2018-04-26.csv,204.0,205.0,203.0,203.0,"1,230"
118,RADHI,2018-04-29.csv,199.0,207.0,199.0,203.0,"4,020"
115,RADHI,2018-05-02.csv,200.0,210.0,200.0,210.0,"6,655"
127,RADHI,2018-05-03.csv,214.0,214.0,205.0,207.0,"1,380"
116,RADHI,2018-05-06.csv,206.0,218.0,203.0,215.0,"5,045"
116,RADHI,2018-05-07.csv,218.0,222.0,210.0,212.0,"2,940"
120,RADHI,2018-05-08.csv,213.0,214.0,208.0,209.0,"2,105"
115,RADHI,2018-05-09.csv,210.0,214.0,205.0,209.0,"4,020"
117,RADHI,2018-05-10.csv,208.0,210.0,207.0,207.0,"2,990"
118,RADHI,2018-05-14.csv,211.0,217.0,207.0,208.0,"3,780"
104,RADHI,2018-05-15.csv,205.0,222.0,205.0,213.0,"5,948"
114,RADHI,2018-05-16.csv,215.0,224.0,215.0,221.0,"3,720"
113,RADHI,2018-05-17.csv,221.0,233.0,220.0,229.0,"8,242"
117,RADHI,2018-05-20.csv,233.0,235.0,225.0,234.0,"3,590"
121,RADHI,2018-05-21.csv,235.0,243.0,230.0,234.0,"5,050"
117,RADHI,2018-05-22.csv,238.0,238.0,230.0,232.0,"1,120"
120,RADHI,2018-05-23.csv,228.0,238.0,226.0,227.0,"1,720"
119,RADHI,2018-05-24.csv,228.0,233.0,225.0,233.0,"3,990"
119,RADHI,2018-05-27.csv,230.0,231.0,222.0,230.0,"3,288"
125,RADHI,2018-05-28.csv,226.0,237.0,223.0,233.0,"1,020"
123,RADHI,2018-05-29.csv,229.0,236.0,229.0,233.0,"1,910"
122,RADHI,2018-05-30.csv,229.0,235.0,228.0,235.0,"1,512"
122,RADHI,2018-05-31.csv,238.0,238.0,225.0,230.0,"1,080"
114,RADHI,2018-06-03.csv,230.0,230.0,224.0,225.0,"2,715"
114,RADHI,2018-06-04.csv,221.0,226.0,221.0,224.0,780
102,RADHI,2018-06-06.csv,228.0,235.0,228.0,228.0,"2,170"
121,RADHI,2018-06-07.csv,228.0,233.0,224.0,228.0,"2,640"
119,RADHI,2018-06-10.csv,224.0,228.0,224.0,224.0,"2,600"
126,RADHI,2018-06-11.csv,221.0,226.0,220.0,225.0,"1,040"
118,RADHI,2018-06-12.csv,225.0,241.0,222.0,241.0,"6,212"
118,RADHI,2018-06-13.csv,238.0,265.0,231.0,264.0,"7,795"
120,RADHI,2018-06-14.csv,268.0,290.0,262.0,290.0,"11,583"
116,RADHI,2018-06-17.csv,288.0,319.0,287.0,319.0,"17,041"
113,RADHI,2018-06-18.csv,313.0,313.0,288.0,288.0,"8,600"
121,RADHI,2018-06-19.csv,262.0,257.0,243.0,250.0,"1,830"
116,RADHI,2018-06-20.csv,246.0,246.0,237.0,240.0,630
121,RADHI,2018-06-21.csv,236.0,236.0,230.0,232.0,510
122,RADHI,2018-06-24.csv,228.0,232.0,220.0,228.0,940
116,RADHI,2018-06-25.csv,225.0,230.0,221.0,226.0,"3,021"
118,RADHI,2018-06-26.csv,226.0,228.0,222.0,224.0,"3,310"
114,RADHI,2018-06-27.csv,220.0,224.0,220.0,223.0,167
120,RADHI,2018-06-28.csv,225.0,227.0,225.0,225.0,410
113,RADHI,2018-07-01.csv,221.0,226.0,217.0,225.0,410
115,RADHI,2018-07-02.csv,221.0,223.0,217.0,218.0,899
116,RADHI,2018-07-03.csv,222.0,222.0,214.0,217.0,340
124,RADHI,2018-07-04.csv,215.0,218.0,211.0,217.0,230
120,RADHI,2018-07-05.csv,219.0,231.0,219.0,231.0,420
120,RADHI,2018-07-08.csv,235.0,243.0,227.0,231.0,"2,710"
123,RADHI,2018-07-09.csv,229.0,230.0,222.0,230.0,240
119,RADHI,2018-07-10.csv,230.0,230.0,220.0,225.0,"1,060"
126,RADHI,2018-07-11.csv,225.0,232.0,222.0,232.0,300
119,RADHI,2018-07-12.csv,236.0,236.0,215.0,219.0,"3,970"
124,RADHI,2018-07-15.csv,215.0,222.0,213.0,220.0,690
116,RADHI,2018-07-16.csv,220.0,222.0,218.0,220.0,260
113,RADHI,2018-07-17.csv,218.0,221.0,218.0,220.0,234
102,RADHI,2018-07-18.csv,220.0,223.0,218.0,223.0,240
117,RADHI,2018-07-19.csv,222.0,223.0,220.0,223.0,350
118,RADHI,2018-07-22.csv,220.0,232.0,220.0,232.0,550
114,RADHI,2018-07-23.csv,230.0,236.0,227.0,232.0,840
117,RADHI,2018-07-24.csv,232.0,232.0,226.0,228.0,726
125,RADHI,2018-07-25.csv,225.0,234.0,225.0,228.0,709
118,RADHI,2018-07-26.csv,228.0,230.0,228.0,230.0,380
110,RADHI,2018-07-29.csv,226.0,234.0,226.0,234.0,180
123,RADHI,2018-07-30.csv,230.0,234.0,229.0,232.0,530
120,RADHI,2018-07-31.csv,229.0,233.0,229.0,233.0,"1,320"
114,RADHI,2018-08-01.csv,229.0,233.0,225.0,230.0,210
122,RADHI,2018-08-02.csv,231.0,232.0,224.0,224.0,280
119,RADHI,2018-08-05.csv,225.0,226.0,223.0,224.0,190
112,RADHI,2018-08-06.csv,227.0,230.0,224.0,230.0,"1,650"
114,RADHI,2018-08-07.csv,231.0,231.0,224.0,224.0,400
118,RADHI,2018-08-08.csv,220.0,224.0,220.0,222.0,200
116,RADHI,2018-08-09.csv,222.0,224.0,219.0,220.0,"1,490"
116,RADHI,2018-08-12.csv,217.0,220.0,217.0,220.0,200
113,RADHI,2018-08-13.csv,220.0,224.0,217.0,221.0,200
120,RADHI,2018-08-14.csv,220.0,224.0,220.0,222.0,310
121,RADHI,2018-08-15.csv,222.0,226.0,219.0,226.0,190
121,RADHI,2018-08-16.csv,222.0,225.0,221.0,223.0,568
116,RADHI,2018-08-19.csv,219.0,223.0,219.0,220.0,200
115,RADHI,2018-08-20.csv,218.0,222.0,217.0,221.0,180
117,RADHI,2018-08-21.csv,218.0,225.0,214.0,221.0,630
109,RADHI,2018-08-22.csv,217.0,220.0,217.0,220.0,170
116,RADHI,2018-08-23.csv,217.0,224.0,217.0,224.0,350
107,RADHI,2018-08-26.csv,220.0,225.0,217.0,225.0,380
113,RADHI,2018-08-28.csv,221.0,221.0,217.0,220.0,130
119,RADHI,2018-08-29.csv,216.0,220.0,216.0,220.0,"1,010"
122,RADHI,2018-08-30.csv,217.0,221.0,217.0,217.0,240
119,RADHI,2018-09-02.csv,216.0,224.0,216.0,224.0,200
122,RADHI,2018-09-03.csv,220.0,221.0,218.0,221.0,110
124,RADHI,2018-09-04.csv,217.0,221.0,217.0,220.0,160
123,RADHI,2018-09-05.csv,217.0,227.0,217.0,227.0,380
127,RADHI,2018-09-06.csv,231.0,231.0,221.0,228.0,380
122,RADHI,2018-09-09.csv,228.0,229.0,221.0,223.0,370
119,RADHI,2018-09-10.csv,219.0,223.0,219.0,223.0,110
122,RADHI,2018-09-11.csv,220.0,225.0,218.0,219.0,960
121,RADHI,2018-09-12.csv,216.0,220.0,216.0,216.0,70
128,RADHI,2018-09-13.csv,213.0,217.0,213.0,215.0,130
121,RADHI,2018-09-16.csv,212.0,224.0,212.0,220.0,220
120,RADHI,2018-09-17.csv,216.0,219.0,216.0,219.0,190
124,RADHI,2018-09-18.csv,215.0,224.0,215.0,224.0,300
121,RADHI,2018-09-20.csv,220.0,220.0,214.0,220.0,260
121,RADHI,2018-09-23.csv,216.0,222.0,212.0,222.0,"1,514"
127,RADHI,2018-09-25.csv,218.0,218.0,218.0,218.0,183
125,RADHI,2018-09-26.csv,215.0,216.0,211.0,216.0,253
123,RADHI,2018-09-27.csv,212.0,215.0,212.0,215.0,302
123,RADHI,2018-09-30.csv,212.0,212.0,207.0,212.0,512
121,RADHI,2018-10-01.csv,208.0,214.0,208.0,214.0,371
127,RADHI,2018-10-02.csv,210.0,213.0,210.0,213.0,502
123,RADHI,2018-10-03.csv,213.0,213.0,209.0,211.0,255
123,RADHI,2018-10-04.csv,207.0,208.0,205.0,207.0,611
118,RADHI,2018-10-07.csv,204.0,204.0,200.0,203.0,634
118,RADHI,2018-10-08.csv,205.0,205.0,200.0,201.0,560
119,RADHI,2018-10-09.csv,204.0,210.0,198.0,199.0,611
119,RADHI,2018-10-10.csv,196.0,199.0,196.0,198.0,339
122,RADHI,2018-10-11.csv,195.0,198.0,194.0,198.0,242
118,RADHI,2018-10-14.csv,196.0,196.0,195.0,195.0,240
111,RADHI,2018-10-15.csv,198.0,205.0,196.0,196.0,208
97,RADHI,2018-10-21.csv,194.0,194.0,190.0,190.0,599
109,RADHI,2018-10-22.csv,188.0,193.0,188.0,189.0,"1,455"
114,RADHI,2018-10-23.csv,186.0,189.0,184.0,188.0,323
113,RADHI,2018-10-24.csv,185.0,187.0,184.0,185.0,397
117,RADHI,2018-10-25.csv,185.0,185.0,183.0,185.0,123
118,RADHI,2018-10-28.csv,183.0,186.0,182.0,183.0,504
115,RADHI,2018-10-29.csv,181.0,183.0,178.0,178.0,340
119,RADHI,2018-10-30.csv,176.0,180.0,176.0,179.0,484
120,RADHI,2018-10-31.csv,179.0,181.0,178.0,180.0,535
117,RADHI,2018-11-01.csv,177.0,180.0,176.0,180.0,76
113,RADHI,2018-11-04.csv,177.0,182.0,177.0,180.0,98
112,RADHI,2018-11-05.csv,178.0,185.0,178.0,185.0,354
92,RADHI,2018-11-12.csv,182.0,185.0,182.0,183.0,154
107,RADHI,2018-11-13.csv,180.0,183.0,180.0,180.0,298
105,RADHI,2018-11-14.csv,178.0,183.0,178.0,180.0,376
114,RADHI,2018-11-15.csv,180.0,183.0,180.0,181.0,349
104,RADHI,2018-11-18.csv,178.0,178.0,167.0,171.0,170
110,RADHI,2018-11-19.csv,168.0,171.0,168.0,169.0,296
105,RADHI,2018-11-20.csv,167.0,170.0,167.0,168.0,182
112,RADHI,2018-11-21.csv,166.0,171.0,163.0,168.0,294
104,RADHI,2018-11-22.csv,168.0,170.0,162.0,165.0,217
111,RADHI,2018-11-25.csv,162.0,167.0,162.0,167.0,"1,534"
111,RADHI,2018-11-26.csv,165.0,167.0,165.0,165.0,249
113,RADHI,2018-11-27.csv,163.0,166.0,163.0,165.0,263
110,RADHI,2018-11-28.csv,163.0,168.0,163.0,166.0,176
118,RADHI,2018-11-29.csv,165.0,170.0,164.0,167.0,866
