S.no,Symbol,Date,Open,High,Low,Close,Vol
62,RARA,2012-01-29.csv,316.0,310.0,310.0,310.0,10
69,RARA,2012-01-31.csv,310.0,304.0,304.0,304.0,10
63,RARA,2012-02-02.csv,304.0,289.0,279.0,279.0,150
63,RARA,2012-02-05.csv,279.0,274.0,269.0,269.0,60
60,RARA,2012-02-08.csv,269.0,256.0,251.0,251.0,60
49,RARA,2012-02-09.csv,251.0,246.0,242.0,242.0,50
57,RARA,2012-02-14.csv,242.0,230.0,222.0,222.0,50
61,RARA,2012-02-16.csv,222.0,218.0,218.0,218.0,10
60,RARA,2012-03-01.csv,218.0,214.0,210.0,210.0,20
59,RARA,2012-03-11.csv,210.0,206.0,206.0,206.0,760
65,RARA,2012-03-18.csv,206.0,202.0,186.0,186.0,170
60,RARA,2012-03-19.csv,186.0,183.0,168.0,168.0,450
62,RARA,2012-03-29.csv,168.0,165.0,152.0,152.0,180
61,RARA,2012-04-02.csv,152.0,147.0,147.0,147.0,500
60,RARA,2012-04-03.csv,147.0,147.0,147.0,147.0,330
51,RARA,2012-04-09.csv,147.0,140.0,138.0,138.0,40
58,RARA,2012-04-11.csv,138.0,132.0,125.0,125.0,80
63,RARA,2012-04-12.csv,125.0,123.0,119.0,119.0,40
61,RARA,2012-04-15.csv,119.0,117.0,111.0,111.0,50
57,RARA,2012-04-17.csv,111.0,109.0,107.0,107.0,20
59,RARA,2012-04-18.csv,107.0,105.0,101.0,101.0,50
73,RARA,2012-04-19.csv,101.0,99.0,91.0,91.0,430
62,RARA,2012-04-22.csv,91.0,93.0,86.0,92.0,"4,190"
50,RARA,2012-04-24.csv,92.0,95.0,92.0,95.0,290
53,RARA,2012-04-25.csv,95.0,104.0,99.0,104.0,250
70,RARA,2012-04-26.csv,104.0,104.0,100.0,102.0,"1,380"
70,RARA,2012-04-29.csv,102.0,100.0,97.0,98.0,450
67,RARA,2012-04-30.csv,98.0,97.0,95.0,95.0,100
32,RARA,2012-05-02.csv,95.0,94.0,88.0,88.0,300
50,RARA,2012-05-03.csv,88.0,90.0,89.0,90.0,470
44,RARA,2012-05-07.csv,90.0,91.0,91.0,91.0,240
52,RARA,2012-05-08.csv,91.0,92.0,92.0,92.0,100
69,RARA,2012-05-09.csv,92.0,91.0,88.0,90.0,"1,369"
65,RARA,2012-05-10.csv,90.0,90.0,87.0,88.0,"3,500"
49,RARA,2012-05-13.csv,88.0,89.0,87.0,88.0,"1,390"
50,RARA,2012-05-14.csv,88.0,87.0,83.0,83.0,"1,510"
50,RARA,2012-05-15.csv,83.0,87.0,84.0,87.0,220
33,RARA,2012-05-16.csv,87.0,86.0,86.0,86.0,20
54,RARA,2012-05-20.csv,86.0,85.0,80.0,81.0,"2,300"
64,RARA,2012-05-21.csv,81.0,81.0,78.0,80.0,"3,320"
64,RARA,2012-05-22.csv,80.0,79.0,76.0,78.0,"3,070"
42,RARA,2012-05-23.csv,78.0,77.0,75.0,76.0,"1,780"
62,RARA,2012-05-24.csv,76.0,78.0,75.0,78.0,"1,430"
59,RARA,2012-05-27.csv,78.0,77.0,77.0,77.0,30
36,RARA,2012-05-29.csv,77.0,76.0,73.0,73.0,"1,440"
36,RARA,2012-05-30.csv,73.0,71.0,67.0,71.0,"3,960"
41,RARA,2012-05-31.csv,71.0,72.0,67.0,68.0,"3,630"
45,RARA,2012-06-03.csv,68.0,74.0,67.0,74.0,740
56,RARA,2012-06-04.csv,74.0,75.0,69.0,70.0,"1,430"
60,RARA,2012-06-05.csv,70.0,73.0,68.0,73.0,"2,610"
57,RARA,2012-06-06.csv,73.0,74.0,70.0,73.0,"4,880"
55,RARA,2012-06-07.csv,73.0,76.0,72.0,73.0,"4,950"
52,RARA,2012-06-10.csv,73.0,73.0,67.0,71.0,"2,750"
60,RARA,2012-06-11.csv,71.0,75.0,70.0,75.0,"1,420"
63,RARA,2012-06-12.csv,75.0,74.0,69.0,73.0,"2,050"
60,RARA,2012-06-13.csv,73.0,75.0,71.0,73.0,"3,150"
60,RARA,2012-06-14.csv,73.0,73.0,70.0,71.0,"3,470"
61,RARA,2012-06-17.csv,71.0,73.0,70.0,73.0,"1,960"
56,RARA,2012-06-18.csv,73.0,74.0,72.0,73.0,"1,770"
61,RARA,2012-06-19.csv,73.0,74.0,72.0,74.0,"1,280"
59,RARA,2012-06-20.csv,74.0,74.0,72.0,74.0,"1,020"
58,RARA,2012-06-21.csv,74.0,74.0,71.0,72.0,"2,970"
58,RARA,2012-06-25.csv,72.0,74.0,72.0,72.0,"1,160"
58,RARA,2012-06-26.csv,72.0,75.0,73.0,75.0,"3,470"
54,RARA,2012-06-27.csv,75.0,75.0,73.0,74.0,"1,020"
57,RARA,2012-06-28.csv,74.0,80.0,75.0,80.0,"1,450"
