S.no,Symbol,Date,Open,High,Low,Close,Vol
49,RBS,2012-01-05.csv,1297.0,1300.0,1300.0,1300.0,19
50,RBS,2012-01-08.csv,1300.0,1300.0,1300.0,1300.0,34
56,RBS,2012-01-17.csv,1300.0,1290.0,1290.0,1290.0,126
37,RBS,2012-01-19.csv,1290.0,1295.0,1295.0,1295.0,30
55,RBS,2012-02-28.csv,1295.0,1270.0,1245.0,1245.0,77
61,RBS,2012-03-13.csv,1245.0,1221.0,1221.0,1221.0,152
63,RBS,2012-03-28.csv,1221.0,1221.0,1221.0,1221.0,162
61,RBS,2012-04-01.csv,1221.0,1200.0,1130.0,1130.0,162
62,RBS,2012-04-02.csv,1130.0,1130.0,1130.0,1130.0,20
59,RBS,2012-04-11.csv,1130.0,1152.0,1152.0,1152.0,63
37,RBS,2012-05-29.csv,1152.0,1180.0,1175.0,1180.0,82
46,RBS,2012-06-03.csv,1180.0,1180.0,1180.0,1180.0,50
58,RBS,2012-06-06.csv,1180.0,1157.0,1157.0,1157.0,188
56,RBS,2012-07-10.csv,1157.0,1251.0,1180.0,1251.0,40
65,RBS,2012-07-11.csv,1251.0,1376.0,1276.0,1376.0,88
66,RBS,2012-07-12.csv,1376.0,1488.0,1403.0,1488.0,232
63,RBS,2012-07-16.csv,1488.0,1500.0,1488.0,1500.0,89
66,RBS,2012-07-19.csv,1500.0,1520.0,1520.0,1520.0,73
68,RBS,2012-07-31.csv,1520.0,1520.0,1520.0,1520.0,238
58,RBS,2012-08-05.csv,1520.0,1520.0,1520.0,1520.0,45
62,RBS,2012-08-13.csv,1520.0,1502.0,1502.0,1502.0,165
58,RBS,2012-08-14.csv,1502.0,1562.0,1532.0,1562.0,117
63,RBS,2012-08-16.csv,1562.0,1600.0,1590.0,1600.0,251
69,RBS,2012-08-27.csv,1600.0,1568.0,1568.0,1568.0,51
72,RBS,2012-08-30.csv,1568.0,1620.0,1599.0,1620.0,120
74,RBS,2012-09-10.csv,1620.0,1640.0,1620.0,1640.0,76
72,RBS,2012-09-12.csv,1640.0,1690.0,1657.0,1685.0,445
