S.no,Symbol,Date,Open,High,Low,Close,Vol
50,RBSL,2012-01-05.csv,160.0,140.0,140.0,140.0,60
51,RBSL,2012-01-08.csv,140.0,139.0,137.0,137.0,530
56,RBSL,2012-01-09.csv,137.0,135.0,135.0,135.0,20
53,RBSL,2012-01-10.csv,140.0,133.0,133.0,133.0,80
59,RBSL,2012-01-12.csv,133.0,137.0,135.0,137.0,170
67,RBSL,2012-01-22.csv,137.0,137.0,135.0,137.0,80
65,RBSL,2012-01-23.csv,137.0,139.0,139.0,139.0,10
63,RBSL,2012-01-29.csv,139.0,140.0,139.0,140.0,30
67,RBSL,2012-02-01.csv,140.0,142.0,141.0,141.0,110
64,RBSL,2012-02-05.csv,141.0,141.0,140.0,140.0,43
65,RBSL,2012-02-07.csv,140.0,142.0,142.0,142.0,40
50,RBSL,2012-02-09.csv,142.0,144.0,144.0,144.0,30
60,RBSL,2012-02-21.csv,144.0,142.0,136.0,136.0,123
61,RBSL,2012-02-23.csv,136.0,137.0,137.0,137.0,23
66,RBSL,2012-02-26.csv,137.0,138.0,134.0,134.0,290
68,RBSL,2012-02-27.csv,134.0,136.0,136.0,136.0,40
59,RBSL,2012-02-29.csv,136.0,134.0,131.0,131.0,260
63,RBSL,2012-03-04.csv,131.0,133.0,133.0,133.0,46
58,RBSL,2012-03-05.csv,133.0,131.0,131.0,131.0,10
60,RBSL,2012-03-11.csv,131.0,133.0,133.0,133.0,10
62,RBSL,2012-03-13.csv,133.0,135.0,135.0,135.0,40
66,RBSL,2012-03-18.csv,135.0,136.0,135.0,135.0,170
62,RBSL,2012-03-20.csv,135.0,133.0,130.0,130.0,122
59,RBSL,2012-03-25.csv,130.0,132.0,132.0,132.0,10
62,RBSL,2012-04-01.csv,132.0,134.0,133.0,134.0,351
63,RBSL,2012-04-02.csv,134.0,136.0,134.0,134.0,119
61,RBSL,2012-04-03.csv,134.0,137.0,135.0,137.0,122
65,RBSL,2012-04-04.csv,137.0,137.0,137.0,137.0,40
52,RBSL,2012-04-09.csv,137.0,137.0,137.0,137.0,11
46,RBSL,2012-04-16.csv,137.0,139.0,139.0,139.0,60
58,RBSL,2012-04-17.csv,139.0,141.0,141.0,141.0,92
60,RBSL,2012-04-18.csv,141.0,143.0,143.0,143.0,10
63,RBSL,2012-04-22.csv,143.0,141.0,141.0,141.0,253
71,RBSL,2012-04-29.csv,141.0,145.0,143.0,145.0,46
66,RBSL,2012-05-10.csv,145.0,147.0,147.0,147.0,34
51,RBSL,2012-05-14.csv,147.0,147.0,145.0,145.0,157
65,RBSL,2012-05-21.csv,145.0,159.0,144.0,159.0,83
65,RBSL,2012-05-22.csv,159.0,168.0,162.0,168.0,"1,041"
43,RBSL,2012-05-23.csv,168.0,165.0,162.0,162.0,34
63,RBSL,2012-05-24.csv,162.0,162.0,158.0,158.0,260
60,RBSL,2012-05-27.csv,158.0,165.0,158.0,165.0,638
59,RBSL,2012-06-06.csv,165.0,162.0,156.0,159.0,327
56,RBSL,2012-06-07.csv,159.0,156.0,156.0,156.0,40
53,RBSL,2012-06-10.csv,156.0,153.0,147.0,147.0,230
61,RBSL,2012-06-11.csv,147.0,147.0,147.0,147.0,68
64,RBSL,2012-06-12.csv,147.0,149.0,144.0,144.0,704
61,RBSL,2012-06-13.csv,144.0,142.0,133.0,133.0,229
61,RBSL,2012-06-14.csv,133.0,135.0,125.0,126.0,657
