S.no,Symbol,Date,Open,High,Low,Close,Vol
104,RBSPO,2015-01-08.csv,3100.0,3100.0,3100.0,3100.0,64
100,RBSPO,2015-01-14.csv,3100.0,3162.0,3162.0,3162.0,10
111,RBSPO,2015-01-19.csv,3162.0,3381.0,3250.0,3381.0,40
95,RBSPO,2015-01-20.csv,3381.0,3448.0,3448.0,3448.0,100
108,RBSPO,2015-01-27.csv,3448.0,3693.0,3550.0,3693.0,30
105,RBSPO,2015-01-28.csv,3693.0,3841.0,3766.0,3841.0,20
100,RBSPO,2015-01-29.csv,3841.0,4225.0,3917.0,4225.0,140
107,RBSPO,2015-02-01.csv,4225.0,4647.0,4309.0,4647.0,340
105,RBSPO,2015-02-02.csv,4647.0,4692.0,4600.0,4692.0,225
111,RBSPO,2015-02-04.csv,4692.0,4692.0,4600.0,4692.0,50
105,RBSPO,2015-02-05.csv,4692.0,4880.0,4705.0,4705.0,346
104,RBSPO,2015-02-08.csv,4705.0,4640.0,4550.0,4550.0,138
107,RBSPO,2015-02-10.csv,4550.0,4460.0,4459.0,4459.0,113
102,RBSPO,2015-02-11.csv,4459.0,4370.0,4370.0,4370.0,10
112,RBSPO,2015-02-12.csv,4370.0,4370.0,4370.0,4370.0,750
109,RBSPO,2015-02-15.csv,4370.0,4500.0,4457.0,4500.0,55
218,RBSPO,2015-02-16.csv,4500.0,4499.0,4499.0,4499.0,38
219,RBSPO,2015-02-16.csv,4500.0,4499.0,4499.0,4499.0,38
103,RBSPO,2015-02-22.csv,4499.0,4505.0,4505.0,4505.0,38
95,RBSPO,2015-02-23.csv,4505.0,4475.0,4400.0,4400.0,245
101,RBSPO,2015-03-01.csv,4400.0,4312.0,4312.0,4312.0,25
106,RBSPO,2015-03-03.csv,4312.0,4230.0,4230.0,4230.0,20
106,RBSPO,2015-03-04.csv,4230.0,4155.0,4075.0,4150.0,225
112,RBSPO,2015-03-09.csv,4150.0,4317.0,4233.0,4300.0,335
104,RBSPO,2015-03-10.csv,4300.0,4230.0,4230.0,4230.0,50
110,RBSPO,2015-03-11.csv,4230.0,4146.0,4146.0,4146.0,150
85,RBSPO,2015-04-07.csv,4146.0,4100.0,4100.0,4100.0,26
96,RBSPO,2015-04-12.csv,4100.0,4100.0,4100.0,4100.0,50
85,RBSPO,2015-04-13.csv,4100.0,4150.0,4150.0,4150.0,50
