S.no,Symbol,Date,Open,High,Low,Close,Vol
111,REDBL,2014-07-20.csv,108.0,118.0,110.0,118.0,130
112,REDBL,2014-07-21.csv,118.0,124.0,120.0,124.0,78
117,REDBL,2014-07-22.csv,124.0,136.0,126.0,136.0,163
114,REDBL,2014-07-23.csv,136.0,149.0,138.0,149.0,281
116,REDBL,2014-07-24.csv,149.0,151.0,151.0,151.0,500
108,REDBL,2014-07-27.csv,151.0,163.0,154.0,163.0,68
93,REDBL,2014-07-28.csv,163.0,169.0,166.0,169.0,337
116,REDBL,2014-07-30.csv,169.0,181.0,172.0,181.0,98
115,REDBL,2014-07-31.csv,181.0,196.0,184.0,196.0,94
116,REDBL,2014-08-03.csv,196.0,215.0,199.0,215.0,"1,400"
108,REDBL,2014-08-04.csv,215.0,235.0,219.0,235.0,667
112,REDBL,2014-08-05.csv,235.0,258.0,239.0,258.0,313
110,REDBL,2014-08-06.csv,258.0,283.0,263.0,283.0,415
108,REDBL,2014-08-07.csv,283.0,311.0,280.0,305.0,"38,536"
93,REDBL,2014-08-12.csv,305.0,299.0,275.0,285.0,"3,033"
98,REDBL,2014-08-13.csv,285.0,287.0,275.0,280.0,"5,090"
108,REDBL,2014-08-14.csv,280.0,308.0,280.0,299.0,"10,629"
113,REDBL,2014-08-18.csv,299.0,295.0,270.0,271.0,"3,034"
106,REDBL,2014-08-19.csv,271.0,270.0,260.0,260.0,"7,055"
101,REDBL,2014-08-20.csv,260.0,266.0,240.0,250.0,"9,328"
97,REDBL,2014-08-21.csv,250.0,250.0,238.0,239.0,"6,897"
102,REDBL,2014-08-24.csv,239.0,243.0,227.0,234.0,"4,141"
88,REDBL,2014-08-25.csv,234.0,230.0,211.0,212.0,"4,869"
94,REDBL,2014-08-26.csv,212.0,225.0,208.0,211.0,"7,916"
103,REDBL,2014-08-27.csv,211.0,232.0,215.0,225.0,"26,823"
106,REDBL,2014-08-28.csv,225.0,244.0,229.0,241.0,"12,659"
101,REDBL,2014-08-31.csv,241.0,240.0,223.0,230.0,"3,818"
96,REDBL,2014-09-01.csv,230.0,226.0,214.0,220.0,"1,970"
89,REDBL,2014-09-03.csv,220.0,228.0,216.0,228.0,"1,548"
99,REDBL,2014-09-04.csv,228.0,225.0,208.0,220.0,"4,640"
92,REDBL,2014-09-07.csv,220.0,219.0,198.0,205.0,"2,173"
100,REDBL,2014-09-09.csv,205.0,225.0,209.0,222.0,"2,133"
105,REDBL,2014-09-10.csv,222.0,222.0,210.0,220.0,"4,336"
94,REDBL,2014-09-11.csv,220.0,216.0,207.0,215.0,"3,187"
91,REDBL,2014-09-14.csv,215.0,215.0,205.0,212.0,"2,371"
100,REDBL,2014-09-15.csv,212.0,233.0,212.0,213.0,"4,343"
97,REDBL,2014-09-16.csv,213.0,217.0,206.0,213.0,"4,749"
98,REDBL,2014-09-17.csv,213.0,212.0,207.0,211.0,"1,569"
102,REDBL,2014-09-18.csv,211.0,215.0,208.0,215.0,"1,252"
94,REDBL,2014-09-21.csv,215.0,211.0,203.0,207.0,"2,346"
91,REDBL,2014-09-23.csv,199.0,210.0,200.0,205.0,426
98,REDBL,2014-09-24.csv,205.0,209.0,199.0,204.0,"1,420"
103,REDBL,2014-09-28.csv,204.0,217.0,204.0,217.0,"2,040"
94,REDBL,2014-09-29.csv,217.0,224.0,217.0,224.0,827
89,REDBL,2014-09-30.csv,224.0,231.0,220.0,231.0,"1,139"
93,REDBL,2014-10-12.csv,214.0,215.0,209.0,215.0,"3,181"
91,REDBL,2014-10-13.csv,215.0,213.0,206.0,206.0,"1,155"
92,REDBL,2014-10-14.csv,206.0,213.0,206.0,211.0,400
97,REDBL,2014-10-15.csv,211.0,215.0,201.0,215.0,"3,089"
102,REDBL,2014-10-16.csv,215.0,215.0,210.0,210.0,267
86,REDBL,2014-10-19.csv,210.0,214.0,206.0,210.0,"1,955"
89,REDBL,2014-10-20.csv,210.0,212.0,207.0,210.0,"1,242"
93,REDBL,2014-10-21.csv,210.0,210.0,201.0,210.0,636
92,REDBL,2014-10-22.csv,210.0,210.0,203.0,209.0,"1,166"
76,REDBL,2014-10-26.csv,209.0,212.0,210.0,211.0,265
87,REDBL,2014-10-27.csv,211.0,214.0,207.0,214.0,"1,103"
91,REDBL,2014-10-28.csv,214.0,218.0,210.0,216.0,"1,858"
92,REDBL,2014-10-30.csv,216.0,218.0,205.0,213.0,"2,168"
98,REDBL,2014-11-02.csv,213.0,217.0,209.0,213.0,"1,910"
96,REDBL,2014-11-03.csv,213.0,217.0,208.0,213.0,"1,992"
84,REDBL,2014-11-04.csv,213.0,213.0,212.0,212.0,661
91,REDBL,2014-11-05.csv,212.0,215.0,211.0,214.0,"3,007"
94,REDBL,2014-11-06.csv,214.0,215.0,196.0,213.0,"1,340"
92,REDBL,2014-11-09.csv,213.0,210.0,205.0,206.0,"5,546"
89,REDBL,2014-11-10.csv,206.0,214.0,200.0,204.0,"3,266"
95,REDBL,2014-11-11.csv,204.0,208.0,196.0,208.0,"2,082"
96,REDBL,2014-11-12.csv,208.0,210.0,201.0,204.0,"1,012"
99,REDBL,2014-11-13.csv,204.0,207.0,198.0,200.0,"1,860"
95,REDBL,2014-11-16.csv,200.0,201.0,196.0,196.0,648
92,REDBL,2014-11-17.csv,196.0,199.0,190.0,193.0,"3,038"
88,REDBL,2014-11-18.csv,193.0,193.0,190.0,193.0,68
91,REDBL,2014-11-19.csv,193.0,196.0,190.0,193.0,"3,002"
99,REDBL,2014-11-20.csv,193.0,191.0,188.0,189.0,549
95,REDBL,2014-11-23.csv,189.0,198.0,192.0,195.0,"1,102"
92,REDBL,2014-11-24.csv,195.0,197.0,195.0,197.0,"1,809"
91,REDBL,2014-11-25.csv,197.0,195.0,187.0,189.0,"2,558"
85,REDBL,2014-11-30.csv,189.0,186.0,180.0,180.0,"1,139"
92,REDBL,2014-12-01.csv,180.0,178.0,172.0,172.0,680
79,REDBL,2014-12-02.csv,172.0,176.0,170.0,176.0,"2,004"
93,REDBL,2014-12-03.csv,176.0,191.0,178.0,191.0,"2,639"
80,REDBL,2014-12-04.csv,191.0,188.0,185.0,185.0,"1,118"
84,REDBL,2014-12-07.csv,185.0,183.0,182.0,182.0,68
89,REDBL,2014-12-08.csv,182.0,185.0,179.0,184.0,348
89,REDBL,2014-12-09.csv,184.0,181.0,175.0,177.0,"1,641"
84,REDBL,2014-12-10.csv,177.0,178.0,175.0,178.0,91
93,REDBL,2014-12-11.csv,178.0,181.0,181.0,181.0,110
89,REDBL,2014-12-14.csv,181.0,184.0,182.0,184.0,781
89,REDBL,2014-12-15.csv,184.0,190.0,182.0,190.0,921
