Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,RHPC,368.0,375.0,346.0,346.0,626
1/4/2016,RHPC,346.0,362.0,343.0,355.0,648
1/5/2016,RHPC,355.0,364.0,349.0,352.0,1158
1/6/2016,RHPC,352.0,376.0,350.0,360.0,1627
1/7/2016,RHPC,360.0,362.0,348.0,355.0,969
1/10/2016,RHPC,355.0,362.0,353.0,356.0,1346
1/11/2016,RHPC,356.0,359.0,345.0,348.0,1961
1/12/2016,RHPC,348.0,354.0,342.0,350.0,1569
1/12/2016,RHPC,348.0,354.0,342.0,350.0,1569
1/13/2016,RHPC,350.0,354.0,343.0,347.0,1905
1/14/2016,RHPC,347.0,355.0,335.0,348.0,3929
1/31/2016,RHPC,348.0,354.0,354.0,354.0,10
2/2/2016,RHPC,354.0,389.0,361.0,389.0,50
2/4/2016,RHPC,389.0,427.0,396.0,427.0,50
2/7/2016,RHPC,427.0,425.0,419.0,423.0,1124
2/8/2016,RHPC,423.0,418.0,400.0,400.0,4906
2/11/2016,RHPC,400.0,400.0,392.0,392.0,2161
2/14/2016,RHPC,392.0,395.0,395.0,395.0,18
2/15/2016,RHPC,395.0,401.0,401.0,401.0,340
2/16/2016,RHPC,401.0,420.0,402.0,402.0,2345
2/17/2016,RHPC,402.0,410.0,410.0,410.0,36
2/18/2016,RHPC,410.0,405.0,400.0,400.0,436
2/22/2016,RHPC,400.0,405.0,405.0,405.0,454
2/23/2016,RHPC,405.0,413.0,410.0,410.0,62
2/24/2016,RHPC,410.0,405.0,400.0,400.0,163
2/25/2016,RHPC,400.0,408.0,400.0,400.0,1524
2/28/2016,RHPC,400.0,401.0,401.0,401.0,36
2/29/2016,RHPC,401.0,409.0,409.0,409.0,10
3/1/2016,RHPC,409.0,415.0,410.0,415.0,2123
3/2/2016,RHPC,415.0,407.0,407.0,407.0,24
3/6/2016,RHPC,407.0,411.0,411.0,411.0,11
3/10/2016,RHPC,411.0,452.0,419.0,452.0,1246
3/13/2016,RHPC,452.0,470.0,461.0,461.0,1741
3/14/2016,RHPC,461.0,489.0,470.0,481.0,1302
3/15/2016,RHPC,481.0,477.0,473.0,473.0,1264
3/16/2016,RHPC,473.0,485.0,465.0,465.0,2062
3/17/2016,RHPC,465.0,474.0,460.0,474.0,1410
3/20/2016,RHPC,474.0,480.0,465.0,471.0,1666
3/21/2016,RHPC,471.0,475.0,462.0,462.0,1378
3/23/2016,RHPC,462.0,464.0,455.0,464.0,145
3/24/2016,RHPC,464.0,473.0,473.0,473.0,10
3/30/2016,RHPC,473.0,480.0,480.0,480.0,10
3/31/2016,RHPC,480.0,479.0,473.0,473.0,95
4/11/2016,RHPC,473.0,464.0,426.0,426.0,653
4/12/2016,RHPC,426.0,418.0,411.0,411.0,223
4/14/2016,RHPC,411.0,416.0,411.0,412.0,346
4/17/2016,RHPC,412.0,413.0,405.0,410.0,401
4/18/2016,RHPC,410.0,418.0,415.0,415.0,178
4/19/2016,RHPC,415.0,410.0,407.0,410.0,68
4/20/2016,RHPC,410.0,417.0,400.0,417.0,402
4/21/2016,RHPC,417.0,417.0,411.0,412.0,325
4/24/2016,RHPC,412.0,410.0,400.0,410.0,151
4/25/2016,RHPC,410.0,415.0,405.0,415.0,1091
4/26/2016,RHPC,415.0,415.0,407.0,408.0,329
4/27/2016,RHPC,408.0,408.0,400.0,407.0,216
4/28/2016,RHPC,407.0,415.0,400.0,408.0,786
5/2/2016,RHPC,408.0,407.0,400.0,405.0,94
5/3/2016,RHPC,405.0,402.0,399.0,400.0,526
5/4/2016,RHPC,400.0,414.0,400.0,414.0,912
5/5/2016,RHPC,414.0,410.0,405.0,405.0,157
5/8/2016,RHPC,405.0,400.0,396.0,398.0,189
5/9/2016,RHPC,398.0,400.0,387.0,389.0,222
5/10/2016,RHPC,389.0,414.0,383.0,404.0,467
5/11/2016,RHPC,404.0,420.0,405.0,420.0,1022
5/12/2016,RHPC,420.0,426.0,412.0,418.0,550
5/15/2016,RHPC,418.0,433.0,412.0,433.0,705
5/16/2016,RHPC,433.0,464.0,425.0,440.0,2121
5/17/2016,RHPC,440.0,484.0,448.0,484.0,7564
5/18/2016,RHPC,484.0,504.0,479.0,495.0,10352
5/19/2016,RHPC,495.0,495.0,466.0,467.0,2134
5/22/2016,RHPC,467.0,486.0,465.0,476.0,2155
5/23/2016,RHPC,476.0,475.0,460.0,460.0,2035
5/24/2016,RHPC,460.0,467.0,441.0,441.0,3963
5/25/2016,RHPC,441.0,445.0,424.0,429.0,5019
5/26/2016,RHPC,429.0,464.0,422.0,434.0,6292
5/29/2016,RHPC,347.0,381.0,353.0,373.0,4970
5/30/2016,RHPC,373.0,380.0,366.0,380.0,2218
5/31/2016,RHPC,380.0,418.0,380.0,418.0,4941
6/1/2016,RHPC,418.0,442.0,387.0,394.0,4119
6/2/2016,RHPC,394.0,392.0,380.0,392.0,626
6/5/2016,RHPC,392.0,385.0,360.0,372.0,839
6/6/2016,RHPC,372.0,379.0,373.0,375.0,340
6/7/2016,RHPC,375.0,375.0,357.0,357.0,55
6/8/2016,RHPC,357.0,370.0,356.0,370.0,800
6/9/2016,RHPC,370.0,375.0,366.0,375.0,1773
6/12/2016,RHPC,375.0,368.0,355.0,355.0,224
6/13/2016,RHPC,355.0,369.0,361.0,361.0,464
6/14/2016,RHPC,361.0,370.0,365.0,365.0,711
6/15/2016,RHPC,365.0,379.0,358.0,372.0,816
6/16/2016,RHPC,372.0,385.0,373.0,376.0,806
6/19/2016,RHPC,376.0,381.0,373.0,373.0,480
6/20/2016,RHPC,373.0,368.0,351.0,358.0,953
6/21/2016,RHPC,358.0,368.0,360.0,368.0,2935
6/22/2016,RHPC,368.0,375.0,362.0,369.0,197
6/23/2016,RHPC,369.0,400.0,372.0,395.0,3386
6/26/2016,RHPC,395.0,389.0,373.0,373.0,463
6/27/2016,RHPC,373.0,375.0,368.0,375.0,379
6/28/2016,RHPC,375.0,388.0,380.0,385.0,907
6/29/2016,RHPC,385.0,390.0,380.0,381.0,1318
6/30/2016,RHPC,381.0,385.0,378.0,380.0,1019
7/3/2016,RHPC,380.0,389.0,371.0,371.0,1023
7/4/2016,RHPC,371.0,378.0,370.0,370.0,2748
7/5/2016,RHPC,370.0,376.0,370.0,375.0,2328
7/6/2016,RHPC,375.0,376.0,366.0,374.0,966
