S.no,Symbol,Date,Open,High,Low,Close,Vol
123,RHPL,2019-08-06.csv,292.0,292.0,262.8,263.0,"6,040"
126,RHPL,2019-08-07.csv,250.0,250.0,237.0,237.0,"1,720"
122,RHPL,2019-08-08.csv,248.0,248.0,214.0,214.0,"450,161"
121,RHPL,2019-08-11.csv,210.0,219.0,207.0,214.0,"217,982"
128,RHPL,2019-08-12.csv,212.0,216.0,210.0,212.0,"120,516"
121,RHPL,2019-08-13.csv,212.0,215.0,210.0,211.0,"67,725"
126,RHPL,2019-08-14.csv,209.0,212.0,207.0,208.0,"75,889"
116,RHPL,2019-08-15.csv,204.0,212.0,204.0,210.0,"42,895"
117,RHPL,2019-08-18.csv,210.0,211.0,205.0,205.0,"82,602"
128,RHPL,2019-08-19.csv,205.0,208.0,200.0,206.0,"105,338"
121,RHPL,2019-08-20.csv,206.0,207.0,200.0,207.0,"81,600"
119,RHPL,2019-08-21.csv,203.0,204.0,200.0,200.0,"47,080"
125,RHPL,2019-08-22.csv,200.0,203.0,200.0,200.0,"31,447"
128,RHPL,2019-08-25.csv,200.0,202.0,192.0,195.0,"55,104"
122,RHPL,2019-08-26.csv,195.0,195.0,187.0,187.0,"45,230"
121,RHPL,2019-08-27.csv,187.0,195.0,185.0,191.0,"27,836"
123,RHPL,2019-08-28.csv,188.0,190.0,184.0,185.0,"15,595"
123,RHPL,2019-08-29.csv,182.0,187.0,182.0,185.0,"31,482"
122,RHPL,2019-09-01.csv,185.0,185.0,174.0,174.0,"39,290"
124,RHPL,2019-09-02.csv,172.0,174.0,170.0,173.0,"32,525"
125,RHPL,2019-09-03.csv,173.0,179.0,167.0,179.0,"31,313"
123,RHPL,2019-09-04.csv,181.0,181.0,172.0,177.0,"25,040"
122,RHPL,2019-09-05.csv,177.0,177.0,171.0,173.0,"31,245"
120,RHPL,2019-09-08.csv,173.0,176.0,168.0,168.0,"19,940"
128,RHPL,2019-09-09.csv,170.0,170.0,166.0,166.0,"22,735"
127,RHPL,2019-09-10.csv,166.0,170.0,160.0,161.0,"45,858"
124,RHPL,2019-09-11.csv,161.0,164.0,160.0,161.0,"20,610"
127,RHPL,2019-09-12.csv,158.0,162.0,158.0,158.0,"28,131"
117,RHPL,2019-09-15.csv,158.0,159.0,152.0,154.0,"56,655"
123,RHPL,2019-09-16.csv,152.0,159.0,151.0,155.0,"38,818"
125,RHPL,2019-09-17.csv,155.0,170.0,153.0,167.0,"73,396"
124,RHPL,2019-09-18.csv,168.0,172.0,162.0,169.0,"78,420"
109,RHPL,2019-09-19.csv,168.0,169.0,164.0,165.0,"27,410"
121,RHPL,2019-09-22.csv,163.0,163.0,155.0,155.0,"32,550"
124,RHPL,2019-09-23.csv,155.0,161.0,153.0,154.0,"27,512"
125,RHPL,2019-09-24.csv,153.0,156.0,153.0,155.0,"14,940"
119,RHPL,2019-09-25.csv,153.0,159.0,153.0,157.0,"23,697"
119,RHPL,2019-09-26.csv,155.0,161.0,155.0,157.0,"29,355"
113,RHPL,2019-09-29.csv,155.0,161.0,155.0,156.0,"25,010"
112,RHPL,2019-09-30.csv,156.0,161.0,156.0,160.0,"10,185"
117,RHPL,2019-10-01.csv,160.0,161.0,158.0,159.0,"14,012"
116,RHPL,2019-10-02.csv,159.0,162.0,157.0,158.0,"14,100"
110,RHPL,2019-10-03.csv,161.0,161.0,158.0,160.0,"18,535"
88,RHPL,2019-10-10.csv,158.0,162.0,158.0,161.0,"5,720"
111,RHPL,2019-10-14.csv,163.0,163.0,158.0,158.0,"6,600"
108,RHPL,2019-10-15.csv,160.0,161.0,159.0,159.0,"8,600"
110,RHPL,2019-10-16.csv,159.0,163.0,159.0,161.0,"15,173"
111,RHPL,2019-10-17.csv,161.0,167.0,158.0,167.0,"17,962"
92,RHPL,2019-10-20.csv,167.0,167.0,161.0,166.0,"20,430"
104,RHPL,2019-10-21.csv,166.0,166.0,163.0,165.0,"12,250"
112,RHPL,2019-10-22.csv,165.0,174.0,163.0,169.0,"22,444"
111,RHPL,2019-10-23.csv,169.0,180.0,167.0,174.0,"26,193"
113,RHPL,2019-10-24.csv,175.0,182.0,172.0,180.0,"63,175"
112,RHPL,2019-10-31.csv,181.0,184.0,172.0,175.0,"22,420"
117,RHPL,2019-11-03.csv,175.0,177.0,170.0,171.0,"23,491"
119,RHPL,2019-11-04.csv,171.0,174.0,169.0,172.0,"14,780"
115,RHPL,2019-11-05.csv,171.0,173.0,170.0,171.0,"10,196"
116,RHPL,2019-11-06.csv,170.0,173.0,170.0,172.0,"13,085"
116,RHPL,2019-11-07.csv,172.0,172.0,169.0,171.0,"9,850"
118,RHPL,2019-11-10.csv,170.0,172.0,167.0,172.0,"23,095"
128,RHPL,2019-11-11.csv,175.0,176.0,168.0,170.0,"23,960"
117,RHPL,2019-11-12.csv,167.0,170.0,167.0,168.0,"16,365"
108,RHPL,2019-11-13.csv,167.0,169.0,166.0,167.0,"14,885"
118,RHPL,2019-11-14.csv,167.0,170.0,166.0,169.0,"29,211"
113,RHPL,2019-11-17.csv,169.0,169.0,166.0,166.0,"23,170"
112,RHPL,2019-11-18.csv,165.0,166.0,162.0,166.0,"13,089"
119,RHPL,2019-11-19.csv,164.0,165.0,163.0,163.0,"9,551"
118,RHPL,2019-11-20.csv,162.0,169.0,162.0,164.0,"11,875"
120,RHPL,2019-11-21.csv,164.0,166.0,162.0,166.0,"16,819"
118,RHPL,2019-11-24.csv,167.0,167.0,162.0,163.0,"5,791"
121,RHPL,2019-11-25.csv,162.0,164.0,162.0,163.0,"15,870"
118,RHPL,2019-11-26.csv,163.0,163.0,162.0,162.0,"14,800"
119,RHPL,2019-11-27.csv,162.0,166.0,161.0,164.0,"9,754"
117,RHPL,2019-11-28.csv,165.0,166.0,163.0,163.0,"8,200"
114,RHPL,2019-12-01.csv,163.0,165.0,163.0,164.0,"9,217"
116,RHPL,2019-12-02.csv,166.0,169.0,164.0,166.0,"17,920"
121,RHPL,2019-12-03.csv,167.0,171.0,166.0,169.0,"22,080"
121,RHPL,2019-12-04.csv,169.0,175.0,169.0,172.0,"18,185"
120,RHPL,2019-12-05.csv,172.0,175.0,170.0,173.0,"15,070"
123,RHPL,2019-12-08.csv,170.0,172.0,169.0,171.0,"10,250"
125,RHPL,2019-12-09.csv,171.0,177.0,170.0,172.0,"18,712"
123,RHPL,2019-12-10.csv,174.0,177.0,171.0,171.0,"18,560"
125,RHPL,2019-12-11.csv,170.0,176.0,170.0,173.0,"11,020"
120,RHPL,2019-12-12.csv,172.0,185.0,172.0,179.0,"32,795"
123,RHPL,2019-12-15.csv,180.0,182.0,174.0,176.0,"23,055"
121,RHPL,2019-12-16.csv,173.0,177.0,171.0,172.0,"13,736"
121,RHPL,2019-12-17.csv,169.0,178.0,169.0,172.0,"14,180"
119,RHPL,2019-12-18.csv,173.0,173.0,170.0,171.0,"10,250"
125,RHPL,2019-12-19.csv,171.0,174.0,170.0,173.0,"8,010"
120,RHPL,2019-12-22.csv,170.0,173.0,170.0,172.0,"20,610"
126,RHPL,2019-12-23.csv,172.0,178.0,170.0,175.0,"30,561"
123,RHPL,2019-12-24.csv,176.0,179.0,168.0,171.0,"14,638"
126,RHPL,2019-12-25.csv,171.0,173.0,171.0,172.0,"5,130"
126,RHPL,2019-12-26.csv,172.0,175.0,170.0,171.0,"20,065"
131,RHPL,2019-12-29.csv,172.0,173.0,167.0,169.0,"28,610"
126,RHPL,2019-12-30.csv,170.0,170.0,168.0,168.0,"8,759"
128,RHPL,2019-12-31.csv,168.0,170.0,167.0,170.0,"10,890"
126,RHPL,2020-01-01.csv,170.0,171.0,167.0,169.0,"22,030"
124,RHPL,2020-01-02.csv,169.0,171.0,168.0,168.0,"11,515"
122,RHPL,2020-01-05.csv,165.0,172.0,165.0,169.0,"20,910"
127,RHPL,2020-01-06.csv,169.0,175.0,168.0,169.0,"17,250"
128,RHPL,2020-01-07.csv,172.0,176.0,169.0,174.0,"31,644"
124,RHPL,2020-01-08.csv,175.0,175.0,168.0,170.0,"37,322"
127,RHPL,2020-01-09.csv,170.0,173.0,168.0,168.0,"30,700"
128,RHPL,2020-01-12.csv,170.0,175.0,168.0,172.0,"26,900"
131,RHPL,2020-01-13.csv,172.0,183.0,172.0,183.0,"78,955"
133,RHPL,2020-01-14.csv,180.0,180.0,171.0,174.0,"48,478"
125,RHPL,2020-01-15.csv,175.0,181.0,173.0,175.0,"41,940"
130,RHPL,2020-01-16.csv,175.0,180.0,175.0,176.0,"59,895"
128,RHPL,2020-01-19.csv,176.0,188.0,173.0,178.0,"80,225"
130,RHPL,2020-01-20.csv,180.0,181.0,174.0,174.0,"30,529"
131,RHPL,2020-01-21.csv,176.0,177.0,171.0,173.0,"33,962"
127,RHPL,2020-01-22.csv,175.0,175.0,169.0,171.0,"27,860"
124,RHPL,2020-01-23.csv,170.0,173.0,167.0,168.0,"33,110"
125,RHPL,2020-01-26.csv,166.0,169.0,166.0,166.0,"21,180"
129,RHPL,2020-01-27.csv,165.0,174.0,165.0,173.0,"15,197"
128,RHPL,2020-01-28.csv,170.0,172.0,166.0,166.0,"23,380"
126,RHPL,2020-01-29.csv,165.0,170.0,165.0,165.0,"25,950"
127,RHPL,2020-01-30.csv,164.0,168.0,164.0,164.0,"36,248"
125,RHPL,2020-02-02.csv,167.0,167.0,164.0,164.0,"21,978"
127,RHPL,2020-02-03.csv,166.0,178.0,164.0,178.0,"123,950"
126,RHPL,2020-02-04.csv,176.0,180.0,172.0,175.0,"54,000"
127,RHPL,2020-02-05.csv,172.0,174.0,167.0,169.0,"24,340"
126,RHPL,2020-02-06.csv,167.0,171.0,167.0,167.0,"27,888"
125,RHPL,2020-02-09.csv,169.0,171.0,167.0,168.0,"11,708"
125,RHPL,2020-02-10.csv,171.0,171.0,167.0,170.0,"18,210"
127,RHPL,2020-02-11.csv,168.0,173.0,167.0,168.0,"23,800"
124,RHPL,2020-02-12.csv,171.0,171.0,167.0,167.0,"10,010"
124,RHPL,2020-02-13.csv,165.0,168.0,165.0,165.0,"22,940"
127,RHPL,2020-02-16.csv,164.0,171.0,164.0,171.0,"16,365"
126,RHPL,2020-02-17.csv,170.0,173.0,168.0,170.0,"19,219"
132,RHPL,2020-02-18.csv,169.0,173.0,165.0,166.0,"31,820"
128,RHPL,2020-02-19.csv,164.0,169.0,164.0,166.0,"13,810"
131,RHPL,2020-02-20.csv,166.0,170.0,164.0,167.0,"35,796"
130,RHPL,2020-02-23.csv,170.0,172.0,164.0,168.0,"27,530"
130,RHPL,2020-02-24.csv,169.0,173.0,166.0,167.0,"40,056"
