S.no,Symbol,Date,Open,High,Low,Close,Vol
103,RLFLPO,2016-01-13.csv,100.0,100.0,100.0,100.0,"53,000"
114,RLFLPO,2017-07-13.csv,120.0,120.0,120.0,120.0,"10,000"
128,RLFLPO,2017-11-21.csv,120.0,118.0,118.0,118.0,"15,081"
128,RLFLPO,2017-11-23.csv,118.0,118.0,116.0,116.0,"22,108"
122,RLFLPO,2018-01-07.csv,116.0,100.0,100.0,100.0,"15,081"
127,RLFLPO,2018-04-04.csv,114.0,114.0,114.0,114.0,"8,278"
129,RLFLPO,2018-09-04.csv,100.0,100.0,100.0,100.0,"2,600"
132,RLFLPO,2018-10-02.csv,110.0,110.0,110.0,110.0,"18,354"
129,RLFLPO,2019-04-24.csv,119.0,119.0,119.0,119.0,"25,135"
119,RLFLPO,2019-07-17.csv,119.0,119.0,119.0,119.0,"5,600"
121,RLFLPO,2019-09-26.csv,109.0,109.0,109.0,109.0,"2,240"
