S.no,Symbol,Date,Open,High,Low,Close,Vol
58,RMBFI,2012-01-03.csv,150.0,147.0,139.0,139.0,604
59,RMBFI,2012-01-04.csv,139.0,137.0,131.0,131.0,245
63,RMBFI,2012-02-23.csv,131.0,117.0,113.0,113.0,612
62,RMBFI,2012-03-11.csv,113.0,111.0,105.0,105.0,552
60,RMBFI,2012-03-12.csv,105.0,103.0,95.0,95.0,761
54,RMBFI,2012-03-14.csv,95.0,94.0,86.0,92.0,"1,377"
49,RMBFI,2012-03-15.csv,92.0,94.0,93.0,94.0,20
67,RMBFI,2012-03-18.csv,94.0,93.0,93.0,93.0,51
64,RMBFI,2012-03-20.csv,93.0,92.0,91.0,91.0,200
63,RMBFI,2012-03-21.csv,91.0,90.0,90.0,90.0,100
57,RMBFI,2012-03-26.csv,90.0,89.0,89.0,89.0,673
68,RMBFI,2012-03-27.csv,89.0,89.0,85.0,86.0,"1,860"
65,RMBFI,2012-03-28.csv,86.0,85.0,83.0,85.0,"1,124"
63,RMBFI,2012-03-29.csv,85.0,84.0,82.0,82.0,463
65,RMBFI,2012-04-02.csv,82.0,83.0,83.0,83.0,200
63,RMBFI,2012-04-03.csv,83.0,84.0,83.0,83.0,981
67,RMBFI,2012-04-04.csv,83.0,91.0,84.0,91.0,"4,053"
63,RMBFI,2012-04-05.csv,91.0,100.0,92.0,95.0,"2,484"
64,RMBFI,2012-04-08.csv,95.0,96.0,94.0,96.0,134
53,RMBFI,2012-04-09.csv,96.0,100.0,97.0,100.0,110
58,RMBFI,2012-04-10.csv,100.0,108.0,100.0,108.0,"1,025"
60,RMBFI,2012-04-11.csv,108.0,111.0,109.0,111.0,520
65,RMBFI,2012-04-12.csv,111.0,109.0,109.0,109.0,20
62,RMBFI,2012-04-15.csv,109.0,109.0,109.0,109.0,20
47,RMBFI,2012-04-16.csv,109.0,107.0,107.0,107.0,200
60,RMBFI,2012-04-17.csv,107.0,105.0,105.0,105.0,109
75,RMBFI,2012-04-19.csv,105.0,103.0,101.0,101.0,181
65,RMBFI,2012-04-22.csv,101.0,100.0,99.0,100.0,251
52,RMBFI,2012-04-24.csv,100.0,100.0,100.0,100.0,108
69,RMBFI,2012-04-30.csv,100.0,104.0,102.0,102.0,460
53,RMBFI,2012-05-08.csv,102.0,102.0,102.0,102.0,93
67,RMBFI,2012-05-10.csv,102.0,100.0,100.0,100.0,140
50,RMBFI,2012-05-13.csv,100.0,100.0,100.0,100.0,136
52,RMBFI,2012-05-14.csv,100.0,100.0,97.0,97.0,592
63,RMBFI,2012-05-17.csv,97.0,98.0,98.0,98.0,515
67,RMBFI,2012-05-21.csv,98.0,107.0,98.0,107.0,"3,437"
66,RMBFI,2012-05-22.csv,107.0,105.0,103.0,105.0,215
61,RMBFI,2012-06-05.csv,105.0,103.0,103.0,103.0,23
60,RMBFI,2012-06-06.csv,103.0,101.0,101.0,101.0,56
57,RMBFI,2012-06-07.csv,101.0,99.0,95.0,95.0,62
54,RMBFI,2012-06-10.csv,95.0,94.0,92.0,92.0,30
62,RMBFI,2012-06-11.csv,92.0,91.0,89.0,90.0,157
66,RMBFI,2012-06-12.csv,90.0,90.0,88.0,88.0,123
63,RMBFI,2012-06-13.csv,88.0,92.0,89.0,91.0,"1,178"
63,RMBFI,2012-06-14.csv,91.0,90.0,89.0,89.0,418
63,RMBFI,2012-06-17.csv,89.0,88.0,87.0,87.0,707
58,RMBFI,2012-06-18.csv,87.0,86.0,84.0,84.0,520
63,RMBFI,2012-06-19.csv,84.0,83.0,81.0,81.0,404
61,RMBFI,2012-06-20.csv,81.0,82.0,82.0,82.0,48
60,RMBFI,2012-06-21.csv,82.0,87.0,83.0,87.0,100
60,RMBFI,2012-06-25.csv,87.0,90.0,88.0,90.0,66
60,RMBFI,2012-06-26.csv,90.0,94.0,91.0,94.0,"1,489"
56,RMBFI,2012-06-27.csv,94.0,97.0,95.0,97.0,60
59,RMBFI,2012-06-28.csv,97.0,96.0,90.0,90.0,336
55,RMBFI,2012-07-01.csv,90.0,95.0,91.0,94.0,680
62,RMBFI,2012-07-02.csv,94.0,100.0,95.0,100.0,486
58,RMBFI,2012-07-03.csv,100.0,101.0,101.0,101.0,30
59,RMBFI,2012-07-04.csv,101.0,103.0,103.0,103.0,59
61,RMBFI,2012-07-08.csv,103.0,105.0,105.0,105.0,20
59,RMBFI,2012-07-09.csv,105.0,113.0,105.0,113.0,"4,274"
58,RMBFI,2012-07-10.csv,113.0,113.0,111.0,113.0,"2,495"
66,RMBFI,2012-07-11.csv,113.0,111.0,107.0,107.0,107
63,RMBFI,2012-07-17.csv,107.0,105.0,103.0,103.0,782
66,RMBFI,2012-07-22.csv,103.0,106.0,98.0,106.0,944
54,RMBFI,2012-07-23.csv,106.0,110.0,108.0,110.0,114
