S.no,Symbol,Date,Open,High,Low,Close,Vol
69,RMDC,2013-10-08.csv,510.0,561.0,510.0,561.0,"15,089"
59,RMDC,2013-10-09.csv,561.0,617.0,552.0,588.0,"35,306"
62,RMDC,2013-10-10.csv,588.0,592.0,560.0,570.0,"35,368"
43,RMDC,2013-10-17.csv,570.0,571.0,556.0,570.0,929
64,RMDC,2013-10-20.csv,570.0,572.0,550.0,552.0,"20,290"
70,RMDC,2013-10-21.csv,552.0,562.0,546.0,550.0,"17,633"
76,RMDC,2013-10-22.csv,550.0,553.0,541.0,552.0,"14,205"
70,RMDC,2013-10-23.csv,552.0,553.0,548.0,550.0,"9,428"
72,RMDC,2013-10-24.csv,550.0,550.0,546.0,546.0,"15,905"
70,RMDC,2013-10-27.csv,546.0,553.0,525.0,532.0,"23,588"
68,RMDC,2013-10-28.csv,532.0,532.0,502.0,525.0,"9,751"
73,RMDC,2013-10-29.csv,525.0,525.0,511.0,524.0,"15,923"
69,RMDC,2013-10-30.csv,524.0,541.0,520.0,534.0,"10,391"
73,RMDC,2013-10-31.csv,534.0,554.0,527.0,530.0,"18,215"
62,RMDC,2013-11-06.csv,530.0,520.0,491.0,506.0,"9,332"
73,RMDC,2013-11-07.csv,506.0,520.0,506.0,520.0,"20,606"
22,RMDC,2013-11-10.csv,520.0,535.0,513.0,522.0,"5,575"
63,RMDC,2013-11-11.csv,522.0,546.0,512.0,536.0,"8,213"
65,RMDC,2013-11-12.csv,536.0,562.0,545.0,546.0,"17,438"
70,RMDC,2013-11-13.csv,546.0,560.0,540.0,560.0,"22,376"
72,RMDC,2013-11-14.csv,560.0,565.0,545.0,550.0,"23,479"
44,RMDC,2013-11-21.csv,550.0,583.0,561.0,583.0,408
70,RMDC,2013-11-24.csv,583.0,641.0,594.0,610.0,"11,553"
73,RMDC,2013-11-25.csv,610.0,614.0,569.0,608.0,"7,967"
75,RMDC,2013-11-26.csv,608.0,620.0,591.0,595.0,"9,692"
79,RMDC,2013-11-27.csv,595.0,594.0,580.0,590.0,"5,158"
79,RMDC,2013-11-28.csv,590.0,600.0,576.0,590.0,"6,828"
77,RMDC,2013-12-01.csv,590.0,593.0,582.0,587.0,"5,856"
79,RMDC,2013-12-02.csv,587.0,598.0,578.0,598.0,"8,028"
84,RMDC,2013-12-03.csv,598.0,650.0,591.0,648.0,"16,832"
83,RMDC,2013-12-04.csv,648.0,712.0,650.0,706.0,"18,675"
92,RMDC,2013-12-05.csv,706.0,772.0,690.0,715.0,"18,044"
90,RMDC,2013-12-08.csv,715.0,715.0,661.0,681.0,"13,331"
88,RMDC,2013-12-09.csv,681.0,681.0,662.0,680.0,"8,425"
89,RMDC,2013-12-10.csv,680.0,679.0,654.0,670.0,"8,708"
90,RMDC,2013-12-11.csv,670.0,685.0,668.0,672.0,"16,583"
87,RMDC,2013-12-12.csv,672.0,704.0,674.0,700.0,"8,145"
81,RMDC,2013-12-15.csv,700.0,734.0,695.0,729.0,"7,652"
73,RMDC,2013-12-16.csv,729.0,771.0,730.0,771.0,"12,260"
74,RMDC,2013-12-18.csv,771.0,801.0,770.0,785.0,"2,234"
81,RMDC,2013-12-19.csv,785.0,787.0,721.0,765.0,"13,766"
87,RMDC,2013-12-22.csv,765.0,770.0,750.0,760.0,"14,084"
79,RMDC,2013-12-23.csv,760.0,762.0,732.0,740.0,"16,742"
82,RMDC,2013-12-24.csv,740.0,740.0,691.0,715.0,"14,480"
80,RMDC,2013-12-26.csv,715.0,736.0,701.0,706.0,"46,841"
75,RMDC,2013-12-29.csv,706.0,694.0,694.0,694.0,21
73,RMDC,2013-12-31.csv,694.0,710.0,681.0,702.0,"1,527"
73,RMDC,2014-01-01.csv,702.0,698.0,689.0,689.0,"3,160"
67,RMDC,2014-01-02.csv,689.0,720.0,676.0,700.0,"10,548"
80,RMDC,2014-01-05.csv,700.0,700.0,686.0,686.0,"3,204"
77,RMDC,2014-01-06.csv,686.0,698.0,682.0,685.0,"1,762"
74,RMDC,2014-01-07.csv,685.0,709.0,680.0,709.0,"3,346"
78,RMDC,2014-01-08.csv,709.0,725.0,702.0,718.0,"2,717"
81,RMDC,2014-01-09.csv,718.0,735.0,711.0,730.0,"3,122"
80,RMDC,2014-01-12.csv,730.0,800.0,744.0,788.0,665
79,RMDC,2014-01-13.csv,788.0,823.0,758.0,823.0,"1,440"
85,RMDC,2014-01-14.csv,823.0,841.0,825.0,840.0,"6,316"
79,RMDC,2014-01-16.csv,840.0,892.0,850.0,880.0,"2,697"
73,RMDC,2014-01-19.csv,880.0,897.0,882.0,897.0,"1,530"
87,RMDC,2014-01-20.csv,897.0,896.0,880.0,896.0,"1,987"
89,RMDC,2014-01-21.csv,896.0,900.0,885.0,886.0,"1,704"
90,RMDC,2014-01-22.csv,886.0,897.0,836.0,880.0,"3,066"
91,RMDC,2014-01-23.csv,880.0,885.0,860.0,870.0,"1,331"
94,RMDC,2014-01-26.csv,870.0,859.0,840.0,840.0,"2,700"
91,RMDC,2014-01-27.csv,840.0,845.0,810.0,845.0,"2,049"
86,RMDC,2014-01-28.csv,845.0,845.0,825.0,825.0,"2,885"
87,RMDC,2014-01-29.csv,825.0,840.0,815.0,840.0,"1,857"
89,RMDC,2014-02-02.csv,840.0,830.0,820.0,824.0,"1,020"
88,RMDC,2014-02-03.csv,824.0,830.0,814.0,825.0,"4,537"
83,RMDC,2014-02-04.csv,825.0,850.0,825.0,850.0,"3,290"
94,RMDC,2014-02-06.csv,847.0,854.0,836.0,848.0,"3,090"
92,RMDC,2014-02-09.csv,848.0,860.0,826.0,849.0,"2,029"
82,RMDC,2014-02-10.csv,849.0,890.0,842.0,846.0,"2,031"
85,RMDC,2014-02-11.csv,846.0,851.0,830.0,830.0,"11,392"
92,RMDC,2014-02-12.csv,830.0,855.0,827.0,830.0,"1,480"
87,RMDC,2014-02-13.csv,830.0,850.0,824.0,850.0,"3,847"
88,RMDC,2014-02-16.csv,850.0,849.0,816.0,821.0,"2,121"
95,RMDC,2014-02-17.csv,821.0,841.0,837.0,838.0,310
94,RMDC,2014-02-18.csv,838.0,860.0,825.0,855.0,"2,073"
