S.no,Symbol,Date,Open,High,Low,Close,Vol
30,RMFL,2015-12-22.csv,315.0,321.0,321.0,321.0,10
29,RMFL,2016-01-04.csv,321.0,327.0,327.0,327.0,10
31,RMFL,2016-01-05.csv,327.0,339.0,333.0,339.0,20
30,RMFL,2016-01-07.csv,339.0,345.0,345.0,345.0,10
32,RMFL,2016-01-11.csv,345.0,379.0,351.0,379.0,50
60,RMFL,2016-01-12.csv,379.0,416.0,386.0,416.0,100
61,RMFL,2016-01-12.csv,379.0,416.0,386.0,416.0,100
31,RMFL,2016-05-08.csv,416.0,436.0,436.0,436.0,20
31,RMFL,2016-05-09.csv,436.0,444.0,444.0,444.0,10
31,RMFL,2016-05-15.csv,444.0,452.0,452.0,452.0,10
31,RMFL,2016-05-18.csv,452.0,461.0,461.0,461.0,10
30,RMFL,2016-05-22.csv,461.0,507.0,484.0,507.0,60
31,RMFL,2016-05-24.csv,507.0,532.0,532.0,532.0,10
32,RMFL,2016-06-06.csv,532.0,542.0,542.0,542.0,10
29,RMFL,2016-06-08.csv,542.0,552.0,552.0,552.0,11
27,RMFL,2016-06-20.csv,552.0,563.0,563.0,563.0,10
30,RMFL,2016-06-29.csv,563.0,574.0,574.0,574.0,10
30,RMFL,2016-07-14.csv,574.0,585.0,585.0,585.0,11
29,RMFL,2016-07-19.csv,585.0,596.0,596.0,596.0,20
30,RMFL,2016-07-20.csv,596.0,607.0,607.0,607.0,10
30,RMFL,2016-07-21.csv,607.0,661.0,637.0,661.0,31
30,RMFL,2016-07-25.csv,661.0,674.0,674.0,674.0,10
29,RMFL,2016-07-26.csv,674.0,687.0,687.0,687.0,10
27,RMFL,2016-08-03.csv,687.0,714.0,700.0,714.0,20
29,RMFL,2016-08-04.csv,714.0,728.0,728.0,728.0,11
29,RMFL,2016-08-16.csv,728.0,756.0,742.0,756.0,20
27,RMFL,2016-08-22.csv,756.0,801.0,771.0,801.0,30
29,RMFL,2016-08-30.csv,801.0,817.0,817.0,817.0,10
29,RMFL,2016-08-31.csv,817.0,865.0,833.0,865.0,31
28,RMFL,2016-09-01.csv,865.0,882.0,882.0,882.0,11
28,RMFL,2016-09-03.csv,882.0,899.0,899.0,899.0,10
28,RMFL,2016-09-04.csv,882.0,899.0,899.0,899.0,10
28,RMFL,2016-09-07.csv,899.0,980.0,943.0,980.0,30
27,RMFL,2016-09-14.csv,980.0,999.0,999.0,999.0,10
26,RMFL,2016-09-18.csv,999.0,1079.0,1018.0,1079.0,160
26,RMFL,2016-09-20.csv,1079.0,1144.0,1100.0,1144.0,30
27,RMFL,2016-09-21.csv,1144.0,1225.0,1201.0,1225.0,20
25,RMFL,2016-09-25.csv,1225.0,1249.0,1249.0,1249.0,10
26,RMFL,2016-09-26.csv,1249.0,1311.0,1311.0,1311.0,40
27,RMFL,2016-09-27.csv,1311.0,1442.0,1337.0,1442.0,63
25,RMFL,2016-10-05.csv,1442.0,1470.0,1470.0,1470.0,11
25,RMFL,2016-10-06.csv,1470.0,1499.0,1499.0,1499.0,10
23,RMFL,2016-10-16.csv,1499.0,1528.0,1528.0,1528.0,10
22,RMFL,2016-10-18.csv,1528.0,1680.0,1558.0,1680.0,113
22,RMFL,2016-10-19.csv,1680.0,1848.0,1713.0,1848.0,55
24,RMFL,2016-10-20.csv,1848.0,2032.0,1884.0,2032.0,51
22,RMFL,2016-10-23.csv,2032.0,2235.0,2072.0,2235.0,72
20,RMFL,2016-10-24.csv,2235.0,2458.0,2279.0,2458.0,563
24,RMFL,2016-10-25.csv,2458.0,2703.0,2367.0,2395.0,"3,857"
22,RMFL,2016-10-26.csv,2395.0,2400.0,2306.0,2370.0,"2,546"
24,RMFL,2016-10-27.csv,2370.0,2370.0,2335.0,2341.0,630
23,RMFL,2016-11-03.csv,2341.0,2428.0,2360.0,2400.0,963
22,RMFL,2016-11-07.csv,2400.0,2400.0,2262.0,2280.0,452
26,RMFL,2016-11-08.csv,2280.0,2315.0,2280.0,2285.0,"1,074"
23,RMFL,2016-11-09.csv,2285.0,2270.0,2182.0,2195.0,"1,020"
23,RMFL,2016-11-10.csv,2195.0,2238.0,2145.0,2146.0,600
25,RMFL,2016-11-13.csv,2146.0,2150.0,2030.0,2030.0,603
27,RMFL,2016-11-14.csv,2030.0,2111.0,2000.0,2000.0,629
27,RMFL,2016-11-15.csv,2000.0,2050.0,1950.0,1950.0,886
25,RMFL,2016-11-16.csv,1950.0,1911.0,1841.0,1841.0,343
26,RMFL,2016-11-17.csv,1841.0,1914.0,1761.0,1761.0,878
25,RMFL,2016-11-20.csv,1761.0,1761.0,1650.0,1650.0,557
23,RMFL,2016-11-21.csv,1650.0,1683.0,1553.0,1580.0,"4,439"
24,RMFL,2016-11-22.csv,1580.0,1549.0,1422.0,1422.0,345
23,RMFL,2016-11-23.csv,1422.0,1430.0,1373.0,1401.0,695
26,RMFL,2016-11-24.csv,1401.0,1402.0,1340.0,1390.0,544
27,RMFL,2016-11-27.csv,1390.0,1390.0,1355.0,1380.0,198
23,RMFL,2016-11-28.csv,1380.0,1380.0,1326.0,1380.0,172
27,RMFL,2016-11-29.csv,1380.0,1456.0,1353.0,1456.0,314
25,RMFL,2016-11-30.csv,1456.0,1601.0,1455.0,1601.0,467
27,RMFL,2016-12-01.csv,1601.0,1633.0,1568.0,1568.0,126
29,RMFL,2016-12-04.csv,1568.0,1568.0,1412.0,1460.0,346
27,RMFL,2016-12-05.csv,1460.0,1440.0,1358.0,1358.0,205
27,RMFL,2016-12-06.csv,1358.0,1360.0,1320.0,1351.0,129
23,RMFL,2016-12-07.csv,1351.0,1350.0,1306.0,1325.0,823
26,RMFL,2016-12-08.csv,1325.0,1345.0,1319.0,1319.0,116
28,RMFL,2016-12-11.csv,1319.0,1300.0,1300.0,1300.0,10
29,RMFL,2016-12-12.csv,1300.0,1300.0,1250.0,1251.0,145
27,RMFL,2016-12-14.csv,1251.0,1258.0,1210.0,1235.0,158
27,RMFL,2016-12-15.csv,1235.0,1264.0,1220.0,1264.0,73
26,RMFL,2016-12-18.csv,1264.0,1367.0,1250.0,1367.0,235
25,RMFL,2016-12-19.csv,1367.0,1394.0,1393.0,1394.0,21
27,RMFL,2016-12-20.csv,1394.0,1390.0,1353.0,1353.0,70
26,RMFL,2016-12-21.csv,1353.0,1349.0,1230.0,1236.0,147
28,RMFL,2016-12-22.csv,1236.0,1226.0,1205.0,1226.0,244
26,RMFL,2016-12-26.csv,1226.0,1226.0,1180.0,1226.0,102
27,RMFL,2016-12-27.csv,1226.0,1225.0,1225.0,1225.0,10
26,RMFL,2016-12-28.csv,1225.0,1246.0,1215.0,1246.0,195
24,RMFL,2016-12-29.csv,1246.0,1275.0,1230.0,1275.0,150
27,RMFL,2017-01-02.csv,1275.0,1323.0,1225.0,1323.0,90
26,RMFL,2017-01-03.csv,1323.0,1300.0,1274.0,1274.0,121
26,RMFL,2017-01-04.csv,1274.0,1276.0,1225.0,1276.0,"1,013"
27,RMFL,2017-01-05.csv,1276.0,1300.0,1298.0,1298.0,41
25,RMFL,2017-01-08.csv,1298.0,1273.0,1248.0,1248.0,40
27,RMFL,2017-01-10.csv,1248.0,1260.0,1250.0,1260.0,33
25,RMFL,2017-01-11.csv,1260.0,1250.0,1211.0,1211.0,62
24,RMFL,2017-01-12.csv,1211.0,1270.0,1230.0,1270.0,44
25,RMFL,2017-01-16.csv,1270.0,1295.0,1245.0,1245.0,106
24,RMFL,2017-01-17.csv,1245.0,1269.0,1265.0,1265.0,22
24,RMFL,2017-01-18.csv,1265.0,1260.0,1260.0,1260.0,11
25,RMFL,2017-01-19.csv,1260.0,1250.0,1240.0,1245.0,43
24,RMFL,2017-01-23.csv,1245.0,1225.0,1201.0,1201.0,31
26,RMFL,2017-01-24.csv,1201.0,1225.0,1201.0,1201.0,40
26,RMFL,2017-01-25.csv,1201.0,1177.0,1132.0,1132.0,144
27,RMFL,2017-01-26.csv,1132.0,1110.0,1047.0,1080.0,265
28,RMFL,2017-01-31.csv,1080.0,1101.0,1100.0,1101.0,21
28,RMFL,2017-02-01.csv,1101.0,1166.0,1080.0,1166.0,506
26,RMFL,2017-02-02.csv,1166.0,1150.0,1105.0,1105.0,54
22,RMFL,2017-02-05.csv,1105.0,1100.0,1100.0,1100.0,3
25,RMFL,2017-02-06.csv,1105.0,1099.0,1035.0,1035.0,477
22,RMFL,2017-02-07.csv,1035.0,1035.0,980.0,980.0,437
26,RMFL,2017-02-08.csv,980.0,965.0,892.0,945.0,631
25,RMFL,2017-02-09.csv,945.0,945.0,944.0,944.0,22
26,RMFL,2017-02-13.csv,944.0,926.0,918.0,918.0,35
26,RMFL,2017-02-14.csv,918.0,917.0,917.0,917.0,44
28,RMFL,2017-02-15.csv,917.0,934.0,881.0,890.0,278
29,RMFL,2017-02-16.csv,890.0,961.0,907.0,961.0,50
27,RMFL,2017-02-19.csv,961.0,945.0,925.0,925.0,237
27,RMFL,2017-02-20.csv,925.0,1017.0,910.0,1010.0,"1,225"
27,RMFL,2017-02-21.csv,1010.0,1030.0,1005.0,1010.0,607
27,RMFL,2017-02-22.csv,1010.0,1000.0,1000.0,1000.0,22
27,RMFL,2017-02-26.csv,1010.0,1020.0,1017.0,1020.0,84
26,RMFL,2017-02-28.csv,1020.0,1000.0,942.0,942.0,55
26,RMFL,2017-03-01.csv,942.0,930.0,891.0,928.0,317
27,RMFL,2017-03-02.csv,928.0,964.0,928.0,945.0,222
28,RMFL,2017-03-05.csv,945.0,1020.0,948.0,1020.0,593
28,RMFL,2017-03-06.csv,1020.0,1059.0,1038.0,1038.0,194
26,RMFL,2017-03-07.csv,1038.0,1018.0,985.0,985.0,127
25,RMFL,2017-03-09.csv,985.0,970.0,951.0,965.0,52
26,RMFL,2017-03-13.csv,965.0,984.0,965.0,984.0,89
27,RMFL,2017-03-14.csv,984.0,1015.0,983.0,1015.0,41
26,RMFL,2017-03-15.csv,1015.0,1050.0,1000.0,1050.0,52
29,RMFL,2017-03-16.csv,1050.0,1050.0,1010.0,1050.0,581
26,RMFL,2017-03-19.csv,1050.0,1092.0,1055.0,1092.0,375
24,RMFL,2017-03-20.csv,1092.0,1180.0,1113.0,1180.0,306
25,RMFL,2017-03-21.csv,1180.0,1298.0,1203.0,1298.0,896
26,RMFL,2017-03-22.csv,1298.0,1427.0,1275.0,1399.0,"2,136"
26,RMFL,2017-03-23.csv,1399.0,1399.0,1301.0,1301.0,216
26,RMFL,2017-03-26.csv,1301.0,1411.0,1280.0,1384.0,192
28,RMFL,2017-03-28.csv,1384.0,1495.0,1410.0,1460.0,462
26,RMFL,2017-03-30.csv,1460.0,1431.0,1348.0,1361.0,169
23,RMFL,2017-04-02.csv,1361.0,1443.0,1388.0,1443.0,63
25,RMFL,2017-04-03.csv,1443.0,1500.0,1470.0,1470.0,578
27,RMFL,2017-04-04.csv,1470.0,1470.0,1362.0,1362.0,434
27,RMFL,2017-04-06.csv,1362.0,1428.0,1375.0,1428.0,700
27,RMFL,2017-04-09.csv,1428.0,1480.0,1372.0,1480.0,290
29,RMFL,2017-04-10.csv,1480.0,1628.0,1455.0,1628.0,"1,185"
26,RMFL,2017-04-11.csv,1628.0,1790.0,1630.0,1790.0,"1,495"
28,RMFL,2017-04-12.csv,1790.0,1969.0,1755.0,1930.0,"2,412"
26,RMFL,2017-04-13.csv,1930.0,1968.0,1838.0,1953.0,"1,749"
27,RMFL,2017-04-16.csv,1953.0,2100.0,1883.0,1883.0,"1,617"
29,RMFL,2017-04-18.csv,1883.0,1964.0,1780.0,1963.0,"2,223"
29,RMFL,2017-04-19.csv,1963.0,2110.0,1965.0,2110.0,"1,149"
26,RMFL,2017-04-20.csv,2110.0,2321.0,2145.0,2250.0,"1,949"
28,RMFL,2017-04-23.csv,2250.0,2288.0,2200.0,2279.0,626
27,RMFL,2017-04-24.csv,2279.0,2250.0,2120.0,2250.0,"1,401"
28,RMFL,2017-04-25.csv,2250.0,2381.0,2250.0,2381.0,"1,799"
28,RMFL,2017-04-26.csv,2381.0,2619.0,2334.0,2619.0,"2,167"
29,RMFL,2017-04-27.csv,2619.0,2719.0,2547.0,2627.0,"2,980"
27,RMFL,2017-04-30.csv,2627.0,2675.0,2526.0,2580.0,787
29,RMFL,2017-05-02.csv,2580.0,2650.0,2550.0,2650.0,"1,455"
28,RMFL,2017-05-03.csv,2650.0,2651.0,2573.0,2645.0,936
28,RMFL,2017-05-04.csv,2645.0,2593.0,2500.0,2519.0,231
