S.no,Symbol,Date,Open,High,Low,Close,Vol
128,RRHP,2018-06-24.csv,261.0,261.0,256.0,256.0,20
119,RRHP,2018-06-27.csv,251.0,251.0,231.0,231.0,250
119,RRHP,2018-07-01.csv,227.0,227.0,219.0,219.0,70
121,RRHP,2018-07-02.csv,215.0,215.0,203.0,203.0,40
122,RRHP,2018-07-03.csv,199.0,199.0,183.0,183.0,270
130,RRHP,2018-07-04.csv,180.0,180.0,165.0,165.0,150
126,RRHP,2018-07-05.csv,162.0,162.0,149.0,153.0,"9,367"
126,RRHP,2018-07-08.csv,151.0,152.0,141.0,146.0,"10,914"
129,RRHP,2018-07-09.csv,144.0,155.0,140.0,152.0,"6,920"
125,RRHP,2018-07-10.csv,152.0,164.0,150.0,154.0,"8,630"
132,RRHP,2018-07-11.csv,151.0,157.0,151.0,152.0,"2,380"
125,RRHP,2018-07-12.csv,149.0,158.0,147.0,148.0,"2,110"
130,RRHP,2018-07-15.csv,150.0,152.0,146.0,147.0,"1,510"
122,RRHP,2018-07-16.csv,148.0,150.0,145.0,148.0,"1,890"
119,RRHP,2018-07-17.csv,148.0,158.0,144.0,158.0,"2,470"
107,RRHP,2018-07-18.csv,158.0,158.0,149.0,151.0,"1,310"
122,RRHP,2018-07-19.csv,149.0,154.0,145.0,146.0,"2,400"
124,RRHP,2018-07-22.csv,144.0,152.0,144.0,146.0,"2,060"
120,RRHP,2018-07-23.csv,145.0,156.0,145.0,151.0,"8,373"
123,RRHP,2018-07-24.csv,149.0,154.0,149.0,151.0,"1,867"
131,RRHP,2018-07-25.csv,148.0,166.0,148.0,158.0,"18,714"
124,RRHP,2018-07-26.csv,160.0,168.0,156.0,158.0,"7,103"
116,RRHP,2018-07-29.csv,157.0,160.0,154.0,160.0,"2,364"
129,RRHP,2018-07-30.csv,159.0,159.0,155.0,155.0,"3,400"
125,RRHP,2018-07-31.csv,154.0,159.0,150.0,159.0,"6,084"
120,RRHP,2018-08-01.csv,162.0,160.0,153.0,159.0,760
127,RRHP,2018-08-02.csv,160.0,160.0,154.0,160.0,"1,630"
124,RRHP,2018-08-05.csv,157.0,157.0,153.0,154.0,"1,670"
117,RRHP,2018-08-06.csv,155.0,155.0,151.0,152.0,"1,070"
119,RRHP,2018-08-07.csv,150.0,153.0,150.0,152.0,"1,270"
124,RRHP,2018-08-08.csv,149.0,158.0,149.0,152.0,"3,530"
122,RRHP,2018-08-09.csv,150.0,155.0,150.0,154.0,"6,143"
122,RRHP,2018-08-12.csv,151.0,152.0,148.0,149.0,"1,690"
119,RRHP,2018-08-13.csv,148.0,151.0,143.0,149.0,"1,320"
126,RRHP,2018-08-14.csv,149.0,153.0,148.0,153.0,"1,080"
127,RRHP,2018-08-15.csv,151.0,156.0,151.0,152.0,"5,943"
127,RRHP,2018-08-16.csv,152.0,155.0,152.0,152.0,"1,730"
122,RRHP,2018-08-19.csv,155.0,155.0,151.0,151.0,"4,456"
121,RRHP,2018-08-20.csv,150.0,153.0,150.0,150.0,"1,900"
